business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
KAP Call Center Pvt. Ltd.,Telemarketing Firms,Call center,Call center,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 97380 10001,https://bestcallcenter.in/,4.2,,"1st Floor, S.V Arcade, No.25, South, E End Main Rd, Jayanagara 9th Block, East, Bengaluru, Karnataka 560041","Jayanagara 9th Block, East",12.916720699999999,77.594326,ChIJ0YkEWg8VrjsRCYuvDa9q-Qo,https://www.google.com/maps/place/?q=place_id:ChIJ0YkEWg8VrjsRCYuvDa9q-Qo,part_345,2026-09-20 20:18:25,5071
Reliable Communication: Telemarketing Services in Pune | Recruitment Process Outsourcing Services in Pune,Telemarketing Firms,Call center,"Call center, Telecommunications service provider",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 75077 99999,http://reliablecommunication.co.in/,3.8,,"Office no. 311, 3rd floor, Graficon Arcade, Bund Garden Rd, opp. Jehangir Hospital, Sangamvadi, Pune, Maharashtra 411001",Sangamvadi,18.5314984,73.8760853,ChIJffEl-_fAwjsR1s-a0o3lfA4,https://www.google.com/maps/place/?q=place_id:ChIJffEl-_fAwjsR1s-a0o3lfA4,part_345,2026-09-20 20:18:25,5072
Intalk finanza,Telemarketing Firms,Telephone Marketing Agency,Telephone Marketing Agency,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 98119 15539,N/A,4.5,29.0,"3rd Floor, Bareja Sadan Market, B2, NH-19, opposite to Pillar No- 32, Block C, Tajpur Pahari Village, Badarpur, New Delhi, Delhi 110044","Block C, Tajpur Pahari Village, Badarpur",28.496745699999998,77.3029308,ChIJYflRze_bDDkRbxvn0vol4oA,https://www.google.com/maps/place/?q=place_id:ChIJYflRze_bDDkRbxvn0vol4oA,part_345,2026-09-20 20:19:08,8104
DigiBrood,Telemarketing Firms,Internet marketing service,"Internet marketing service, Advertising agency, Marketing agency, Marketing consultant, Web hosting company, Website designer",757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 87775 71887,https://digibrood.in/,4.9,223.0,"2nd Floor, 22, Deb Kamini Debi Ln, Ariadaha, Kolkata, West Bengal 700076",Ariadaha,22.6636231,88.35889069999999,ChIJLfV34WWd-DkRfDLdoOMx0CM,https://www.google.com/maps/place/?q=place_id:ChIJLfV34WWd-DkRfDLdoOMx0CM,part_345,2026-09-20 20:19:08,8105
JP digital solution,Telemarketing Firms,Telephone Marketing Agency,Telephone Marketing Agency,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 33 4605 0897,https://jpdigital.in/,4.5,41.0,"105/A, Roy Mallick Colony, Kundubagan, Ghughudanga, Dum Dum, Kolkata, West Bengal 700074","Roy Mallick Colony, Kundubagan, Ghughudanga, Dum Dum",22.619143599999997,88.396935,ChIJQSHrqfqd-DkRFvJETm5Wyow,https://www.google.com/maps/place/?q=place_id:ChIJQSHrqfqd-DkRFvJETm5Wyow,part_345,2026-09-20 20:19:08,8106
Raja Pvt Ltd,Telemarketing Firms,Marketing consultant,Marketing consultant,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 80935 08126,N/A,5.0,1.0,"45, near D.L College, Bahalda, Kanki, Odisha 757046",757045,22.3937824,86.0887936,ChIJuVJV_q0aHjoRAAAA0G61GAo,https://www.google.com/maps/place/?q=place_id:ChIJuVJV_q0aHjoRAAAA0G61GAo,part_345,2026-09-20 20:19:08,8107
Quick Fix,Telemarketing Firms,Computer support and services,Computer support and services,757047,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Badampahar S.O, Basilapir B.O, Dova B.O",+91 97772 44646,N/A,4.2,,"X3CG+5W6, NH 49, Jashipur, Odisha 757047",757047,21.9704177,86.0772736,ChIJuzu_FzxlHjoRWGG7Mzq0iwo,https://www.google.com/maps/place/?q=place_id:ChIJuzu_FzxlHjoRWGG7Mzq0iwo,part_345,2026-09-20 20:20:35,13229
Networking,Telemarketing Firms,Marketing agency,Marketing agency,757047,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Badampahar S.O, Basilapir B.O, Dova B.O",N/A,N/A,,,"XV46+QH7, Raruan, Badararuan, Odisha 757035",757047,21.956916,85.8614216,ChIJuVLP7QxdHjoRFCbWoiEt6cI,https://www.google.com/maps/place/?q=place_id:ChIJuVLP7QxdHjoRFCbWoiEt6cI,part_345,2026-09-20 20:20:35,13230
NB Sinku product,Telemarketing Firms,Marketing agency,Marketing agency,757047,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Badampahar S.O, Basilapir B.O, Dova B.O",N/A,N/A,,,"AT- DHANGUDIMUTA,PO, PS, Badampahar, Odisha 757047",757047,22.090650099999998,86.0981288,ChIJZ4TmHYpxHjoR8J9uFe2FY9Y,https://www.google.com/maps/place/?q=place_id:ChIJZ4TmHYpxHjoR8J9uFe2FY9Y,part_345,2026-09-20 20:20:35,13231
ଜଗନ୍ନାଥ ପୁରହାଟ,Telemarketing Firms,Market researcher,Market researcher,757048,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bijatala S.O, Ambadiha B.O, Badamtalia B.O",N/A,N/A,5.0,,"2HRH+VG3, Mundhabani, Patharghera, Odisha 757030",757048,22.041495599999998,86.5801274,ChIJN5U7XgDHHToRUKvEWL868Ew,https://www.google.com/maps/place/?q=place_id:ChIJN5U7XgDHHToRUKvEWL868Ew,part_345,2026-09-20 20:21:19,14704
ରବିବାର ହାଟ,Telemarketing Firms,Market researcher,Market researcher,757048,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bijatala S.O, Ambadiha B.O, Badamtalia B.O",N/A,N/A,,,"476R+3P5, Bankidihi, Odisha 757033",757048,22.110148,86.2918657,ChIJoXLJI9LfHToR-uVykp9qGCI,https://www.google.com/maps/place/?q=place_id:ChIJoXLJI9LfHToR-uVykp9qGCI,part_345,2026-09-20 20:21:19,14705
ClickLink Company,Telemarketing Firms,Marketing consultant,Marketing consultant,757049,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Balidiha B.O, Bhaluki B.O, Chandanpur B.O",N/A,N/A,,,"Hospital Rd, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Deulasahi, Bhanjpur",21.9322719,86.72718569999999,ChIJZ_5UiUexHToRD-5-8p3mKp8,https://www.google.com/maps/place/?q=place_id:ChIJZ_5UiUexHToRD-5-8p3mKp8,part_345,2026-09-20 20:22:03,16329
Bhabani Digital Marketing,Telemarketing Firms,Marketing agency,Marketing agency,757049,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Balidiha B.O, Bhaluki B.O, Chandanpur B.O",+91 70083 13113,N/A,5.0,,"Mantri Chaka, near Kalia Bakery, Ward No.3, Sai Niketan, Baripada, Odisha 757001","Ward No.3, Sai Niketan",21.9405799,86.7390271,ChIJnVPPkTqxHToRxzq1AvIUvkw,https://www.google.com/maps/place/?q=place_id:ChIJnVPPkTqxHToRxzq1AvIUvkw,part_345,2026-09-20 20:22:03,16330
onestop shop,Telemarketing Firms,Internet marketing service,Internet marketing service,757049,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Balidiha B.O, Bhaluki B.O, Chandanpur B.O",N/A,N/A,5.0,,"Udala - Baripada Rd, near achray washing point, Baripada, Malhua, Odisha 757049",757049,21.9159598,86.7124101,ChIJnaf5jlezHToRdszf3wZLKmg,https://www.google.com/maps/place/?q=place_id:ChIJnaf5jlezHToRdszf3wZLKmg,part_345,2026-09-20 20:22:03,16331
Findnow24,Telemarketing Firms,Advertising agency,Advertising agency,757049,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Balidiha B.O, Bhaluki B.O, Chandanpur B.O",N/A,N/A,5.0,,"WPQC+4W7, Meher Colony, Baripada, Odisha 757001",Meher Colony,21.9377917,86.72228799999999,ChIJp7ADINexHToRCwQZ8jgXoEg,https://www.google.com/maps/place/?q=place_id:ChIJp7ADINexHToRCwQZ8jgXoEg,part_345,2026-09-20 20:22:03,16332
MS Info Systems | Digital Marketing Training | Web Design & Development,Telemarketing Firms,Marketing agency,"Marketing agency, Software company",757049,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Balidiha B.O, Bhaluki B.O, Chandanpur B.O",+91 97775 62515,N/A,5.0,,"Ward no. 8, Deulasahi 2nd floor, above Federal Bank, Baripada, Odisha 757001","Huduco Colony, Bhanjpur",21.929400599999997,86.72299459999999,ChIJxaJsdLOxHToReZoQbpqRWKA,https://www.google.com/maps/place/?q=place_id:ChIJxaJsdLOxHToReZoQbpqRWKA,part_345,2026-09-20 20:22:03,16333
DIGITOPOLIS,Telemarketing Firms,Marketing agency,Marketing agency,757049,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Balidiha B.O, Bhaluki B.O, Chandanpur B.O",N/A,N/A,,,"Station Bazar, Prafulla Nagar, Baripada, Odisha 757001","Station Bazar, Prafulla Nagar",21.9258755,86.7352433,ChIJhwK3iaaxHToRaVNNRASiwJk,https://www.google.com/maps/place/?q=place_id:ChIJhwK3iaaxHToRaVNNRASiwJk,part_345,2026-09-20 20:22:03,16334
Godeth BETNOTI,Telemarketing Firms,Internet marketing service,Internet marketing service,757052,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jugpura S.O, Aldia Bartana B.O, Anla B.O",N/A,N/A,,,"Unnamed Road, Betnoti, Odisha 757025",757052,21.7344614,86.8424958,ChIJmTpMHKBVHDoRuCHFIf3QEQk,https://www.google.com/maps/place/?q=place_id:ChIJmTpMHKBVHDoRuCHFIf3QEQk,part_345,2026-09-20 20:24:14,21073
The best recharge portal,Telemarketing Firms,Business to business service,Business to business service,757052,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jugpura S.O, Aldia Bartana B.O, Anla B.O",N/A,https://www.facebook.com/narayanmajhi51,5.0,1.0,"Narayan Majhi.C/O Meghray Majhi. Meladangar, Kalama, Odisha 757082",757052,21.609187199999997,86.9281433,ChIJY4Xt1sn3HDoRHuOqP3NsmpE,https://www.google.com/maps/place/?q=place_id:ChIJY4Xt1sn3HDoRHuOqP3NsmpE,part_345,2026-09-20 20:24:15,21074
Ecommerce Store,Telemarketing Firms,Marketing consultant,Marketing consultant,757074,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Basipitha S.O, Badfeni B.O, Badpathara B.O",+91 82494 70720,N/A,,,"PJ7G+6C2, Kanheibandh, Khunta, Baripada, Odisha 757019",Kanheibandh,21.7130144,86.6260224,ChIJYf9c0nBJHDoRAAAA0JFuikE,https://www.google.com/maps/place/?q=place_id:ChIJYf9c0nBJHDoRAAAA0JFuikE,part_345,2026-09-20 20:27:53,27183
Dutta market complex,Telemarketing Firms,Market researcher,Market researcher,757079,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Dewan Bahali B.O, Gour Chandra Pur B.O, Kalamgodia B.O",N/A,N/A,,,"7CRG+VQP, Darara, Odisha 756059",757079,21.292216,86.4269556,ChIJSZC6BQARHDoR_7F0be2hGI8,https://www.google.com/maps/place/?q=place_id:ChIJSZC6BQARHDoR_7F0be2hGI8,part_345,2026-09-20 20:30:02,29499
Selsservice,Telemarketing Firms,Marketing consultant,Marketing consultant,757081,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kumbharmundakata S.O, Budama R.S. B.O, Dhangudisole B.O",+91 70089 06210,N/A,,,"3JCX+FWH, Kuliana, Bangan, Odisha 757030",757081,22.0711776,86.6498496,ChIJp7DsaXC5HToRAAAAMKQd0zg,https://www.google.com/maps/place/?q=place_id:ChIJp7DsaXC5HToRAAAAMKQd0zg,part_345,2026-09-20 20:30:47,30458
Common Service Centre,Telemarketing Firms,E - Commerce Agency,E - Commerce Agency,757082,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Garhdeulia S.O, Alda B.O, Balka B.O",N/A,N/A,5.0,,"JXV3+W57, Khuntapur, Badgopalpur, Odisha 757028",757082,21.6447804,86.9529324,ChIJ60M7Bdr5HDoRHdWkmPAh_EQ,https://www.google.com/maps/place/?q=place_id:ChIJ60M7Bdr5HDoRHdWkmPAh_EQ,part_345,2026-09-20 20:31:28,31078
MY SAFE SHOP STORE,Telemarketing Firms,Marketing agency,"Marketing agency, Business networking company, Business to business service, Internet marketing service, General store, Marketing consultant",757083,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bhimda S.O, Arpata B.O, C.Mangalpur B.O",+91 84560 63311,N/A,4.8,4.0,"Jayapur-Damasahi Rd, Puruna Baripada, Gadadharakumaripur Sasan, Odisha 757102",757083,21.6317269,86.70675399999999,ChIJJ0yPuX1FHDoR9PXOlKQ3FbI,https://www.google.com/maps/place/?q=place_id:ChIJJ0yPuX1FHDoR9PXOlKQ3FbI,part_345,2026-09-20 20:32:13,32725
Online wark Cyber Cafe,Telemarketing Firms,Internet marketing service,Internet marketing service,757083,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bhimda S.O, Arpata B.O, C.Mangalpur B.O",N/A,N/A,5.0,1.0,"Gajadi damdarpur, Badasahi, Bidyadharpur, Odisha 757026",757083,21.7076016,86.72285269999999,ChIJNU6Sn4dPHDoR47WWU1ktjSM,https://www.google.com/maps/place/?q=place_id:ChIJNU6Sn4dPHDoR47WWU1ktjSM,part_345,2026-09-20 20:32:13,32726
DreamWorth Solutions,Telemarketing Firms,Website designer,"Website designer, Advertising agency, Design agency, Internet marketing service, Media Consultant, Media house, Public relations firm",757102,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Puruna Baripada S.O, Chaturi B.O, Pasuda B.O",+91 86573 57244,https://www.dreamworth.in/,4.0,,"Office No. 202, 2nd Floor, V9 Landmark Building Above Sweet Treat & Eat N Recharge Restaurant, opposite to Shopper Orbit, Pune, Maharashtra 411006","Shanti Nagar, Vishrantwadi",18.568226,73.877571,ChIJc0YVwtHAwjsRvZ56PYLmABg,https://www.google.com/maps/place/?q=place_id:ChIJc0YVwtHAwjsRvZ56PYLmABg,part_345,2026-09-20 20:39:31,42874
Local Customer Services Pvt.Ltd,Telemarketing Firms,Finance broker,Finance broker,757106,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Mahulpankha B.O, Majhigadia B.O, Padmapokhari B.O",+91 89083 16412,N/A,,,"GOUDAGAN, Kaptipada, Odisha 757040",757106,21.5167617,86.496428,ChIJq6qqqt0-HDoRRzH9qNvWHHE,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqt0-HDoRRzH9qNvWHHE,part_345,2026-09-20 20:42:21,45781
