business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MULTI CARE HOSPITAL,Multispeciality Hospital,Hospital,Hospital,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 90787 16104,N/A,5.0,,"near Mahua Hotel, Palabani square, Rangamatia, Baripada, Odisha 757001","Palabani square, Rangamatia",21.917795299999998,86.7471621,ChIJ5R9LNditHToR1lOsBhV3PUI,https://www.google.com/maps/place/?q=place_id:ChIJ5R9LNditHToR1lOsBhV3PUI,part_345,2026-09-20 20:18:37
Bangiriposi Community Health Centre,Multispeciality Hospital,Government hospital,Government hospital,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",N/A,N/A,4.3,,"5G3R+9VQ, Bangriposi, Odisha 757032",757045,22.153451,86.5422403,ChIJj8NRm__AHToR6Y1x8KxUwXU,https://www.google.com/maps/place/?q=place_id:ChIJj8NRm__AHToR6Y1x8KxUwXU,part_345,2026-09-20 20:18:37
"Sub-Divisional Hospital, Panchpir, Karanjia",Multispeciality Hospital,Government hospital,Government hospital,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 1234 567 890,http://sdhkaranjia.com/,3.7,,"QX7F+R74, SH 49, Karanjia, Odisha 757037",757045,21.7645217,85.9732104,ChIJh0kR-lSKHjoRwKtqbo1e8gI,https://www.google.com/maps/place/?q=place_id:ChIJh0kR-lSKHjoRwKtqbo1e8gI,part_345,2026-09-20 20:18:37
PRM CMH BARIPADA HOSPITAL,Multispeciality Hospital,Hospital department,Hospital department,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",N/A,N/A,5.0,,"WPJG+CWP, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Deulasahi, Bhanjpur",21.9310968,86.72732099999999,ChIJF9aVpCGxHToRQlVAExhUPa4,https://www.google.com/maps/place/?q=place_id:ChIJF9aVpCGxHToRQlVAExhUPa4,part_345,2026-09-20 20:18:37
Government Hospital,Multispeciality Hospital,Hospital,Hospital,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",N/A,N/A,3.9,,"WPJG+HX5, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Deulasahi, Bhanjpur",21.931383999999998,86.7274915,ChIJVVVV4fGxHToRRd2P9iBOWRk,https://www.google.com/maps/place/?q=place_id:ChIJVVVV4fGxHToRRd2P9iBOWRk,part_345,2026-09-20 20:18:37
PRM Medical College & Hospital,Multispeciality Hospital,General hospital,"General hospital, Government college, Government hospital",757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",N/A,N/A,4.4,,"Sankhabhanga, Baripada, Odisha 757107",757045,21.911741499999998,86.792186,ChIJEULk0fGxHToRvmbLIOot_A8,https://www.google.com/maps/place/?q=place_id:ChIJEULk0fGxHToRvmbLIOot_A8,part_345,2026-09-20 20:18:38
PARUSHI CLINIC,Multispeciality Hospital,Medical clinic,Medical clinic,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 83288 54221,N/A,5.0,,"Golei Mahavir Chowk, Karanjia, Odisha 757037",757045,21.770768999999998,85.984085,ChIJH0sCAwCLHjoRisAjcYhcps0,https://www.google.com/maps/place/?q=place_id:ChIJH0sCAwCLHjoRisAjcYhcps0,part_345,2026-09-20 20:18:38
LIFE CARE HOSPITAL & DIALYSIS CENTER,Multispeciality Hospital,Hospital,Hospital,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",N/A,https://www.instagram.com/piyuxh200x?igsh=MTB2aW9ubmowZXBtMw==,4.6,20.0,"OT Road, Satyanagar St, Balasore, Odisha 756001",Mallikashpur,21.487126,86.9165015,ChIJEa6XDQz1HDoROvLCBuLtSVg,https://www.google.com/maps/place/?q=place_id:ChIJEa6XDQz1HDoROvLCBuLtSVg,part_345,2026-09-20 20:18:38
Jyothi Hospital,Multispeciality Hospital,Hospital,"Hospital, Doctor",757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 6782 256 375,http://www.jyothihospital.org.in/,3.5,234.0,"Kuruda, Balasore, Odisha 756056",757045,21.4716077,86.89087579999999,ChIJo5gewZJfHDoRAhSts3kapGs,https://www.google.com/maps/place/?q=place_id:ChIJo5gewZJfHDoRAhSts3kapGs,part_345,2026-09-20 20:18:38
"Hospital ,betnoti",Multispeciality Hospital,Government hospital,Government hospital,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",N/A,N/A,4.3,7.0,"PRQV+X7F, Betnoti, Odisha 757025",757045,21.739946999999997,86.8431818,ChIJnxbwZiJUHDoRUkOlMjr5OEY,https://www.google.com/maps/place/?q=place_id:ChIJnxbwZiJUHDoRUkOlMjr5OEY,part_345,2026-09-20 20:18:38
