business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shri Balaji Enterprises,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Surgical Products Wholesaler",757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 90359 18975,N/A,4.8,,"UGF 19, Laxmi Complex, Neeligin Rd, Deshpande Nagar, Hubballi, Karnataka 580029",Deshpande Nagar,15.351709,75.13799039999999,ChIJVZCyA8TXuDsR_kpYxmYNL90,https://www.google.com/maps/place/?q=place_id:ChIJVZCyA8TXuDsR_kpYxmYNL90,part_345,2026-09-20 20:18:40
Shree Gopal Surgicals & Medicines,Surgical Equipment Supplier,Surgical supply store,Surgical supply store,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 93380 71720,N/A,5.0,,"FVFP+6H9, SCB Medical Rd, Manglabag, Professors Colony, Kataka, Odisha 753001","Manglabag, Professors Colony",20.4730484,85.88647759999999,ChIJO1ibgoANGToRsNVPwT67vec,https://www.google.com/maps/place/?q=place_id:ChIJO1ibgoANGToRsNVPwT67vec,part_345,2026-09-20 20:18:40
Venus Surgical Co,Surgical Equipment Supplier,Surgical supply store,Surgical supply store,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 671 241 4199,N/A,3.7,,"SCB Medical Rd, near Union Bank of India, Manglabag, Mangalabag, Kataka, Odisha 753001","Manglabag, Mangalabag",20.4729974,85.88646829999999,ChIJqbK6JIUNGToRyMnYtRcDY_U,https://www.google.com/maps/place/?q=place_id:ChIJqbK6JIUNGToRyMnYtRcDY_U,part_345,2026-09-20 20:18:40
Prakriti Enterprisers,Surgical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 671 236 0977,N/A,5.0,,"park view lane.secter6 backside of joy Pradesh narayan park, CDA Sector VI, Kataka, Odisha 753014",CDA Sector VI,20.476784,85.84132,ChIJJbFyEnoRGToR5FMRdhNfNHk,https://www.google.com/maps/place/?q=place_id:ChIJJbFyEnoRGToR5FMRdhNfNHk,part_345,2026-09-20 20:18:40
Cure and care medical system,Surgical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",N/A,N/A,5.0,,"Ground floor, Quality banquet, Hotel chitrarth, near ITI Road, Dahariya, Haldwani, Uttarakhand 263139",Dahariya,29.2062691,79.5150336,ChIJ34YItPKboDkRUUvHzx_XxSc,https://www.google.com/maps/place/?q=place_id:ChIJ34YItPKboDkRUUvHzx_XxSc,part_345,2026-09-20 20:18:40
"Apex Ortho & Surgical Wholesale & Retail suppliers for Wheelchair, Walker, Commode Chair Surgicals And Patient care products)",Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Hospital equipment and supplies, Medical equipment supplier, Orthopedic shoe store, Orthopedic supplies store, Oxygen equipment supplier, Surgical Products Wholesaler, Wheelchair store",757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 81230 00015,http://www.apexhealthcareblr.in/,4.9,,"Reddy buildings, No 192/1, Ground Floor Shop No 2 & 3 Jayaram, next to Meghna Nursing Home, Hoodi, Whitefield, Bengaluru, Karnataka 560048","Hoodi, Whitefield",12.9939175,77.7174263,ChIJCys825URrjsRb6FKCtEdkxE,https://www.google.com/maps/place/?q=place_id:ChIJCys825URrjsRb6FKCtEdkxE,part_345,2026-09-20 20:18:40
CHATTERJEE SURGICAL,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Manufacturer, Medical equipment supplier, Surgical Products Wholesaler, Medical Equipment Manufacturer",757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 98311 09585,http://chatterjeesurgical.com/,4.9,,"Ward No.10, Nabin Chandra Rd, near Primary School, Baishnab Para, Baruipur, West Bengal 700144",Baishnab Para,22.3521106,88.4296768,ChIJ1e5JO8wSAjoR-GGFCxTsQXo,https://www.google.com/maps/place/?q=place_id:ChIJ1e5JO8wSAjoR-GGFCxTsQXo,part_345,2026-09-20 20:18:40
iMediStore Sangli,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Furniture Manufacturer, Hospital equipment and supplies, Machine shop, Medical equipment supplier, Oxygen equipment supplier, Repair service, Surgical Products Wholesaler",757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 97303 70231,N/A,5.0,,"Shop No 3, Sangli, Chandni Chouk, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Chandni Chouk",16.8526043,74.582324,ChIJVdWDkJUZwTsRrBb1ynUIgHg,https://www.google.com/maps/place/?q=place_id:ChIJVdWDkJUZwTsRrBb1ynUIgHg,part_345,2026-09-20 20:18:40
Hubli Surgicals,Surgical Equipment Supplier,Surgical supply store,Surgical supply store,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 73495 08975,N/A,5.0,,"Laxmi Complex, Trupti international hotel, old, court circle, Deshpande Nagar, Hubballi, Karnataka 580029",Deshpande Nagar,15.351767899999999,75.1385624,ChIJsdMRuezXuDsRwHqrULIznE8,https://www.google.com/maps/place/?q=place_id:ChIJsdMRuezXuDsRwHqrULIznE8,part_345,2026-09-20 20:18:40
Surgicals MEDSURE HEALTH STORE KANNUR,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Home health care service, Hospital equipment and supplies, Laboratory equipment supplier, Medical Equipment Manufacturer, Medical equipment supplier, Oxygen equipment supplier, Surgical Products Wholesaler, Wheelchair store",757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",+91 88484 92871,http://medsurehealthstore.com/,4.9,,"NEW BUS STAND, THAVAKKARA Kannur-1, opp. Emmanuval Silks, Kannur, Keralam 670002",Thavakkara,11.8667974,75.37185939999999,ChIJITC0wjM9pDsRuXaVkAqKQXo,https://www.google.com/maps/place/?q=place_id:ChIJITC0wjM9pDsRuXaVkAqKQXo,part_345,2026-09-20 20:18:40
