business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RAZA ELECTRICALS,Electrical Goods and Lighting Store,Electrical products wholesaler,Electrical products wholesaler,757055,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Brahmapura B.O, Haripur B.O, Mangalpur B.O",+91 70084 16819,N/A,4.4,,"Jaleswar, Odisha 756032",757055,21.7966575,87.21706089999999,ChIJT1bUqPDhHDoRFrBHOPUQxsI,https://www.google.com/maps/place/?q=place_id:ChIJT1bUqPDhHDoRFrBHOPUQxsI,part_345,2026-09-20 20:26:00
SAI SANKAR REFRIGERATION AND ELECTRICALS,Electrical Goods and Lighting Store,Electrical repair shop,Electrical repair shop,757055,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Brahmapura B.O, Haripur B.O, Mangalpur B.O",+91 78739 56413,N/A,5.0,,"Sai Sankar Refrigeration And Electricals, Shibasankar Shur, Shur Market Complex, Ponchyat Road, Amarda Road, Odisha 756030",757055,21.732568699999998,87.10252899999999,ChIJHRGG3EHlHDoR4UVV3FgMXzU,https://www.google.com/maps/place/?q=place_id:ChIJHRGG3EHlHDoR4UVV3FgMXzU,part_345,2026-09-20 20:26:01
Glow Light,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Electrical installation service, Electrical repair shop, Electrician, Electronics repair shop, Electronics store, Light bulb supplier, Electrical supply store, Repair service",757055,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Brahmapura B.O, Haripur B.O, Mangalpur B.O",+91 89285 65452,N/A,5.0,,"Shop no. 6, Mahila bachatgat bhavan, Mhasala - Tala Road, Roha Nagar, Wali, Roha, Maharashtra 402109","Roha Nagar, Wali",18.439616,73.1189134,ChIJyy4fwGwV6DsRgWIaZjnMfaE,https://www.google.com/maps/place/?q=place_id:ChIJyy4fwGwV6DsRgWIaZjnMfaE,part_345,2026-09-20 20:26:02
Ashoka Electric and Lites,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Electrical products wholesaler, Light bulb supplier, Home goods store, Lighting products wholesaler",757055,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Brahmapura B.O, Haripur B.O, Mangalpur B.O",+91 97729 99904,https://www.ashokalites.com/,4.3,,"129, Gopalpura Bypass Rd, near Gurjar Ki Thadi, Sultan Nagar, Santi Nagar, Narendra Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302018","Sultan Nagar, Santi Nagar, Narendra Nagar",26.8791458,75.7697918,ChIJDVqBWlC0bTkR-UUK8wCV75I,https://www.google.com/maps/place/?q=place_id:ChIJDVqBWlC0bTkR-UUK8wCV75I,part_345,2026-09-20 20:26:02
Venkatesh Electrical and Electronics,Electrical Goods and Lighting Store,Lighting products wholesaler,Lighting products wholesaler,757055,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Brahmapura B.O, Haripur B.O, Mangalpur B.O",+91 82377 77897,https://venkateshgroup.com/,4.7,,"Sindhi Colony, Chabda mension (complex, opposite to gurudwara, near Mondha Naka Flyover, Chhatrapati Sambhajinagar, Maharashtra 431001","Uttam Nagar, Sindhi Colony",19.8716883,75.34524329999999,ChIJSRp8PXui2zsRf1OI_Vnrmkk,https://www.google.com/maps/place/?q=place_id:ChIJSRp8PXui2zsRf1OI_Vnrmkk,part_345,2026-09-20 20:26:02
LIGHTS ON ELECTRICALS ( E mart),Electrical Goods and Lighting Store,Electrical supply store,"Electrical supply store, DJ supply store, Electronics store, Home automation company, Lighting consultant, Movie studio, Security system supplier, Tool store, Water Pump Supplier",757055,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Brahmapura B.O, Haripur B.O, Mangalpur B.O",+91 75889 00090,https://lights-on-electricals.grexa.site/,5.0,,"besides Bharat Swamill, JB hights, Bajarpeth, Chiplun, Maharashtra 415605",Bajarpeth,17.5330454,73.5109027,ChIJ29VhwTIHwjsRNI28I-gGq4w,https://www.google.com/maps/place/?q=place_id:ChIJ29VhwTIHwjsRNI28I-gGq4w,part_345,2026-09-20 20:26:02
PRAYAG ELECTRICALS,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Appliance store, Light bulb supplier, Electrical supply store",757055,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Brahmapura B.O, Haripur B.O, Mangalpur B.O",+91 91405 12728,N/A,5.0,,"Suhwal shiwala, Uttar Pradesh 232332",757055,25.5638689,83.64029579999999,ChIJxWT8bd8BkjkR3mU7Vg_7ARM,https://www.google.com/maps/place/?q=place_id:ChIJxWT8bd8BkjkR3mU7Vg_7ARM,part_345,2026-09-20 20:26:02
Vinayaka Lighting House,Electrical Goods and Lighting Store,Lighting store,Lighting store,757055,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Brahmapura B.O, Haripur B.O, Mangalpur B.O",+91 94496 46600,N/A,4.2,,"934,5bc Hrbr Layout Kalyan Nagar Post, 5th Cross Rd, Babusapalya, Bengaluru, Karnataka 560043","Babusapalya, Chelekare, Hennur Gardens",13.022651399999999,77.6485308,ChIJOXvOLywXrjsRnr1kWzCT3-s,https://www.google.com/maps/place/?q=place_id:ChIJOXvOLywXrjsRnr1kWzCT3-s,part_345,2026-09-20 20:26:02
ASHIRWAD ELECTRICALS - BEST ELECTRICAL SHOP IN SATNA Industrial Supply TOP ELECTRICAL SHOP,Electrical Goods and Lighting Store,Electrical supply store,"Electrical supply store, Supplier, Electrical products wholesaler, Wholesaler",757055,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Brahmapura B.O, Haripur B.O, Mangalpur B.O",+91 94258 42187,https://g.page/ashirwad-electricals-satna?share,5.0,,"lalta chowk, Company Bagh Rd, Kaharan Mohalla, Ganpat Marg, Nazirabad, Satna, Madhya Pradesh 485001","Kaharan Mohalla, Ganpat Marg, Nazirabad",24.5625778,80.8333877,ChIJjwb23BJ_hDkRGM9hUcfnWB0,https://www.google.com/maps/place/?q=place_id:ChIJjwb23BJ_hDkRGM9hUcfnWB0,part_345,2026-09-20 20:26:03
"SHREE BALAJI ELECTROMATIX (Norisys Switches, Goldmedal, Schneider, Havells, Legrand, AV Modular, Wholesaler, Dealer)",Electrical Goods and Lighting Store,Electrical supply store,"Electrical supply store, Electrical equipment supplier, Electrical products wholesaler",757055,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Brahmapura B.O, Haripur B.O, Mangalpur B.O",+91 98301 57340,https://shreebalajielectromatix.com/,3.0,,"36, Ezra St, Chitpur, B.B.D. Bagh, Kolkata, West Bengal 700001","Chitpur, B.B.D. Bagh",22.574872799999998,88.35308619999999,ChIJAxJuWKV3AjoRyqW1IIXui5g,https://www.google.com/maps/place/?q=place_id:ChIJAxJuWKV3AjoRyqW1IIXui5g,part_345,2026-09-20 20:26:03
