business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Puty Home 🏠, Budamara, Mayurbhanj",Businesses,Housing complex,Housing complex,757081,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kumbharmundakata S.O, Budama R.S. B.O, Dhangudisole B.O",N/A,N/A,5.0,1.0,"4J9X+75P, Budamara, Mundhabani, Odisha 757081",757081,22.1179141,86.6479408,ChIJLztoNAC_HToROTmx1FbHGHY,https://www.google.com/maps/place/?q=place_id:ChIJLztoNAC_HToROTmx1FbHGHY,part_345,2026-09-20 20:30:49
N D TRADER'S,Businesses,Manufacturer,Manufacturer,757081,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kumbharmundakata S.O, Budama R.S. B.O, Dhangudisole B.O",N/A,N/A,4.5,10.0,"Badsol, Kasiabeda, Khadiasol, Odisha 757081",Badsol,22.1509774,86.6791944,ChIJMfrjKOi9HToRDVV5JUs5XV4,https://www.google.com/maps/place/?q=place_id:ChIJMfrjKOi9HToRDVV5JUs5XV4,part_345,2026-09-20 20:30:49
The Aggregate Odisha,Businesses,Manufacturer,Manufacturer,757081,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kumbharmundakata S.O, Budama R.S. B.O, Dhangudisole B.O",N/A,N/A,5.0,2.0,"4M49+QQF, Kesharpur, Odisha 757081",757081,22.106949099999998,86.66940819999999,ChIJ4zqHV6e7HToRSNxaUKzTQRs,https://www.google.com/maps/place/?q=place_id:ChIJ4zqHV6e7HToRSNxaUKzTQRs,part_345,2026-09-20 20:30:49
Dwari nivas,Businesses,Apartment building,Apartment building,757081,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kumbharmundakata S.O, Budama R.S. B.O, Dhangudisole B.O",N/A,N/A,5.0,3.0,"4MQ2+W7Q, Unnamed Road, Nodhana, Kumbharmundha, Odisha 757081",757081,22.139825599999998,86.6507402,ChIJiR7bd92_HToReZkoNNDXg9Y,https://www.google.com/maps/place/?q=place_id:ChIJiR7bd92_HToReZkoNNDXg9Y,part_345,2026-09-20 20:30:49
Farm,Businesses,Farm,Farm,757081,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kumbharmundakata S.O, Budama R.S. B.O, Dhangudisole B.O",N/A,N/A,1.0,1.0,"4P2G+PMM, Chandua, Odisha 757081",757081,22.1018251,86.726674,ChIJF4MpMAC7HToRLrHkUkeqFgw,https://www.google.com/maps/place/?q=place_id:ChIJF4MpMAC7HToRLrHkUkeqFgw,part_345,2026-09-20 20:30:49
Mohanta Sahi,Businesses,Apartment building,Apartment building,757081,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kumbharmundakata S.O, Budama R.S. B.O, Dhangudisole B.O",N/A,N/A,5.0,1.0,"4MHH+F6G, Nadhna, Odisha 757081",757081,22.1286767,86.6780758,ChIJrVKKNQC9HToRgqeMXvRDt3g,https://www.google.com/maps/place/?q=place_id:ChIJrVKKNQC9HToRgqeMXvRDt3g,part_345,2026-09-20 20:30:49
Satyaranjan's Home🏡,Businesses,Apartment building,Apartment building,757081,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kumbharmundakata S.O, Budama R.S. B.O, Dhangudisole B.O",N/A,N/A,5.0,5.0,"4JCQ+QMM, Gauddiha, Budamara, Odisha 757081",757081,22.1219577,86.63917169999999,ChIJZ98yTAC_HToRKYYQ_eGgl8I,https://www.google.com/maps/place/?q=place_id:ChIJZ98yTAC_HToRKYYQ_eGgl8I,part_345,2026-09-20 20:30:49
Kunu Home,Businesses,Warehouse,Warehouse,757081,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kumbharmundakata S.O, Budama R.S. B.O, Dhangudisole B.O",N/A,N/A,5.0,1.0,"4JCQ+3G5, Budamara, Odisha 757081",757081,22.120075999999997,86.63881579999999,ChIJ9Ro3ira_HToRULDOC07uAAI,https://www.google.com/maps/place/?q=place_id:ChIJ9Ro3ira_HToRULDOC07uAAI,part_345,2026-09-20 20:30:49
RUDRA BHAVAN,Businesses,Housing complex,Housing complex,757081,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kumbharmundakata S.O, Budama R.S. B.O, Dhangudisole B.O",N/A,N/A,5.0,1.0,"3MW3+4RX, Kendudiha, Sansarasposi, Odisha 757030",757081,22.0953736,86.6546128,ChIJRV5YQAC5HToR7piL2L1eOKo,https://www.google.com/maps/place/?q=place_id:ChIJRV5YQAC5HToR7piL2L1eOKo,part_345,2026-09-20 20:30:49
Basanti Bhaban,Businesses,Apartment building,Apartment building,757081,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kumbharmundakata S.O, Budama R.S. B.O, Dhangudisole B.O",N/A,N/A,,,"3MGQ+PGV, Ambapunja, Odisha 757030",757081,22.0768706,86.6888051,ChIJPb2fPwC7HToRy69jek_NGvc,https://www.google.com/maps/place/?q=place_id:ChIJPb2fPwC7HToRy69jek_NGvc,part_345,2026-09-20 20:30:49
