business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Soni Packers and Movers Kalyan,Packers and Movers,Packaging company,"Packaging company, Transportation service",757101,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bairatpur B.O, Dihirakul B.O, Dimagadia B.O",+91 86079 55407,https://www.sonipackers.in/,4.8,428.0,"Office No.06, Sadguru Apartment, Chinchpada Rd, Rajaram Nagar, Neelkanthnagar, Kalyan East, Kalyan, Maharashtra 421306","Rajaram Nagar, Neelkanthnagar, Kalyan East",19.220482099999998,73.1426759,ChIJs_vEluWV5zsRarwk0NeOuC8,https://www.google.com/maps/place/?q=place_id:ChIJs_vEluWV5zsRarwk0NeOuC8,part_345,2026-09-20 20:38:22
Express Packers and Movers,Packers and Movers,Transportation service,Transportation service,757101,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bairatpur B.O, Dihirakul B.O, Dimagadia B.O",+91 98117 50072,N/A,4.5,59.0,"H348+QX2, Street No. 2, Sector 21, Dwarka, New Delhi, Delhi, 110077","Sector 21, Dwarka",28.5568778,77.0674027,ChIJx4CNgasbDTkRtCje1eJebTI,https://www.google.com/maps/place/?q=place_id:ChIJx4CNgasbDTkRtCje1eJebTI,part_345,2026-09-20 20:38:22
Soni Packers and Movers Dombivli,Packers and Movers,Packaging company,Packaging company,757101,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bairatpur B.O, Dihirakul B.O, Dimagadia B.O",+91 93766 92766,https://www.sonipackers.in/,4.9,119.0,"1st Floor, P P Chamber, Shahid Bhagat Singh Rd, near Railway Station, next to KDMC Office, Dombivli, Krishna Radha Society, Dombivli East, Kalyan, Maharashtra 421201","Dombivli, Krishna Radha Society, Dombivli East",19.21705,73.09030299999999,ChIJJfP5iOGV5zsRddbpsnz04kg,https://www.google.com/maps/place/?q=place_id:ChIJJfP5iOGV5zsRddbpsnz04kg,part_345,2026-09-20 20:38:22
Taraknath Packers and Movers,Packers and Movers,Moving and storage service,"Moving and storage service, Packaging company, Transportation service",757101,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bairatpur B.O, Dihirakul B.O, Dimagadia B.O",+91 80138 45575,https://www.taraknathpackers.in/,4.9,490.0,"251A, 21, Netaji Subhas Chandra Bose Rd, Naktala, Garia, Kolkata, West Bengal 700047","Naktala, Garia",22.4716582,88.36531939999999,ChIJSwAO4rtxAjoR04pMuRnT4Zk,https://www.google.com/maps/place/?q=place_id:ChIJSwAO4rtxAjoR04pMuRnT4Zk,part_345,2026-09-20 20:38:22
DASHMESH PACKERS & MOVERS,Packers and Movers,Transportation service,Transportation service,757101,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bairatpur B.O, Dihirakul B.O, Dimagadia B.O",+91 75057 66015,https://www.dashmeshmoversandpackers.com/,5.0,65.0,"Mayur Tyre Service, 165, Unnamed Road, Transport Nagar, Subhash Nagar, Dehradun, Sewla Khurd, Uttarakhand 248002","Transport Nagar, Subhash Nagar",30.2811323,77.9902812,ChIJUcmIypQrCTkR-9H_De6CofI,https://www.google.com/maps/place/?q=place_id:ChIJUcmIypQrCTkR-9H_De6CofI,part_345,2026-09-20 20:38:22
Shiftkart Packers and Movers,Packers and Movers,Packaging company,"Packaging company, Moving supply store, Storage facility, Transportation service",757101,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bairatpur B.O, Dihirakul B.O, Dimagadia B.O",+91 88847 84888,https://www.shiftkart.com/,4.6,1966.0,"5th building Ezy, Shiftkart Technology Solutions Pvt Ltd, 48/2 sks masjid compound, Hosur Rd, Kudlu Gate, Bengaluru, Karnataka 560068","Kudlu Gate, Srinivasa Nagar, Hal Layout, Singasandra",12.8879,77.6417365,ChIJC2St8NcVrjsRXFoK6ihSizg,https://www.google.com/maps/place/?q=place_id:ChIJC2St8NcVrjsRXFoK6ihSizg,part_345,2026-09-20 20:38:22
Urban India Packers And Movers Company,Packers and Movers,Packaging company,"Packaging company, Transportation service",757101,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bairatpur B.O, Dihirakul B.O, Dimagadia B.O",+91 97280 58779,https://www.urbanrelocationcompany.com/pune/kothrud,,,"Shop Number 38, Anant Kurpa Society, Lokmanya Colony, Kothrud, Pune, Maharashtra 411038","Anant Kurpa Society, Lokmanya Colony, Kothrud",18.5084438,73.8065463,ChIJseyfqOS_wjsR2Zm3Y4QwQi0,https://www.google.com/maps/place/?q=place_id:ChIJseyfqOS_wjsR2Zm3Y4QwQi0,part_345,2026-09-20 20:38:22
BEST PACKERS & MOVERS,Packers and Movers,Transportation service,Transportation service,757101,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bairatpur B.O, Dihirakul B.O, Dimagadia B.O",N/A,http://bestpackers.in/,5.0,16.0,"Office No.220,3rd Floor, Kohinoor Arcade, Sector No. 24, Pradhikaran, Nigdi, Pimpri-Chinchwad, Pune, Maharashtra 411044","Sector No. 24, Pradhikaran, Nigdi",18.6590188,73.7767436,ChIJF6svpSG5wjsRFxZhsyx0CQM,https://www.google.com/maps/place/?q=place_id:ChIJF6svpSG5wjsRFxZhsyx0CQM,part_345,2026-09-20 20:38:22
Pune Packers & Movers,Packers and Movers,Moving service,"Moving service, Courier service, Logistics service, Moving supply store, Packaging company, Transportation service",757101,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bairatpur B.O, Dihirakul B.O, Dimagadia B.O",+91 93725 37388,https://www.punepackermover.in/,4.7,53.0,"Shirke Building, 30/4, opp. Tata Indica Gate, Purnanagar, Chinchwad, Pune, Pimpri-Chinchwad, Maharashtra 411019","Purnanagar, Chinchwad",18.65882,73.8109728,ChIJB4stt4e5wjsR2Z4e0234qWc,https://www.google.com/maps/place/?q=place_id:ChIJB4stt4e5wjsR2Z4e0234qWc,part_345,2026-09-20 20:38:22
Jyoti Best Movers & Packers,Packers and Movers,Moving supply store,Moving supply store,757101,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bairatpur B.O, Dihirakul B.O, Dimagadia B.O",+91 97289 92900,https://www.jyotibestpackers.in/,4.8,31.0,"Shop No 86, Indira Gandhi Marg, Niranjanpur, Dehradun, Uttarakhand 248171",Niranjanpur,30.2972431,78.01339469999999,ChIJ2yYoYiUrCTkRVYY9LQTVq1U,https://www.google.com/maps/place/?q=place_id:ChIJ2yYoYiUrCTkRVYY9LQTVq1U,part_345,2026-09-20 20:38:22
