business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Punarjyoti Eye And Mother Care Centre, Best Eye Specialist in Vasundhara, Eye Clinic in Vasundhara, Best Eye Surgeon",Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Ophthalmologist",757104,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bholagadia B.O, Dengam B.O, Gayalmara B.O",+91 88269 74075,http://punarjyoti.com/,4.2,,"Duplex-1, Sector 15, Vasundhara, Ghaziabad, Uttar Pradesh 201012","Sector 15, Vasundhara",28.6540842,77.3579566,ChIJi-wJLL_6DDkRt2KGy5rF3Fs,https://www.google.com/maps/place/?q=place_id:ChIJi-wJLL_6DDkRt2KGy5rF3Fs,part_345,2026-09-20 20:40:29
Shreya Eye Centre,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Children's hospital, Doctor, Hospital, Hospital equipment and supplies, Lasik surgeon, Ophthalmologist, Private hospital, Specialized clinic, Specialized hospital",757104,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bholagadia B.O, Dengam B.O, Gayalmara B.O",+91 96507 72233,https://www.shreyaeyecentre.com/,4.9,,"D-163, Master Somnath Marg, Block D, Surajmal Vihar, Delhi, 110092","Block D, Surajmal Vihar",28.660285,77.3075566,ChIJidQWZGv7DDkRWyJnRnO61ms,https://www.google.com/maps/place/?q=place_id:ChIJidQWZGv7DDkRWyJnRnO61ms,part_345,2026-09-20 20:40:29
Om Eye & Gynae Centre,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Doctor, Lasik surgeon, Ophthalmologist, Optometrist, Private hospital",757104,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bholagadia B.O, Dengam B.O, Gayalmara B.O",+91 85273 66111,http://www.omeyeandgynaecentre.com/,4.8,,"5/622, Harshvardhan Marg, opp. Ramprastha Green Road, near Mohan Dhaba, Sector 5, Vaishali, Ghaziabad, Uttar Pradesh 201019","Sector 5, Vaishali",28.646501899999997,77.3481317,ChIJuaMQoM_6DDkReIOErcf4bec,https://www.google.com/maps/place/?q=place_id:ChIJuaMQoM_6DDkReIOErcf4bec,part_345,2026-09-20 20:40:29
Eye Sure Super Specialty Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital, Lasik surgeon, Ophthalmologist",757104,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bholagadia B.O, Dengam B.O, Gayalmara B.O",+91 89686 06133,http://eyesurehospitals.com/,5.0,,"Bhatti Rd, opposite Petrol Pump, Sarabha Nagar, Chandsar Basti, Bathinda, Punjab 151001","Sarabha Nagar, Chandsar Basti",30.223421199999997,74.9455502,ChIJxzGqQaozFzkRB32ZuBBGm5o,https://www.google.com/maps/place/?q=place_id:ChIJxzGqQaozFzkRB32ZuBBGm5o,part_345,2026-09-20 20:40:30
"Maruti Eye Care & Optometry Clinic, Opticals, Eyewear & Eye Hospital - Dr. Yash Mandwariya",Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Contact lenses supplier, Optician, Optometrist",757104,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bholagadia B.O, Dengam B.O, Gayalmara B.O",+91 79700 60465,N/A,5.0,,"01, Suwasra, Madhya Pradesh 458888",757104,24.069927099999997,75.6511752,ChIJ-9zRESxXZDkRe71iHSEx8fI,https://www.google.com/maps/place/?q=place_id:ChIJ-9zRESxXZDkRe71iHSEx8fI,part_345,2026-09-20 20:40:31
"Jayapriya Eye Vision Center, Nargund",Eye Clinic and Eye Hospital,Eye care center,Eye care center,757104,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bholagadia B.O, Dengam B.O, Gayalmara B.O",N/A,N/A,4.9,,"P99M+PX4, Nargund, Karnataka 582207",757104,15.719263999999999,75.38495879999999,ChIJm6VBrkOVuDsROUVNXrKbEX4,https://www.google.com/maps/place/?q=place_id:ChIJm6VBrkOVuDsROUVNXrKbEX4,part_345,2026-09-20 20:40:31
Riddhi Siddhi Eye & Multispeciality Hospital Sikar,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Obstetrician-gynecologist, Orthopedic surgeon, Surgeon",757104,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bholagadia B.O, Dengam B.O, Gayalmara B.O",+91 1572 270 261,https://riddhisiddhihospitals.com/,4.1,,"ward no. 30, Radha Kishan Pura Rd, opp. S K Hospital, Sakpura Mohlla, Sikar, Rajasthan 332001",Sakpura Mohlla,27.6131057,75.15248079999999,ChIJ57K6vcukbDkR2LPtus7HvyE,https://www.google.com/maps/place/?q=place_id:ChIJ57K6vcukbDkR2LPtus7HvyE,part_345,2026-09-20 20:40:31
The Eye Foundation Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Doctor, Hospital",757104,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bholagadia B.O, Dengam B.O, Gayalmara B.O",+91 421 223 2333,http://www.theeyefoundation.com/,4.9,,"14, 22, Harvey Rd, Bridge Colony, Tiruppur, Tamil Nadu 641602",Bridge Colony,11.110101499999999,77.3411291,ChIJq9uHAK8HqTsRsnue_RSyOFs,https://www.google.com/maps/place/?q=place_id:ChIJq9uHAK8HqTsRsnue_RSyOFs,part_345,2026-09-20 20:40:31
Pranab Jyoti Eye Clinic,Eye Clinic and Eye Hospital,Eye care center,Eye care center,757104,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bholagadia B.O, Dengam B.O, Gayalmara B.O",+91 33 2564 0990,N/A,3.9,,"2, SH 1, Dunlop, Narendra Nagar, Beehive Garden, Belghoria, Kolkata, West Bengal 700056","Dunlop, Narendra Nagar, Beehive Garden, Belghoria",22.655750299999998,88.3774971,ChIJ960rdyad-DkRfzW0C26yANI,https://www.google.com/maps/place/?q=place_id:ChIJ960rdyad-DkRfzW0C26yANI,part_345,2026-09-20 20:40:32
DIVGIRI EYE CARE & OPTICAL,Eye Clinic and Eye Hospital,Optician,Optician,757104,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bholagadia B.O, Dengam B.O, Gayalmara B.O",+91 82737 60406,N/A,5.0,,"Gov. School, Main Market, near Tempo stand, Mohammed Pur, Mohammadpur, Sector 36, Gurugram, Mohammadpur Jharsa, Haryana 122004","Mohammed Pur, Mohammadpur, Sector 36",28.4160705,76.9916313,ChIJAVIwZ9s9DTkRkvsrXluQYf0,https://www.google.com/maps/place/?q=place_id:ChIJAVIwZ9s9DTkRkvsrXluQYf0,part_345,2026-09-20 20:40:32
Vision Care Opticals,Eye Clinic and Eye Hospital,Optician,Optician,757104,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bholagadia B.O, Dengam B.O, Gayalmara B.O",+91 93477 44351,N/A,4.8,,"CFP2+535, Dharam Karan Rd, opposite Athithi inn, Swathi Avenue, Ameerpet, Hyderabad, Telangana 500016","Swathi Avenue, Ameerpet",17.43537,78.4502098,ChIJTcQW2MiRyzsRBE92NAv6CUQ,https://www.google.com/maps/place/?q=place_id:ChIJTcQW2MiRyzsRBE92NAv6CUQ,part_345,2026-09-20 20:40:32
