business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Electrician ( Srikanta),Electrician,Electronics store,Electronics store,757107,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Laxmiposi S.O, Bankisole B.O, Bhudrubani B.O",+91 70647 06473,N/A,5.0,26.0,"SH 61, Gobinda, Baripada, Odisha 757003",Gobinda,21.918647999999997,86.7584086,ChIJxzp6wnCtHToRXQogvsC4IbU,https://www.google.com/maps/place/?q=place_id:ChIJxzp6wnCtHToRXQogvsC4IbU,part_345,2026-09-20 20:42:42
Electrician,Electrician,Electrical engineer,Electrical engineer,757107,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Laxmiposi S.O, Bankisole B.O, Bhudrubani B.O",+91 89175 24477,N/A,,,"Takatpur, Baripada, Odisha 757001",Takatpur,21.9337967,86.755465,ChIJ4bXbnYWvHToRsIpVuv6pT8c,https://www.google.com/maps/place/?q=place_id:ChIJ4bXbnYWvHToRsIpVuv6pT8c,part_345,2026-09-20 20:42:42
Binapani electricals,Electrician,Electrical repair shop,Electrical repair shop,757107,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Laxmiposi S.O, Bankisole B.O, Bhudrubani B.O",N/A,N/A,4.0,1.0,"Kusthasrama Rd, Noble Colony, Raghunathpur, Baripada, Odisha 757107","Noble Colony, Raghunathpur",21.948688,86.7494996,ChIJvQBI0ZSvHToRuNeTKT1Ln3o,https://www.google.com/maps/place/?q=place_id:ChIJvQBI0ZSvHToRuNeTKT1Ln3o,part_345,2026-09-20 20:42:42
Subhakanta Inductors (Transformer Manufacturer and Transmission Line Consultant ),Electrician,Electrical equipment supplier,"Electrical equipment supplier, Electrical installation service",757107,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Laxmiposi S.O, Bankisole B.O, Bhudrubani B.O",+91 94373 94672,N/A,3.7,7.0,"Tulasi Chaura Rd, Teachers Colony, Baripada, Odisha 757001",Teachers Colony,21.9298784,86.7374565,ChIJq3WlkvyxHToRtsxsyWp1CMU,https://www.google.com/maps/place/?q=place_id:ChIJq3WlkvyxHToRtsxsyWp1CMU,part_345,2026-09-20 20:42:42
S.S.Dev Electrical,Electrician,Electrician,Electrician,757107,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Laxmiposi S.O, Bankisole B.O, Bhudrubani B.O",N/A,N/A,5.0,1.0,"Teachers Colony, Baripada, Odisha 757001",Teachers Colony,21.9322978,86.74630119999999,ChIJ4xuJrByuHToRkqdWvBo5Zv8,https://www.google.com/maps/place/?q=place_id:ChIJ4xuJrByuHToRkqdWvBo5Zv8,part_345,2026-09-20 20:42:42
Shriram Electrical,Electrician,Electrical equipment supplier,Electrical equipment supplier,757107,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Laxmiposi S.O, Bankisole B.O, Bhudrubani B.O",N/A,N/A,,,"Ward no.-12, Station Bazar, Labuor Colony, Baripada, Odisha 757001",Labuor Colony,21.925124999999998,86.73624149999999,ChIJM_5Ug7-xHToRAaQn3ihtxE4,https://www.google.com/maps/place/?q=place_id:ChIJM_5Ug7-xHToRAaQn3ihtxE4,part_345,2026-09-20 20:42:42
Naaz auto electrical,Electrician,Mechanic,Mechanic,757107,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Laxmiposi S.O, Bankisole B.O, Bhudrubani B.O",+91 82490 02131,N/A,,,"Palbani, Prafulla Nagar, Baripada, Odisha 757001","Palbani, Prafulla Nagar",21.918470199999998,86.7459847,ChIJDfzeZ-OvHToRlB-i6FEbDaQ,https://www.google.com/maps/place/?q=place_id:ChIJDfzeZ-OvHToRlB-i6FEbDaQ,part_345,2026-09-20 20:42:42
"Raghunathpur Electrical Section Office, TPNODL",Electrician,Government office,Government office,757107,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Laxmiposi S.O, Bankisole B.O, Bhudrubani B.O",N/A,N/A,2.0,4.0,"WQQ2+MR3, Raghunathpur, Baripada, Odisha 757107",Raghunathpur,21.9390939,86.7520383,ChIJK0cNCzCvHToRdE-_ekLvJF8,https://www.google.com/maps/place/?q=place_id:ChIJK0cNCzCvHToRdE-_ekLvJF8,part_345,2026-09-20 20:42:42
B.SOREN Electrical & Electronic Repairing Shop,Electrician,Electronics repair shop,Electronics repair shop,757107,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Laxmiposi S.O, Bankisole B.O, Bhudrubani B.O",N/A,N/A,5.0,1.0,"XPPR+5XX, Raikadjharan, Damdarpur, Odisha 757003",Raikadjharan,21.985495,86.742475,ChIJobEsMwCvHToRlPMjS2oWGQg,https://www.google.com/maps/place/?q=place_id:ChIJobEsMwCvHToRlPMjS2oWGQg,part_345,2026-09-20 20:42:42
Anvil Cables P. Ltd.,Electrician,Manufacturer,Manufacturer,757107,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Laxmiposi S.O, Bankisole B.O, Bhudrubani B.O",N/A,N/A,4.9,14.0,"Rangamatia, Baripada, Odisha 757001",Rangamatia,21.9184728,86.7478022,ChIJrWywlaytHToR6dEBnyz24ZE,https://www.google.com/maps/place/?q=place_id:ChIJrWywlaytHToR6dEBnyz24ZE,part_345,2026-09-20 20:42:43
