business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
S&S Family Restaurant,Family Restaurant,Family restaurant,Family restaurant,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 79786 10345,N/A,4.7,46.0,"W6R3+R39, Handidhua, Odisha 759102",759029,20.9420272,85.20273979999999,ChIJ7TysH561GDoRwoDgu-CuyII,https://www.google.com/maps/place/?q=place_id:ChIJ7TysH561GDoRwoDgu-CuyII,part_347,2026-09-20 20:17:50,1653
Nayan AC Family Restaurant,Family Restaurant,Restaurant,Restaurant,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 79787 15167,N/A,4.3,46.0,"bye Pass, near NH, Parjang, Garhaparajang, Odisha 759120",759029,20.9285928,85.31239049999999,ChIJrTwMq9nJGDoRx0Al3fa5-Ak,https://www.google.com/maps/place/?q=place_id:ChIJrTwMq9nJGDoRx0Al3fa5-Ak,part_347,2026-09-20 20:17:50,1654
Jagannath Family Restaurant,Family Restaurant,Family restaurant,Family restaurant,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,,,"757W+HPJ, Khamar, Odisha 759118",759029,21.2639614,85.1967556,ChIJQyR3egBHHzoRkq_q2Z-uUk4,https://www.google.com/maps/place/?q=place_id:ChIJQyR3egBHHzoRkq_q2Z-uUk4,part_347,2026-09-20 20:17:50,1655
Maa mangala family restaurant,Family Restaurant,Family restaurant,Family restaurant,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,3.5,21.0,"W9RV+VMV, Badajhara, Parjang, Odisha 759120",759029,20.9422413,85.3941804,ChIJF9PPS17NGDoRQVNDN-SyzmU,https://www.google.com/maps/place/?q=place_id:ChIJF9PPS17NGDoRQVNDN-SyzmU,part_347,2026-09-20 20:17:50,1656
ହୋଟେଲ ରାଜଲକ୍ଷ୍ମୀ,Family Restaurant,Family restaurant,Family restaurant,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,3.8,24.0,"49FX+FJW, Gadapalasuni, Odisha 759029",759029,21.1237382,85.3990876,ChIJAVLO6iYzHzoReSGyyGbzoxw,https://www.google.com/maps/place/?q=place_id:ChIJAVLO6iYzHzoReSGyyGbzoxw,part_347,2026-09-20 20:17:50,1657
Maria Restaurant,Family Restaurant,Family restaurant,Family restaurant,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,4.2,6.0,"W6W9+R9C, Hatatota Main Rd, Talcher, Odisha 759107",759029,20.9471091,85.218372,ChIJt_9mAL61GDoR6iWjInuua9E,https://www.google.com/maps/place/?q=place_id:ChIJt_9mAL61GDoR6iWjInuua9E,part_347,2026-09-20 20:17:50,1658
Hotel tarini,Family Restaurant,Family restaurant,Family restaurant,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 70109 80369,N/A,4.8,6.0,"27MQ+6FR, Rangathali, Odisha 759120",759029,21.0331208,85.28864589999999,ChIJ-3OgLBQ1HzoRGJszA-3M_1o,https://www.google.com/maps/place/?q=place_id:ChIJ-3OgLBQ1HzoRGJszA-3M_1o,part_347,2026-09-20 20:17:50,1659
Maa Mangala Restaurant,Family Restaurant,Restaurant,Restaurant,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,3.0,5.0,"46RV+88G, Deragola, Naikanali, Odisha 759151",759029,21.1408125,85.2433125,ChIJM1_h9Q5JHzoRe1-PKfzxcAw,https://www.google.com/maps/place/?q=place_id:ChIJM1_h9Q5JHzoRe1-PKfzxcAw,part_347,2026-09-20 20:17:50,1660
BIRANCHI BHAI DHABA,Family Restaurant,Indian restaurant,Indian restaurant,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,4.7,9.0,"652H+8FJ, Dangamanga, Odisha 759151",759029,21.2008218,85.1787128,ChIJ_8JYdwBPHzoRcOYwnNWnvac,https://www.google.com/maps/place/?q=place_id:ChIJ_8JYdwBPHzoRcOYwnNWnvac,part_347,2026-09-20 20:17:50,1661
THE FOOD VANDAR,Family Restaurant,Restaurant,"Restaurant, Family restaurant, Indian restaurant",759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 82608 51940,https://thefoodvandar.in/,4.3,31.0,"near Shree Ganesh Enterprises, Handidhua, Talcher, Odisha 759100",759029,20.9422091,85.2027975,ChIJqb9dhvCxGDoRwX29DJLBQLE,https://www.google.com/maps/place/?q=place_id:ChIJqb9dhvCxGDoRwX29DJLBQLE,part_347,2026-09-20 20:17:50,1662
