business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sanjivani Nurshing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 6762 228 822,N/A,4.3,20.0,"House no 022,89j, Town planning colony, near Sanjeevani nursing home, town planning colony, Dhenkanal, Odisha 759001",town planning colony,20.667771,85.5918482,ChIJrwmstdDfGDoRDaUXzasrYG4,https://www.google.com/maps/place/?q=place_id:ChIJrwmstdDfGDoRDaUXzasrYG4,part_347,2026-09-20 20:17:54,2524
Mother Care Nursing home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 91788 61778,N/A,4.3,34.0,"FG97+GGW, Tigiria, Odisha 754030",759029,20.4689183,85.5138882,ChIJ0VJ3cbflGDoRlKC4pcly-OA,https://www.google.com/maps/place/?q=place_id:ChIJ0VJ3cbflGDoRlKC4pcly-OA,part_347,2026-09-20 20:17:54,2525
New Hope Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 73779 66282,N/A,3.2,10.0,"Dakhinakali Rd, Dhenkanal, Odisha 759001",759029,20.656454699999998,85.5904243,ChIJ41T9X2jfGDoRgX3Hx0aI7u8,https://www.google.com/maps/place/?q=place_id:ChIJ41T9X2jfGDoRgX3Hx0aI7u8,part_347,2026-09-20 20:17:54,2526
SAI MAHIMA NURSING HOME,Nursing Home and Maternity Hospital,Nursing home,Nursing home,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 6762 291 033,N/A,3.9,9.0,"MH4Q+PG6, Dhenkanal, Odisha 759001",759029,20.6567841,85.5887779,ChIJXz-nVjvfGDoRA1cX7zy0dxo,https://www.google.com/maps/place/?q=place_id:ChIJXz-nVjvfGDoRA1cX7zy0dxo,part_347,2026-09-20 20:17:54,2527
Kalyani Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 94370 94058,N/A,3.7,3.0,"MH8W+FRW, Dhenkanal, Odisha 759001",759029,20.6662398,85.5970652,ChIJmZR3cn7fGDoRH4sbb0727a4,https://www.google.com/maps/place/?q=place_id:ChIJmZR3cn7fGDoRH4sbb0727a4,part_347,2026-09-20 20:17:54,2528
Omm Sai Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 94374 16033,N/A,3.7,15.0,"R5W5+4HJ, FCI Road.Girang, NALCO, Odisha 759145",759029,20.8453415,85.1589018,ChIJj7DanKqxGDoR2WpqF6dy04M,https://www.google.com/maps/place/?q=place_id:ChIJj7DanKqxGDoR2WpqF6dy04M,part_347,2026-09-20 20:17:54,2529
Chandan Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 6764 231 431,N/A,3.4,55.0,"Similipada, Angul, Odisha 759122",Similipada,20.8446188,85.10255819999999,ChIJw2uxyfyvGDoRzSDsA3cwYwM,https://www.google.com/maps/place/?q=place_id:ChIJw2uxyfyvGDoRzSDsA3cwYwM,part_347,2026-09-20 20:17:54,2530
Matrushakti Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 99377 26111,N/A,4.7,3.0,"MIG-18, near BJD party office, Housing Board Colony, Athagarh, Kataka, Odisha 754295",Housing Board Colony,20.514511499999998,85.6364181,ChIJvyrWGGIdGToRNy30_gd5e9E,https://www.google.com/maps/place/?q=place_id:ChIJvyrWGGIdGToRNy30_gd5e9E,part_347,2026-09-20 20:17:54,2531
Odisha Nursing Home (Polyclinic & Diagnostics),Nursing Home and Maternity Hospital,Nursing home,Nursing home,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 93375 67672,N/A,5.0,1.0,"Banamali Prasad, near kendriya vidyalaya, Dhenkanal, Odisha 759013",759029,20.6392042,85.5734884,ChIJ-_cK9UHhGDoR1JpNxGsC1pc,https://www.google.com/maps/place/?q=place_id:ChIJ-_cK9UHhGDoR1JpNxGsC1pc,part_347,2026-09-20 20:17:54,2532
Shanti Memorial Hospital,Nursing Home and Maternity Hospital,General hospital,General hospital,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 76828 29935,http://www.shantimemorialhospital.com/,4.1,1173.0,"FV9M+FJ2, Thoria Sahi Patnaik Colony, Friends Colony, Mangalabag, Kataka, Odisha 753001","Friends Colony, Mangalabag",20.4689797,85.88345919999999,ChIJ547P6YYNGToR9YsDWW33III,https://www.google.com/maps/place/?q=place_id:ChIJ547P6YYNGToR9YsDWW33III,part_347,2026-09-20 20:17:54,2533
