business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
HITECH COMPUTER ACADEMY,Computer Training Institute,Educational institution,"Educational institution, Charter school, Community center, Computer networking service",759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 86372 60069,http://www.edu.hitechcomputeracademy.com/,4.8,,"HITECH COMPUTER ACADEMY ,AT/PO-JHILLI,VIA, DIST, Parjang, Odisha 759029",759029,21.087412,85.3956484,ChIJJdjZeUwzHzoRhVFNUcofBCM,https://www.google.com/maps/place/?q=place_id:ChIJJdjZeUwzHzoRhVFNUcofBCM,part_347,2026-09-20 20:18:10
NTEM MAHABIROD (computer education ),Computer Training Institute,Education center,Education center,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 97773 17331,http://www.ntemmahabirod.in/,4.8,,"AT/PO-MAHABIROD, PSPARJANG, DIST, Mahabirod, Odisha 759029",759029,21.0744842,85.38293279999999,ChIJVVVVFZ4zHzoRjfYHsICZz04,https://www.google.com/maps/place/?q=place_id:ChIJVVVVFZ4zHzoRjfYHsICZz04,part_347,2026-09-20 20:18:10
SS COMPUTER ACADEMY AND TUTORIALAS,Computer Training Institute,Education center,Education center,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 70084 77574,http://www.sscat.in/,5.0,,"2nd floor, Jagannath electrical, Dakhinakali Rd, near Ratna Mandap, Dhenkanal, Odisha 759001",759029,20.6562988,85.59156139999999,ChIJHz4JmpfhGDoRrckFGnJhG8M,https://www.google.com/maps/place/?q=place_id:ChIJHz4JmpfhGDoRrckFGnJhG8M,part_347,2026-09-20 20:18:10
APTECH COMPUTER EDUCATION,Computer Training Institute,Education center,Education center,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 93377 46836,http://www.gloriousinfotechinstitute.com/,4.8,,"6th Ln, Amalapada, Angul, Odisha 759122",Amalapada,20.842182299999997,85.1007891,ChIJ8bCQePuvGDoRWilwTG00uYM,https://www.google.com/maps/place/?q=place_id:ChIJ8bCQePuvGDoRWilwTG00uYM,part_347,2026-09-20 20:18:10
BEST COMPUTER INSTITUTE,Computer Training Institute,Software Training Institute,"Software Training Institute, Training center",759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 63054 07338,https://www.anilcomputers.guru/,4.9,,"2nd Floor, TTD Kalyana Mandapam, Road, opposite SKVT High School, Danavai Peta, Rajamahendravaram, Andhra Pradesh 533103",Danavai Peta,17.0095541,81.78167119999999,ChIJNau9DGejNzoR9_d7_W-TT9k,https://www.google.com/maps/place/?q=place_id:ChIJNau9DGejNzoR9_d7_W-TT9k,part_347,2026-09-20 20:18:11
Ram Infotech,Computer Training Institute,Software Training Institute,"Software Training Institute, Accounting school, Coaching Center, Education center, Educational institution, Institute of technology, Learning center, Training center",759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 98662 37052,https://raminfotechs.com/,4.9,,"Second floor, bus stop, Plot No:12, Nagarjuna Sagar Rd, beside Reliance Digital building, Shirdi Sai Nagar, Hasthinapuram Central, Laxmi Narashima Puram Colony, Hastinapuram, Hyderabad, Telangana 500074","Shirdi Sai Nagar, Hasthinapuram Central, Laxmi Narashima Puram Colony, Hastinapuram",17.329087599999998,78.5540072,ChIJRXs1lLqjyzsRqzkkeekzFMk,https://www.google.com/maps/place/?q=place_id:ChIJRXs1lLqjyzsRqzkkeekzFMk,part_347,2026-09-20 20:18:11
Aptech Computer Education,Computer Training Institute,Software Training Institute,"Software Training Institute, Computer networking service, Computer training school, Education center, Educational institution, Institute of technology",759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 90400 04498,http://aptechbhubaneswar.com/,4.7,,"622-A, (2nd Floor), Near Khimji Jeweller Janpath, Sahidnagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.286481,85.84354479999999,ChIJozhcJukJGToR9hJxu7Xbwyc,https://www.google.com/maps/place/?q=place_id:ChIJozhcJukJGToR9hJxu7Xbwyc,part_347,2026-09-20 20:18:11
SIKSHYASHREE COMPUTER EDUCATION,Computer Training Institute,Education center,Education center,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 93483 26192,N/A,4.9,,"Banki, Odisha 754008",759029,20.3749331,85.5242755,ChIJi3FmtlT9GDoRVm5m5HYnIq0,https://www.google.com/maps/place/?q=place_id:ChIJi3FmtlT9GDoRVm5m5HYnIq0,part_347,2026-09-20 20:18:11
Best IT Computer education center (classes),Computer Training Institute,Education center,Education center,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 87931 36018,N/A,4.8,,"Madhabhavi, Karnataka 591232",759029,16.8066173,74.9568616,ChIJ-XKIDgErwTsRdILACqFLXt8,https://www.google.com/maps/place/?q=place_id:ChIJ-XKIDgErwTsRdILACqFLXt8,part_347,2026-09-20 20:18:11
SkillTech Computer and Coaching Institute,Computer Training Institute,Computer consultant,Computer consultant,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 98888 44355,N/A,4.9,,"#1759/a, St No:-1,New Kailash nagar, Opp Body Care Gym, near Saini Boutique, Ludhiana, Punjab 141007","State Bank Of India ATM, Shimla Colony, New Gagandeep Colony",30.941880299999998,75.8707874,ChIJf45rfp6EGjkRShTtwe6rhv4,https://www.google.com/maps/place/?q=place_id:ChIJf45rfp6EGjkRShTtwe6rhv4,part_347,2026-09-20 20:18:11
LCC Computer Education,Computer Training Institute,Software Training Institute,"Software Training Institute, Education center, Educational consultant, Institute of technology, Computer training school",759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 92382 03399,http://www.lccedu.in/,4.7,,"A, 105, Meghdoot St, opposite angan restaurant, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.2940653,85.8450611,ChIJW0IyYfcJGToRFsue6gtcd1k,https://www.google.com/maps/place/?q=place_id:ChIJW0IyYfcJGToRFsue6gtcd1k,part_347,2026-09-20 20:18:11
The Computer Institute,Computer Training Institute,Software Training Institute,Software Training Institute,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 93088 80808,http://mytci.co.in/,4.8,,"Khagaul Road, Mahatwana Mohalla, near Aanchal Cloth Centre, Phulwari Sharif, Patna, Bihar 801505","Minhaj Nagar, Phulwari Sharif",25.5772414,85.071421,ChIJXQA4oCmo8jkRjNeTxgqHBk4,https://www.google.com/maps/place/?q=place_id:ChIJXQA4oCmo8jkRjNeTxgqHBk4,part_347,2026-09-20 20:18:11
IFASTACADEMY - Computer Training Institute,Computer Training Institute,Software Training Institute,"Software Training Institute, Computer club, Computer consultant, Computer service, Educational institution",759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 95602 55206,http://www.ifastacademy.com/,4.9,,"Khasra No-25/19, Saptarishi Garden, Plot no. 1, Railway Fatak, nearby By, Holambi Kalan, Delhi, 110082",Holambi Kalan,28.8093835,77.09777559999999,ChIJTVVVIe-pDTkRXphaT8wIHPA,https://www.google.com/maps/place/?q=place_id:ChIJTVVVIe-pDTkRXphaT8wIHPA,part_347,2026-09-20 20:18:11
CIFA COMPUTER INSTITUTE PVT.LTD.,Computer Training Institute,Software Training Institute,Software Training Institute,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 97765 54527,http://www.cifaindia.com/,4.9,,"FWQM+R2R, Santi Kanan Road, near Dr.Chintamani Panda, Mallikashpur, Balasore, Odisha 756001",Mallikashpur,21.4896656,86.9324249,ChIJfeun-Av1HDoRQf-YOf72Hvc,https://www.google.com/maps/place/?q=place_id:ChIJfeun-Av1HDoRQf-YOf72Hvc,part_347,2026-09-20 20:18:11
