business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Siddhi Packaging,Corrugated Box and Packaging Material Manufacturers,Manufacturer,Manufacturer,759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",+91 98930 42277,https://siddhipack.com/,5.0,27,"Plot No.212, C-2, Sector F, Sanwer Road Industrial Area, Indore, Madhya Pradesh 453555","Sector F, Sanwer Road Industrial Area",22.7796602,75.85287939999999,ChIJ51RVVXj9YjkRt1dfcRvYMq8,https://www.google.com/maps/place/?q=place_id:ChIJ51RVVXj9YjkRt1dfcRvYMq8,part_347,2026-09-20 20:20:49
Carton and Die Cut Box Manufacturer - Cuboid Packaging Private Limited,Corrugated Box and Packaging Material Manufacturers,Packaging company,"Packaging company, Paper bag supplier",759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",+91 93456 60176,http://www.cuboidpackaging.com/,4.9,130,"Shed No3, No9/53, Kundrathur Sriperumbudur, High Road, Sirukalathur, Chennai, Tamil Nadu 600069",759100,12.9946731,80.0745415,ChIJRSMf1AZdUjoRpOWJbcKjesM,https://www.google.com/maps/place/?q=place_id:ChIJRSMf1AZdUjoRpOWJbcKjesM,part_347,2026-09-20 20:20:49
Yash Packaging,Corrugated Box and Packaging Material Manufacturers,Packaging company,Packaging company,759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",+91 93294 33544,N/A,4.9,82,"70, 1, Kailash Marg, near Acharya Transport, near Antim Chouraha, North Rajmohalla, Malharganj, Indore, Madhya Pradesh 452002","North Rajmohalla, Malharganj",22.717686699999998,75.841943,ChIJTZsuBuX9YjkRk5R-9hE6kbY,https://www.google.com/maps/place/?q=place_id:ChIJTZsuBuX9YjkRk5R-9hE6kbY,part_347,2026-09-20 20:20:49
Annapurna Corrugated Box Industries,Corrugated Box and Packaging Material Manufacturers,Manufacturer,Manufacturer,759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",N/A,N/A,5.0,2,"1 A, Maniktala Main Rd, Manicktala, Garpar, Kankurgachi, Kolkata, West Bengal 700054","Manicktala, Garpar, Kankurgachi",22.5803562,88.4005957,ChIJhQzEPnZ2AjoRBLYACPkJoog,https://www.google.com/maps/place/?q=place_id:ChIJhQzEPnZ2AjoRBLYACPkJoog,part_347,2026-09-20 20:20:49
Aaradhya Enterprises,Corrugated Box and Packaging Material Manufacturers,Packaging company,"Packaging company, Manufacturer, Packaging supply store",759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",+91 88000 27779,https://aaradhyabox.in/,4.6,136,"872, Indra Park, Guru Nagar, Nangli Sakrawati, Delhi, 110043","Indra Park, Guru Nagar, Nangli Sakrawati",28.6199323,76.9965462,ChIJ0c0A-QQFDTkRIyawjx5MErM,https://www.google.com/maps/place/?q=place_id:ChIJ0c0A-QQFDTkRIyawjx5MErM,part_347,2026-09-20 20:20:49
ROLL PACK INDUSTRIES (P) LTD,Corrugated Box and Packaging Material Manufacturers,Packaging company,"Packaging company, Manufacturer, Packaging supply store",759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",+91 98390 85062,http://www.rollpackindustries.com/,4.9,40,"Industrial Area, f-22, Site, no. 2 near LML Chauraha, Panki, Kanpur, Uttar Pradesh 208022","Panki Site 3, Panki",26.4423522,80.2590395,ChIJ5Z0PZug3nDkRUjVZR_Mjwjw,https://www.google.com/maps/place/?q=place_id:ChIJ5Z0PZug3nDkRUjVZR_Mjwjw,part_347,2026-09-20 20:20:50
JD Packaging,Corrugated Box and Packaging Material Manufacturers,Manufacturer,Manufacturer,759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",+91 62698 33000,http://jdpackaging.in/,4.8,40,"278/7, near Bilaspur six lane road, Urla Industrial Complex, Raipur, Borjhara, Chhattisgarh 492003",Urla Industrial Complex,21.315864299999998,81.5973246,ChIJNyAXn9rnKDoRAFt60h1NT9g,https://www.google.com/maps/place/?q=place_id:ChIJNyAXn9rnKDoRAFt60h1NT9g,part_347,2026-09-20 20:20:51
Parul Packaging,Corrugated Box and Packaging Material Manufacturers,Packaging company,Packaging company,759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",+91 78638 59919,http://www.parulpackaging.com/,4.7,730,"Gokul campus, Kosmada patiya Puna, nehar road, Valthan, Surat, Gujarat 395013",759100,21.2131516,72.93335979999999,ChIJD_neHIlF4DsREo7yrqYpCf8,https://www.google.com/maps/place/?q=place_id:ChIJD_neHIlF4DsREo7yrqYpCf8,part_347,2026-09-20 20:20:51
Navrang Packaging Industry,Corrugated Box and Packaging Material Manufacturers,Packaging company,Packaging company,759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",N/A,http://instagram.com/navrangpackaging/,4.4,7,"Navrang Packaging Industry RD, Industrial Area, Nagzhiri, Ujjain Dewas Rd, Parsvnath City, Ujjain, Madhya Pradesh 456010",Parsvnath City,23.1526554,75.8208003,ChIJE-qKN3BzYzkR7XPmbL7xOoI,https://www.google.com/maps/place/?q=place_id:ChIJE-qKN3BzYzkR7XPmbL7xOoI,part_347,2026-09-20 20:20:51
Vijayshri Packaging Limited,Corrugated Box and Packaging Material Manufacturers,Packaging company,Packaging company,759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",+91 731 242 7700,http://www.vijayshri.com/,4.8,50,"QRQJ+PW3, R.R. Industrial Park, Near Super Corridor Bridge, Bardari Village, Indore, Madhya Pradesh 453555",Bardari,22.7892589,75.8322985,ChIJ9RCI6UoCYzkRtMGUTp-6WzU,https://www.google.com/maps/place/?q=place_id:ChIJ9RCI6UoCYzkRtMGUTp-6WzU,part_347,2026-09-20 20:20:51
