business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Paris Bakery - Talcher,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",+91 80181 14444,https://parisbakery.in/,4.2,53.0,"Petrol Pump, near Hatatota, Talcher, Odisha 759107",759100,20.9469134,85.21872069999999,ChIJTdM9St-1GDoRn42k1HilusQ,https://www.google.com/maps/place/?q=place_id:ChIJTdM9St-1GDoRn42k1HilusQ,part_347,2026-09-20 20:20:20
Sovaram Bakery | Confectionery,Patisserie,Cake shop,"Cake shop, Bakery and Cake Shop",759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",+91 97779 68348,http://www.sovaram.com/,5.0,1.0,"R4V2+F6, Amalapada, Angul, Odisha 759122",Amalapada,20.843681699999998,85.1005492,ChIJk0NRse-vGDoRQxXdicE5lb8,https://www.google.com/maps/place/?q=place_id:ChIJk0NRse-vGDoRQxXdicE5lb8,part_347,2026-09-20 20:20:20
Bake Shop - TALCHER,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",+91 94384 81014,N/A,4.2,322.0,"W6W6+57C, Angul - Talcher Rd, Talcher, Odisha 759100",759100,20.9454443,85.2106261,ChIJ3WomZT20GDoRbIzVYCz-lJI,https://www.google.com/maps/place/?q=place_id:ChIJ3WomZT20GDoRbIzVYCz-lJI,part_347,2026-09-20 20:20:20
hariomm bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",N/A,N/A,4.6,45.0,"Railway Station Rd, Maitri Nagar, Sikshyakpada, Angul, Odisha 759122","Maitri Nagar, Sikshyakpada",20.8492922,85.09780099999999,ChIJjxO7MvuvGDoRj0B6OUkGbIU,https://www.google.com/maps/place/?q=place_id:ChIJjxO7MvuvGDoRj0B6OUkGbIU,part_347,2026-09-20 20:20:20
Dream Baker's by Riya,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",+91 63714 35910,https://www.instagram.com/dreambakersbyriya?igsh=MW85ZWRiN2lybWxmZA==,5.0,16.0,"Nursingh Bhawan, Station Chhawk, behind Hanuman Statue, Ranigoda, Angul, Odisha 759122",Ranigoda,20.858093999999998,85.1027659,ChIJE9ImsJevGDoR2Fdg5eoLTT0,https://www.google.com/maps/place/?q=place_id:ChIJE9ImsJevGDoR2Fdg5eoLTT0,part_347,2026-09-20 20:20:20
Monginis Cake shop,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",+91 97780 99944,https://www.monginis.net/,4.3,109.0,"Girang, Angul, Odisha 759145",759100,20.8509222,85.1622452,ChIJPyQrwq2xGDoR9bVj8FVqImQ,https://www.google.com/maps/place/?q=place_id:ChIJPyQrwq2xGDoR9bVj8FVqImQ,part_347,2026-09-20 20:20:20
Samal's Dairy & Bakery,Patisserie,Bakery and Cake Shop,"Bakery and Cake Shop, Dairy store",759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",+91 70089 94328,N/A,4.9,12.0,"PTC, Caltax Chowk, FCI Road, Similipada, Angul, Odisha 759122",Similipada,20.844074799999998,85.1120897,ChIJKX_XzYGxGDoR7m_ub0_JE3o,https://www.google.com/maps/place/?q=place_id:ChIJKX_XzYGxGDoR7m_ub0_JE3o,part_347,2026-09-20 20:20:20
MONGINIS CAKE SHOP - TALCHER,Patisserie,Bakery and Cake Shop,"Bakery and Cake Shop, Cake shop",759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",+91 82606 66955,N/A,4.5,42.0,"ITI CHAKA, Talcher, Odisha 759100",759100,20.9462646,85.2120722,ChIJL2aXDqq1GDoRln5j2ASRofI,https://www.google.com/maps/place/?q=place_id:ChIJL2aXDqq1GDoRln5j2ASRofI,part_347,2026-09-20 20:20:20
MOHANTY VARIETY STORE,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",N/A,N/A,4.5,2.0,"TALCHER ANGUL NH 53, Santhapada, Talcher, Odisha 759104",759100,20.919355,85.2322792,ChIJT4UpTd-3GDoRXy3e6dc6S3c,https://www.google.com/maps/place/?q=place_id:ChIJT4UpTd-3GDoRXy3e6dc6S3c,part_347,2026-09-20 20:20:20
RIZZ BAKERY & PARTY SHOP,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,759100,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Talcher S.O, Arkil B.O, Biru B.O",+91 90787 88537,N/A,5.0,3.0,"INFRONT OF CURE WELL HOSPITAL, Pragati Nagar, PRAGATINAGAR, HEMASURAPADA, Sikshyakpada, Angul, Odisha 759122","Pragati Nagar, PRAGATINAGAR, HEMASURAPADA, Sikshyakpada",20.8518378,85.0901885,ChIJR03rqaGvGDoRVpBnUxm4AxY,https://www.google.com/maps/place/?q=place_id:ChIJR03rqaGvGDoRVpBnUxm4AxY,part_347,2026-09-20 20:20:20
