business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ROYAL BLOOM FLOWER DECORATION,Flower Decorator,Flower designer,Flower designer,759101,Odisha Circle,Sambalpur Region,Dhenkanal Division,Talcher Thermal S.O,+91 89193 58121,https://same-k4zuv95tuwq-latest.netlify.app/,5.0,,"Mallikarjuna Temple, Veerareddy Nagar, Bayanna Nagar, Boduppal, Hyderabad, Telangana 500092","Veerareddy Nagar, Bayanna Nagar, Boduppal",17.4236155,78.5830557,ChIJP7c0JgCfyzsRFk_hsrbn1v4,https://www.google.com/maps/place/?q=place_id:ChIJP7c0JgCfyzsRFk_hsrbn1v4,part_347,2026-09-20 20:21:15
TR Flower Decorations,Flower Decorator,Florist,Florist,759101,Odisha Circle,Sambalpur Region,Dhenkanal Division,Talcher Thermal S.O,+91 99011 08606,N/A,4.5,,"Rangappanapalya, Sira, Karnataka 572137",Rangappanapalya,13.7419888,76.9067733,ChIJE9YhAFJDsDsRclddH_YY_u0,https://www.google.com/maps/place/?q=place_id:ChIJE9YhAFJDsDsRclddH_YY_u0,part_347,2026-09-20 20:21:15
Radhe Krishna Flower Decoration,Flower Decorator,Flower designer,Flower designer,759101,Odisha Circle,Sambalpur Region,Dhenkanal Division,Talcher Thermal S.O,+91 93340 33823,N/A,4.9,,"Khojaimli Phulwari Sharif, Anisabad, Patna, Bihar 800002","Purnendu Nagar, Anisabad",25.5773348,85.084717,ChIJO-r8g5qp8jkRppNqBs5X5TY,https://www.google.com/maps/place/?q=place_id:ChIJO-r8g5qp8jkRppNqBs5X5TY,part_347,2026-09-20 20:21:15
VEERABHADRA FLOWER DECORATION,Flower Decorator,Flower designer,Flower designer,759101,Odisha Circle,Sambalpur Region,Dhenkanal Division,Talcher Thermal S.O,+91 91824 40481,N/A,5.0,,"176, Gachibowli - Miyapur Rd, Sapthagiri Colony, Indra Reddy Allwyn Colony, Hafeezpet, Hyderabad, Telangana 500049","Sapthagiri Colony, Indra Reddy Allwyn Colony, Hafeezpet",17.4924241,78.35254359999999,ChIJpx5XWnWTyzsRXZ1HTQtefCU,https://www.google.com/maps/place/?q=place_id:ChIJpx5XWnWTyzsRXZ1HTQtefCU,part_347,2026-09-20 20:21:15
Syed Flower Decorations,Flower Decorator,Florist,Florist,759101,Odisha Circle,Sambalpur Region,Dhenkanal Division,Talcher Thermal S.O,N/A,N/A,5.0,,"P.No. 61, near BP Petrol Pump, Chitaramma Devi Nagar, Gajularamaram, Hyderabad, Telangana 500117","Chitaramma Devi Nagar, Gajularamaram",17.525657799999998,78.4204187,ChIJ0V1NDy-OyzsRZnJ80mf_YSc,https://www.google.com/maps/place/?q=place_id:ChIJ0V1NDy-OyzsRZnJ80mf_YSc,part_347,2026-09-20 20:21:15
Lakshmi Ganesh Flower Decorations,Flower Decorator,Flower designer,Flower designer,759101,Odisha Circle,Sambalpur Region,Dhenkanal Division,Talcher Thermal S.O,+91 90004 71165,N/A,5.0,27.0,"V.S.T, 1-8-607/113, opp. Pochamma Temple, Achaiah Nagar, Old Nallakunta, New Nallakunta, Hyderabad, Telangana 500020","Achaiah Nagar, Old Nallakunta, New Nallakunta",17.4009364,78.5032773,ChIJq5FeS7GZyzsRLpmDCRoXD9A,https://www.google.com/maps/place/?q=place_id:ChIJq5FeS7GZyzsRLpmDCRoXD9A,part_347,2026-09-20 20:21:16
Ashi Flower,Flower Decorator,Wholesale florist,"Wholesale florist, Artificial plant supplier, Cake decorating equipment shop, Dried flower shop, Florist, Flower delivery, Flower designer, Flower market",759101,Odisha Circle,Sambalpur Region,Dhenkanal Division,Talcher Thermal S.O,+91 87188 40680,https://www.instagram.com/ashi.flower?igsh=bm82eGEzcTZ0dGc1&utm_source=qr,4.6,37.0,"58 Vigyan Nagar ,Annapurna Road, Bridge, beside Rajendra Nagar, Indore, Madhya Pradesh 452009",Vigyan Nagar,22.6757429,75.8329876,ChIJS903pkH8YjkRRSBdr_RAd8E,https://www.google.com/maps/place/?q=place_id:ChIJS903pkH8YjkRRSBdr_RAd8E,part_347,2026-09-20 20:21:16
National Florist & Decoration,Flower Decorator,Florist,Florist,759101,Odisha Circle,Sambalpur Region,Dhenkanal Division,Talcher Thermal S.O,+91 89827 55293,https://sites.google.com/view/national-florist-decoration/home,4.8,37.0,"Shop No.8, 5, Babu Lalchand Chajlani Rd, Kunjwan Colony, Indore, Madhya Pradesh 452009",Kunjwan Colony,22.6961935,75.8445788,ChIJySA0Leb9YjkR1JYopUij4nA,https://www.google.com/maps/place/?q=place_id:ChIJySA0Leb9YjkR1JYopUij4nA,part_347,2026-09-20 20:21:16
Flowers 'N' Petals,Flower Decorator,Florist,"Florist, Bakery and Cake Shop",759101,Odisha Circle,Sambalpur Region,Dhenkanal Division,Talcher Thermal S.O,N/A,http://www.flowersnpetals.com/,4.8,285.0,"LG-6, Captain C.S. Nayudu Arcade, 10/2, Greater Kailash Road, near Greater Kailash Hospital, Opposite Grotto, Old Palasia, Indore, Madhya Pradesh 452018","Opposite Grotto, Old Palasia",22.7252387,75.89044249999999,ChIJN_qmyDf9YjkRLi5geJYNVSI,https://www.google.com/maps/place/?q=place_id:ChIJN_qmyDf9YjkRLi5geJYNVSI,part_347,2026-09-20 20:21:16
Kailash Florist,Flower Decorator,Florist,Florist,759101,Odisha Circle,Sambalpur Region,Dhenkanal Division,Talcher Thermal S.O,N/A,https://www.floristindore.in/,4.3,393.0,"Tower 1/2, Vikas Rekha Complex, Indore - Icchapur Hwy, Tower Chouraha, Navlakha, Indore, Madhya Pradesh 452001","Tower Chouraha, Navlakha",22.697245799999997,75.8638965,ChIJWWlD3Pz8YjkRC-id0RglWw0,https://www.google.com/maps/place/?q=place_id:ChIJWWlD3Pz8YjkRC-id0RglWw0,part_347,2026-09-20 20:21:16
