business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Kraft Shop x Studio,Gifting,Gift shop,Gift shop,759102,Odisha Circle,Sambalpur Region,Dhenkanal Division,Deulbera Colliery S.O,+91 96927 96184,https://instagram.com/the_kraft.shop?igshid=MzNlNGNkZWQ4Mg==,4.9,131.0,"Bhabani Bhawan, 538/A/2, Matha Sahi, Tulsipur, Kataka, Odisha 753008","Matha Sahi, Tulsipur",20.489002499999998,85.84955629999999,ChIJbWJxS64TGToRmna6WPGaJwA,https://www.google.com/maps/place/?q=place_id:ChIJbWJxS64TGToRmna6WPGaJwA,part_347,2026-09-20 20:21:53
StickOnStories,Gifting,Gift shop,Gift shop,759102,Odisha Circle,Sambalpur Region,Dhenkanal Division,Deulbera Colliery S.O,+91 77899 23079,N/A,5.0,32.0,"Kalinga Chhak, near behera glass house, in front of Kalinga health clinic, Chaudwar, Odisha 754071",759102,20.5264293,85.91319519999999,ChIJU6aTYiYTGToR55LRlCj3dqM,https://www.google.com/maps/place/?q=place_id:ChIJU6aTYiYTGToR55LRlCj3dqM,part_347,2026-09-20 20:21:53
BalGopal Gift & Toys,Gifting,Gift shop,Gift shop,759102,Odisha Circle,Sambalpur Region,Dhenkanal Division,Deulbera Colliery S.O,+91 96821 06541,N/A,4.9,91.0,"Bahugram, Bahadulapatna, Odisha 754200",759102,20.4853266,86.0144538,ChIJe4ujIQBvGToRfXRAVlq00i4,https://www.google.com/maps/place/?q=place_id:ChIJe4ujIQBvGToRfXRAVlq00i4,part_347,2026-09-20 20:21:53
The Gifts Spot,Gifting,Gift shop,Gift shop,759102,Odisha Circle,Sambalpur Region,Dhenkanal Division,Deulbera Colliery S.O,+91 94396 19619,N/A,4.6,16.0,"College Square to Cuttack Railway Station Rd, LIC Colony, Kataka, Odisha 753003",LIC Colony,20.466722,85.8955881,ChIJlR_57XsNGToRXbF1NtBZv78,https://www.google.com/maps/place/?q=place_id:ChIJlR_57XsNGToRXbF1NtBZv78,part_347,2026-09-20 20:21:53
House of Bellita,Gifting,Gift shop,Gift shop,759102,Odisha Circle,Sambalpur Region,Dhenkanal Division,Deulbera Colliery S.O,+91 89172 55764,https://www.instagram.com/houseofbellita?igsh=dzRmY20wdGVubzB6&utm_source=qr,4.4,38.0,"GROUND FLOOR, BRAMHA YOGA CENTER BUILDING, Mohanty Lane, Opposite New Anand Sports, BESIDE Tapan Mobile, COME STRAIGHT, TAKE RIGHT, WHITE BUILDING, Kataka, Odisha 753001",Durga Bazar,20.4730588,85.87685049999999,ChIJMxXKKl8TGToR-eXC90k1rWk,https://www.google.com/maps/place/?q=place_id:ChIJMxXKKl8TGToR-eXC90k1rWk,part_347,2026-09-20 20:21:53
GIFT ZONE,Gifting,Gift shop,Gift shop,759102,Odisha Circle,Sambalpur Region,Dhenkanal Division,Deulbera Colliery S.O,N/A,N/A,4.6,38.0,"Hospital Rd, Sundargarh, Odisha 770001",759102,22.1193669,84.0373953,ChIJ7e8Yz9ftIDoR9JDzeiKS9fI,https://www.google.com/maps/place/?q=place_id:ChIJ7e8Yz9ftIDoR9JDzeiKS9fI,part_347,2026-09-20 20:21:53
Anshuman Digital,Gifting,Gift shop,Gift shop,759102,Odisha Circle,Sambalpur Region,Dhenkanal Division,Deulbera Colliery S.O,+91 82608 07543,https://www.instagram.com/ans__edit_?igsh=cmN0NDRuZ2V6b2d0,5.0,,"Bhanjapali, Koira, Odisha 770048",759102,21.9198971,85.25178939999999,ChIJLbfkOgCZHzoRrvH5_4sTATg,https://www.google.com/maps/place/?q=place_id:ChIJLbfkOgCZHzoRrvH5_4sTATg,part_347,2026-09-20 20:21:54
JAY MATADI GIFTS & TOYS,Gifting,Gift shop,Gift shop,759102,Odisha Circle,Sambalpur Region,Dhenkanal Division,Deulbera Colliery S.O,+91 70614 52232,N/A,4.2,,"Mining Rd, near low college Kara Complex, Kashipur, Keonjhar, Odisha 758001",Kashipur,21.6359724,85.6175331,ChIJDQvEa6j9HjoRrvg6AGcNZ-s,https://www.google.com/maps/place/?q=place_id:ChIJDQvEa6j9HjoRrvg6AGcNZ-s,part_347,2026-09-20 20:21:54
Gift World,Gifting,Gift shop,Gift shop,759102,Odisha Circle,Sambalpur Region,Dhenkanal Division,Deulbera Colliery S.O,+91 82497 55582,N/A,4.8,,"Bada bazar, kamalawari, Triveni Nagar, sahe, Brahmapur, Odisha 760009","kamalawari, Triveni Nagar",19.3156173,84.779197,ChIJSblv_dhRPToRlPAXqdnFt3w,https://www.google.com/maps/place/?q=place_id:ChIJSblv_dhRPToRlPAXqdnFt3w,part_347,2026-09-20 20:21:54
Creative Art Balangir,Gifting,Gift shop,Gift shop,759102,Odisha Circle,Sambalpur Region,Dhenkanal Division,Deulbera Colliery S.O,N/A,N/A,4.9,11.0,"Sambalpur Rd, near Yamaha showroom front, Balangir, Odisha 767001",759102,20.7175336,83.49434769999999,ChIJIzvwu6cPJDoRy4YgpmtLkzo,https://www.google.com/maps/place/?q=place_id:ChIJIzvwu6cPJDoRy4YgpmtLkzo,part_347,2026-09-20 20:21:54
