business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Snypar Photography,Photographers,Photography studio,Photography studio,759104,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Chainpal Colony S.O, Ballahar Chhak B.O, Jagannathpur B.O",+91 79871 71321,https://snyparphotography.com/,4.8,371.0,"Shop No. 7, Market, Tili Rd, Balak Complex, Sagar, Madhya Pradesh 470001",Balak Complex,23.8223068,78.75321989999999,ChIJi8vLjevTeDkRoo30hOHL7yU,https://www.google.com/maps/place/?q=place_id:ChIJi8vLjevTeDkRoo30hOHL7yU,part_347,2026-09-20 20:23:04
Dream land studio Tanuku,Photographers,Photography studio,"Photography studio, Photography service",759104,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Chainpal Colony S.O, Ballahar Chhak B.O, Jagannathpur B.O",+91 96421 66655,https://instagram.com/dreamlandstudios.tanuku?igshid=ZDdkNTZiNTM=,4.7,163.0,"near by tanuku, near PVR Spinning Weaving Limited, Tetali, Tanuku, Tetali, Andhra Pradesh 534218",Tetali,16.7538229,81.652384,ChIJl_4ygTS3NzoR9acTOmffPdI,https://www.google.com/maps/place/?q=place_id:ChIJl_4ygTS3NzoR9acTOmffPdI,part_347,2026-09-20 20:23:04
Photo Destination Studio,Photographers,Tourist attraction,Tourist attraction,759104,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Chainpal Colony S.O, Ballahar Chhak B.O, Jagannathpur B.O",+91 76748 88223,https://photodestinationstudio.com/,4.7,190.0,"XCM8+JJM, Modavalasa, Andhra Pradesh 531162",759104,17.983728,83.4160741,ChIJA2hZBwDjOzoRSXgXotp5JpQ,https://www.google.com/maps/place/?q=place_id:ChIJA2hZBwDjOzoRSXgXotp5JpQ,part_347,2026-09-20 20:23:04
Lokesh Photography,Photographers,Photographer,Photographer,759104,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Chainpal Colony S.O, Ballahar Chhak B.O, Jagannathpur B.O",+91 99576 89472,N/A,4.9,75.0,"House no, 30, Kurmi Bunglow Rd, Ambikapatty, Ambicapatty, Silchar, Assam 788004","Ambikapatty, Ambicapatty",24.8206398,92.7924267,ChIJhVJpBjlLTjcRGo_SF49Thag,https://www.google.com/maps/place/?q=place_id:ChIJhVJpBjlLTjcRGo_SF49Thag,part_347,2026-09-20 20:23:04
Studio Rajesh Vision,Photographers,Store,Store,759104,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Chainpal Colony S.O, Ballahar Chhak B.O, Jagannathpur B.O",+91 97769 77964,https://www.instagram.com/studiorajeshvision7/,4.9,57.0,"DD, College Road, Keonjhar, Odisha 758001",759104,21.6557423,85.6091972,ChIJfaGNNMH9HjoRKKTclAd8XqM,https://www.google.com/maps/place/?q=place_id:ChIJfaGNNMH9HjoRKKTclAd8XqM,part_347,2026-09-20 20:23:04
Shutter up photography,Photographers,Photography studio,"Photography studio, Film Production Company, Graphic designer, Photo shop, Photography service, Picture frame shop, Wedding dress rental service, Wedding photographer, Wedding Portrait Studio, Wedding service",759104,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Chainpal Colony S.O, Ballahar Chhak B.O, Jagannathpur B.O",+91 89648 25200,http://www.shutterupphotography.in/,4.9,295.0,"Jabalpur road, in front of nandrani sweet, Gayatri Nagar, Makroniya, Sagar, Madhya Pradesh 470004",Gayatri Nagar,23.8574967,78.7964961,ChIJKX5TlKPReDkR9QWjEhfyfbY,https://www.google.com/maps/place/?q=place_id:ChIJKX5TlKPReDkR9QWjEhfyfbY,part_347,2026-09-20 20:23:04
Colours Studio,Photographers,Photography studio,Photography studio,759104,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Chainpal Colony S.O, Ballahar Chhak B.O, Jagannathpur B.O",+91 95635 90037,https://www.facebook.com/sovanphotography.colours.studio,4.9,,"Brajalalchak, Haldia, West Bengal 721654",Brajalalchak,22.0874243,88.0392437,ChIJE6Whg-3xAjoRymNn1cMRPPs,https://www.google.com/maps/place/?q=place_id:ChIJE6Whg-3xAjoRymNn1cMRPPs,part_347,2026-09-20 20:23:05
Vivek Dhyani Photography - Studio Carpediem,Photographers,Photographer,Photographer,759104,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Chainpal Colony S.O, Ballahar Chhak B.O, Jagannathpur B.O",+91 89232 56416,N/A,4.7,,"H block, Rishi Vihar, Mehuwala Mafi, Dehradun, Harbanswala, Uttarakhand 248001",Mehuwala Mafi,30.3122844,77.987402,ChIJoZrpajUrCTkRKmrH5BqkBFk,https://www.google.com/maps/place/?q=place_id:ChIJoZrpajUrCTkRKmrH5BqkBFk,part_347,2026-09-20 20:23:05
Studio Swami Portraits,Photographers,Photography studio,"Photography studio, Gift shop, Passport photo processor, Photo lab, Photo Restoration Shop, Photo shop, Wedding photographer",759104,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Chainpal Colony S.O, Ballahar Chhak B.O, Jagannathpur B.O",+91 93575 76660,https://famliya.com/landing/jobs,4.9,,"House No. 761, Gurudwara Masjid Road, Phase-2, Ram Darbar, Chandigarh, 160002","Phase-2, Ram Darbar",30.691885199999998,76.79321209999999,ChIJCdb0w5HsDzkRAzvCKcZbMtw,https://www.google.com/maps/place/?q=place_id:ChIJCdb0w5HsDzkRAzvCKcZbMtw,part_347,2026-09-20 20:23:05
PRAMOD STUDIO,Photographers,Photographer,Photographer,759104,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Chainpal Colony S.O, Ballahar Chhak B.O, Jagannathpur B.O",+91 77558 20666,N/A,5.0,,"468/8, Lok Nagar, Unnao, Uttar Pradesh 209801",Lok Nagar,26.543014,80.47767019999999,ChIJ4dRqIgoVnDkRmt1f0ul9geM,https://www.google.com/maps/place/?q=place_id:ChIJ4dRqIgoVnDkRmt1f0ul9geM,part_347,2026-09-20 20:23:05
