business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
PRAHARAJ MALL,Malls,Housing complex,Housing complex,759105,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Rengali Dam Site S.O, Bajrakote B.O, Balipasi B.O",N/A,N/A,,,"627W+853, Bajrakote, Odisha 759105",759105,21.2132663,85.04540949999999,ChIJIRfVAQBbHzoRsSU3Doz3fMQ,https://www.google.com/maps/place/?q=place_id:ChIJIRfVAQBbHzoRsSU3Doz3fMQ,part_347,2026-09-20 20:23:53
Indira Motors,Malls,Shopping mall,Shopping mall,759105,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Rengali Dam Site S.O, Bajrakote B.O, Balipasi B.O",N/A,N/A,4.3,,"72CG+22R, Rengali Project Town, Odisha 759105",759105,21.2701076,85.0250307,ChIJk5fNLf9bHzoRgjRynqjijJY,https://www.google.com/maps/place/?q=place_id:ChIJk5fNLf9bHzoRgjRynqjijJY,part_347,2026-09-20 20:23:53
Bhimsen grosory store,Malls,Shopping mall,Shopping mall,759105,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Rengali Dam Site S.O, Bajrakote B.O, Balipasi B.O",N/A,N/A,,,"728F+RJV, Rengali Project Town, Rengali Part, Odisha 759105",759105,21.2671202,85.0240469,ChIJ7eoSeABbHzoR8VzdqjYnPjw,https://www.google.com/maps/place/?q=place_id:ChIJ7eoSeABbHzoR8VzdqjYnPjw,part_347,2026-09-20 20:23:53
Prasanna variety store & Csc center,Malls,Shopping mall,"Shopping mall, Variety store",759105,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Rengali Dam Site S.O, Bajrakote B.O, Balipasi B.O",+91 91787 59520,N/A,1.0,,"Olanda, Odisha 759105",759105,21.2404484,85.0096463,ChIJr2Gp0sdZHzoRaE5cbLkqZNU,https://www.google.com/maps/place/?q=place_id:ChIJr2Gp0sdZHzoRaE5cbLkqZNU,part_347,2026-09-20 20:23:53
Jagannath Jewelers,Malls,Shopping mall,Shopping mall,759105,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Rengali Dam Site S.O, Bajrakote B.O, Balipasi B.O",N/A,N/A,4.5,,"729G+G79, Rengali Project Town, Odisha 759105",759105,21.2687918,85.0257213,ChIJh_l6OeJbHzoRHBrZg2HyJNk,https://www.google.com/maps/place/?q=place_id:ChIJh_l6OeJbHzoRHBrZg2HyJNk,part_347,2026-09-20 20:23:53
New sahoo general store,Malls,Shopping mall,Shopping mall,759105,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Rengali Dam Site S.O, Bajrakote B.O, Balipasi B.O",N/A,N/A,,,"72CG+782, Kantiapashi - Rengali Rd, Rengali Project Town, Odisha 759105",759105,21.2706435,85.02575569999999,ChIJnz9pkgdbHzoRUBRUaw4OpB0,https://www.google.com/maps/place/?q=place_id:ChIJnz9pkgdbHzoRUBRUaw4OpB0,part_347,2026-09-20 20:23:53
S&G Brothers Pvt. Ltd.,Malls,Shopping mall,"Shopping mall, Corporate office",759105,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Rengali Dam Site S.O, Bajrakote B.O, Balipasi B.O",N/A,N/A,,,"medical and, Near, nh200, Bajrakote, Odisha 759105",759105,21.2149538,85.0374618,ChIJz6TfcUVbHzoRBBCtihpLdQs,https://www.google.com/maps/place/?q=place_id:ChIJz6TfcUVbHzoRBBCtihpLdQs,part_347,2026-09-20 20:23:53
Krishna Traders,Malls,Shopping mall,Shopping mall,759105,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Rengali Dam Site S.O, Bajrakote B.O, Balipasi B.O",N/A,N/A,,,"medical chhak Project Town, Bajrakote, Rengali Project Town, Odisha 759105",759105,21.2671897,85.0195777,ChIJ4brfnCpZHzoRFILfjyjsR00,https://www.google.com/maps/place/?q=place_id:ChIJ4brfnCpZHzoRFILfjyjsR00,part_347,2026-09-20 20:23:53
NEXUS SHANTINIKETAN MALL,Malls,Shopping mall,"Shopping mall, Amphitheater, Concert hall, Fine dining restaurant, Grocery store, Movie theater",759105,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Rengali Dam Site S.O, Bajrakote B.O, Balipasi B.O",+91 80 2501 8225,https://www.nexusselecttrust.com/nexus-shantiniketan,4.5,,"Whitefield Main Rd, Thigalarapalya, Krishnarajapuram, Bengaluru, Karnataka 560048","Thigalarapalya, Krishnarajapuram",12.989536,77.7281015,ChIJcToFoO4RrjsRiNp1K-jl9oE,https://www.google.com/maps/place/?q=place_id:ChIJcToFoO4RrjsRiNp1K-jl9oE,part_347,2026-09-20 20:23:54
Bhartiya Mall Of Bengaluru,Malls,Shopping mall,Shopping mall,759105,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Rengali Dam Site S.O, Bajrakote B.O, Balipasi B.O",+91 89519 54663,https://bhartiyamallofbengaluru.com/,4.5,,"Bhartiya City, Thanisandra Main Rd, Bengaluru, Karnataka 560064",Kannuru,13.083428099999999,77.64334579999999,ChIJee_O5uYZrjsRYLOsndusPWo,https://www.google.com/maps/place/?q=place_id:ChIJee_O5uYZrjsRYLOsndusPWo,part_347,2026-09-20 20:23:54
