business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Crunchy Munchie,Restaurant Chains,North Indian restaurant,North Indian restaurant,759116,Odisha Circle,Sambalpur Region,Dhenkanal Division,Balanda S.O,+91 91249 41601,https://www.crunchymunchie.in/,4.6,1354,"2282 2851, Cuttack Rd, Buddha Nagar, Laxmisagar, Bhubaneswar, Odisha 751006","Buddha Nagar, Laxmisagar",20.2615674,85.8438316,ChIJSfTWImGnGToR65Toyx7SwGY,https://www.google.com/maps/place/?q=place_id:ChIJSfTWImGnGToR65Toyx7SwGY,part_347,2026-09-20 20:25:43
SKY HI,Restaurant Chains,Restaurant,Restaurant,759116,Odisha Circle,Sambalpur Region,Dhenkanal Division,Balanda S.O,+91 98274 64640,N/A,4.8,3376,"Plot No 461, K3, Kalinga nagar, above Stark the Muscle Factory, Ghatikia, Bhubaneswar, Odisha 751029",Ghatikia,20.2656512,85.7601189,ChIJKar5HDWpGToR7betgjA6jR0,https://www.google.com/maps/place/?q=place_id:ChIJKar5HDWpGToR7betgjA6jR0,part_347,2026-09-20 20:25:43
Spicy Flames,Restaurant Chains,Middle Eastern restaurant,Middle Eastern restaurant,759116,Odisha Circle,Sambalpur Region,Dhenkanal Division,Balanda S.O,+91 98275 99901,https://spicy-flames.grexa.site/,4.4,1259,"2nd Floor, Magnetic Square, above Mufti, Patia, Bhubaneswar, Odisha 751031",Patia,20.3527919,85.82678949999999,ChIJXxj0LVwJGToRX5xTFfPq48M,https://www.google.com/maps/place/?q=place_id:ChIJXxj0LVwJGToRX5xTFfPq48M,part_347,2026-09-20 20:25:43
Vintage Kitchen,Restaurant Chains,Family restaurant,Family restaurant,759116,Odisha Circle,Sambalpur Region,Dhenkanal Division,Balanda S.O,+91 97788 55877,N/A,4.3,466,"Kacheri chock jadav Bhaban City, Odisha 767001",Thikadarpara,20.7052676,83.4844603,ChIJcTpsIn4PJDoRAnzJ9jeOOOg,https://www.google.com/maps/place/?q=place_id:ChIJcTpsIn4PJDoRAnzJ9jeOOOg,part_347,2026-09-20 20:25:43
Alishan Fun & Food Park,Restaurant Chains,Restaurant,Restaurant,759116,Odisha Circle,Sambalpur Region,Dhenkanal Division,Balanda S.O,N/A,N/A,4.7,440,"Ps-Belpada, At-Lathakend, Po-Salandi, Balangir Road, Kantabanji, Odisha 767039",759116,20.506491399999998,82.9224602,ChIJUR9-fztLJDoRQ0JwD9VB7Gw,https://www.google.com/maps/place/?q=place_id:ChIJUR9-fztLJDoRQ0JwD9VB7Gw,part_347,2026-09-20 20:25:43
Zaika,Restaurant Chains,Fine dining restaurant,Fine dining restaurant,759116,Odisha Circle,Sambalpur Region,Dhenkanal Division,Balanda S.O,+91 99370 28918,http://www.palheights.com/,4.1,1577,"J /7, Nandankanan Rd, inside Pal heights, Jayadev Vihar, Bhubaneswar, Odisha 751013",Jayadev Vihar,20.2985276,85.8232898,ChIJC4Pm-MMJGToRyIqH6ubH888,https://www.google.com/maps/place/?q=place_id:ChIJC4Pm-MMJGToRyIqH6ubH888,part_347,2026-09-20 20:25:43
The Basil Cafe & Restro,Restaurant Chains,Vegetarian restaurant,"Vegetarian restaurant, Animal cafe, Cafe",759116,Odisha Circle,Sambalpur Region,Dhenkanal Division,Balanda S.O,+91 80184 91379,N/A,4.6,624,"K7, Kalinganagar, Bhubaneswar, Shankarpur, Odisha 751029",Kalinganagar,20.267193499999998,85.7600436,ChIJzWvhJZepGToRYZJ2J7RsVS4,https://www.google.com/maps/place/?q=place_id:ChIJzWvhJZepGToRYZJ2J7RsVS4,part_347,2026-09-20 20:25:43
Urban Tadka,Restaurant Chains,Biryani restaurant,"Biryani restaurant, Indian restaurant",759116,Odisha Circle,Sambalpur Region,Dhenkanal Division,Balanda S.O,+91 91789 61555,N/A,3.9,2602,"Veer Surendra Sai Marg, Sakhipara, Sambalpur, Odisha 768001",Sakhipara,21.467793699999998,83.9764532,ChIJ6cAj0IAWIToRMKQrVrm8S_Y,https://www.google.com/maps/place/?q=place_id:ChIJ6cAj0IAWIToRMKQrVrm8S_Y,part_347,2026-09-20 20:25:43
grill901,Restaurant Chains,Restaurant,Restaurant,759116,Odisha Circle,Sambalpur Region,Dhenkanal Division,Balanda S.O,N/A,https://instagram.com/grill_901?igshid=MzRlODBiNWFlZA==,4.1,246,"grill901, beside SBI bank, Kuarmunda, Odisha 770039",759116,22.2796615,84.7691388,ChIJiRCZfXgRIDoRPXy005aCLsg,https://www.google.com/maps/place/?q=place_id:ChIJiRCZfXgRIDoRPXy005aCLsg,part_347,2026-09-20 20:25:43
ROYAL'S KITCHEN,Restaurant Chains,Vegetarian restaurant,"Vegetarian restaurant, Biryani restaurant, Dhaba, Family restaurant, Fine dining restaurant, Indian restaurant, Lunch restaurant, North Indian restaurant, Restaurant, Vegan restaurant",759116,Odisha Circle,Sambalpur Region,Dhenkanal Division,Balanda S.O,+91 82493 77899,https://www.facebook.com/myroyalskitchen,4.3,492,"Plot -F, SQUARE, Chandaka Industrial Estate, industrial area, Infocity, Chandrasekharpur, Bhubaneswar, Odisha 751021","Chandaka Industrial Estate, industrial area, Infocity, Chandrasekharpur",20.3421624,85.8076,ChIJ8Sitj0gJGToRWxTkbvkpstQ,https://www.google.com/maps/place/?q=place_id:ChIJ8Sitj0gJGToRWxTkbvkpstQ,part_347,2026-09-20 20:25:43
