business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Arya Convention | Berhampur's Modern Celebration House,Banquet Hall,Banquet hall,"Banquet hall, Marriage celebrant",760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",N/A,https://tourmkr.com/F10tGMgwka,4.7,,"Subarao Square Road, Godavarish Nagar, Brahmapur, Odisha 760001",Godavarish Nagar,19.3081833,84.7975196,ChIJnSnT2ndRPToRFMyFGzHCL_k,https://www.google.com/maps/place/?q=place_id:ChIJnSnT2ndRPToRFMyFGzHCL_k,part_347,2026-09-20 20:39:45
BHASKAR CELEBRATION | BERHAMPUR,Banquet Hall,Banquet hall,Banquet hall,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 98617 64583,N/A,4.8,,"near Kali Mandir, Lochapada, Brahmapur, Odisha 760002",Lochapada,19.329592299999998,84.80304559999999,ChIJWSdRiI1RPToRPS0qebK4V78,https://www.google.com/maps/place/?q=place_id:ChIJWSdRiI1RPToRPS0qebK4V78,part_347,2026-09-20 20:39:45
Saptashree Banquet,Banquet Hall,Banquet hall,"Banquet hall, Event management company, Wedding venue",760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 91247 54315,N/A,4.6,,"Sibaram Nagar, opposite of Kali Mandir, Narayana Nagar, Haridakhandi, Brahmapur, Odisha 760006","Narayana Nagar, Haridakhandi",19.320189799999998,84.7751382,ChIJK3dHAQBRPToRKtS7lFr6a78,https://www.google.com/maps/place/?q=place_id:ChIJK3dHAQBRPToRKtS7lFr6a78,part_347,2026-09-20 20:39:45
Swastik celebration,Banquet Hall,Banquet hall,Banquet hall,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",N/A,N/A,4.7,,"3rd line, Rama Krishna Nagar, Godavarish Nagar, Brahmapur, Odisha 760001","Rama Krishna Nagar, Godavarish Nagar",19.3109236,84.7997577,ChIJg5YcJylRPToRSnDh9FkqaGA,https://www.google.com/maps/place/?q=place_id:ChIJg5YcJylRPToRSnDh9FkqaGA,part_347,2026-09-20 20:39:45
SUDHA Banquet || SUDHA Kalyan Mandap,Banquet Hall,Event venue,Event venue,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 84478 01011,N/A,4.2,,"Vasant Vihar, Main Road, Brahmapur, Bhabinipur, Odisha 760001","Brahmapur, Bhabinipur",19.3248149,84.810164,ChIJO9EpjQxRPToRL_Vcs3ogfik,https://www.google.com/maps/place/?q=place_id:ChIJO9EpjQxRPToRL_Vcs3ogfik,part_347,2026-09-20 20:39:45
Chaya Celebrations,Banquet Hall,Banquet hall,"Banquet hall, Event venue, Wedding venue",760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 94371 65956,N/A,4.6,,"2nd Ln, near Mahamayee College, behind Lalchand Jewellers, Seventh Canal, Gandhi Nagar, Brahmapur, Odisha 760002","Seventh Canal, Gandhi Nagar",19.3100351,84.7856401,ChIJRdhGaPZRPToRx-yxHVv7SmY,https://www.google.com/maps/place/?q=place_id:ChIJRdhGaPZRPToRx-yxHVv7SmY,part_347,2026-09-20 20:39:45
"TRILOK PREEMINENCE, CELEBRATIONS & MANDAP",Banquet Hall,Banquet hall,Banquet hall,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 93375 00697,N/A,4.4,,"Katho Mentu Road, Haridakhandi Chowk, near State Bank of India, Brahmapur, Odisha 760006",Bank Colony,19.3151932,84.7940495,ChIJ-12ATgBPPToRujowsPTGkkM,https://www.google.com/maps/place/?q=place_id:ChIJ-12ATgBPPToRujowsPTGkkM,part_347,2026-09-20 20:39:45
Kundan Celebrations,Banquet Hall,Banquet hall,"Banquet hall, Bingo hall, Curling hall, Festival hall, Masonic center, Philharmonic hall, Scout hall",760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",N/A,https://kundan-celebration.grexa.site/,4.5,,"Main Road, near Saraswati Sisu Vidya Mandir, Neelakantha Nagar, Housing Board Colony, Brahmapur, Odisha 760002","Neelakantha Nagar, Housing Board Colony",19.304187499999998,84.7814375,ChIJlQi98XdRPToRhRSLcIU6lz0,https://www.google.com/maps/place/?q=place_id:ChIJlQi98XdRPToRhRSLcIU6lz0,part_347,2026-09-20 20:39:45
Om Palace | Modern Banquet Hall,Banquet Hall,Banquet hall,"Banquet hall, Marriage celebrant",760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 94376 30005,N/A,4.8,,"8Q3J+MH2, Main Road, near Saraswati Sisu Vidya Mandir, Neelakantha Nagar, Housing Board Colony, Brahmapur, Odisha 760002","Neelakantha Nagar, Housing Board Colony",19.3040533,84.7813915,ChIJX-bUfQBRPToRtUE2PGSWp9M,https://www.google.com/maps/place/?q=place_id:ChIJX-bUfQBRPToRtUE2PGSWp9M,part_347,2026-09-20 20:39:45
VEDICA Banquets hall.,Banquet Hall,Furniture store,Furniture store,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",N/A,N/A,4.0,,"Bijipur Main Rd, Nilakantha Nagar, Sundar Nagar, Brahmapur, Odisha 760001","Nilakantha Nagar, Sundar Nagar",19.300662499999998,84.7935236,ChIJxTzKNe1bPToRjU5n2tPOR4c,https://www.google.com/maps/place/?q=place_id:ChIJxTzKNe1bPToRjU5n2tPOR4c,part_347,2026-09-20 20:39:45
