business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KAVACH SEVASADAN ( Advanced ENT Hospital),ENT Clinic,Hospital,Hospital,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 97780 08008,https://kavachenthospital.co.in/,4.7,93.0,"Brahma nagar, 2nd Ln, near State bank of india, Jyoti Nagar, Brahmapur, Odisha 760001",Jyoti Nagar,19.3153215,84.802067,ChIJUQjqHMxRPToRiZ-pyDi6gyk,https://www.google.com/maps/place/?q=place_id:ChIJUQjqHMxRPToRiZ-pyDi6gyk,part_347,2026-09-20 20:39:35
ARUNDHATI PANIGRAHY ENT,ENT Clinic,Medical clinic,Medical clinic,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",N/A,N/A,2.0,2.0,"8R62+QM6, Lingaraj Nagar, Aurobinda Nagar, Brahmapur, Odisha 760001","Lingaraj Nagar, Aurobinda Nagar",19.3119211,84.8016442,ChIJcQNnWgBRPToRA1tgtojLjkM,https://www.google.com/maps/place/?q=place_id:ChIJcQNnWgBRPToRA1tgtojLjkM,part_347,2026-09-20 20:39:35
Dr. R V Nataraj | Best ENT Surgeon in Brahmapur,ENT Clinic,ENT Specialist,ENT Specialist,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 86910 85580,N/A,5.0,1.0,"House number 133, 134 Bank colony, 1st Ln, opposite Bal Ganesh Play School, Siddharth Nagar, Brahmapur, Odisha 760004",Siddharth Nagar,19.3165387,84.80699949999999,ChIJt9y3CjpRPToR4l0iPATgmQg,https://www.google.com/maps/place/?q=place_id:ChIJt9y3CjpRPToR4l0iPATgmQg,part_347,2026-09-20 20:39:35
Dr Anchal Gupta ENT Specialist (Ear Nose Throat Doctor),ENT Clinic,ENT Specialist,"ENT Specialist, Head and neck surgeon",760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 96973 01200,N/A,5.0,1333.0,"Life cure Chemist, Gole Market, Chowk, Gandhi Nagar, Jammu, Jammu and Kashmir 180001",Gandhi Nagar,32.701628,74.8590242,ChIJido3EUuFHjkRPJsIXnghqZc,https://www.google.com/maps/place/?q=place_id:ChIJido3EUuFHjkRPJsIXnghqZc,part_347,2026-09-20 20:39:35
"Dr. Gupta's ENT, Allergy and Vertigo Centre",ENT Clinic,ENT Specialist,"ENT Specialist, Allergist",760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 99065 36333,N/A,5.0,2654.0,"110, near Post Office, Sector 1, Trikuta Nagar, Jammu, Jammu and Kashmir 180015","Sector 1, Trikuta Nagar",32.693682599999995,74.8788381,ChIJvZWlrYWDHjkRLsLZ52468_c,https://www.google.com/maps/place/?q=place_id:ChIJvZWlrYWDHjkRLsLZ52468_c,part_347,2026-09-20 20:39:35
Raju Clinic,ENT Clinic,Diabetologist,Diabetologist,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",N/A,N/A,4.8,9.0,"Khaspa St, Mangalavarapeta, Triveni Nagar, Brahmapur, Odisha 760009","Mangalavarapeta, Triveni Nagar",19.314990299999998,84.7763365,ChIJgYCbywVRPToRxpZ-4qahMmM,https://www.google.com/maps/place/?q=place_id:ChIJgYCbywVRPToRxpZ-4qahMmM,part_347,2026-09-20 20:39:35
CITY DENTAL ( DR BIBHUKESH PANIGRAHI MDS ),ENT Clinic,Dental clinic,"Dental clinic, Dentist, Otolaryngology clinic",760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 80180 28030,N/A,3.8,83.0,"Canara bank ATM, New Bus Stand Rd, near CHINNARI COMPLEX, Bhaba Nagar, Brahmapur, Odisha 760004",Bhaba Nagar,19.3109379,84.80430419999999,ChIJa7iQr3BQPToRCbr6nC3pgEU,https://www.google.com/maps/place/?q=place_id:ChIJa7iQr3BQPToRCbr6nC3pgEU,part_347,2026-09-20 20:39:35
Hearing & Speech clinic berhampur,ENT Clinic,Speech & Hearing Specialist,"Speech & Hearing Specialist, Audiologist",760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 92380 41006,N/A,4.8,24.0,"in front of New Bus Stand Road, 2nd gate Medical, Medical Bank Colony, Brahmapur, Odisha 760001","2nd gate Medical, Medical Bank Colony",19.3139114,84.8018525,ChIJ23oA-XBQPToR-TvMg3jThT4,https://www.google.com/maps/place/?q=place_id:ChIJ23oA-XBQPToR-TvMg3jThT4,part_347,2026-09-20 20:39:35
MAA TARA TARINI DOCTOR'S POINT,ENT Clinic,Medical clinic,"Medical clinic, Health consultant",760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 81441 43088,N/A,5.0,182.0,"8R54+Q75, New Bus Stand Rd, Goilundi, Brahmapur, Odisha 760004",Goilundi,19.309356899999997,84.80569919999999,ChIJ63Y05f9RPToR7zGKrRvrkQQ,https://www.google.com/maps/place/?q=place_id:ChIJ63Y05f9RPToR7zGKrRvrkQQ,part_347,2026-09-20 20:39:35
Speech & Hearing Clinic,ENT Clinic,Medical clinic,Medical clinic,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 98611 93189,N/A,4.5,6.0,"Gosani Nuagam, Brahmapur, Odisha 760005",Gosani Nuagam,19.3009518,84.7955607,ChIJvYmPDJ9aPToRK1nQoCKYOU0,https://www.google.com/maps/place/?q=place_id:ChIJvYmPDJ9aPToRK1nQoCKYOU0,part_347,2026-09-20 20:39:35
Dr Sabyasachi Ghosh,ENT Clinic,ENT Specialist,ENT Specialist,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 81010 16329,https://www.facebook.com/share/1DBKa9aTu3/,4.9,68.0,"114, Pilkhana Rd, Ranibagan, Khagra, Berhampore, West Bengal 742101","Ranibagan, Khagra",24.100055599999997,88.25648199999999,ChIJGXIwCQB9-TkRnzs45Cxx42g,https://www.google.com/maps/place/?q=place_id:ChIJGXIwCQB9-TkRnzs45Cxx42g,part_347,2026-09-20 20:39:35
Gupta ENT Hospital,ENT Clinic,ENT Specialist,ENT Specialist,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 82848 57950,N/A,4.5,396.0,"Patel Chowk, Patel Nagar, Pathankot, Punjab 145001","Patel Chowk, Patel Nagar",32.2694855,75.65574389999999,ChIJz00BHm5_HDkRbf1npSmNTRs,https://www.google.com/maps/place/?q=place_id:ChIJz00BHm5_HDkRbf1npSmNTRs,part_347,2026-09-20 20:39:35
Sensible Senses ENT Hospital,ENT Clinic,ENT Specialist,ENT Specialist,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 98761 37469,http://www.sensiblesensesenthospital.com/,4.6,227.0,"c block, 63 - 64, Green Avenue, Amritsar, Punjab 143001",Green Avenue,31.6507044,74.8660702,ChIJFWzaS6NkGTkR7uICNramlsU,https://www.google.com/maps/place/?q=place_id:ChIJFWzaS6NkGTkR7uICNramlsU,part_347,2026-09-20 20:39:35
Tarini Clinic,ENT Clinic,Doctor,Doctor,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",N/A,N/A,4.5,2.0,"8R72+JC2, New Bus Stand Rd, Baikuntha Nagar, Manjari Nagar, Brahmapur, Odisha 760001","Baikuntha Nagar, Manjari Nagar",19.3140026,84.8010173,ChIJJQuQo3FQPToRyHhOys1grqE,https://www.google.com/maps/place/?q=place_id:ChIJJQuQo3FQPToRyHhOys1grqE,part_347,2026-09-20 20:39:35
MEDINI ENT CENTRE,ENT Clinic,ENT Specialist,ENT Specialist,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 78880 57666,N/A,4.9,,"Gandhi Nagar, Andhra Bank Road, Kasibugga, Palasa, Andhra Pradesh 532222",Kasibugga,18.7633621,84.4180968,ChIJvbR5gBsHPToRe2q9K6AEiPk,https://www.google.com/maps/place/?q=place_id:ChIJvbR5gBsHPToRe2q9K6AEiPk,part_347,2026-09-20 20:39:35
Audizone hearing Care Pvt Ltd. Berhampur,ENT Clinic,Otolaryngology clinic,Otolaryngology clinic,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 82490 66613,https://audizonehearing.in/,4.8,,"Number, SQUARE, Goilundi, Brahmapur, Odisha 760004",Goilundi,19.3085329,84.8064409,ChIJfTSJ7OdRPToRB2F1FUoc5_U,https://www.google.com/maps/place/?q=place_id:ChIJfTSJ7OdRPToRB2F1FUoc5_U,part_347,2026-09-20 20:39:35
Dr Ruchika Grover,ENT Clinic,ENT Specialist,ENT Specialist,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 82880 82870,https://www.medicaidhospital.com/ent-specialist-in-amritsar/,4.8,,"Medicaid Hospital, 102 Circular Road, Rattan Singh Chowk, Amritsar, Punjab 143001",Nirankari Colony,31.6568205,74.87268929999999,ChIJiZrI6Z1kGTkR2LgTUEMy4Vo,https://www.google.com/maps/place/?q=place_id:ChIJiZrI6Z1kGTkR2LgTUEMy4Vo,part_347,2026-09-20 20:39:35
TRUE CARE CLINIC,ENT Clinic,Hospital,Hospital,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",N/A,N/A,4.0,,"SNT ROAD ,near metro bazar, beside sahu medical store, Brahmapur, Odisha 760001",Gandhi Nagar,19.3105229,84.7914579,ChIJ1cEUmYZRPToR4G89gBuZTBU,https://www.google.com/maps/place/?q=place_id:ChIJ1cEUmYZRPToR4G89gBuZTBU,part_347,2026-09-20 20:39:35
Dr. Prakash Chandra Patra,ENT Clinic,Doctor,Doctor,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",N/A,N/A,5.0,,"8Q7V+JXQ, New Bus Stand Rd, Manjari Nagar, Brahmapur, Odisha 760001",Manjari Nagar,19.314097999999998,84.7949811,ChIJqxVFY0NRPToRCUasfzHTaG8,https://www.google.com/maps/place/?q=place_id:ChIJqxVFY0NRPToRCUasfzHTaG8,part_347,2026-09-20 20:39:35
Dr. S.S.Acharya,ENT Clinic,Doctor,Doctor,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",N/A,N/A,4.6,,"8Q7H+CXM, Gadivari St, Powell, Triveni Nagar, Brahmapur, Odisha 760002","Powell, Triveni Nagar",19.3135984,84.7799284,ChIJ9b2vjQRQPToR39wFxlc6Qv0,https://www.google.com/maps/place/?q=place_id:ChIJ9b2vjQRQPToR39wFxlc6Qv0,part_347,2026-09-20 20:39:36
New maa tarini medical store,ENT Clinic,Medical equipment supplier,"Medical equipment supplier, Doctor",760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",N/A,N/A,4.8,,"in side of city dental ent, near New Bus Stand Road, Bhaba Nagar, Brahmapur, Odisha 760004",Bhaba Nagar,19.311265,84.8042413,ChIJF0jK_zJRPToRvNzwrnzPYNY,https://www.google.com/maps/place/?q=place_id:ChIJF0jK_zJRPToRvNzwrnzPYNY,part_347,2026-09-20 20:39:36
Dr sagar mahapatra,ENT Clinic,Doctor,Doctor,760001,Odisha Circle,Berhampur Region,Berhampur Division,"Berhampur(GM) H.O, Brajanagar, Badakhemundi Street S.O",+91 94398 62970,N/A,3.0,,"8R63+FWP, Bhaba Nagar, Brahmapur, Odisha 760004",Bhaba Nagar,19.3112174,84.80483079999999,ChIJU1Q4BnpQPToR79vAcNqF8yU,https://www.google.com/maps/place/?q=place_id:ChIJU1Q4BnpQPToR79vAcNqF8yU,part_347,2026-09-20 20:39:36
