business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hiside Bar,Bar and Pub,Bar,"Bar, Bar & grill, Restaurant",760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",+91 63804 37591,https://hisidebar.com/,4.2,,"2nd Floor, The Retreat Hotel, 208 A, Velachery Main Rd, Camp Road Junction, Mahalakshmi Nagar, Selaiyur, Tambaram, Tamil Nadu 600073","Camp Road Junction, Mahalakshmi Nagar, Selaiyur",12.922826899999999,80.1432146,ChIJWeFt5-FeUjoRI_VqmwU12-M,https://www.google.com/maps/place/?q=place_id:ChIJWeFt5-FeUjoRI_VqmwU12-M,part_347,2026-09-20 20:43:47
The Pint Room,Bar and Pub,Bar,"Bar, Cafe, Family restaurant, Fast food restaurant, Restaurant",760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",+91 88261 16257,https://thepintroom.in/,4.4,,"D Block, D12, Market, above Bank Of India, Vasant Vihar, New Delhi, Delhi 110057",Vasant Vihar,28.561487699999997,77.1554275,ChIJwVKNm84dDTkRKzzevBTblgM,https://www.google.com/maps/place/?q=place_id:ChIJwVKNm84dDTkRKzzevBTblgM,part_347,2026-09-20 20:43:47
6th Avenue Resto Bar,Bar and Pub,Pub,"Pub, Bar, Bar & grill, Night club, Restaurant",760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",+91 96770 96404,http://www.6thavenuerestobar.in/,4.1,,"S Block, Anna Nagar, Chennai, Tamil Nadu 600040","S Block, Anna Nagar",13.0923585,80.2122739,ChIJSS7kLepmUjoRZ8_NUOH8kFg,https://www.google.com/maps/place/?q=place_id:ChIJSS7kLepmUjoRZ8_NUOH8kFg,part_347,2026-09-20 20:43:47
Adam’s Ale,Bar and Pub,Bar,"Bar, Restaurant, Night club",760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",+91 99933 11690,https://adamsale.in/,4.0,,"Adam's Ale Service Road, Bicholi Hapsi Main Rd, AB Road, Bicholi Mardana, Indore, Madhya Pradesh 452016","AB Road, Bicholi Mardana",22.7154351,75.93022789999999,ChIJ5YxOAbDjYjkRl5D9h-ZODIE,https://www.google.com/maps/place/?q=place_id:ChIJ5YxOAbDjYjkRl5D9h-ZODIE,part_347,2026-09-20 20:43:47
HOTEL BIG CHILL BAR AND RESTAURANT,Bar and Pub,Bar,"Bar, Hotel, Restaurant",760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",N/A,N/A,3.9,,"Plot No. 26-27 Above Khushal Motors Motor Market, Vishwakarma Nagar, Kota, Rajasthan 324005","Vishwakarma Nagar, Transport Nagar, Rangbari",25.1306203,75.8484366,ChIJR8wXOfmFbzkR9Vw7jN0yMSU,https://www.google.com/maps/place/?q=place_id:ChIJR8wXOfmFbzkR9Vw7jN0yMSU,part_347,2026-09-20 20:43:47
The Leather Bar,Bar and Pub,Bar,"Bar, Lounge bar",760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",+91 44 4267 6000,N/A,4.5,,"Anna Salai, Near US Embassy, 601, Uthamar Gandhi Rd, Chennai, Tamil Nadu 600006","Gangai Karai Puram, T. Nagar",13.0528818,80.249861,ChIJLTmt-RlmUjoRsveSlxn-byM,https://www.google.com/maps/place/?q=place_id:ChIJLTmt-RlmUjoRsveSlxn-byM,part_347,2026-09-20 20:43:47
Open Tap,Bar and Pub,Brewpub,"Brewpub, Beer hall",760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",+91 88006 69652,N/A,4.4,,"Tower B, 9 And 10, Sector 49, Gurugram, Haryana 122018","Vatika City, Block W, Sector 49",28.405208,77.04459039999999,ChIJyZKwCJIiDTkRGKcf1QzlDZU,https://www.google.com/maps/place/?q=place_id:ChIJyZKwCJIiDTkRGKcf1QzlDZU,part_347,2026-09-20 20:43:48
Marcopolo Lounge Bar,Bar and Pub,Lounge bar,"Lounge bar, Restaurant",760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",+91 63097 16262,https://www.itchotels.in/hotels/visakhapatnam/welcomhotelgrandbay/dining/marcopolo-lounge-bar.html?utm_source=google&utm_medium=organic%20Search&utm_term=welcomhotelgrandbay%20Restaurants&utm_campaign=listing,4.6,,"Beach Rd, Krishna Nagar, Maharani Peta, Visakhapatnam, Andhra Pradesh 530002","Krishna Nagar, Maharani Peta",17.7118891,83.3155432,ChIJFfxLHhNDOToRncl2MvnH6lQ,https://www.google.com/maps/place/?q=place_id:ChIJFfxLHhNDOToRncl2MvnH6lQ,part_347,2026-09-20 20:43:48
Middle Of Nowhere,Bar and Pub,Gastropub,"Gastropub, Bar",760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",+91 96772 27748,N/A,4.4,,"1, Bazaar Rd, Collector Nagar, J J Nagar, Mogappair East, Chennai, Tamil Nadu 600037","Collector Nagar, J J Nagar, Mogappair East",13.0876208,80.1881894,ChIJxzyUEf5lUjoRlDFp29BW2G0,https://www.google.com/maps/place/?q=place_id:ChIJxzyUEf5lUjoRlDFp29BW2G0,part_347,2026-09-20 20:43:48
IAH Bar,Bar and Pub,Bar,"Bar, Restaurant",760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",+91 96500 46392,http://www.roseatehotels.com/newdelhi/theroseate/dine/iah-bar/,4.4,,"IAH BAR, near IGI Airport, NH-8, Samalka, New Delhi, Delhi 110097","D Block, Samalka",28.531924,77.1041805,ChIJK0L07wccDTkRBldtIAwkabY,https://www.google.com/maps/place/?q=place_id:ChIJK0L07wccDTkRBldtIAwkabY,part_347,2026-09-20 20:43:48
