business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa Tara Tarini casew store,Shops,Dry Fruit Store,Dry Fruit Store,760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",N/A,N/A,5.0,2.0,"Udaya nagar, Ankuli, Brahmapur, Odisha 760008","Udaya nagar, Ankuli",19.3027074,84.82170099999999,ChIJc0ODBiVbPToRWIl5wHgsw4M,https://www.google.com/maps/place/?q=place_id:ChIJc0ODBiVbPToRWIl5wHgsw4M,part_347,2026-09-20 20:44:18
Rinki General Store,Shops,General store,General store,760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",+91 78469 57439,N/A,,,"Shop No.6, Main Road, near Over Bridge, Brundaban Nagar, Indira Nagar, Brahmapur, Odisha 760008","Brundaban Nagar, Indira Nagar",19.303581599999998,84.82017929999999,ChIJcdXgBkhbPToRwNR_QRoMxOY,https://www.google.com/maps/place/?q=place_id:ChIJcdXgBkhbPToRwNR_QRoMxOY,part_347,2026-09-20 20:44:18
Palo Puja Center,Shops,Store,"Store, Religious goods store",760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",+91 90401 09635,N/A,3.8,34.0,"8R3C+738, Ankuli, Brahmapur, Odisha 760008",Ankuli,19.3031567,84.8201929,ChIJg0tiM39aPToRtEpvH0juhko,https://www.google.com/maps/place/?q=place_id:ChIJg0tiM39aPToRtEpvH0juhko,part_347,2026-09-20 20:44:18
jagannath general store,Shops,General store,General store,760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",+91 82607 99983,N/A,5.0,1.0,"Nigamnagar5th lane, Nigam Nagar, Ankuli, Brahmapur, Odisha 760008","Nigam Nagar, Ankuli",19.304489399999998,84.82379019999999,ChIJ21yMmV1bPToR1IQ6K-YpdhA,https://www.google.com/maps/place/?q=place_id:ChIJ21yMmV1bPToR1IQ6K-YpdhA,part_347,2026-09-20 20:44:18
Biswal Bhaban Puja Bhandar,Shops,General store,General store,760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",+91 80937 18757,N/A,5.0,1.0,"Biswal Bhaban, Industrial State, Ankuli, Brahmapur, Odisha 760008","Industrial State, Ankuli",19.3031088,84.8203101,ChIJN4TSUpRbPToR-q0-aM02rOs,https://www.google.com/maps/place/?q=place_id:ChIJN4TSUpRbPToR-q0-aM02rOs,part_347,2026-09-20 20:44:18
Jaganatha general store,Shops,General store,General store,760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",N/A,N/A,,,"8R3G+JF4, Nigam Nagar, Ankuli, Brahmapur, Odisha 760008","Nigam Nagar, Ankuli",19.304018199999998,84.8262013,ChIJ9QkvNgBbPToRb2SXVxw9Zr0,https://www.google.com/maps/place/?q=place_id:ChIJ9QkvNgBbPToRb2SXVxw9Zr0,part_347,2026-09-20 20:44:18
Maa Taratarini variety store,Shops,Variety store,Variety store,760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",+91 79782 09534,N/A,4.7,,"Lane No. 4, Panchasila Nagar, Keshav nagar, Brahmapur, Odisha 760008","Panchasila Nagar, Keshav nagar",19.3009813,84.8199047,ChIJv_t0gQ5bPToR5p7Qe1G-PyM,https://www.google.com/maps/place/?q=place_id:ChIJv_t0gQ5bPToR5p7Qe1G-PyM,part_347,2026-09-20 20:44:18
ଉତ୍କଳ ହାଟ Utkal Haat,Shops,Store,Store,760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",N/A,http://learnayush.nowfloats.com/,4.4,,"Assis Market complex, Ankuli Main Rd, Industrial Estate, Brahmapur, Odisha 760008",Industrial Estate,19.3028667,84.82066549999999,ChIJQ2r7lWRbPToRAgvJ_M_sjRU,https://www.google.com/maps/place/?q=place_id:ChIJQ2r7lWRbPToRAgvJ_M_sjRU,part_347,2026-09-20 20:44:18
Maa Mahamaye Panir And Moosrum,Shops,Dairy store,Dairy store,760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",+91 90905 28309,N/A,4.6,,"Shop No5, Industries Choko, Panchasila Nagar, Ankuli, Brahmapur, Odisha 760008","Panchasila Nagar, Ankuli",19.302691799999998,84.8192878,ChIJ1YMYWo9RPToRp_m2bbnhwcM,https://www.google.com/maps/place/?q=place_id:ChIJ1YMYWo9RPToRp_m2bbnhwcM,part_347,2026-09-20 20:44:18
Bajrangi Car Accessories,Shops,Auto Accessories Store,Auto Accessories Store,760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",+91 63724 86322,N/A,4.9,,"bypass, near iskcon temple, Lanjipalli, Brahmapur, Odisha 760008",Lanjipalli,19.2961507,84.8192928,ChIJjSMuXIhbPToR4KCQc3RlVA0,https://www.google.com/maps/place/?q=place_id:ChIJjSMuXIhbPToR4KCQc3RlVA0,part_347,2026-09-20 20:44:18
Chakanayan Vedalex Herbal Store,Shops,Herbal medicine store,Herbal medicine store,760008,Odisha Circle,Berhampur Region,Berhampur Division,"Lanjipalli S.O, Industrial Estates S.O",N/A,N/A,4.0,1.0,"KHALLA STREET, Ankuli, Brahmapur, Odisha 760008",Ankuli,19.300275199999998,84.82747169999999,ChIJG2HuhQNbPToRbXZGSwbJTWU,https://www.google.com/maps/place/?q=place_id:ChIJG2HuhQNbPToRbXZGSwbJTWU,part_347,2026-09-20 20:44:19
