business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
AUDIT GURU'S CONSULTANCY,Business and Audit Services,Business management consultant,Business management consultant,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 77918 36457,http://www.auditgurus.in/,4.9,,"Time square, Sector 2, Central Spine, Vidyadhar Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302039","Sector 2, Central Spine, Vidyadhar Nagar",26.9605303,75.7786635,ChIJe1C1pG-zbTkRtMnp9_7jyGA,https://www.google.com/maps/place/?q=place_id:ChIJe1C1pG-zbTkRtMnp9_7jyGA,part_348,2026-09-20 20:18:23,5823
A Bhandari & Co.,Business and Audit Services,Certified public accountant,Certified public accountant,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 87704 29898,http://abhandari.in/,4.8,,"606-607 Milestone Unique Builders Building Gandhi Nagar Mode, Rajasthan 302015",Bapu Nagar,26.8870349,75.80295129999999,ChIJycMrTIO1bTkRprdpbv053ZQ,https://www.google.com/maps/place/?q=place_id:ChIJycMrTIO1bTkRprdpbv053ZQ,part_348,2026-09-20 20:18:23,5824
BRAHM & ASSOCIATES,Business and Audit Services,Chartered accountant,Chartered accountant,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,4.7,,"2nd Floor, Above Kitmatt Mall, Hirji Mistry Rd, Jamnagar, Gujarat 361006",Nand Dham Society,22.4611683,70.05159379999999,ChIJKb08x7tqVzkRLQkNEAOhe7U,https://www.google.com/maps/place/?q=place_id:ChIJKb08x7tqVzkRLQkNEAOhe7U,part_348,2026-09-20 20:18:23,5825
Adarsha Associates,Business and Audit Services,Auditor,Auditor,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 98863 31714,N/A,5.0,,"74, 2nd Cross Road, Mathura Nagar, Metagalli, Mysuru, Karnataka 570016","Mathura Nagar, Metagalli",12.3452711,76.6336821,ChIJpfNR_FF7rzsRkqqQUp3h-RY,https://www.google.com/maps/place/?q=place_id:ChIJpfNR_FF7rzsRkqqQUp3h-RY,part_348,2026-09-20 20:18:23,5826
Fundscoop Advisors,Business and Audit Services,Tax consultant,Tax consultant,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 76040 33340,http://www.taxscoop.in/,4.9,,"4th Floor, Amrit Tower, EN-26, EN Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091","EN Block, Sector V, Bidhannagar",22.5733203,88.4317463,ChIJq6qq2q91AjoRPn7taec10RE,https://www.google.com/maps/place/?q=place_id:ChIJq6qq2q91AjoRPn7taec10RE,part_348,2026-09-20 20:18:23,5827
SRPM AND ASSOCIATES,Business and Audit Services,Certified public accountant,Certified public accountant,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 141 403 5275,N/A,5.0,,"5c, Ajmer Rd, near SHIVGYAN HEIGHT, Parswanath Colony, Nirman Nagar, DCM, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302021","Parswanath Colony, Nirman Nagar, DCM",26.8927667,75.7455677,ChIJXeT4LYq1bTkRKbxZ7yHDm5o,https://www.google.com/maps/place/?q=place_id:ChIJXeT4LYq1bTkRKbxZ7yHDm5o,part_348,2026-09-20 20:18:23,5828
NAVS & ASSOCIATES,Business and Audit Services,Certified public accountant,Certified public accountant,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,http://www.navsca.com/,4.0,,"P-6, SUKHI JEEVAN APARTMENT, JACOB ROAD, Ajmer Rd, Jaipur, Rajasthan 302006",Ganpati Nagar,26.913018899999997,75.7882942,ChIJT3DnRD23bTkRHYuZzkdi3Cs,https://www.google.com/maps/place/?q=place_id:ChIJT3DnRD23bTkRHYuZzkdi3Cs,part_348,2026-09-20 20:18:23,5829
SAMK & Co,Business and Audit Services,Chartered accountant,Chartered accountant,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,4.8,,"Office no 3A, 3rd Floor, 277, Bepin Behari Ganguly St, Poddar Court, Tiretti, Kolkata, West Bengal 700012","Poddar Court, Tiretti",22.571444099999997,88.3554699,ChIJWdkDvb13AjoRn6njNwh07HE,https://www.google.com/maps/place/?q=place_id:ChIJWdkDvb13AjoRn6njNwh07HE,part_348,2026-09-20 20:18:23,5830
B D M S & ASSOCIATES,Business and Audit Services,Certified public accountant,Certified public accountant,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",N/A,N/A,5.0,,"Central Bank of India Building Phulnakhara, near electric sub station, Bhubaneswar, Odisha 754001",761003,20.357535499999997,85.8942725,ChIJfSl7LboLGToRFnbqSk-shgo,https://www.google.com/maps/place/?q=place_id:ChIJfSl7LboLGToRFnbqSk-shgo,part_348,2026-09-20 20:19:08,11900
S K NAYAK & ASSOCIATES,Business and Audit Services,Chartered accountant,Chartered accountant,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",N/A,N/A,,,"First Ln Ext, Gandhi Nagar, Brahmapur, Odisha 760001",Gandhi Nagar,19.3101816,84.7864493,ChIJT12dsANRPToRkL_Zn0_6rW4,https://www.google.com/maps/place/?q=place_id:ChIJT12dsANRPToRkL_Zn0_6rW4,part_348,2026-09-20 20:19:08,11901
