business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Maa Birashingi Cold Store,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,5.0,,"NH-5 Haldiapadara Bramhapur, Odisha 760003",761002,19.281678,84.7909098,ChIJUUWm09RbPToRidg-13s0iw4,https://www.google.com/maps/place/?q=place_id:ChIJUUWm09RbPToRidg-13s0iw4,part_348,2026-09-20 20:18:25,6311
Prabhu Hira Agro Cold Storage LLP,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 95111 10080,https://www.prabhuhira.com/,5.0,,"Unit-3 : Plot No.44, APMC Yard, 1 to 5, MAFCO Rd, Sector 18, Vashi, Navi Mumbai, Maharashtra 400703","Sector 18, Vashi",19.070682899999998,73.004746,ChIJo-Xdvv_B5zsRjuFrehHvEbU,https://www.google.com/maps/place/?q=place_id:ChIJo-Xdvv_B5zsRjuFrehHvEbU,part_348,2026-09-20 20:18:25,6312
ATLAS COLD STORAGE,Warehouse and Cold Storage,Cold storage facility,"Cold storage facility, Warehouse",761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 97022 58570,https://atlascoldstorage.in/,4.8,,"Plot No. 17/38, near Panchmahal Dairy, Taloja, Panvel, Maharashtra 410208",Taloja,19.0568536,73.1159576,ChIJNzbHUG3p5zsRZtagBzAZNVY,https://www.google.com/maps/place/?q=place_id:ChIJNzbHUG3p5zsRZtagBzAZNVY,part_348,2026-09-20 20:18:25,6313
Mahalaxmi Cold Store,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,4.2,59.0,"99, Kalinga Vihar, Patrapada, Bhubaneswar, Odisha 751019","Kalinga Vihar, Patrapada",20.2421953,85.76793239999999,ChIJy4OHx9enGToRUvLWoB64Kuk,https://www.google.com/maps/place/?q=place_id:ChIJy4OHx9enGToRUvLWoB64Kuk,part_348,2026-09-20 20:18:26,6314
JWL Cold Store Pvt Ltd,Warehouse and Cold Storage,Cold storage facility,"Cold storage facility, Logistics service, Warehouse",761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,https://jwllogic.com/,4.1,,"15-23, National highway 4B, Panvel-JNPT highway,village Padeghar, Panvel 410206, Maharashtra., NH 4B, Ulwe, Padeghar, Maharashtra 410206",Ulwe,18.9615679,73.0453163,ChIJh-rIvSzd5zsR-lx2kOOOsyg,https://www.google.com/maps/place/?q=place_id:ChIJh-rIvSzd5zsR-lx2kOOOsyg,part_348,2026-09-20 20:18:27,6315
Supreme Cold Storage,Warehouse and Cold Storage,Cold storage facility,"Cold storage facility, Storage facility",761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 80970 48572,http://www.supremecoldchain.com/,4.1,,"Plot C, 8/4, Pawane Village Rd, TTC Industrial Area, MIDC Industrial Area, Turbhe, Navi Mumbai, Maharashtra 400703","TTC Industrial Area, MIDC Industrial Area, Turbhe",19.0865285,73.0240049,ChIJRVR9ciHP5zsRu3WLK_pBJ9I,https://www.google.com/maps/place/?q=place_id:ChIJRVR9ciHP5zsRu3WLK_pBJ9I,part_348,2026-09-20 20:18:27,6316
Prabhu Hira Ice & Cold Storage Ltd,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 95111 10080,http://www.prabhuhira.com/,4.2,,"10/11, MAFCO Rd, opposite Sanpada Railway Station Road, APMC YARD, Sector 18, Vashi, Navi Mumbai, Maharashtra 400703","APMC YARD, Sector 18, Vashi",19.0689994,73.0077853,ChIJy4DAsjbB5zsRFN_ENwVUiDQ,https://www.google.com/maps/place/?q=place_id:ChIJy4DAsjbB5zsRFN_ENwVUiDQ,part_348,2026-09-20 20:18:27,6317
Agro Fresh Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 80970 08400,N/A,4.1,,"Thane - Belapur Rd, Turbhe MIDC, Pawne, Navi Mumbai, Maharashtra 400703","Turbhe MIDC, Pawne",19.0842274,73.02226379999999,ChIJiRkK1xbB5zsR9KGS-PgGR_o,https://www.google.com/maps/place/?q=place_id:ChIJiRkK1xbB5zsR9KGS-PgGR_o,part_348,2026-09-20 20:18:27,6318
Blue Ocean Line Pvt. Ltd. Cold Store,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 98678 93120,http://www.blueocean.co.in/%20operations@blueoceanline.net/r.krishna@blueoceanline.net.%20%20kkrishnablueocean@gmail.com,4.3,,"Indian Corporation, C-4, Mumbai - Nashik Expy, near Mankoli, opp. diva Village C 4, Dapode, Dive Anjur, Maharashtra 421302",Dapode,19.2390036,73.03518629999999,ChIJPTApGCq85zsRSZve4O-sv0M,https://www.google.com/maps/place/?q=place_id:ChIJPTApGCq85zsRSZve4O-sv0M,part_348,2026-09-20 20:18:27,6319
Rishi Ice & Cold Storage pvt. Ltd.,Warehouse and Cold Storage,Storage facility,Storage facility,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 98217 87878,N/A,4.0,,"829, Turbhe Midc Rd, TTC Industrial Area, MIDC Industrial Area, Sanpada, Navi Mumbai, Maharashtra 400706","TTC Industrial Area, MIDC Industrial Area, Sanpada",19.062860399999998,73.02781159999999,ChIJXx5kI2XB5zsRgIYJCKjwGtA,https://www.google.com/maps/place/?q=place_id:ChIJXx5kI2XB5zsRgIYJCKjwGtA,part_348,2026-09-20 20:18:27,6320
JWL COLD STORE PVT LTD (3PL) PALASPE,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,4.1,,"Survey no 92/10-92/11,opp JWC LOGISTICS PARK PVT LTD,NH-17,MUMBAI GOA HIGHWAY, VILLAGE, Palaspa, Maharashtra 410221","Palaspa, Panvel",18.952339,73.1288526,ChIJpfFNm_3n5zsRxIyqYSHNKlo,https://www.google.com/maps/place/?q=place_id:ChIJpfFNm_3n5zsRxIyqYSHNKlo,part_348,2026-09-20 20:18:27,6321
JWL Logistics Private Limited,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,3.9,,"X26W+MRR, Ulwe, Padeghar, Maharashtra 410206",Ulwe,18.9617446,73.0470252,ChIJM0eNoizd5zsRIy6PURHFv6E,https://www.google.com/maps/place/?q=place_id:ChIJM0eNoizd5zsRIy6PURHFv6E,part_348,2026-09-20 20:18:27,6322
SAASTHA,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 2143 239 140,http://saasthawarehousing.com/,3.6,,"X54H+V3W, At Bhingar, Post :, Panvel, Ajivali, Maharashtra 410221",Panvel,18.9572265,73.1777063,ChIJq62HhqLn5zsR5-q1PBKbZgs,https://www.google.com/maps/place/?q=place_id:ChIJq62HhqLn5zsR5-q1PBKbZgs,part_348,2026-09-20 20:18:27,6323
Shree Sadguru Cold Storage (Frozen Foods),Warehouse and Cold Storage,Cold storage facility,Cold storage facility,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 97692 09650,http://www.indiamart.com/shreesadgurumasala/,3.6,,"T T C Industrial Area, A-231, Mahape, Post-Ghansoli, Mahape., NAVIMUMBAI, Maharashtra 400710","Electronic Zone, MIDC Industrial Area, Mahape",19.113093,73.021712,ChIJG06r2OjA5zsR6BNy2yQYbmU,https://www.google.com/maps/place/?q=place_id:ChIJG06r2OjA5zsR6BNy2yQYbmU,part_348,2026-09-20 20:18:27,6324
