business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Shakti Clinic, Big street, Bipulingi",Clinics,Medical clinic,Medical clinic,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",N/A,N/A,,,"CX29+RMR, Bipulingi Rd, Bipulingi, Odisha 761026",761003,19.4016822,84.9695127,ChIJIZ7mYwD9FzoRD4fUgK_xR8k,https://www.google.com/maps/place/?q=place_id:ChIJIZ7mYwD9FzoRD4fUgK_xR8k,part_348,2026-09-20 20:18:43
Family Health Clinic( IRE),Clinics,Hospital,Hospital,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",N/A,N/A,4.8,5.0,"8WFV+R5M, IRE Housing Colony, Sriramachandrapur, Odisha 761045",IRE Housing Colony,19.324591599999998,84.94293499999999,ChIJLdH8Hln9FzoRklN_Xssda50,https://www.google.com/maps/place/?q=place_id:ChIJLdH8Hln9FzoRklN_Xssda50,part_348,2026-09-20 20:18:43
SIVA DRUGS,Clinics,Medical clinic,Medical clinic,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",N/A,N/A,5.0,1.0,"761001, Nimakhandi Main Rd, Netaji Nagar, Nimakhandi, Odisha 761001",Netaji Nagar,19.3409098,84.7967287,ChIJcasbDQBRPToRdnAF9oOKwwY,https://www.google.com/maps/place/?q=place_id:ChIJcasbDQBRPToRdnAF9oOKwwY,part_348,2026-09-20 20:18:43
Medicine Clinic,Clinics,Alternative Medicine Clinic,Alternative Medicine Clinic,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",N/A,N/A,3.0,1.0,"CWM9+786, Sunathar, Odisha 761003",761003,19.4331508,84.9182572,ChIJqeRM771VPToRrqjc9qh-xt8,https://www.google.com/maps/place/?q=place_id:ChIJqeRM771VPToRrqjc9qh-xt8,part_348,2026-09-20 20:18:43
Kali mandira chhaka,Clinics,TB clinic,TB clinic,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",N/A,N/A,4.3,29.0,"801, Purusottampur, Odisha 761043",761003,19.517235,84.878152,ChIJaZu-XACrIjoRaNk7t84e-o8,https://www.google.com/maps/place/?q=place_id:ChIJaZu-XACrIjoRaNk7t84e-o8,part_348,2026-09-20 20:18:43
Ujwal e-Medical Service,Clinics,Medical clinic,Medical clinic,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",N/A,N/A,,,"House Of Sontosh Ku Sahu, Gobinda Vihar 9line Extension, Brahmapur, Odisha 760001",Govinda bihar,19.3232855,84.80396329999999,ChIJ55ZMoj9RPToRg7pwNLuQYb8,https://www.google.com/maps/place/?q=place_id:ChIJ55ZMoj9RPToRg7pwNLuQYb8,part_348,2026-09-20 20:18:43
MedCure Ambulance Service,Clinics,Ambulance service,Ambulance service,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 78739 77772,http://www.medcurehealthcare.in/,4.9,94.0,"jagannath vihar Bhabinipur Road, near Nursingh Temple, Brahmapur, Odisha 760004",Chatrubhuja Nagar,19.3202855,84.80986279999999,ChIJGaDmO_ZRPToR31gM82w2Ytc,https://www.google.com/maps/place/?q=place_id:ChIJGaDmO_ZRPToR31gM82w2Ytc,part_348,2026-09-20 20:18:43
Baba Gupteswar E.Homeo clinic,Clinics,Hospital,Hospital,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",N/A,N/A,5.0,2.0,"FRW8+F46, Morabai, Odisha 761043",761003,19.496154999999998,84.8152518,ChIJMYIrXtWsIjoRr7xl3NZHArk,https://www.google.com/maps/place/?q=place_id:ChIJMYIrXtWsIjoRr7xl3NZHArk,part_348,2026-09-20 20:18:43
LAKSHITA HEALTH CARE,Clinics,Medical clinic,Medical clinic,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 95567 00551,N/A,5.0,,"Medical Bank Colony, Brahmapur, Odisha 760001",Medical Bank Colony,19.314872899999997,84.8020335,ChIJ6yWzEABRPToRyINvIx1hZt4,https://www.google.com/maps/place/?q=place_id:ChIJ6yWzEABRPToRyINvIx1hZt4,part_348,2026-09-20 20:18:43
Smile Care Hospital,Clinics,Hospital,Hospital,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 94398 01212,http://smilecarehospital.com/,4.9,,"Lane No 2, near by smile care hospital, near Payal talkies, Baikuntha Nagar, Brahmapur, Odisha 760001",Baikuntha Nagar,19.315455,84.7999806,ChIJOfXpBgBRPToRIGFlGK-X3Ls,https://www.google.com/maps/place/?q=place_id:ChIJOfXpBgBRPToRIGFlGK-X3Ls,part_348,2026-09-20 20:18:43
