business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sri Krishna Traders Nut Bolt Centers,Industrial Hardware and Fasteners,Fastener supplier,Fastener supplier,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",N/A,N/A,3.9,74.0,"Jagannath complex, main road, Somanath Nagar, Brahmapur, Odisha 760001",Somanath Nagar,19.319290799999997,84.7858947,ChIJlQz_hxRQPToRdF6jjPdduMo,https://www.google.com/maps/place/?q=place_id:ChIJlQz_hxRQPToRdF6jjPdduMo,part_348,2026-09-20 20:19:10
Sneh Trading,Industrial Hardware and Fasteners,Manufacturer,Manufacturer,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 88605 16237,https://www.indiamart.com/snehtrading/,4.0,52.0,"Shop No. 3155, Lal Darwaza, Sitaram Bazar Near Chawri Bazar, New, Delhi-110006, New Delhi, Delhi 110006","Old Delhi, Chawri Bazar, Chandni Chowk",28.6482793,77.2269518,ChIJj_-_xRf9DDkRaF3CebAceQ8,https://www.google.com/maps/place/?q=place_id:ChIJj_-_xRf9DDkRaF3CebAceQ8,part_348,2026-09-20 20:19:10
"KHOJ HARDWARE STORES - Steel Wire Ropes, Polyester LiftingBelt, InvsibleGrillwireropes, ElectricHoist, Lifting Hooks Tackles",Industrial Hardware and Fasteners,Manufacturer,Manufacturer,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 98215 64290,https://www.khojhardware.com/,5.0,22.0,"313, Laxmi Rd, New Nana Peth, Ganesh Peth, Pune, Maharashtra 411002","New Nana Peth, Ganesh Peth",18.5152263,73.86572009999999,ChIJzxpajrrBwjsRg6zkRGMbzzM,https://www.google.com/maps/place/?q=place_id:ChIJzxpajrrBwjsRg6zkRGMbzzM,part_348,2026-09-20 20:19:10
ZENITH INDUSTRIAL PRODUCTS,Industrial Hardware and Fasteners,Manufacturer,Manufacturer,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 22 6692 3987,http://zenithindustrialproducts.com/,4.9,8.0,"1st Floor, E - 122, Saki Vihar Rd, Ansa Industrial Estate, Chandivali, Saki Naka, Mumbai, Maharashtra 400072","Ansa Industrial Estate, Chandivali, Saki Naka",19.1099001,72.8881601,ChIJ7496DA_I5zsRKL-gOONaEgc,https://www.google.com/maps/place/?q=place_id:ChIJ7496DA_I5zsRKL-gOONaEgc,part_348,2026-09-20 20:19:10
Prathi Sanitary And Hardware,Industrial Hardware and Fasteners,Hardware store,"Hardware store, Building materials store, Bathroom supply store, Pipe supplier, Pipes Wholesaler",761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 98612 64891,N/A,3.6,9.0,"Shop no 8, jamia masjid complex, One, way traffic road, Baidiya Nath Pur, Brahmapur, Odisha 760001",Baidiya Nath Pur,19.313807,84.7882478,ChIJGSypbQ5QPToRK-PQx0RJAPM,https://www.google.com/maps/place/?q=place_id:ChIJGSypbQ5QPToRK-PQx0RJAPM,part_348,2026-09-20 20:19:10
General Hardware & Industrial Stores,Industrial Hardware and Fasteners,Hardware store,"Hardware store, Industrial Spares & Products Wholesaler",761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 98803 13617,N/A,3.7,16.0,"19/2, Malavalli Rama Rao Lane, Near-Mosque, S P Road, Bengaluru, Karnataka 560002","Kalasipalam New Exte, Kumbarpet, Dodpete, Nagarathpete",12.964599999999999,77.5791086,ChIJZW7nieEVrjsR_dd4ETrdCJE,https://www.google.com/maps/place/?q=place_id:ChIJZW7nieEVrjsR_dd4ETrdCJE,part_348,2026-09-20 20:19:10
Krishna Power Tools,Industrial Hardware and Fasteners,Machine shop,Machine shop,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 94383 20125,http://krishnapowertools.com/,4.3,25.0,"Aska Rd, Infront Of Labour Office, Tulsi Nagar, Brahmapur, Odisha 760001",Tulsi Nagar,19.317873,84.7901284,ChIJ93UpPxJQPToR8pWHe6DY9J8,https://www.google.com/maps/place/?q=place_id:ChIJ93UpPxJQPToR8pWHe6DY9J8,part_348,2026-09-20 20:19:10
Sangam Metal Industries,Industrial Hardware and Fasteners,Manufacturer,Manufacturer,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 98671 38956,https://sangammetalindustries.in/,4.7,15.0,"57/59, Nagdevi St, Nakhuda Mohalla, Mandvi, Masjid Bandar East, Masjid Bandar, Mumbai, Maharashtra 400003","Nakhuda Mohalla, Mandvi, Masjid Bandar East, Masjid Bandar",18.9521487,72.8336841,ChIJy0qZhiPO5zsRruIaoE2dm90,https://www.google.com/maps/place/?q=place_id:ChIJy0qZhiPO5zsRruIaoE2dm90,part_348,2026-09-20 20:19:10
JFL- H.P. Fasteners Pvt. Ltd.,Industrial Hardware and Fasteners,Industrial equipment supplier,"Industrial equipment supplier, Manufacturer, Mechanical engineer, Wholesaler",761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 85058 59996,http://www.jflindia.com/,4.0,22.0,"Plot No. 314, Sector 24, Faridabad, Haryana 121001",Sector 24,28.358656,77.30608,ChIJH6RsTArcDDkRjieL9g8W2jY,https://www.google.com/maps/place/?q=place_id:ChIJH6RsTArcDDkRjieL9g8W2jY,part_348,2026-09-20 20:19:10
Sai Fasteners,Industrial Hardware and Fasteners,Hardware store,"Hardware store, Screw supplier",761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 98913 79991,https://dizitalcard.in/sai-fasteners/,3.0,2.0,"metro station, 4888/1, Phatak Namak St, near chawri bazar, Old Delhi, Kaccha Pandit Main Bazar, Hauz Qazi, Chandni Chowk, Delhi, 110006","Old Delhi, Kaccha Pandit Main Bazar, Hauz Qazi, Chandni Chowk",28.649142599999998,77.2259316,ChIJ____Gxj9DDkR7NDOmJ1pmko,https://www.google.com/maps/place/?q=place_id:ChIJ____Gxj9DDkR7NDOmJ1pmko,part_348,2026-09-20 20:19:10
Alfred Engineering Industries,Industrial Hardware and Fasteners,Fastener supplier,"Fastener supplier, Industrial Spares & Products Wholesaler",761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 33 2230 6095,http://www.alfredfasteners.com/,4.7,19.0,"26/1 Ground Floor, Strand Road, Strand Rd, Kolkata, West Bengal 700001","Fairley Place, B.B.D. Bagh",22.578622799999998,88.3481947,ChIJMW4M-qJ3AjoRbqoaXHHbSdQ,https://www.google.com/maps/place/?q=place_id:ChIJMW4M-qJ3AjoRbqoaXHHbSdQ,part_348,2026-09-20 20:19:11
Best Quality Fasteners,Industrial Hardware and Fasteners,Fastener supplier,Fastener supplier,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 98103 30141,http://www.bqf.co.in/,3.7,9.0,"3632, Gali Piao Wali, opposite Metro, Old Delhi, Chawri Bazar, Chandni Chowk, New Delhi, Delhi, 110006","Old Delhi, Chawri Bazar, Chandni Chowk",28.648472899999998,77.2267002,ChIJ____yBf9DDkRPdgS_4no630,https://www.google.com/maps/place/?q=place_id:ChIJ____yBf9DDkRPdgS_4no630,part_348,2026-09-20 20:19:11
HIC Fasteners,Industrial Hardware and Fasteners,Hardware store,"Hardware store, Electrical equipment supplier, Fastener supplier, Industrial equipment supplier, Metal supplier, Tool store",761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 99660 90657,http://www.hicf.co.in/,4.0,42.0,"shop no1, 1st floor, 5-5-191 to 196, Bolaram Nagar, Ranigunj, Secunderabad, Telangana 500003","Bolaram Nagar, Ranigunj",17.4330805,78.49017839999999,ChIJu5lBbxyayzsRR0rVG-WViFU,https://www.google.com/maps/place/?q=place_id:ChIJu5lBbxyayzsRR0rVG-WViFU,part_348,2026-09-20 20:19:11
Modern Fastening Solution,Industrial Hardware and Fasteners,Fastener supplier,Fastener supplier,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 93536 56002,https://modernfasteningsolution.com/,5.0,73.0,"No.74/2, Opp Srinidhi Nursing College, C.K. Palya Road Hommadevanahalli, Bannerghatta Rd, Gottigere, K.G.Hommadevanahalli, Karnataka 560083",Gottigere,12.8410845,77.5943763,ChIJBR7Opz5rrjsRX7fjczmLq_U,https://www.google.com/maps/place/?q=place_id:ChIJBR7Opz5rrjsRX7fjczmLq_U,part_348,2026-09-20 20:19:11
