business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hotel veg non veg,Pure Veg Restaurant,Restaurant,Restaurant,761005,Odisha Circle,Berhampur Region,Berhampur Division,"Jaradagada S.O, Ambapur B.O, Andanda B.O",+91 72849 72072,N/A,4.6,,"3M93+4RX, AH45, Pamagam, Odisha 761006",761005,19.0678718,84.6545957,ChIJj0OyG6ZrPToRMprcBIn6KKo,https://www.google.com/maps/place/?q=place_id:ChIJj0OyG6ZrPToRMprcBIn6KKo,part_348,2026-09-20 20:20:05
SIMRAN GUNJAN DHABA,Pure Veg Restaurant,Restaurant,Restaurant,761005,Odisha Circle,Berhampur Region,Berhampur Division,"Jaradagada S.O, Ambapur B.O, Andanda B.O",+91 96923 63648,N/A,4.0,,"2CCW+3X7, Burasahi, Odisha 761005",761005,19.0201584,84.4474257,ChIJAz7J3PsXPToRsvi1Dfzrz0Q,https://www.google.com/maps/place/?q=place_id:ChIJAz7J3PsXPToRsvi1Dfzrz0Q,part_348,2026-09-20 20:20:05
Swadista Hotel Right Time,Pure Veg Restaurant,Restaurant,Restaurant,761005,Odisha Circle,Berhampur Region,Berhampur Division,"Jaradagada S.O, Ambapur B.O, Andanda B.O",N/A,N/A,5.0,,"774C+7Q9, SH 34, Anangadangara, Odisha 761017",761005,19.2552614,84.2717574,ChIJp8WtXgAnPToRRlnTziGzatk,https://www.google.com/maps/place/?q=place_id:ChIJp8WtXgAnPToRRlnTziGzatk,part_348,2026-09-20 20:20:05
Amaravati family restaurant&lodge,Pure Veg Restaurant,Family restaurant,Family restaurant,761005,Odisha Circle,Berhampur Region,Berhampur Division,"Jaradagada S.O, Ambapur B.O, Andanda B.O",+91 99085 70067,N/A,4.1,,"Srikakulam - Ichchapuram Hwy, Sunnadevi, Raghunadhapuram, Pedda Summadevi, Andhra Pradesh 532243",Sunnadevi,18.8142878,84.4714228,ChIJ8T1QqYYJPToRz2WEf_suYos,https://www.google.com/maps/place/?q=place_id:ChIJ8T1QqYYJPToRz2WEf_suYos,part_348,2026-09-20 20:20:05
PURE VEG RESTAURANT,Pure Veg Restaurant,Restaurant,Restaurant,761005,Odisha Circle,Berhampur Region,Berhampur Division,"Jaradagada S.O, Ambapur B.O, Andanda B.O",N/A,N/A,,,"Chapaguri, Bongaigaon, Dolaigaon, Assam 783380",Chapaguri,26.5059121,90.545165,ChIJfW77pJj-WDcRjRUCY-5Ll_U,https://www.google.com/maps/place/?q=place_id:ChIJfW77pJj-WDcRjRUCY-5Ll_U,part_348,2026-09-20 20:20:05
R K FAMILY GARDEN RESTARUANT & DHABA - HARIPURAM,Pure Veg Restaurant,Restaurant,Restaurant,761005,Odisha Circle,Berhampur Region,Berhampur Division,"Jaradagada S.O, Ambapur B.O, Andanda B.O",N/A,N/A,4.3,,"RGV4+746, Haripuram, Andhra Pradesh 532243",761005,18.8431648,84.5052687,ChIJXQVML4IPPToRnrcUO6Syd6s,https://www.google.com/maps/place/?q=place_id:ChIJXQVML4IPPToRnrcUO6Syd6s,part_348,2026-09-20 20:20:05
Jogi Mahal Pure Veg Cafe and Restaurant,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,761005,Odisha Circle,Berhampur Region,Berhampur Division,"Jaradagada S.O, Ambapur B.O, Andanda B.O",+91 97826 00121,http://www.jogimahalcafe.shop/,4.8,,"Shilpgram Rd, Ramsinghpura, Sawai Madhopur, Rajasthan 322001",Ramsinghpura,26.0305385,76.39092289999999,ChIJH0w9Y2cnbjkRpUEpoVdShd8,https://www.google.com/maps/place/?q=place_id:ChIJH0w9Y2cnbjkRpUEpoVdShd8,part_348,2026-09-20 20:20:05
Hotel Udipi,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Restaurant",761005,Odisha Circle,Berhampur Region,Berhampur Division,"Jaradagada S.O, Ambapur B.O, Andanda B.O",+91 99491 27561,N/A,3.8,,"Sompeta - Baruva Rd, BS Colony, Sompeta, Andhra Pradesh 532284",BS Colony,18.9461206,84.58404139999999,ChIJ15C_ZuoSPToRJxJWaJ1Q5LI,https://www.google.com/maps/place/?q=place_id:ChIJ15C_ZuoSPToRJxJWaJ1Q5LI,part_348,2026-09-20 20:20:05
Sri Bhavani restaurant (GREEN PARK),Pure Veg Restaurant,Restaurant,Restaurant,761005,Odisha Circle,Berhampur Region,Berhampur Division,"Jaradagada S.O, Ambapur B.O, Andanda B.O",+91 94417 88844,N/A,4.0,,"beside Gandhi Park, opposite to Govt high school, Ichchapuram, Andhra Pradesh 532312",761005,19.1113695,84.68384189999999,ChIJx-ebfChrPToR_N2bOBffhuo,https://www.google.com/maps/place/?q=place_id:ChIJx-ebfChrPToR_N2bOBffhuo,part_348,2026-09-20 20:20:05
Sahoo Dhaba,Pure Veg Restaurant,Dhaba,Dhaba,761005,Odisha Circle,Berhampur Region,Berhampur Division,"Jaradagada S.O, Ambapur B.O, Andanda B.O",N/A,N/A,3.9,,"QCM9+724, AH45, Palasa, Andhra Pradesh 532221",761005,18.78314,84.4175817,ChIJz0l7P9gHPToRbgXf4Wc0wCo,https://www.google.com/maps/place/?q=place_id:ChIJz0l7P9gHPToRbgXf4Wc0wCo,part_348,2026-09-20 20:20:05
