business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Robo Kids Preschool,Play School and Daycare,Preschool,Preschool,761008,Odisha Circle,Berhampur Region,Berhampur Division,"Golanthara S.O, Biswanathpur B.O, Chikarada B.O",+91 99380 33538,N/A,5.0,16.0,"HemArakhita Bhavan, near Kureisuni Temple, Old Berhampur, Brahmapur, Odisha 760002",Old Berhampur,19.3070356,84.7671171,ChIJA_UOOVVPPToRHdwal5GJDQk,https://www.google.com/maps/place/?q=place_id:ChIJA_UOOVVPPToRHdwal5GJDQk,part_348,2026-09-20 20:22:43
THE LITTLE BUDS - PLAYSCHOOL,Play School and Daycare,Preschool,Preschool,761008,Odisha Circle,Berhampur Region,Berhampur Division,"Golanthara S.O, Biswanathpur B.O, Chikarada B.O",N/A,N/A,,,"Ralaba road, Haladiapadar, Ralaba road, Brahmapur, Odisha 760003",761008,19.267668,84.7761055,ChIJN0U7EbRbPToRh6MZMEUjMQs,https://www.google.com/maps/place/?q=place_id:ChIJN0U7EbRbPToRh6MZMEUjMQs,part_348,2026-09-20 20:22:43
My School ITALY | Berhampur,Play School and Daycare,Day care center,"Day care center, Preschool, Kindergarten School, Nursery school, Waldorf kindergarten",761008,Odisha Circle,Berhampur Region,Berhampur Division,"Golanthara S.O, Biswanathpur B.O, Chikarada B.O",+91 88959 53722,http://www.myschoolitaly.com/berhampur,5.0,1.0,"Gouri Sankar INN, Ramahari Nagar, in front of Indian Oil Petrol Pump, Konisi, Brahmapur, Odisha 761008",Konisi,19.253248799999998,84.7707223,ChIJhyU0FtpFPToRX8spG388xmE,https://www.google.com/maps/place/?q=place_id:ChIJhyU0FtpFPToRX8spG388xmE,part_348,2026-09-20 20:22:43
"Heaven Kindergarten, Office and Nursery classes",Play School and Daycare,Preschool,Preschool,761008,Odisha Circle,Berhampur Region,Berhampur Division,"Golanthara S.O, Biswanathpur B.O, Chikarada B.O",+91 70082 35190,N/A,3.7,3.0,"First right-side building, Lane Number 4, Ralaba, Odisha 760003",Haldiapadar,19.2721593,84.7810774,ChIJp2LLP3VbPToRuVwrCeLZQZ8,https://www.google.com/maps/place/?q=place_id:ChIJp2LLP3VbPToRuVwrCeLZQZ8,part_348,2026-09-20 20:22:43
ଅଙ୍ଗନବାଡ଼ି ମଦନମୋହନପୁର,Play School and Daycare,Preschool,Preschool,761008,Odisha Circle,Berhampur Region,Berhampur Division,"Golanthara S.O, Biswanathpur B.O, Chikarada B.O",N/A,N/A,,,"7Q89+69G, Daspur, Odisha 760003",761008,19.265602299999998,84.76845639999999,ChIJ2yVAGgBFPToRsSj7HpkUZ1U,https://www.google.com/maps/place/?q=place_id:ChIJ2yVAGgBFPToRsSj7HpkUZ1U,part_348,2026-09-20 20:22:43
"Angangwadi Centre, Chikarada-II",Play School and Daycare,Preschool,Preschool,761008,Odisha Circle,Berhampur Region,Berhampur Division,"Golanthara S.O, Biswanathpur B.O, Chikarada B.O",N/A,N/A,,,"6QG9+XRQ, Brahmapur, Odisha 761008",761008,19.2274729,84.7696003,ChIJmwnyXwBFPToRV7ScLyI4pRk,https://www.google.com/maps/place/?q=place_id:ChIJmwnyXwBFPToRV7ScLyI4pRk,part_348,2026-09-20 20:22:43
"Angangwadi Centre, Chikarada-I",Play School and Daycare,Preschool,Preschool,761008,Odisha Circle,Berhampur Region,Berhampur Division,"Golanthara S.O, Biswanathpur B.O, Chikarada B.O",N/A,N/A,,,"6QGF+W82 Bus Stand, Kotharsingi, Odisha 761008",761008,19.2272625,84.7732656,ChIJORi6OgBFPToRxw2ISLCsq3o,https://www.google.com/maps/place/?q=place_id:ChIJORi6OgBFPToRxw2ISLCsq3o,part_348,2026-09-20 20:22:43
Chinmaya Vision School - A Unit of My School ITALY International Primary School & Daycare Centre,Play School and Daycare,Day care center,"Day care center, Kindergarten School, Preschool",761008,Odisha Circle,Berhampur Region,Berhampur Division,"Golanthara S.O, Biswanathpur B.O, Chikarada B.O",+91 73278 27453,https://myschoolitaly.com/berhampur/,,,"Hill Patna Main Rd, near Badal Gas, Gopabandhu Nagar, Ram Nagar, Brahmapur, Odisha 760005","Gopabandhu Nagar, Ram Nagar",19.3018817,84.79811269999999,ChIJNTtDjL9bPToRpO9otJUdMy8,https://www.google.com/maps/place/?q=place_id:ChIJNTtDjL9bPToRpO9otJUdMy8,part_348,2026-09-20 20:22:43
Baby Land Play & Learn Public School,Play School and Daycare,Preschool,Preschool,761008,Odisha Circle,Berhampur Region,Berhampur Division,"Golanthara S.O, Biswanathpur B.O, Chikarada B.O",+91 94380 40908,N/A,,,"7RX4+FHQ, Lanjipalli, Brahmapur, Odisha 760008","Sri Krishna Nagar, Lanjipalli",19.298708599999998,84.8064715,ChIJmzpynYRaPToRHL8Kg-C41LI,https://www.google.com/maps/place/?q=place_id:ChIJmzpynYRaPToRHL8Kg-C41LI,part_348,2026-09-20 20:22:43
JMD Play School,Play School and Daycare,Preschool,Preschool,761008,Odisha Circle,Berhampur Region,Berhampur Division,"Golanthara S.O, Biswanathpur B.O, Chikarada B.O",N/A,N/A,5.0,1.0,"5P8G+P5C, Jagapur, Odisha 761009",761008,19.1668149,84.72540169999999,ChIJH-zYuq5DPToR7bktrY2kwEI,https://www.google.com/maps/place/?q=place_id:ChIJH-zYuq5DPToR7bktrY2kwEI,part_348,2026-09-20 20:22:43
Western Kids Preschool,Play School and Daycare,Preschool,Preschool,761008,Odisha Circle,Berhampur Region,Berhampur Division,"Golanthara S.O, Biswanathpur B.O, Chikarada B.O",+91 70192 77626,N/A,5.0,,"Ram Nagar, 3rd Ln, Conservation Colony, Chatrapur, Humuribana, Odisha 761020",Conservation Colony,19.3580902,84.9934875,ChIJeUsWUID9FzoRILY7B_J84Ao,https://www.google.com/maps/place/?q=place_id:ChIJeUsWUID9FzoRILY7B_J84Ao,part_348,2026-09-20 20:22:44
Ranjeet Kumar Sahu,Play School and Daycare,Preschool,Preschool,761008,Odisha Circle,Berhampur Region,Berhampur Division,"Golanthara S.O, Biswanathpur B.O, Chikarada B.O",N/A,N/A,5.0,,"8PWX+8GF, SH 17, Dakhinapur, Gunthabandha, Odisha 760002",761008,19.3458015,84.74880519999999,ChIJu1-e2VtPPToR5iR3Kpr_Szo,https://www.google.com/maps/place/?q=place_id:ChIJu1-e2VtPPToR5iR3Kpr_Szo,part_348,2026-09-20 20:22:45
Kalyan public school,Play School and Daycare,Preschool,Preschool,761008,Odisha Circle,Berhampur Region,Berhampur Division,"Golanthara S.O, Biswanathpur B.O, Chikarada B.O",+91 89174 22661,N/A,4.8,,"first gate, Shramik Kalyan Vidya vihar first gate, 4th Ln, Raghupati Nagar, Brahmapur, Odisha 760006",Raghupati Nagar,19.3234683,84.7665346,ChIJ5_3MUnBRPToRr-9WUT0Kc1A,https://www.google.com/maps/place/?q=place_id:ChIJ5_3MUnBRPToRr-9WUT0Kc1A,part_348,2026-09-20 20:22:45
