business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mitu Bike Garej,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,761012,Odisha Circle,Berhampur Region,Berhampur Division,"Digapahandi S.O, Ambagaon B.O, Ankorada B.O",N/A,N/A,,,"CHMM+QQ5, Mahanala, Odisha 761013",761012,19.4343613,84.5844929,ChIJhQveWQA1PToRThuxg3-pecU,https://www.google.com/maps/place/?q=place_id:ChIJhQveWQA1PToRThuxg3-pecU,part_348,2026-09-20 20:25:22
Kalu Nahak,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,761012,Odisha Circle,Berhampur Region,Berhampur Division,"Digapahandi S.O, Ambagaon B.O, Ankorada B.O",N/A,N/A,,,"CJG7+JH, Danaambatha, Odisha 761012",761012,19.426630199999998,84.6137945,ChIJzUhYPgBLPToRArqNNuV9QcU,https://www.google.com/maps/place/?q=place_id:ChIJzUhYPgBLPToRArqNNuV9QcU,part_348,2026-09-20 20:25:22
Bhai Bike Center,Two Wheeler Repair and Mechanic,Mechanic,Mechanic,761012,Odisha Circle,Berhampur Region,Berhampur Division,"Digapahandi S.O, Ambagaon B.O, Ankorada B.O",+91 89173 17709,N/A,4.3,6.0,"FJF2+J52, NH 326, Pallipadmapur, Paika Jaganathpur, Odisha 761013",761012,19.4740042,84.6004,ChIJNdL1sCI1PToRnSmrXKd1yk8,https://www.google.com/maps/place/?q=place_id:ChIJNdL1sCI1PToRnSmrXKd1yk8,part_348,2026-09-20 20:25:22
PRADHAN BIKE CENTER,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,761012,Odisha Circle,Berhampur Region,Berhampur Division,"Digapahandi S.O, Ambagaon B.O, Ankorada B.O",N/A,N/A,4.0,1.0,"9HJ7+3CF, NH 326, Digapahandi, Odisha 761012",761012,19.380184099999997,84.56355599999999,ChIJj9q4v4U3PToRFhJREzE5TvE,https://www.google.com/maps/place/?q=place_id:ChIJj9q4v4U3PToRFhJREzE5TvE,part_348,2026-09-20 20:25:22
Maa Tarini Gouri Sankar Bike Service Centre,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,761012,Odisha Circle,Berhampur Region,Berhampur Division,"Digapahandi S.O, Ambagaon B.O, Ankorada B.O",N/A,N/A,,,"SH 17, Digapahandi, Odisha 761012",761012,19.3747754,84.5754891,ChIJ9bi7RAA3PToRK8JiDBKoEqs,https://www.google.com/maps/place/?q=place_id:ChIJ9bi7RAA3PToRK8JiDBKoEqs,part_348,2026-09-20 20:25:22
Santosh. S.T🤪🤪🤪,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,761012,Odisha Circle,Berhampur Region,Berhampur Division,"Digapahandi S.O, Ambagaon B.O, Ankorada B.O",N/A,N/A,,,"9HH8+3PR, Digapahandi, Odisha 761012",761012,19.3777377,84.5667665,ChIJoUYfeAA3PToRHbCGUE-JFSE,https://www.google.com/maps/place/?q=place_id:ChIJoUYfeAA3PToRHbCGUE-JFSE,part_348,2026-09-20 20:25:22
Swami Ayappa BIKE GARAGE,Two Wheeler Repair and Mechanic,Auto repair shop,Auto repair shop,761012,Odisha Circle,Berhampur Region,Berhampur Division,"Digapahandi S.O, Ambagaon B.O, Ankorada B.O",N/A,N/A,,,"9HFF+WWH, SH 17, Digapahandi, Odisha 761012",761012,19.3748164,84.57484769999999,ChIJ0TWgq2g2PToRL6y6hroUL4A,https://www.google.com/maps/place/?q=place_id:ChIJ0TWgq2g2PToRL6y6hroUL4A,part_348,2026-09-20 20:25:22
Sriya auto spare,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,761012,Odisha Circle,Berhampur Region,Berhampur Division,"Digapahandi S.O, Ambagaon B.O, Ankorada B.O",N/A,N/A,5.0,,"5WV9+GVQ, Mini Stadium Rd, Balliguda, Bandapanga, Odisha 762103",761012,20.1938365,83.91973879999999,ChIJHYMEbOJ1IzoR7yukSyTW0Ks,https://www.google.com/maps/place/?q=place_id:ChIJHYMEbOJ1IzoR7yukSyTW0Ks,part_348,2026-09-20 20:25:23
Mahaveer Bike Point,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,761012,Odisha Circle,Berhampur Region,Berhampur Division,"Digapahandi S.O, Ambagaon B.O, Ankorada B.O",+91 82491 11127,N/A,4.0,,"MAHAVEER BIKE POINT, Balliguda, Lundrukheta, Odisha 762103",761012,20.1948741,83.9250273,ChIJoURrxjF1IzoRWQgLzD0q_mc,https://www.google.com/maps/place/?q=place_id:ChIJoURrxjF1IzoRWQgLzD0q_mc,part_348,2026-09-20 20:25:23
RAJA BIKE GARAGE,Two Wheeler Repair and Mechanic,Auto repair shop,Auto repair shop,761012,Odisha Circle,Berhampur Region,Berhampur Division,"Digapahandi S.O, Ambagaon B.O, Ankorada B.O",+91 97779 44394,N/A,5.0,,"Shop No 33, Paburia, Odisha 762112",761012,20.1671087,84.2531017,ChIJUyOphlIBIzoR3SEyFgtSPtU,https://www.google.com/maps/place/?q=place_id:ChIJUyOphlIBIzoR3SEyFgtSPtU,part_348,2026-09-20 20:25:23
SVK Two wheeler mechanic shop,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,761012,Odisha Circle,Berhampur Region,Berhampur Division,"Digapahandi S.O, Ambagaon B.O, Ankorada B.O",+91 89041 42498,N/A,4.5,,"Huligi - Gangavathi Rd, Munirabad Rural, Karnataka 583234",761012,15.307989399999999,76.33711629999999,ChIJYRnWebrTuTsRPwj3q63klHk,https://www.google.com/maps/place/?q=place_id:ChIJYRnWebrTuTsRPwj3q63klHk,part_348,2026-09-20 20:25:23
