business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kutimera,Courier and Cargo Service,Post office,Post office,761017,Odisha circle,Berhampur Region,Rayagada Division,"Antaraba B.O, Badasindhiba B.O, Chandiput B.O",N/A,N/A,,,"86C6+88R, Kutimera, Odisha 761017",761017,19.320869,84.21075239999999,ChIJJyIWFgDXPDoRRKZf17Cma3s,https://www.google.com/maps/place/?q=place_id:ChIJJyIWFgDXPDoRRKZf17Cma3s,part_348,2026-09-20 20:29:12
Post Office,Courier and Cargo Service,Post office,Post office,761017,Odisha circle,Berhampur Region,Rayagada Division,"Antaraba B.O, Badasindhiba B.O, Chandiput B.O",N/A,N/A,3.7,3.0,"876P+GMH, Chandragiri, Jaganathpur, Odisha 761017",761017,19.3113074,84.2867338,ChIJSck_whUoPToRxCom7X9Dfmo,https://www.google.com/maps/place/?q=place_id:ChIJSck_whUoPToRxCom7X9Dfmo,part_348,2026-09-20 20:29:12
Indian Express Courier Services,Courier and Cargo Service,Courier service,Courier service,761017,Odisha circle,Berhampur Region,Rayagada Division,"Antaraba B.O, Badasindhiba B.O, Chandiput B.O",+91 93146 36920,https://indianexpresscouriers.com/,4.0,10.0,"J-5, Ramesh Marg, C Scheme, Ashok Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302001","C Scheme, Ashok Nagar",26.9057806,75.7961528,ChIJwfxgRqi2bTkRxqnGVdg1Y9I,https://www.google.com/maps/place/?q=place_id:ChIJwfxgRqi2bTkRxqnGVdg1Y9I,part_348,2026-09-20 20:29:12
Air flight Express,Courier and Cargo Service,Courier service,Courier service,761017,Odisha circle,Berhampur Region,Rayagada Division,"Antaraba B.O, Badasindhiba B.O, Chandiput B.O",+91 93724 50563,N/A,3.9,77.0,"Shop no. 2, opp. to yadav dairy, near Post Office, Wadgaon Sheri, Pune, Maharashtra 411014","Dhanvantari Colony, Wadgaon Sheri",18.5436627,73.9252789,ChIJh-IMFGfBwjsRTPOemgIXYVA,https://www.google.com/maps/place/?q=place_id:ChIJh-IMFGfBwjsRTPOemgIXYVA,part_348,2026-09-20 20:29:13
PickMyCourier & Logistic - Head Office,Courier and Cargo Service,Courier service,Courier service,761017,Odisha circle,Berhampur Region,Rayagada Division,"Antaraba B.O, Badasindhiba B.O, Chandiput B.O",+91 63747 11150,https://pickmycourier.com/,4.2,265.0,"No.258, Avaram Palayam Rd, Siddhapudur, New Siddhapudur, Coimbatore, Tamil Nadu 641044",Siddhapudur,11.0183733,76.9775471,ChIJ-xpK5KBZqDsR6qHwy3qCJ-4,https://www.google.com/maps/place/?q=place_id:ChIJ-xpK5KBZqDsR6qHwy3qCJ-4,part_348,2026-09-20 20:29:13
Xpress Delivery,Courier and Cargo Service,Courier service,Courier service,761017,Odisha circle,Berhampur Region,Rayagada Division,"Antaraba B.O, Badasindhiba B.O, Chandiput B.O",+91 99672 59996,http://xpressdelivery.in/,4.3,71.0,"Shop No. 3, 60/1, 15th Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008","HAL 2nd Stage, Indiranagar",12.9665012,77.64226959999999,ChIJM6kMnNkVrjsRuOIoK5EuZhk,https://www.google.com/maps/place/?q=place_id:ChIJM6kMnNkVrjsRuOIoK5EuZhk,part_348,2026-09-20 20:29:13
Mahanagar Courier & Cargo,Courier and Cargo Service,Courier service,Courier service,761017,Odisha circle,Berhampur Region,Rayagada Division,"Antaraba B.O, Badasindhiba B.O, Chandiput B.O",+91 75881 42601,N/A,3.7,37.0,"Shop NO. S-1 Yashodhan Plaza, 660, 3rd Ln, E Ward, Shahupuri, Kolhapur, Maharashtra 416001","E Ward, Shahupuri",16.7010297,74.2337988,ChIJXQym7c4BwTsRGDfDl-_XnOk,https://www.google.com/maps/place/?q=place_id:ChIJXQym7c4BwTsRGDfDl-_XnOk,part_348,2026-09-20 20:29:14
Today Courier & Cargo,Courier and Cargo Service,Courier service,Courier service,761017,Odisha circle,Berhampur Region,Rayagada Division,"Antaraba B.O, Badasindhiba B.O, Chandiput B.O",+91 11 4978 5811,http://todaycourier.in/,4.2,5.0,"7/1, SHOP NO-3, opp. Gurudwara Singh Sabha, Subhash Nagar, New Delhi, Delhi 110027","Block 4, Subhash Nagar",28.6358592,77.1164441,ChIJPfSvjGcDDTkR-YaH7jEiF_c,https://www.google.com/maps/place/?q=place_id:ChIJPfSvjGcDDTkR-YaH7jEiF_c,part_348,2026-09-20 20:29:14
AIR STAR XPRESS COURIERS,Courier and Cargo Service,Courier service,Courier service,761017,Odisha circle,Berhampur Region,Rayagada Division,"Antaraba B.O, Badasindhiba B.O, Chandiput B.O",+91 141 497 1236,http://airstarxpress.com/,2.1,242.0,"B-2, Anukampa Tower, Church Road, M.I., Road, Jaipur, Rajasthan 302004",Pink City,26.917891599999997,75.801538,ChIJKXwKvq22bTkRJKUfbqa89Q0,https://www.google.com/maps/place/?q=place_id:ChIJKXwKvq22bTkRJKUfbqa89Q0,part_348,2026-09-20 20:29:14
V.K. Express,Courier and Cargo Service,Courier service,"Courier service, Freight Forwarding Agency",761017,Odisha circle,Berhampur Region,Rayagada Division,"Antaraba B.O, Badasindhiba B.O, Chandiput B.O",+91 93147 26460,http://vkexpress.in/,2.2,21.0,"114, Amar Chambers, Jalori Gate, Olympic Rd, Gate Circle, Jalori Bari, Sardarpura, Jodhpur, Rajasthan 342001","Gate Circle, Jalori Bari, Sardarpura",26.283109099999997,73.0168953,ChIJ04mOhzWMQTkRxPWYlMHQYaw,https://www.google.com/maps/place/?q=place_id:ChIJ04mOhzWMQTkRxPWYlMHQYaw,part_348,2026-09-20 20:29:14
