business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shree Interior,Hardware Store,Hardware store,Hardware store,761020,Odisha Circle,Berhampur Region,Berhampur Division,"Chatrapur H.O, Chatrapur Bazar S.O, Sitarampalli S.O",+91 79786 96034,N/A,5.0,1.0,"near, NH 16, Conservation Colony, Humuribana, Chatrapur, Odisha 761020",Conservation Colony,19.351304,84.9725766,ChIJ-3HVcjv9FzoRJi4HLSW3vdE,https://www.google.com/maps/place/?q=place_id:ChIJ-3HVcjv9FzoRJi4HLSW3vdE,part_348,2026-09-20 20:31:01
Birasingh traders paint & tiles,Hardware Store,Hardware store,Hardware store,761020,Odisha Circle,Berhampur Region,Berhampur Division,"Chatrapur H.O, Chatrapur Bazar S.O, Sitarampalli S.O",+91 83380 46854,N/A,5.0,2.0,"Main Rd, Rama Krishna Nagar, Chatrapur, Odisha 761020",Rama Krishna Nagar,19.358250299999998,84.9855283,ChIJcyaBisz9FzoRAE6ig98NE_Y,https://www.google.com/maps/place/?q=place_id:ChIJcyaBisz9FzoRAE6ig98NE_Y,part_348,2026-09-20 20:31:01
OM SRI MAHAVEER ENTERPRISES,Hardware Store,Hardware store,Hardware store,761020,Odisha Circle,Berhampur Region,Berhampur Division,"Chatrapur H.O, Chatrapur Bazar S.O, Sitarampalli S.O",+91 96922 25767,N/A,,,"Om Sri Mahaveer ENTERPRISES, Shyma kali nagar, Shanti Nagar, Chatrapur, Odisha 761020","Shyma kali nagar, Shanti Nagar",19.361271199999997,84.9851771,ChIJB_s7Jy79FzoRQhfvu2brhEk,https://www.google.com/maps/place/?q=place_id:ChIJB_s7Jy79FzoRQhfvu2brhEk,part_348,2026-09-20 20:31:01
Maa Ramchandi Hardware Store,Hardware Store,Hardware store,Hardware store,761020,Odisha Circle,Berhampur Region,Berhampur Division,"Chatrapur H.O, Chatrapur Bazar S.O, Sitarampalli S.O",+91 78470 69392,N/A,,,"Shop No .1, Big Bazar, In Fornt Of Bharati Bdhy Pitha Ganjam, Main Road, Ganjam, Odisha 761025",761020,19.387501699999998,85.05025649999999,ChIJ9-3uvGb7FzoRDw8fHem_xhY,https://www.google.com/maps/place/?q=place_id:ChIJ9-3uvGb7FzoRDw8fHem_xhY,part_348,2026-09-20 20:31:01
Maa Ramchandi Hardwares,Hardware Store,Hardware store,Hardware store,761020,Odisha Circle,Berhampur Region,Berhampur Division,"Chatrapur H.O, Chatrapur Bazar S.O, Sitarampalli S.O",+91 94388 64867,N/A,5.0,1.0,"Shop No.1, Big Bazar, in front of bharati bdhypitha, Ganjam, Odisha 761025",761020,19.3875043,85.050247,ChIJX18oKNr7FzoRZo3Lq4HT0As,https://www.google.com/maps/place/?q=place_id:ChIJX18oKNr7FzoRZo3Lq4HT0As,part_348,2026-09-20 20:31:01
New Maharana Hardware,Hardware Store,Hardware store,Hardware store,761020,Odisha Circle,Berhampur Region,Berhampur Division,"Chatrapur H.O, Chatrapur Bazar S.O, Sitarampalli S.O",+91 83288 77525,N/A,5.0,1.0,"Ganja, Berhampur, Ganjam, Odisha 761025",Ganja,19.388642,85.0466953,ChIJ8_G9mgb7FzoR1rGr9xgj6aU,https://www.google.com/maps/place/?q=place_id:ChIJ8_G9mgb7FzoR1rGr9xgj6aU,part_348,2026-09-20 20:31:01
MADHU TYRE SHOP,Hardware Store,Hardware store,Hardware store,761020,Odisha Circle,Berhampur Region,Berhampur Division,"Chatrapur H.O, Chatrapur Bazar S.O, Sitarampalli S.O",+91 99385 71726,N/A,,,"Bus stand, Chatrapur Bus Stand Loar, Chattarpur, Odisha 761020","Chattarpur, Rama Krishna Nagar",19.355093099999998,84.9866922,ChIJXXScaib9FzoRnCG2wf2maVM,https://www.google.com/maps/place/?q=place_id:ChIJXXScaib9FzoRnCG2wf2maVM,part_348,2026-09-20 20:31:01
JAYSHREE ENTERPRISES,Hardware Store,Hardware store,"Hardware store, Paint store",761020,Odisha Circle,Berhampur Region,Berhampur Division,"Chatrapur H.O, Chatrapur Bazar S.O, Sitarampalli S.O",+91 94386 05100,N/A,4.8,4.0,"Badagumula Chowk, Main Rd, P and T Colony, Brahmapur, Chatrapur, Odisha 761020",P and T Colony,19.3556122,84.9795781,ChIJPX1Ki95RPToR8Q6cDi6m11o,https://www.google.com/maps/place/?q=place_id:ChIJPX1Ki95RPToR8Q6cDi6m11o,part_348,2026-09-20 20:31:01
Home Build Solution,Hardware Store,Hardware store,Hardware store,761020,Odisha Circle,Berhampur Region,Berhampur Division,"Chatrapur H.O, Chatrapur Bazar S.O, Sitarampalli S.O",+91 99388 92200,N/A,3.0,1.0,"Ganjam, Berhampur, Odisha 761025",761020,19.3885212,85.0471068,ChIJM4FhH8H7FzoRXA3WNbzM0Ew,https://www.google.com/maps/place/?q=place_id:ChIJM4FhH8H7FzoRXA3WNbzM0Ew,part_348,2026-09-20 20:31:01
Kanha Hardware Store,Hardware Store,Hardware store,Hardware store,761020,Odisha Circle,Berhampur Region,Berhampur Division,"Chatrapur H.O, Chatrapur Bazar S.O, Sitarampalli S.O",+91 92383 84856,N/A,5.0,1.0,"Lane No. 1, Baidiya Nath Pur, Brahmapur, Odisha 760001",Baidiya Nath Pur,19.315084499999998,84.7891756,ChIJ_3e1O0tRPToRhYZO7aFHx4o,https://www.google.com/maps/place/?q=place_id:ChIJ_3e1O0tRPToRhYZO7aFHx4o,part_348,2026-09-20 20:31:01
Asian Paints Beautiful Homes Painting Service,Hardware Store,Painter,"Painter, Interior Decorator, Paint store, Stucco contractor, Wallpaper installer, Wallpaper store, Waterproofing service",761020,Odisha Circle,Berhampur Region,Berhampur Division,"Chatrapur H.O, Chatrapur Bazar S.O, Sitarampalli S.O",+91 8071 683 296,https://www.asianpaints.com/gbp-campaign/asian-paints-safe-painting-service.html,5.0,11.0,"Bishnu priya hardware and paints, Main Rd, Majhi bazar, Chatrapur, Odisha 761020",Majhi bazar,19.357761,84.984195,ChIJ2WMbslT9FzoR21g7_DFnWtY,https://www.google.com/maps/place/?q=place_id:ChIJ2WMbslT9FzoR21g7_DFnWtY,part_348,2026-09-20 20:31:02
ARYAN HARDWARE AND PAINTS,Hardware Store,Hardware store,Hardware store,761020,Odisha Circle,Berhampur Region,Berhampur Division,"Chatrapur H.O, Chatrapur Bazar S.O, Sitarampalli S.O",N/A,N/A,,,"Nagulupeta, Chatrapur, Odisha 761020",Nagulupeta,19.3565187,84.98151159999999,ChIJG9q_AwD9FzoRzkXbUozuEA8,https://www.google.com/maps/place/?q=place_id:ChIJG9q_AwD9FzoRzkXbUozuEA8,part_348,2026-09-20 20:31:03
