business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"The Hosteller Gurgaon, Sector 46",Hostels,Backpacker Hostel,Backpacker Hostel,761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,+91 98101 87717,https://www.thehosteller.com/hostels/the-hosteller-gurgaon/,4.7,192.0,"1604 P, Huda Colony, Sector 46, Gurugram, Haryana 122001","Huda Colony, Sector 46",28.431623599999998,77.06175669999999,ChIJ8Z1q4G4ZDTkRPufw4tjxlcc,https://www.google.com/maps/place/?q=place_id:ChIJ8Z1q4G4ZDTkRPufw4tjxlcc,part_348,2026-09-20 20:31:51
Zostel Gurgaon,Hostels,Backpacker Hostel,Backpacker Hostel,761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,+91 11 4118 7032,https://www.zostel.com/destination/gurugram/stay/zostel-gurugram-grg071,4.9,,"B22, Block B, Greenwood City, Sector 45, Gurugram, Haryana 122022","Block B, Greenwood City, Sector 45",28.4458286,77.06175999999999,ChIJcQf7nJcZDTkRfbnrSqfpn3Y,https://www.google.com/maps/place/?q=place_id:ChIJcQf7nJcZDTkRfbnrSqfpn3Y,part_348,2026-09-20 20:31:51
"goSTOPS PLUS Gurugram, Baani Square",Hostels,Backpacker Hostel,"Backpacker Hostel, Hotel, Lodge, Student dormitory, Youth Hostel",761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,+91 74288 82828,https://gostops.com/book-rooms-in-gurugram-hostel/?utm_source=gmb,4.4,,"goSTOPS, Baani Square, N7, Block N, Mayfield Garden, Sector 51, Gurugram, Haryana 122018","Block N, Mayfield Garden, Sector 51",28.426123,77.0580537,ChIJF0reGYAjDTkRHrEC2FNxDwo,https://www.google.com/maps/place/?q=place_id:ChIJF0reGYAjDTkRHrEC2FNxDwo,part_348,2026-09-20 20:31:51
Hostel Gandhi,Hostels,Backpacker Hostel,"Backpacker Hostel, Coworking space, Hotel, Lodge, Restaurant, Student dormitory",761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,+91 91509 38497,http://www.hostelgandhi.in/,4.6,1303.0,"5, 2nd Cross Street, Balaji Nagar, Ekkatuthangal, Chennai, Tamil Nadu 600032","Balaji Nagar, Ekkatuthangal",13.0227714,80.20496399999999,ChIJWXecogpnUjoROigX_lLiV2M,https://www.google.com/maps/place/?q=place_id:ChIJWXecogpnUjoROigX_lLiV2M,part_348,2026-09-20 20:31:52
Rest Inn Hostel AC Dormitory Sakinaka,Hostels,Backpacker Hostel,"Backpacker Hostel, Bed & breakfast, Girls' hostel, Guest house, Home Stay, Student dormitory",761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,N/A,http://www.restinnhostel.in/,4.7,318.0,"Galli no 2, Adarsh Market, Gala No 18, Second Floor, 90 Feet Rd, near mustafa market, next to Qadriya Masjid, Saki Naka, Mumbai, Maharashtra 400072","Lokmanya Tilak Nagar, Saki Naka",19.1012164,72.88856659999999,ChIJu49ltFfJ5zsR3QdNMzcBc2Y,https://www.google.com/maps/place/?q=place_id:ChIJu49ltFfJ5zsR3QdNMzcBc2Y,part_348,2026-09-20 20:31:52
"Shivam Hostel and PG in Rajkot, Paying Guest Accommodation, Hostel in Rajkot, University Road, Boys Hostel in Kalawad Road",Hostels,Boys' hostel,"Boys' hostel, Student dormitory, Student housing center, Youth Hostel",761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,+91 97243 12901,http://shivamhostel.in/,4.2,332.0,"Kalavad Rd, near New Parimal School, opposite Atmiya College, Nandanavan Society, Shakti Nagar, Rajkot, Gujarat 360005","Nandanavan Society, Shakti Nagar",22.2836006,70.7670134,ChIJrbDgDjPKWTkR0UeozrHul5E,https://www.google.com/maps/place/?q=place_id:ChIJrbDgDjPKWTkR0UeozrHul5E,part_348,2026-09-20 20:31:52
Galaxy Prime Hostel Rajkot | Best Hostel in Rajkot | PG for Students,Hostels,Boys' hostel,Boys' hostel,761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,+91 81404 02585,https://galaxyhostel.in/,4.5,164.0,"Rajkot - Morbi Hwy, opp. APMC Yard, Bedi, Rajkot, Gujarat 360003",Bedi,22.350023699999998,70.8071661,ChIJV8ueCo7JWTkRi6CkLu6FEpo,https://www.google.com/maps/place/?q=place_id:ChIJV8ueCo7JWTkRi6CkLu6FEpo,part_348,2026-09-20 20:31:52
Zostel Kolad,Hostels,Backpacker Hostel,Backpacker Hostel,761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,+91 22 4896 2265,https://www.zostel.com/zostel/kolad/kolad-kldh813/,4.3,1498.0,"Roha road, near Wilder West Adventures, Village, Kolad, Sambhe, Maharashtra 402304",Village,18.415343699999998,73.19719409999999,ChIJiRU9jug96DsRvMkOThZtQJM,https://www.google.com/maps/place/?q=place_id:ChIJiRU9jug96DsRvMkOThZtQJM,part_348,2026-09-20 20:31:52
NearMeHostels,Hostels,Student dormitory,Student dormitory,761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,+91 88408 16061,http://www.nearmehostel.com/,4.3,62.0,"C-43, near Vidisha Park, Mahanagar Extension, Lucknow, Uttar Pradesh 226006",Mahanagar Extension,26.8813197,80.9507242,ChIJm-5tTtH9mzkR8H4ZKz6mw84,https://www.google.com/maps/place/?q=place_id:ChIJm-5tTtH9mzkR8H4ZKz6mw84,part_348,2026-09-20 20:31:52
Kufa PG & Dormitory,Hostels,Backpacker Hostel,Backpacker Hostel,761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,N/A,N/A,3.2,10.0,"211/A, Old Agra Road, opp. Shalimar Hotel, near Habib Hospital, Friends Colony, Kurla West, Kurla, Mumbai, Maharashtra 400070","Friends Colony, Kurla West, Kurla",19.0785277,72.8802036,ChIJR9sbVnjJ5zsRusq6ApBcX1M,https://www.google.com/maps/place/?q=place_id:ChIJR9sbVnjJ5zsRusq6ApBcX1M,part_348,2026-09-20 20:31:52
