business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hamza Welding Works,Welding and Lathe Works,Welding supply store,Welding supply store,761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,N/A,N/A,5.0,1.0,"Petrol Pump, Number 2, Feroz Gandhi Colony, Sector 9, Gurugram, Haryana 122001","Feroz Gandhi Colony, Sector 9",28.4616454,77.0011535,ChIJKSyRBIMXDTkRZgbt6oRnQZ8,https://www.google.com/maps/place/?q=place_id:ChIJKSyRBIMXDTkRZgbt6oRnQZ8,part_348,2026-09-20 20:32:00
Welding Services,Welding and Lathe Works,Welding supply store,"Welding supply store, Iron & Steel Store, Metal fabricator, Steel fabricator, Welder",761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,+91 98705 17557,http://www.weldingwale.com/,4.8,35.0,"Shop no, 1, Sheetla Mata Rd, near Petrol Pump, Sanjay Gram Colony, Rajiv Nagar, Sector 5, Gurugram, Haryana 122001","Sanjay Gram Colony, Rajiv Nagar, Sector 5",28.475479,77.041688,ChIJu9vyrMkZDTkRCBP60VjEuWE,https://www.google.com/maps/place/?q=place_id:ChIJu9vyrMkZDTkRCBP60VjEuWE,part_348,2026-09-20 20:32:00
Welding work,Welding and Lathe Works,General contractor,General contractor,761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,+91 98767 13935,N/A,3.8,8.0,"near Paras hospital, DLF Phase 5, Sector 43, Gurugram, Haryana 122009","DLF Phase 5, Sector 43",28.449991899999997,77.092956,ChIJUxo3lmkZDTkR00mHjG_bXGI,https://www.google.com/maps/place/?q=place_id:ChIJUxo3lmkZDTkR00mHjG_bXGI,part_348,2026-09-20 20:32:00
Bharat Welding Works,Welding and Lathe Works,Fabrication Engineer,Fabrication Engineer,761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,+91 98114 43271,N/A,4.0,4.0,"Old Railway Rd, near state Bank of India, Sector 5, Gurugram, Haryana 122001",Sector 5,28.475797399999998,77.0170491,ChIJwRSixdAZDTkR0dDFjgPFfUA,https://www.google.com/maps/place/?q=place_id:ChIJwRSixdAZDTkR0dDFjgPFfUA,part_348,2026-09-20 20:32:00
Signboards & Welding Works,Welding and Lathe Works,Acrylic Dealer,"Acrylic Dealer, Door shop, Metal fabricator, Neon sign shop, Sign shop, Steel construction company, Steel fabricator, Welding supply store",761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,N/A,https://signboards-welding-works.grexa.site/,5.0,3.0,"Shop No. D-6/253,Building No.- C-4/164 Near By Metro Station-Rithala, Sector 5 Rohini,Building No Near By Metro Station Rithala,C-4/164 near by Metro Station-Rithala, Sector 5, Sector 6, Rohini, Delhi, 110085","Rithala Extension, Sector 6, Rohini",28.719815699999998,77.1028386,ChIJ2RLoEq4GDTkRMuooYgZhARg,https://www.google.com/maps/place/?q=place_id:ChIJ2RLoEq4GDTkRMuooYgZhARg,part_348,2026-09-20 20:32:00
S K Fabrication Works,Welding and Lathe Works,Metal fabricator,Metal fabricator,761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,+91 97165 23338,https://skfabricationworks.in/,5.0,100.0,"I-52, I Block, Sector 9, Noida, Uttar Pradesh 201301","I Block, Sector 9",28.5888861,77.3269887,ChIJ7SStXGflDDkRfQxWEiwb7SY,https://www.google.com/maps/place/?q=place_id:ChIJ7SStXGflDDkRfQxWEiwb7SY,part_348,2026-09-20 20:32:00
Hanspal Sons,Welding and Lathe Works,Hardware store,Hardware store,761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,+91 95603 27758,https://qliqo.in/Hanspal--Sons-,5.0,3.0,"Shop No. 205, Gali No. 2 Kalka Ji, Govindpuri, New Delhi, Delhi 110019","Govindpuri, Kalkaji",28.537144599999998,77.2664004,ChIJ08cnzeHjDDkR2EuJiu64Bks,https://www.google.com/maps/place/?q=place_id:ChIJ08cnzeHjDDkR2EuJiu64Bks,part_348,2026-09-20 20:32:00
Ankush Argon Welding Laser Welding,Welding and Lathe Works,Iron works,Iron works,761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,+91 98182 65223,N/A,,,"G 61 Sector 9, Noida, 61, G Block, Sector 9, Meerut Division Delhi, Sector 9, Uttar Pradesh 201301",Sector 9,28.587964,77.32758,ChIJ9SF8WP_kDDkR9X15tTKIlwM,https://www.google.com/maps/place/?q=place_id:ChIJ9SF8WP_kDDkR9X15tTKIlwM,part_348,2026-09-20 20:32:00
Divya Welding Solution,Welding and Lathe Works,Welding supply store,Welding supply store,761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,+91 98738 07304,https://divyaweldingsolution.in/,5.0,20.0,"7, NH-19, Tajpur, Badarpur, Faridabad, Haryana 121003","Tajpur, Badarpur",28.485709699999997,77.3051136,ChIJP8cjR-vdDDkRGMMTl5rv1_U,https://www.google.com/maps/place/?q=place_id:ChIJP8cjR-vdDDkRGMMTl5rv1_U,part_348,2026-09-20 20:32:00
Unimech Weldtech Private Limited,Welding and Lathe Works,Manufacturer,Manufacturer,761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O,+91 80 4860 1860,https://www.unimechweldproducts.com/,4.3,6.0,"29/RD, Gali Number 4, Anand Parbat Industrial Area, Anand Parbat, New Delhi, Delhi, 110008","Anand Parbat Industrial Area, Anand Parbat",28.662174099999998,77.1779701,ChIJP4XVY4kCDTkRHjKVh5j5s4s,https://www.google.com/maps/place/?q=place_id:ChIJP4XVY4kCDTkRHjKVh5j5s4s,part_348,2026-09-20 20:32:00
