business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rani Variety stores,Furniture Showroom,Furniture store,Furniture store,761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O",N/A,N/A,2.0,1.0,"Barida, Odisha 761031",761030,19.6363701,84.9972971,ChIJX7Y7CAAHGDoRtw24Q7bSWS0,https://www.google.com/maps/place/?q=place_id:ChIJX7Y7CAAHGDoRtw24Q7bSWS0,part_348,2026-09-20 20:35:10
Lifestyle Interiors,Furniture Showroom,Furniture store,"Furniture store, Bedroom furniture store, Furniture maker, Interior designer, Office furniture store, Outdoor furniture store, Sofa store, Wallpaper store",761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O",+91 97555 22335,N/A,4.8,,"Maharashtra High School Road, Wright Town, Jabalpur, Madhya Pradesh 482002",Wright Town,23.167547799999998,79.9278325,ChIJdx8bORuugTkRc_jZv4bWr-Y,https://www.google.com/maps/place/?q=place_id:ChIJdx8bORuugTkRc_jZv4bWr-Y,part_348,2026-09-20 20:35:11
Hartaj Interiors -Furniture Manufacture,Furniture Showroom,Furniture store,"Furniture store, Bed shop, Furniture accessories, Furniture maker, Mattress store, Sofa store",761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O",+91 98261 86088,https://www.youtube.com/@hartajinteriors,4.9,,"Above PNB Bank, Dashmesh Dawar, Madan Mahal, Jabalpur, Madhya Pradesh 482001","Premnagar, Madan Mahal",23.155314,79.91812089999999,ChIJZXzf6f-xgTkRbDUnQRJJ1wA,https://www.google.com/maps/place/?q=place_id:ChIJZXzf6f-xgTkRbDUnQRJJ1wA,part_348,2026-09-20 20:35:11
Reva Furniture,Furniture Showroom,Furniture wholesaler,"Furniture wholesaler, Door manufacturer, Furniture store, Hardware store, Home goods store, Kitchen furniture store, Kitchen remodeler",761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O",+91 93407 82741,N/A,4.8,,"338, Mahanadda, Madan Mahal, Jabalpur, Madhya Pradesh 482001",Madan Mahal,23.157113,79.923388,ChIJ_Xo5HwGugTkRi4s0fcdhU_Q,https://www.google.com/maps/place/?q=place_id:ChIJ_Xo5HwGugTkRi4s0fcdhU_Q,part_348,2026-09-20 20:35:11
Ruchi Furniture - sagwan furniture manufacturer and wholesaler in jabalpur,Furniture Showroom,Furniture wholesaler,"Furniture wholesaler, Fitted furniture supplier, Furniture Manufacturer, Furniture repair shop, Furniture store",761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O",+91 98275 51916,http://www.ruchifurniture.com/,4.6,,"Daya Nagar, Yadav Colony, Jabalpur, New Adaresh Colony, Madhya Pradesh 482002","Daya Nagar, Yadav Colony",23.1735449,79.9173514,ChIJZ24OseGxgTkR70uDGFzts0w,https://www.google.com/maps/place/?q=place_id:ChIJZ24OseGxgTkR70uDGFzts0w,part_348,2026-09-20 20:35:11
Home Aesthetics Furniture Studio,Furniture Showroom,Furniture store,Furniture store,761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O",+91 81099 46476,https://www.homeaesthetics.in/,4.7,,"Choudhary Agro Sales, Damoh Rd, next to Sai Mandir, near Krishi Upaj Mandi, Transport Nagar, Jabalpur, Madhya Pradesh 482002",Transport Nagar,23.190115499999997,79.92077119999999,ChIJkxRnayiugTkR-7jXBqgRAf8,https://www.google.com/maps/place/?q=place_id:ChIJkxRnayiugTkR-7jXBqgRAf8,part_348,2026-09-20 20:35:11
Khandelwal Furniture Mart Pvt Ltd,Furniture Showroom,Furniture store,Furniture store,761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O",N/A,N/A,3.7,,"MP SH 37A, Wright Town, Jabalpur, Madhya Pradesh 482002",Wright Town,23.1684439,79.9299638,ChIJe7EdhRqugTkRIXV4hE4QJ94,https://www.google.com/maps/place/?q=place_id:ChIJe7EdhRqugTkRIXV4hE4QJ94,part_348,2026-09-20 20:35:11
Royaloak Furniture Jabalpur,Furniture Showroom,Furniture store,"Furniture store, Bedroom furniture store, Furniture accessories, Garden Furniture Store, Home improvement store, Kitchen furniture store, Mattress store, Office furniture store, Outdoor furniture store, Sofa store",761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O",+91 79 4281 1872,https://stores.royaloakindia.com/royaloak-furniture-jabalpur-home-furniture-shop-gwarighat-road-jabalpur-453035/Home?utm_source=locator&utm_medium=googleplaces,4.9,,"Sukh Sagar Motors, Gwarighat Main Rd, adjoining Sukh Sagar Valley, Polipather, Jabalpur, Madhya Pradesh 482008",Polipather,23.116308099999998,79.92946859999999,ChIJnTRtPiCtgTkRaTftlrVgNYY,https://www.google.com/maps/place/?q=place_id:ChIJnTRtPiCtgTkRaTftlrVgNYY,part_348,2026-09-20 20:35:11
Sayrawala Brothers,Furniture Showroom,Furniture store,Furniture store,761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O",+91 94251 52763,N/A,4.7,,"411, Mahanadda, Nagpur Rd, opp. CANARA BANK - GENERAL BRANCH, Madan Mahal, Jabalpur, Madhya Pradesh 482001",Madan Mahal,23.156367,79.9214109,ChIJ7bgm6gKygTkR-EcK5vzmQuw,https://www.google.com/maps/place/?q=place_id:ChIJ7bgm6gKygTkR-EcK5vzmQuw,part_348,2026-09-20 20:35:11
Uphar furniture house ( Dealer of Sleepwell ),Furniture Showroom,Furniture wholesaler,"Furniture wholesaler, Mattress store",761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O",N/A,N/A,5.0,,"860/63, West, sheetlamai road, near Krishna colony, Ghamapur, Jabalpur, Madhya Pradesh 482001",Ghamapur,23.177833099999997,79.952668,ChIJ0z9ovRmvgTkRJl0bupqhAsw,https://www.google.com/maps/place/?q=place_id:ChIJ0z9ovRmvgTkRJl0bupqhAsw,part_348,2026-09-20 20:35:11
Jagdamba Traders,Furniture Showroom,Furniture maker,Furniture maker,761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O",+91 93027 49149,N/A,4.3,,"Shop no 1, Satprishi Complex, nearby Labour Chowk, Nove Adaresh Colony, Yadav Colony, Jabalpur, New Adaresh Colony, Madhya Pradesh 482002","Nove Adaresh Colony, Yadav Colony",23.1680636,79.9143271,ChIJL1X2ux-xgTkR9trvSEYEcbg,https://www.google.com/maps/place/?q=place_id:ChIJL1X2ux-xgTkR9trvSEYEcbg,part_348,2026-09-20 20:35:11
F3 Furniture For Future,Furniture Showroom,Furniture store,"Furniture store, Bed shop, Fitted furniture supplier, Furniture Manufacturer, Home goods store, Furniture wholesaler, Office furniture store, Sofa store",761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O",+91 93299 15084,http://www.f3furniture.com/,4.8,,"301, Nagpur Rd, opposite Sachin Tent Mall, Mahanadda, Jabalpur, Madhya Pradesh 482001",Mahanadda,23.1555729,79.92465969999999,ChIJOcx-0haxgTkRGQ3jjPwrRfQ,https://www.google.com/maps/place/?q=place_id:ChIJOcx-0haxgTkRGQ3jjPwrRfQ,part_348,2026-09-20 20:35:11
Galaxy Interiors,Furniture Showroom,Furniture wholesaler,"Furniture wholesaler, Furniture store",761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O",+91 761 408 2387,N/A,3.6,,"873, Karamchand chowk, near City Coffee House, Awadhpuri, Marhatal, Jabalpur, Madhya Pradesh 482002","Awadhpuri, Marhatal",23.1670639,79.9339608,ChIJ6S3ZIhuugTkREJlrUTIkE6I,https://www.google.com/maps/place/?q=place_id:ChIJ6S3ZIhuugTkREJlrUTIkE6I,part_348,2026-09-20 20:35:11
Laxmi Furniture Mart (LFM),Furniture Showroom,Furniture store,Furniture store,761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O",+91 97556 93886,N/A,4.9,,"Shop No 6, JDA Complex, Premnagar, Madan Mahal, Jabalpur, Madhya Pradesh 482001","Premnagar, Madan Mahal",23.156425199999997,79.9195328,ChIJMfllKwCugTkRA-uoC5lSdwM,https://www.google.com/maps/place/?q=place_id:ChIJMfllKwCugTkRA-uoC5lSdwM,part_348,2026-09-20 20:35:11
Maharana work shop,Furniture Showroom,Furniture store,Furniture store,761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O",N/A,N/A,5.0,,"GXX5+RGV, Gurunda, Odisha 761032",761030,19.5498615,84.95836849999999,ChIJmY4giAYBGDoR2qlgkL6SPWE,https://www.google.com/maps/place/?q=place_id:ChIJmY4giAYBGDoR2qlgkL6SPWE,part_348,2026-09-20 20:35:11
Maa Narayani steel furniture,Furniture Showroom,Furniture store,Furniture store,761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O",+91 82603 35652,N/A,,,"Main Road, Keshpur, Odisha 761029",761030,19.618714699999998,85.1217258,ChIJrSCucSQbGDoRe6o6S8ZuiE0,https://www.google.com/maps/place/?q=place_id:ChIJrSCucSQbGDoRe6o6S8ZuiE0,part_348,2026-09-20 20:35:11
