business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Flavor Palate,North Indian Restaurant,Restaurant,"Restaurant, Food court, Takeout restaurant",761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 73811 73855,N/A,4.6,74.0,"Ground Floor, State Bank Of India, Lanjipalli Rd, near National Highway 16, Keshav nagar, Brahmapur, Sanakhajuria, Odisha 760008",Keshav nagar,19.2955565,84.8122929,ChIJZUxJKXhbPToRUFmxBJQ1FGY,https://www.google.com/maps/place/?q=place_id:ChIJZUxJKXhbPToRUFmxBJQ1FGY,part_348,2026-09-20 20:40:51
Milan A Speciality Restaurant,North Indian Restaurant,Restaurant,"Restaurant, Awadhi Restaurant, Non Vegetarian Restaurant, North Indian restaurant, Punjabi restaurant, Vegetarian restaurant",761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 99368 88000,N/A,4.8,16156.0,"Shop no.65, Gurunanak market, Station Rd, opposite Railway Station, Cash & Pay Colony, Cash and Pay Colony, Charbagh, Lucknow, Uttar Pradesh 226004","Cash & Pay Colony, Cash and Pay Colony, Charbagh",26.8324651,80.9221092,ChIJlRD8mZD9mzkRS2hLNB7Uho8,https://www.google.com/maps/place/?q=place_id:ChIJlRD8mZD9mzkRS2hLNB7Uho8,part_348,2026-09-20 20:40:51
Rasoi Angan Family Restaurant,North Indian Restaurant,North Indian restaurant,North Indian restaurant,761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 95729 43514,N/A,4.9,108.0,"High school over bridge, Bihta Sarmera Bypass Road, se purav, Lakhna, Bihar 804453",se purav,25.4533485,85.15400249999999,ChIJWT-PPuCl8jkR5rukfiddhhA,https://www.google.com/maps/place/?q=place_id:ChIJWT-PPuCl8jkR5rukfiddhhA,part_348,2026-09-20 20:40:52
Brahmin's Kitchen,North Indian Restaurant,South Indian restaurant,"South Indian restaurant, Breakfast restaurant, Vegetarian restaurant",761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 63610 10755,N/A,4.0,,"1182/6, Railway Parallel Rd, A Block, Sahakar Nagar, A - Block, Bengaluru, Karnataka 560092","A Block, Sahakar Nagar, A - Block",13.0675484,77.5833316,ChIJh2DosBkYrjsRX7-ybTMlULY,https://www.google.com/maps/place/?q=place_id:ChIJh2DosBkYrjsRX7-ybTMlULY,part_348,2026-09-20 20:40:52
HYDERABAD CHEFS,North Indian Restaurant,Hyderabadi restaurant,"Hyderabadi restaurant, Andhra restaurant, Biryani restaurant, Chinese restaurant, Kebab shop, South Indian restaurant",761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 84949 53333,https://hydchefs.com/index.html,4.0,,"old No 95,No 522, FIRST FLOOR, opposite VYDEHI HOSPITAL, EPIP INDUSTRIAL AREA, Phase 2, Whitefield, Bengaluru, Karnataka 560066","EPIP INDUSTRIAL AREA, Phase 2, Whitefield",12.9760718,77.7269115,ChIJC9nQ-fQRrjsR3Ndubt7kMfk,https://www.google.com/maps/place/?q=place_id:ChIJC9nQ-fQRrjsR3Ndubt7kMfk,part_348,2026-09-20 20:40:52
DESI CHULHA,North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Indian restaurant",761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 70074 94784,N/A,3.3,,"4/170, 171, Kathauta Chauraha Rd, opposite Fire Station Road, Vijayant Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010","Vijayant Khand, Gomti Nagar",26.866625799999998,81.0245956,ChIJhZOvajvjmzkRXEgcLoyb_0s,https://www.google.com/maps/place/?q=place_id:ChIJhZOvajvjmzkRXEgcLoyb_0s,part_348,2026-09-20 20:40:52
Panchami Garden,North Indian Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Breakfast restaurant, South Indian restaurant",761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 97312 41499,N/A,4.2,,"182, 183, Bagalur Main Rd, opp. Indian petrol pump, Munneshwara Block, Dwarka Nagar, Kattigenahalli, Bengaluru, Karnataka 560064","Munneshwara Block, Dwarka Nagar, Kattigenahalli",13.1218262,77.6230118,ChIJHb76Pm8ZrjsR3g3vqJS_e3g,https://www.google.com/maps/place/?q=place_id:ChIJHb76Pm8ZrjsR3g3vqJS_e3g,part_348,2026-09-20 20:40:52
Masala Darbar,North Indian Restaurant,Chinese restaurant,Chinese restaurant,761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 95551 40445,https://www.masaladarbarlucknow.com/,4.5,,"C, 4/31, Malhaur Railway Station Road, opposite CNG Station, Ganga Vihar, Vikalp Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226028","Ganga Vihar, Vikalp Khand, Gomti Nagar",26.870405899999998,81.032789,ChIJZYu5FF_jmzkRbb4qQaYxqdM,https://www.google.com/maps/place/?q=place_id:ChIJZYu5FF_jmzkRbb4qQaYxqdM,part_348,2026-09-20 20:40:52
Spicy Grill Dhaba,North Indian Restaurant,Family restaurant,Family restaurant,761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 70801 57585,N/A,3.8,,"opp, BBD Rd, university, Chinhat, Lucknow, Uattardhona, Uttar Pradesh 226028","university, Chinhat",26.8898396,81.05920689999999,ChIJ6SqtLGXimzkRVWa6PNXkn8g,https://www.google.com/maps/place/?q=place_id:ChIJ6SqtLGXimzkRVWa6PNXkn8g,part_348,2026-09-20 20:40:52
Panwar Paradise,North Indian Restaurant,Family restaurant,Family restaurant,761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 81267 88437,N/A,4.4,,"Gularghati, Balawala, Dehradun, Uttarakhand 248019","Gularghati, Balawala",30.2568481,78.1205588,ChIJq_4ONiklCTkRfAtmbbNtfjo,https://www.google.com/maps/place/?q=place_id:ChIJq_4ONiklCTkRfAtmbbNtfjo,part_348,2026-09-20 20:40:52
