business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Wet Pets,Pet Food and Pet Supplies,Pet store,Pet store,761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 98440 09700,N/A,3.8,755,"Unit B-01, XJJ2+FFJ Prestige Nugget, No 126, Infantry Rd, below Indian Motorcycle, Shivaji Nagar, Bengaluru, Karnataka 560001",Shivaji Nagar,12.9811137,77.6011632,ChIJDRLzoWEWrjsR0-qk7uEdeMY,https://www.google.com/maps/place/?q=place_id:ChIJDRLzoWEWrjsR0-qk7uEdeMY,part_348,2026-09-20 20:40:49
THE PET UNIVERSE,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Aquarium, Aquarium shop, Pet boarding service, Pet groomer, Pet store",761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 96018 17907,N/A,4.8,42,"GF 509, Radheshyam Tenamant, Mony Hotel Rd, near Tirthbhumi Society, behind Mony hotel, Isanpur, Ahmedabad, Gujarat 382443",Isanpur,22.9706159,72.59982579999999,ChIJEdbgRECPXjkRBuIGE9TvRwQ,https://www.google.com/maps/place/?q=place_id:ChIJEdbgRECPXjkRBuIGE9TvRwQ,part_348,2026-09-20 20:40:50
Dog's N More Gotri,Pet Food and Pet Supplies,Pet store,Pet store,761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 788 720 6354,https://www.instagram.com/dogs_n_more_bhayali?igsh=MTI4ejcxNWJwNm52Mw==,4.7,59,"Akshar Pavilion, A1-47, Vasna Bhayli Main Rd, near Priya Talkies, Yogi Nagar Twp, Gokul Nagar, Vadodara, Gujarat 391410","Yogi Nagar Township, Gokul Nagar",22.2989815,73.1296038,ChIJr5-1cBDJXzkRGGtcXzrieVg,https://www.google.com/maps/place/?q=place_id:ChIJr5-1cBDJXzkRGGtcXzrieVg,part_348,2026-09-20 20:40:50
Mehar Pet Shop,Pet Food and Pet Supplies,Pet store,Pet store,761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 90366 52680,https://vtstoreskangra.justdial.com/,4.2,18,"Jagdish Rai Gurudwara Rd, Berachah, Palampur, Himachal Pradesh 176061",Berachah,32.104742099999996,76.53478369999999,ChIJrY-RYOuzBDkR0zNkpOub08U,https://www.google.com/maps/place/?q=place_id:ChIJrY-RYOuzBDkR0zNkpOub08U,part_348,2026-09-20 20:40:50
SCOOBY PET WORLD,Pet Food and Pet Supplies,Pet store,"Pet store, Bird shop, Cat breeder, Cat cafe, Dog breeder, Dog cafe",761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 78742 13835,https://www.instagram.com/scoobypetworld_?igsh=MWptNTU2ZmU0OGJzdw==,4.9,131,"Shop Number-5, Geeta Shopping Centre, near Jaymala, Jaymala, Isanpur, Ahmedabad, Gujarat 382443","Jaymala, Isanpur",22.9842479,72.60192649999999,ChIJqVDZ7feFXjkRVTv-s5VYb2o,https://www.google.com/maps/place/?q=place_id:ChIJqVDZ7feFXjkRVTv-s5VYb2o,part_348,2026-09-20 20:40:50
One Stop Pet Shop,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Cat breeder, Dog breeder, Dog day care center, Dog trainer, Pet adoption service, Pet groomer, Pet store, Pet trainer, Veterinarian",761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 90337 44748,https://petshopnearme.co.in/,4.4,391,"Shop no S-3 Ground Floor, Hari Om Apartment, near K & MP Sarvajanik School, Angreji Faliyu, Amroli, Surat, Gujarat 394107","Angreji Faliyu, Amroli",21.2332584,72.8518196,ChIJC2Xsc9hO4DsRlCyvwgo6aJI,https://www.google.com/maps/place/?q=place_id:ChIJC2Xsc9hO4DsRlCyvwgo6aJI,part_348,2026-09-20 20:40:50
DOG ZONE (Dogambo) - Pet Store & Aquariums,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Aquarium, Aquarium shop, Animal feed store, Pet groomer, Pet store",761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 76002 06615,N/A,4.3,309,"Jitendra Shopping Center, 8-9, BUS STAND Rannapark, opp. RANNAPARK, Ghatlodiya, Ahmedabad, Gujarat 380063",Ghatlodiya,23.0665716,72.5465682,ChIJgW-PJmeDXjkRruaNWxC6kBw,https://www.google.com/maps/place/?q=place_id:ChIJgW-PJmeDXjkRruaNWxC6kBw,part_348,2026-09-20 20:40:50
Sneh Pet Store & Spa,Pet Food and Pet Supplies,Pet store,Pet store,761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 92272 61188,N/A,4.9,444,"103, Trinity Complex, Hebatpur Rd, Thaltej, Ahmedabad, Gujarat 380059",Thaltej,23.05931,72.51411759999999,ChIJu7IHGfSdXjkRQnQ3yEd3e84,https://www.google.com/maps/place/?q=place_id:ChIJu7IHGfSdXjkRQnQ3yEd3e84,part_348,2026-09-20 20:40:50
"FIRSTDOG | Katargam, Surat - Pet Shop & Grooming",Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Pet groomer, Pet store",761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 97258 60049,N/A,4.7,276,"Shop No 2, dolly complex, behind Lake Garden Road, Katargam, Surat, Gujarat 395004",Katargam,21.225988899999997,72.8355675,ChIJrySIWMFO4DsRyA1CV9EvQw4,https://www.google.com/maps/place/?q=place_id:ChIJrySIWMFO4DsRyA1CV9EvQw4,part_348,2026-09-20 20:40:50
THE PET'S WALA,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Aquarium, Aquarium shop, Dog breeder, Pet boarding service, Pet groomer, Pet store",761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O,+91 76988 87703,N/A,5.0,79,"C 146, Nizampura Rd, Giriraj Society, Swaminarayan Nagar, Nizampura, Vadodara, Gujarat 390024","Giriraj Society, Swaminarayan Nagar, Nizampura",22.338587999999998,73.178707,ChIJraB7y57JXzkR2gaB9d0qov8,https://www.google.com/maps/place/?q=place_id:ChIJraB7y57JXzkR2gaB9d0qov8,part_348,2026-09-20 20:40:50
