business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Krishna Nagar,Housekeeping Services,Water Tank Cleaners,Water Tank Cleaners,761054,Odisha circle,Berhampur Region,Berhampur Division,"Badiosta B.O, Dengapadar B.O, Goutami B.O",N/A,N/A,,,"CQ93+CC4, Asika - Berhampur Rd, Kantaikoli, Samarjhola, Odisha 761101",761054,19.419500799999998,84.7545215,ChIJQ5zoIgBNPToRFWOt5xdwEpk,https://www.google.com/maps/place/?q=place_id:ChIJQ5zoIgBNPToRFWOt5xdwEpk,part_348,2026-09-20 20:41:56
The Mop & Broom,Housekeeping Services,House cleaning service,House cleaning service,761054,Odisha circle,Berhampur Region,Berhampur Division,"Badiosta B.O, Dengapadar B.O, Goutami B.O",N/A,https://www.themopandbroom.com/,4.8,,"2120 Mistletoe Blvd Ste 1, Fort Worth, TX 76110, United States",Mistletoe Heights,32.7317317,-97.3498765,ChIJGaqfacErf64Rdaf1l3aRF0c,https://www.google.com/maps/place/?q=place_id:ChIJGaqfacErf64Rdaf1l3aRF0c,part_348,2026-09-20 20:41:57
Maid Brigade of Greater Fort Worth,Housekeeping Services,House cleaning service,House cleaning service,761054,Odisha circle,Berhampur Region,Berhampur Division,"Badiosta B.O, Dengapadar B.O, Goutami B.O",N/A,https://ft-worth.maidbrigade.com/,4.8,,"3851 SW Loop 820, Fort Worth, TX 76133, United States",Wedgwood Square,32.6725935,-97.37729189999999,ChIJbck10L53ToYR9VuGQKUSqj4,https://www.google.com/maps/place/?q=place_id:ChIJbck10L53ToYR9VuGQKUSqj4,part_348,2026-09-20 20:41:57
"Reyes Maids - Fort Worth, by Monarca Home Services",Housekeeping Services,House cleaning service,"House cleaning service, Carpet cleaning service",761054,Odisha circle,Berhampur Region,Berhampur Division,"Badiosta B.O, Dengapadar B.O, Goutami B.O",N/A,https://www.monarcacgi.com/,4.4,,"3001 Northern Cross Blvd, Fort Worth, TX 76137, United States",761054,32.8364341,-97.3049714,ChIJMZTbl7N3ToYR-ZCNpW5I7GI,https://www.google.com/maps/place/?q=place_id:ChIJMZTbl7N3ToYR-ZCNpW5I7GI,part_348,2026-09-20 20:41:57
Mariana's House Cleaning Service LLC,Housekeeping Services,House cleaning service,"House cleaning service, Cleaning Services",761054,Odisha circle,Berhampur Region,Berhampur Division,"Badiosta B.O, Dengapadar B.O, Goutami B.O",N/A,https://marianascleaningservicellc.com/,5.0,,"1521 Gainsborough Way, Fort Worth, TX 76134, United States",Lincolnshire,32.625711599999995,-97.34250469999999,ChIJtdMsOOg8QSMRoh9ZsZzsmbA,https://www.google.com/maps/place/?q=place_id:ChIJtdMsOOg8QSMRoh9ZsZzsmbA,part_348,2026-09-20 20:41:57
Jenn's Cleaning Service,Housekeeping Services,House cleaning service,House cleaning service,761054,Odisha circle,Berhampur Region,Berhampur Division,"Badiosta B.O, Dengapadar B.O, Goutami B.O",N/A,https://jennscleaning.services/contact-us,4.7,,"530 Aviator Dr, Fort Worth, TX 76179, United States",761054,32.929041999999995,-97.4097963,ChIJy-d5mGneTYYRXmOzUqzT2hA,https://www.google.com/maps/place/?q=place_id:ChIJy-d5mGneTYYRXmOzUqzT2hA,part_348,2026-09-20 20:41:57
Rita's cleaning service,Housekeeping Services,House cleaning service,House cleaning service,761054,Odisha circle,Berhampur Region,Berhampur Division,"Badiosta B.O, Dengapadar B.O, Goutami B.O",N/A,https://ritascleaningservice.com/,4.9,,"932 E Baltimore Ave, Fort Worth, TX 76104, United States",Hillside,32.722453099999996,-97.3168711,ChIJayiX1U3yDSwR748N7t5bAvY,https://www.google.com/maps/place/?q=place_id:ChIJayiX1U3yDSwR748N7t5bAvY,part_348,2026-09-20 20:41:57
FORT WORTH CLEANING PROFESSIONALS LLC,Housekeeping Services,Janitorial service,"Janitorial service, Cleaning Services, Sanitation service, Window cleaning service",761054,Odisha circle,Berhampur Region,Berhampur Division,"Badiosta B.O, Dengapadar B.O, Goutami B.O",N/A,https://fwcleaningpros.com/,5.0,,"9500 Ray White Rd Suite 200, Fort Worth, TX 76244, United States",761054,32.9120596,-97.27188269999999,ChIJ1_JsTYzPmoARyoRtbjPOtz4,https://www.google.com/maps/place/?q=place_id:ChIJ1_JsTYzPmoARyoRtbjPOtz4,part_348,2026-09-20 20:41:57
Maidskeeping,Housekeeping Services,House cleaning service,House cleaning service,761054,Odisha circle,Berhampur Region,Berhampur Division,"Badiosta B.O, Dengapadar B.O, Goutami B.O",N/A,http://www.maidskeeping.com/,4.7,,"9500 Ray White Rd Suite 200, Fort Worth, TX 76244, United States",761054,32.9120875,-97.2719146,ChIJeyGFkavZTYYR0rFqq9G6jos,https://www.google.com/maps/place/?q=place_id:ChIJeyGFkavZTYYR0rFqq9G6jos,part_348,2026-09-20 20:41:57
Polished Cleaning Services,Housekeeping Services,House cleaning service,"House cleaning service, Cleaning Services",761054,Odisha circle,Berhampur Region,Berhampur Division,"Badiosta B.O, Dengapadar B.O, Goutami B.O",N/A,http://polishedcleaning.com/,4.8,,"9800 Hillwood Pkwy Suit 140, Fort Worth, TX 76177, United States",761054,32.918875299999996,-97.3110718,ChIJn6yjSoDXTYYRN5RPqqoF76A,https://www.google.com/maps/place/?q=place_id:ChIJn6yjSoDXTYYRN5RPqqoF76A,part_348,2026-09-20 20:41:57
Molly Maid of Greater Fort Worth,Housekeeping Services,House cleaning service,"House cleaning service, Cleaning Services, Sanitation service",761054,Odisha circle,Berhampur Region,Berhampur Division,"Badiosta B.O, Dengapadar B.O, Goutami B.O",N/A,https://www.mollymaid.com/locations/greater-fort-worth/?cid=LSTL_MLY000192&utm_source=gmb&utm_campaign=local&utm_medium=organic,4.6,,"1912 Central Dr B, Bedford, TX 76021, United States",761054,32.8395734,-97.13286699999999,ChIJl67N_ah_ToYRcrbZknd8URE,https://www.google.com/maps/place/?q=place_id:ChIJl67N_ah_ToYRcrbZknd8URE,part_348,2026-09-20 20:41:57
The Maids Fort Worth,Housekeeping Services,House cleaning service,"House cleaning service, Carpet cleaning service, Window cleaning service",761054,Odisha circle,Berhampur Region,Berhampur Division,"Badiosta B.O, Dengapadar B.O, Goutami B.O",N/A,https://www.maids.com/218/?utm_source=GMB_listing&utm_medium=organic,4.7,,"8901 West Fwy #109, Fort Worth, TX 76116, United States",761054,32.737223199999995,-97.4720308,ChIJhQO8D0kVUYYRrvT2Z0AoRHE,https://www.google.com/maps/place/?q=place_id:ChIJhQO8D0kVUYYRrvT2Z0AoRHE,part_348,2026-09-20 20:41:57
North Fort Worth Maids,Housekeeping Services,House cleaning service,"House cleaning service, Cleaning service, Service establishment",761054,Odisha circle,Berhampur Region,Berhampur Division,"Badiosta B.O, Dengapadar B.O, Goutami B.O",N/A,http://northfortworthmaids.com/,4.8,,"North Fort Worth Maids, 761054, India",761054,32.799876399999995,-97.316959,ChIJv-xJ2LHfTYYR9ICVcHcOzRY,https://www.google.com/maps/place/?q=place_id:ChIJv-xJ2LHfTYYR9ICVcHcOzRY,part_348,2026-09-20 20:41:57
Mama's Sparkle,Housekeeping Services,House cleaning service,House cleaning service,761054,Odisha circle,Berhampur Region,Berhampur Division,"Badiosta B.O, Dengapadar B.O, Goutami B.O",N/A,N/A,5.0,,"4901 Dax Dr, Fort Worth, TX 76135, United States",Neighbors of Jinkens Heights/Crestridge,32.826385,-97.42835459999999,ChIJWwfOIqd1ToYR1nL0DQrh_IQ,https://www.google.com/maps/place/?q=place_id:ChIJWwfOIqd1ToYR1nL0DQrh_IQ,part_348,2026-09-20 20:41:57
