business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kabisuryanagar Post office,Offices,Post office,Post office,761104,Odisha Circle,Berhampur Region,Aska Division,"Kabisuryanagar S.O, Ambapua B.O, B.Nuapalli B.O",N/A,N/A,3.3,,"SH-30, Aska Road, Khalikot, Kavisuryanagar, Boirani, Odisha 761104",Khalikot,19.5816517,84.7643531,ChIJX-zVlwSyIjoR79oITOQFv50,https://www.google.com/maps/place/?q=place_id:ChIJX-zVlwSyIjoR79oITOQFv50,part_348,2026-09-20 20:46:04
Exicse station Kabisurya Nagar,Offices,Government office,Government office,761104,Odisha Circle,Berhampur Region,Aska Division,"Kabisuryanagar S.O, Ambapua B.O, B.Nuapalli B.O",N/A,N/A,5.0,,"HQJM+VG5, Kavisuryanagar, Badaagula, Odisha 761104",761104,19.582126,84.78393349999999,ChIJVVW9W_OtIjoRSrhBh0KxEaw,https://www.google.com/maps/place/?q=place_id:ChIJVVW9W_OtIjoRSrhBh0KxEaw,part_348,2026-09-20 20:46:04
Sub-Register Office,Offices,Government office,Government office,761104,Odisha Circle,Berhampur Region,Aska Division,"Kabisuryanagar S.O, Ambapua B.O, B.Nuapalli B.O",N/A,N/A,3.7,,"HPPX+8MV, Boirani, Odisha 761104",761104,19.5858584,84.7491762,ChIJpbf_7SCyIjoRCSlJO50QuRw,https://www.google.com/maps/place/?q=place_id:ChIJpbf_7SCyIjoRCSlJO50QuRw,part_348,2026-09-20 20:46:04
"Warehouse, Office Space, Open Space, Godown",Offices,Warehouse,Warehouse,761104,Odisha Circle,Berhampur Region,Aska Division,"Kabisuryanagar S.O, Ambapua B.O, B.Nuapalli B.O",+91 94371 55330,N/A,5.0,,"College Square, Asika, Baragam, Odisha 761111",761104,19.6065812,84.699851,ChIJL3cNBjixIjoRvp_I7hRgO9g,https://www.google.com/maps/place/?q=place_id:ChIJL3cNBjixIjoRvp_I7hRgO9g,part_348,2026-09-20 20:46:04
CDPO Office,Offices,Social services organization,Social services organization,761104,Odisha Circle,Berhampur Region,Aska Division,"Kabisuryanagar S.O, Ambapua B.O, B.Nuapalli B.O",N/A,N/A,5.0,,"HQM5+9J5, Boirani, Odisha 761104",761104,19.58338,84.7591205,ChIJ5a_-ahyyIjoRY71Bk_l6on4,https://www.google.com/maps/place/?q=place_id:ChIJ5a_-ahyyIjoRY71Bk_l6on4,part_348,2026-09-20 20:46:04
TPSODL Monthly Collection Office,Offices,Corporate office,Corporate office,761104,Odisha Circle,Berhampur Region,Aska Division,"Kabisuryanagar S.O, Ambapua B.O, B.Nuapalli B.O",N/A,N/A,5.0,,"HQJ6+XWX, SH 30, Boirani, Kavisuryanagar, Odisha 761104",761104,19.5824694,84.7625518,ChIJc3dmNDOzIjoRFGCPzEt8f5Q,https://www.google.com/maps/place/?q=place_id:ChIJc3dmNDOzIjoRFGCPzEt8f5Q,part_348,2026-09-20 20:46:04
Nandiagada GramPanchayat Office,Offices,Government office,Government office,761104,Odisha Circle,Berhampur Region,Aska Division,"Kabisuryanagar S.O, Ambapua B.O, B.Nuapalli B.O",N/A,N/A,5.0,,"JP3P+5RW, Nandiagada, Hindola, Odisha 761104",761104,19.6029967,84.7368967,ChIJO_NPLACxIjoRr3E4QWqNpsY,https://www.google.com/maps/place/?q=place_id:ChIJO_NPLACxIjoRr3E4QWqNpsY,part_348,2026-09-20 20:46:04
Barida Gram Panchyat Office,Offices,Government office,Government office,761104,Odisha Circle,Berhampur Region,Aska Division,"Kabisuryanagar S.O, Ambapua B.O, B.Nuapalli B.O",N/A,N/A,3.8,,"JPQH+FH8, Barida, Odisha 761104",761104,19.6386632,84.728956,ChIJQfMAHv-wIjoRkMpLvW2FLV4,https://www.google.com/maps/place/?q=place_id:ChIJQfMAHv-wIjoRkMpLvW2FLV4,part_348,2026-09-20 20:46:04
Ghodapalan Post Office,Offices,Post office,Post office,761104,Odisha Circle,Berhampur Region,Aska Division,"Kabisuryanagar S.O, Ambapua B.O, B.Nuapalli B.O",+91 73032 16988,N/A,4.0,,"At, Po, Ghodapalan, Kavisuryanagar, Odisha 761117",761104,19.660491099999998,84.7666132,ChIJf4qElhiwIjoR_q1PedaUn2Q,https://www.google.com/maps/place/?q=place_id:ChIJf4qElhiwIjoR_q1PedaUn2Q,part_348,2026-09-20 20:46:04
Bhanda mantu,Offices,Corporate office,Corporate office,761104,Odisha Circle,Berhampur Region,Aska Division,"Kabisuryanagar S.O, Ambapua B.O, B.Nuapalli B.O",N/A,N/A,5.0,,"JQR7+68W, Paikajamuna, Odisha 761104",761104,19.6402884,84.76329369999999,ChIJh8yWF_qxIjoRk9Mm_n8qKvs,https://www.google.com/maps/place/?q=place_id:ChIJh8yWF_qxIjoRk9Mm_n8qKvs,part_348,2026-09-20 20:46:04
