business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
7R fitness,Fitness Chains,Gym,Gym,761107,Odisha Circle,Berhampur Region,Aska Division,"Dharakote S.O, Baharpur B.O, Baradabilli B.O",+91 90913 00007,http://www.7rfitness.com/,4.5,69,"balaji nagar, Jamna Puri, Jaipur, Jaipur Greater (M Corp.) (Part), Rajasthan 302013",Jamna Puri,26.985164599999997,75.7534702,ChIJU08dZQCzbTkRKD4aBp18MII,https://www.google.com/maps/place/?q=place_id:ChIJU08dZQCzbTkRKD4aBp18MII,part_348,2026-09-20 20:47:32
Mahaveer Gym,Fitness Chains,Gym,Gym,761107,Odisha Circle,Berhampur Region,Aska Division,"Dharakote S.O, Baharpur B.O, Baradabilli B.O",+91 99371 41565,N/A,4.3,39,"9565+2GM, Raghunathpur, Chandapur, Odisha 754132",761107,20.360095899999997,86.15879269999999,ChIJr2NWXj95GToRddpmIhTYcVg,https://www.google.com/maps/place/?q=place_id:ChIJr2NWXj95GToRddpmIhTYcVg,part_348,2026-09-20 20:47:32
Venus Fitness,Fitness Chains,Fitness center,Fitness center,761107,Odisha Circle,Berhampur Region,Aska Division,"Dharakote S.O, Baharpur B.O, Baradabilli B.O",+91 94377 97270,N/A,4.5,122,"Paradeep zeropoint, NH 53, Paradeep, Odisha 754120",761107,20.304113599999997,86.6405228,ChIJRYzMtW-1GzoRXPq0-zqyKJM,https://www.google.com/maps/place/?q=place_id:ChIJRYzMtW-1GzoRXPq0-zqyKJM,part_348,2026-09-20 20:47:32
MHAVEER FITNESS WORLD,Fitness Chains,Gym,Gym,761107,Odisha Circle,Berhampur Region,Aska Division,"Dharakote S.O, Baharpur B.O, Baradabilli B.O",+91 70088 11898,N/A,4.2,52,"Jagatsinghpur - Paradip Rd, Jagatsinghpur, Odisha 754103",761107,20.2530872,86.1778112,ChIJVY7a2qCBGToRqzZECvWXpj0,https://www.google.com/maps/place/?q=place_id:ChIJVY7a2qCBGToRqzZECvWXpj0,part_348,2026-09-20 20:47:32
REBEL - The fitness Zone,Fitness Chains,Gym,Gym,761107,Odisha Circle,Berhampur Region,Aska Division,"Dharakote S.O, Baharpur B.O, Baradabilli B.O",+91 84366 26345,N/A,4.9,233,"Malancha Main Rd, opposite Mata Mandir, Old, Malancha, Kharagpur, West Bengal 721304","Old, Malancha",22.343758899999997,87.2738162,ChIJL1o-xoFDHToRcBIVVr22Tf8,https://www.google.com/maps/place/?q=place_id:ChIJL1o-xoFDHToRcBIVVr22Tf8,part_348,2026-09-20 20:47:32
KRD fitness gym,Fitness Chains,Gym,Gym,761107,Odisha Circle,Berhampur Region,Aska Division,"Dharakote S.O, Baharpur B.O, Baradabilli B.O",+91 96656 73404,N/A,5.0,280,"above Old Shankar Mart, Koradi Naka, Arya Nagar, Shambhu Nagar, Nagpur, Maharashtra 440030","Koradi Naka, Arya Nagar, Shambhu Nagar",21.2075846,79.08047839999999,ChIJxyfOLADB1DsRJ_S09uEVfiY,https://www.google.com/maps/place/?q=place_id:ChIJxyfOLADB1DsRJ_S09uEVfiY,part_348,2026-09-20 20:47:32
GenZ Fitness Studio (Ac/Unisex),Fitness Chains,Gym,"Gym, Fitness center, Health consultant",761107,Odisha Circle,Berhampur Region,Aska Division,"Dharakote S.O, Baharpur B.O, Baradabilli B.O",N/A,N/A,4.9,100,"Ward No-5, Debalpur Rd, near Pulin Behari Primary school, Bhawanipur, Kharagpur, West Bengal 721301",Bhawanipur,22.3473589,87.3174804,ChIJKx2AYuhFHToR_TH2nYjM0TQ,https://www.google.com/maps/place/?q=place_id:ChIJKx2AYuhFHToR_TH2nYjM0TQ,part_348,2026-09-20 20:47:32
RR Fitness club,Fitness Chains,Gym,Gym,761107,Odisha Circle,Berhampur Region,Aska Division,"Dharakote S.O, Baharpur B.O, Baradabilli B.O",+91 97344 47777,N/A,4.9,102,"At Electric office, Kharagpur, West Bengal 721301",761107,22.3444242,87.28841899999999,ChIJHR1OPwBDHToRg_i8yLt10KQ,https://www.google.com/maps/place/?q=place_id:ChIJHR1OPwBDHToRg_i8yLt10KQ,part_348,2026-09-20 20:47:32
V Strong Fitness,Fitness Chains,Gym,"Gym, Fitness center",761107,Odisha Circle,Berhampur Region,Aska Division,"Dharakote S.O, Baharpur B.O, Baradabilli B.O",+91 96790 44706,N/A,4.9,283,"4th floor, Atwal RealEstate, Opp: KHARAGPUR COLLEGE, Kharagpur City Rd, Inda, Kharagpur, West Bengal 721305",Inda,22.3549225,87.3371712,ChIJCaXjxk1FHToRcVf7xkO8rLA,https://www.google.com/maps/place/?q=place_id:ChIJCaXjxk1FHToRcVf7xkO8rLA,part_348,2026-09-20 20:47:32
Elite Fitness Gym,Fitness Chains,Gym,Gym,761107,Odisha Circle,Berhampur Region,Aska Division,"Dharakote S.O, Baharpur B.O, Baradabilli B.O",+91 82933 86453,N/A,4.4,259,"1st floor, of fashion point, 2, Malancha Main Rd, opposite of CHOTA PRAJAPATI GHAR, Malancha, Kharagpur, West Bengal 721301",Malancha,22.3438375,87.279248,ChIJv0_cQ9xFHToRnxm5ksE7zGY,https://www.google.com/maps/place/?q=place_id:ChIJv0_cQ9xFHToRnxm5ksE7zGY,part_348,2026-09-20 20:47:32
Dynamic Fitness,Fitness Chains,Gym,Gym,761107,Odisha Circle,Berhampur Region,Aska Division,"Dharakote S.O, Baharpur B.O, Baradabilli B.O",+91 86178 55735,N/A,4.9,53,"Talbagicha Post Office Rd, Talbagicha, Kharagpur, West Bengal 721306",Talbagicha,22.314304,87.2865872,ChIJhWH3BQBDHToRqsixpY2aedM,https://www.google.com/maps/place/?q=place_id:ChIJhWH3BQBDHToRqsixpY2aedM,part_348,2026-09-20 20:47:32
