business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SJ & SONS PVT LTD,Exporters,Villa,"Villa, Poultry farm",761108,Odisha Circle,Berhampur Region,Aska Division,"Surada S.O, Amrutulu B.O, B.Kotibadi B.O",N/A,N/A,5.0,,"Indagada, main road, Daha, Bhanjanagar, Odisha 761125",761108,19.949486999999998,84.47374359999999,ChIJcXQAMnnpIjoRVStQBqLwHQ0,https://www.google.com/maps/place/?q=place_id:ChIJcXQAMnnpIjoRVStQBqLwHQ0,part_348,2026-09-20 20:48:29
Stone Crusher,Exporters,Crushed stone supplier,Crushed stone supplier,761108,Odisha Circle,Berhampur Region,Aska Division,"Surada S.O, Amrutulu B.O, B.Kotibadi B.O",N/A,N/A,4.0,,"RH9M+9J8, Binchana, Raipada, Odisha 761124",761108,19.8184125,84.5840781,ChIJ_1IEBADBIjoRa6cv-_pacyg,https://www.google.com/maps/place/?q=place_id:ChIJ_1IEBADBIjoRa6cv-_pacyg,part_348,2026-09-20 20:48:29
KASAM,Exporters,Spices Exporter,Spices Exporter,761108,Odisha Circle,Berhampur Region,Aska Division,"Surada S.O, Amrutulu B.O, B.Kotibadi B.O",N/A,N/A,4.1,,"75H2+V54, Bandhagada, Phiringia, Odisha 762011",761108,20.279626099999998,84.15044639999999,ChIJO9vdhx-pIzoRxuSN_7ta9qc,https://www.google.com/maps/place/?q=place_id:ChIJO9vdhx-pIzoRxuSN_7ta9qc,part_348,2026-09-20 20:48:29
MAA PITABALI TRADERS,Exporters,General store,"General store, Fertilizer Store",761108,Odisha Circle,Berhampur Region,Aska Division,"Surada S.O, Amrutulu B.O, B.Kotibadi B.O",+91 94373 97468,N/A,4.3,,"Shop No 111, Main Road, Phiringia, Ganjam, Odisha 762011",761108,20.3575643,84.1180904,ChIJlxJuaJivIzoR5r9L_6Nat7Q,https://www.google.com/maps/place/?q=place_id:ChIJlxJuaJivIzoR5r9L_6Nat7Q,part_348,2026-09-20 20:48:29
Bisoyi's firm 🏠,Exporters,Poultry farm,Poultry farm,761108,Odisha Circle,Berhampur Region,Aska Division,"Surada S.O, Amrutulu B.O, B.Kotibadi B.O",N/A,N/A,4.7,,"V9VV+P2R, Darju, Odisha 761151",761108,19.8943616,84.3925199,ChIJQU5hMQDnIjoRa0lyI1ad2Dw,https://www.google.com/maps/place/?q=place_id:ChIJQU5hMQDnIjoRa0lyI1ad2Dw,part_348,2026-09-20 20:48:30
Balunkeswar Poultry Farming,Exporters,Poultry farm,Poultry farm,761108,Odisha Circle,Berhampur Region,Aska Division,"Surada S.O, Amrutulu B.O, B.Kotibadi B.O",N/A,N/A,5.0,,"Balunkeswar Tample Line, Sandhikendu, Sidhapur, Odisha 761109",761108,19.6819247,84.4411549,ChIJBy1Y6pfFIjoRvRexvxLaEHA,https://www.google.com/maps/place/?q=place_id:ChIJBy1Y6pfFIjoRvRexvxLaEHA,part_348,2026-09-20 20:48:30
Narayani Poultry Farm,Exporters,Poultry farm,Poultry farm,761108,Odisha Circle,Berhampur Region,Aska Division,"Surada S.O, Amrutulu B.O, B.Kotibadi B.O",N/A,N/A,4.8,,"Govindapur Road, Kanteipalli, Govindapur, Odisha 761124",761108,19.8590351,84.5967855,ChIJ6dyj8SbBIjoRfl7Ynq59GAs,https://www.google.com/maps/place/?q=place_id:ChIJ6dyj8SbBIjoRfl7Ynq59GAs,part_348,2026-09-20 20:48:30
Maa sulia poultry farm,Exporters,Poultry farm,Poultry farm,761108,Odisha Circle,Berhampur Region,Aska Division,"Surada S.O, Amrutulu B.O, B.Kotibadi B.O",N/A,N/A,5.0,,"JFV7+PC, Dhaugam, Odisha 761109",761108,19.644367,84.463579,ChIJ985vMQDPIjoRp4CZX8ChDNE,https://www.google.com/maps/place/?q=place_id:ChIJ985vMQDPIjoRp4CZX8ChDNE,part_348,2026-09-20 20:48:30
Mahaveer poultry farm,Exporters,Poultry farm,Poultry farm,761108,Odisha Circle,Berhampur Region,Aska Division,"Surada S.O, Amrutulu B.O, B.Kotibadi B.O",+91 75048 49113,N/A,,,"Gobindapur, Bhanjanagar, Luduludi, Odisha 761124",Gobindapur,19.8587746,84.5965271,ChIJ2SZf1PzBIjoRQpefrJsUD2Q,https://www.google.com/maps/place/?q=place_id:ChIJ2SZf1PzBIjoRQpefrJsUD2Q,part_348,2026-09-20 20:48:30
Papu poultry farming,Exporters,Poultry farm,Poultry farm,761108,Odisha Circle,Berhampur Region,Aska Division,"Surada S.O, Amrutulu B.O, B.Kotibadi B.O",N/A,N/A,,,"PCQW+5FX, Surada, Odisha 761108",761108,19.737988899999998,84.44622269999999,ChIJ2y77LADFIjoRT1_idCUmxW8,https://www.google.com/maps/place/?q=place_id:ChIJ2y77LADFIjoRT1_idCUmxW8,part_348,2026-09-20 20:48:30
