business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Courtyard Design Studio,Architects,Architect,Architect,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",N/A,http://behance.net/courtyardstudio,4.9,,"Bana Nivas, Medical Bank Colony, Brahmapur, Odisha 760004",Medical Bank Colony,19.3166324,84.8047701,ChIJZXJDDFRRPToRMeu_DYxvNUk,https://www.google.com/maps/place/?q=place_id:ChIJZXJDDFRRPToRMeu_DYxvNUk,part_349,2026-09-20 20:18:15,3716
KUSH ARCHITECTS ⭐️⭐️⭐️⭐️⭐️,Architects,Architect,"Architect, Interior designer",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 76898 42433,https://www.kusharchitects.com/,4.8,,"Plot No. 181, Pannadhay Cir, Ganesh Nagar, Sheopur, Pratap Nagar, Jaipur, Rajasthan 302033","Ganesh Nagar, Sheopur, Pratap Nagar",26.808069699999997,75.8228346,ChIJwU07JIfJbTkROwimfORAWEI,https://www.google.com/maps/place/?q=place_id:ChIJwU07JIfJbTkROwimfORAWEI,part_349,2026-09-20 20:18:15,3717
JAIN ARCHITECTS HOME MAKER,Architects,Architectural designer,Architectural designer,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 96672 77156,N/A,5.0,,"192/11, Sector 19 Rd, near 16 Sector Road, opposite Shree Nath Jewellers, puliya, Pratap Nagar, Jaipur, Rajasthan 302033","puliya, Pratap Nagar",26.805031999999997,75.834047,ChIJf390SdHJbTkRJFpRinQ9_70,https://www.google.com/maps/place/?q=place_id:ChIJf390SdHJbTkRJFpRinQ9_70,part_349,2026-09-20 20:18:15,3718
RK ARCHITECT & ENGINEERS,Architects,Architect,"Architect, Architecture firm, Real Estate Builders & Construction Company",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 97822 15296,https://jaipurarchitect.com/,4.9,,"C-148 kanha vihar, bura Patel marg, Ajmer Rd, Lalarpura, Jaipur, Rajasthan 302021",Lalarpura,26.9028028,75.72008129999999,ChIJyfcJMK-0bTkRNsJNmxElTBw,https://www.google.com/maps/place/?q=place_id:ChIJyfcJMK-0bTkRNsJNmxElTBw,part_349,2026-09-20 20:18:15,3719
dimensions,Architects,Architect,Architect,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 80 2657 0215,http://dimensionsdesign.in/,4.7,,"21/3, Church Rd, Kanakapura, Basavanagudi, Bengaluru, Karnataka 560004","Kanakapura, Basavanagudi",12.9434326,77.57774189999999,ChIJRfmRutoVrjsRnBK4yKTo7lo,https://www.google.com/maps/place/?q=place_id:ChIJRfmRutoVrjsRnBK4yKTo7lo,part_349,2026-09-20 20:18:15,3720
9 Squares Architects Private Limited,Architects,Architect,Architect,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 731 297 1221,http://www.ninesquares.in/,4.6,,"9, BCM Vista, Behind Best Price, opp. Raj Bag Marriage Garden, Indore, Madhya Pradesh 452010","Hare Krishna Vihar, Nipania",22.7523376,75.9319215,ChIJEZRiXG39YjkREE_a4SD3mUE,https://www.google.com/maps/place/?q=place_id:ChIJEZRiXG39YjkREE_a4SD3mUE,part_349,2026-09-20 20:18:15,3721
V R Architects,Architects,Architect,"Architect, Building consultant, Interior construction contractor, Interior designer, Landscape designer",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 88888 59911,http://www.vrarchitects.in/,4.9,,"G-2, Nursery Cir, Vaishali Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302021",Vaishali Nagar,26.910472499999997,75.7384896,ChIJg_bREPizbTkR0G-avBOMN1w,https://www.google.com/maps/place/?q=place_id:ChIJg_bREPizbTkR0G-avBOMN1w,part_349,2026-09-20 20:18:15,3722
Ronaq Architects,Architects,Architecture firm,"Architecture firm, Architectural designer, Building designer, Interior designer",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 91310 68758,https://ronaqarchitect.wixsite.com/ronaq-architects,5.0,,"G-01, Patwardhan Marg, Shivaji Nagar, Moti Bunglow, Dewas, Madhya Pradesh 455001","Shivaji Nagar, Moti Bunglow",22.9682104,76.05070959999999,ChIJfTJBSliqGkkR6BGi00-c3eg,https://www.google.com/maps/place/?q=place_id:ChIJfTJBSliqGkkR6BGi00-c3eg,part_349,2026-09-20 20:18:15,3723
BIM Architect's Interior’s and Designer’s,Architects,Architect,"Architect, Apartment building, Architectural designer, Building consultant, Building designer, Design engineer, Interior architect office, Landscape designer, Structural engineer",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 94931 55199,N/A,4.9,,"Kothapatnam Busstop main road, MaratiPalem, Ongole, Andhra Pradesh 523001",MaratiPalem,15.5030097,80.05252709999999,ChIJQ0d_x8oBSzoRZNUh0TF_810,https://www.google.com/maps/place/?q=place_id:ChIJQ0d_x8oBSzoRZNUh0TF_810,part_349,2026-09-20 20:18:15,3724
The Design Charrette,Architects,Architect,"Architect, Architectural designer, Architecture firm, Interior designer",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 98933 78019,http://www.thedesigncharrette.com/,4.9,,"N-73, LIG Link Rd, Shree Nagar Extension, Shree Nagar, Indore, Madhya Pradesh 452011","Shree Nagar Extension, Shree Nagar",22.7336775,75.8931959,ChIJq6rqllb9YjkR8roqVnbjv10,https://www.google.com/maps/place/?q=place_id:ChIJq6rqllb9YjkR8roqVnbjv10,part_349,2026-09-20 20:18:15,3725
Shakyawar Design Studio,Architects,Architect,"Architect, Architectural designer, Architecture firm, Bricklayer, Contractor, Interior Decorator, Interior designer, Landscape architect, Structural engineer",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 73899 34877,N/A,5.0,,"77, Bicholi Hapsi Main Rd, near Ida 140, Revenue Nagar, Bicholi Hapsi, Indore, Madhya Pradesh 452016","Revenue Nagar, Bicholi Hapsi",22.71315,75.9167873,ChIJGyeGjtviYjkRi57v3FHP47c,https://www.google.com/maps/place/?q=place_id:ChIJGyeGjtviYjkRi57v3FHP47c,part_349,2026-09-20 20:18:15,3726
