business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
CEMENT 2 STEEL,Building Material Supplier,Building materials supplier,Building materials supplier,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 98617 51911,https://www.cement2steel.com/,5.0,17.0,"in front of BPCL Petrol Pump, Goleichowk, Nimapada, Odisha 752106",Goleichowk,20.061930099999998,86.0098349,ChIJxxeC_0uXGToRYhKdhs0lXVE,https://www.google.com/maps/place/?q=place_id:ChIJxxeC_0uXGToRYhKdhs0lXVE,part_349,2026-09-20 20:18:14,3499
Maa Kamakshi Concrete Products,Building Material Supplier,Concrete contractor,Concrete contractor,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 94387 39798,N/A,5.0,1.0,"besides panitanki, near manoharpur police ground, indiranagar, Balangir, Odisha 767001",indiranagar,20.6858506,83.4773641,ChIJSdOsxjcPJDoRH-UiGDhL-fk,https://www.google.com/maps/place/?q=place_id:ChIJSdOsxjcPJDoRH-UiGDhL-fk,part_349,2026-09-20 20:18:14,3500
AGNI TRADERS,Building Material Supplier,Building materials supplier,"Building materials supplier, Construction machine rental service, Construction Material Wholesaler, Transportation service",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 94251 84545,https://www.facebook.com/agnitraders2017,4.9,68.0,"Nehru Nagar, Rewa, Saman, Madhya Pradesh 486001",Nehru Nagar,24.547340199999997,81.3220549,ChIJQ9b7ZwBbhDkR8swbiFN_i7Q,https://www.google.com/maps/place/?q=place_id:ChIJQ9b7ZwBbhDkR8swbiFN_i7Q,part_349,2026-09-20 20:18:14,3501
Advik Kansa Pitala Dokan,Building Material Supplier,Countertop store,Countertop store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",N/A,N/A,,,"JHQX+7R6, Mundamarai, Odisha 761114",761114,19.638167,84.5995003,ChIJ23XeWwDJIjoRtn7WUgHTVsk,https://www.google.com/maps/place/?q=place_id:ChIJ23XeWwDJIjoRtn7WUgHTVsk,part_349,2026-09-20 20:18:14,3502
SIMANCHAL BEHERA,Building Material Supplier,Plumbing supply store,Plumbing supply store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",N/A,N/A,,,"Main Rd, Jahada, Gangapur Alias Purusotampur Sasan, Odisha 761114",761114,19.638479999999998,84.60997119999999,ChIJ1cBKuGi3IjoR2qxndDejtew,https://www.google.com/maps/place/?q=place_id:ChIJ1cBKuGi3IjoR2qxndDejtew,part_349,2026-09-20 20:18:14,3503
Stone Crosser Mill,Building Material Supplier,Crushed stone supplier,Crushed stone supplier,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",N/A,N/A,,,"JHMV+3C8, Saradhapur Raod, Odisha 761114",761114,19.632669699999997,84.5935786,ChIJYQJl5TLIIjoRAtPWKxOSk38,https://www.google.com/maps/place/?q=place_id:ChIJYQJl5TLIIjoRAtPWKxOSk38,part_349,2026-09-20 20:18:14,3504
Comaron - Building Materials,Building Material Supplier,Building materials store,Building materials store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 72919 57273,https://www.comaron.com/,4.9,,"#242, AltF Success Tower B Suncity Success Tower, Sector 65, Gurugram, Haryana 122101",Sector 65,28.408209,77.0703819,ChIJAbtgZoQjDTkRtGfCiTJ_Pww,https://www.google.com/maps/place/?q=place_id:ChIJAbtgZoQjDTkRtGfCiTJ_Pww,part_349,2026-09-20 20:18:14,3505
Baba Building Materials,Building Material Supplier,Building materials store,"Building materials store, Building materials market",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 81750 41242,https://baba-building-materials.grexa.site/,4.9,,"Bandha Road Madhiya padav, Uttar Pradesh 232101",Jalil Pur,25.3160404,83.0544029,ChIJaaTM2CwvjjkRM0lOr_s14tY,https://www.google.com/maps/place/?q=place_id:ChIJaaTM2CwvjjkRM0lOr_s14tY,part_349,2026-09-20 20:18:14,3506
Maa Building Material,Building Material Supplier,Building materials supplier,Building materials supplier,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",N/A,N/A,5.0,,"Ram Janki Marg, near Rajan Jewellers, Mail Bajar, Uttar Pradesh 274505",761114,26.2204645,83.8654449,ChIJVZdauK41kjkRJ297AATztIg,https://www.google.com/maps/place/?q=place_id:ChIJVZdauK41kjkRJ297AATztIg,part_349,2026-09-20 20:18:14,3507
Rajesh Marble,Building Material Supplier,Building materials store,Building materials store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",N/A,N/A,4.6,,"5WV8+85H, Balliguda, Bandapanga, Odisha 762103",761114,20.193321599999997,83.9154909,ChIJey2DgpZ1IzoRDf7S9vwRaCI,https://www.google.com/maps/place/?q=place_id:ChIJey2DgpZ1IzoRDf7S9vwRaCI,part_349,2026-09-20 20:18:14,3508
