business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Somnath science college mundamarai,Junior College and Degree College,Junior college,Junior college,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 78943 89491,N/A,4.3,24.0,"Mundamarai, Odisha 761114",761114,19.6380591,84.5966203,ChIJ-anxFS7IIjoRNQcmnvRLLvw,https://www.google.com/maps/place/?q=place_id:ChIJ-anxFS7IIjoRNQcmnvRLLvw,part_349,2026-09-20 20:18:22,4820
New Government Junior College and Degree College,Junior College and Degree College,Junior college,"Junior college, Government college",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",N/A,N/A,4.2,444.0,"Oppsite, Anusha Granites, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.4810801,78.41537,ChIJxfEBIaWRyzsRVo-RliSGy5Y,https://www.google.com/maps/place/?q=place_id:ChIJxfEBIaWRyzsRVo-RliSGy5Y,part_349,2026-09-20 20:18:22,4821
"Ananta Narayana (Junior) Mahavidyalaya, Dharakote, Ganjam",Junior College and Degree College,College,College,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",N/A,N/A,4.7,23.0,"JHVP+JQ6, Dharakote, Kapilash, Odisha 761107",761114,19.644043399999997,84.5868962,ChIJ74PE6IjJIjoRk5OgTnqTPKM,https://www.google.com/maps/place/?q=place_id:ChIJ74PE6IjJIjoRk5OgTnqTPKM,part_349,2026-09-20 20:18:22,4822
N.B.C College,Junior College and Degree College,Junior college,Junior college,761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",N/A,https://nbccollege.edu.in/home/index.php,4.3,,"PJRX+Q4J, Chatula, Odisha 761122",761115,19.741961999999997,84.6477666,ChIJRTvUf-K4IjoRDrFjOS5aEGc,https://www.google.com/maps/place/?q=place_id:ChIJRTvUf-K4IjoRDrFjOS5aEGc,part_349,2026-09-20 20:19:01,11129
PGR JUNIOR COLLEGE,Junior College and Degree College,College,College,761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",+91 91000 97077,https://pgrjuniorcollege.com/,4.7,,"6-2/271/A, opp. BJP Office Road, M J Colony, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","M J Colony, Vivek Nagar, Kukatpally",17.4825038,78.4135866,ChIJoY3EkbeRyzsRYqagE9ivxF8,https://www.google.com/maps/place/?q=place_id:ChIJoY3EkbeRyzsRYqagE9ivxF8,part_349,2026-09-20 20:19:01,11130
VIJETHA Junior and Degree College,Junior College and Degree College,College,College,761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",+91 77804 22339,https://vijethacollege.com/,4.7,,"Beside HP Petrol Bunk, Allwyn Colony, Pipeline Rd, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivekananda Nagar, Kukatpally",17.4992025,78.413682,ChIJ0WfnLQCRyzsRUGleBPsgrJM,https://www.google.com/maps/place/?q=place_id:ChIJ0WfnLQCRyzsRUGleBPsgrJM,part_349,2026-09-20 20:19:01,11131
"Government Degree College, Kukatpally",Junior College and Degree College,College,College,761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",N/A,https://gdcts.cgg.gov.in/kukatpally.edu,4.1,356.0,"FCJ8+J67, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.4815298,78.4155518,ChIJSf8GhpiRyzsR_yUB8t-DFmw,https://www.google.com/maps/place/?q=place_id:ChIJSf8GhpiRyzsR_yUB8t-DFmw,part_349,2026-09-20 20:19:02,11132
Balipadar Science College,Junior College and Degree College,Junior college,Junior college,761117,Odisha Circle,Berhampur Region,Aska Division,"Ballipadar S.O, Antarapada B.O, Arakhapur B.O",N/A,N/A,4.0,63.0,"QP22+557, Danda Sahi, Ramagada, Ghodapada, Odisha 761117",Danda Sahi,19.750406599999998,84.70042169999999,ChIJ88p1zMK7IjoRpUboQxm_Fzk,https://www.google.com/maps/place/?q=place_id:ChIJ88p1zMK7IjoRpUboQxm_Fzk,part_349,2026-09-20 20:20:21,18274
Gangadhar Sahu Science College,Junior College and Degree College,Junior college,Junior college,761117,Odisha Circle,Berhampur Region,Aska Division,"Ballipadar S.O, Antarapada B.O, Arakhapur B.O",+91 6810 285 300,N/A,3.9,29.0,"Hatiota, Sadakahill, Odisha 761117",761117,19.6924502,84.7686504,ChIJVVVVVaq6IjoRLGZHcTiJR9k,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVaq6IjoRLGZHcTiJR9k,part_349,2026-09-20 20:20:21,18275
Vijetha Junior and Degree College For Girls,Junior College and Degree College,College,College,761119,Odisha Circle,Berhampur Region,Aska Division,"Bellaguntha S.O, Ambapua B.O, B.L.S.Pur B.O",+91 89770 49755,https://www.vijethacollege.com/,3.0,,"H. No 1-287/24&25, Beside substation, Balaji Nagar, Miyapur X Roads Miyapur, Serilingampalle (M), Hyderabad, Telangana 500049",Balaji Nagar,17.4971681,78.3602021,ChIJ9-JCdLPCTa4RaJXnt10pW4o,https://www.google.com/maps/place/?q=place_id:ChIJ9-JCdLPCTa4RaJXnt10pW4o,part_349,2026-09-20 20:21:37,22919
"MBR JR COLLEGE, MENDA, SUBARNAPUR, ODISHA",Junior College and Degree College,College,College,761119,Odisha Circle,Berhampur Region,Aska Division,"Bellaguntha S.O, Ambapua B.O, B.L.S.Pur B.O",N/A,N/A,4.7,,"RJPR+HHQ, Menda, Odisha 767016",761119,20.83646,83.641485,ChIJvfACIQL5IzoR8PsGemeJ3t0,https://www.google.com/maps/place/?q=place_id:ChIJvfACIQL5IzoR8PsGemeJ3t0,part_349,2026-09-20 20:21:37,22920
Dr. B.R.A.N Junior College,Junior College and Degree College,Junior college,Junior college,761119,Odisha Circle,Berhampur Region,Aska Division,"Bellaguntha S.O, Ambapua B.O, B.L.S.Pur B.O",N/A,N/A,4.2,,"W429+3J4, Daringbadi, Badipadara, Odisha 762104",761119,19.9001277,84.11906859999999,ChIJo4qPzTQYIzoRy7mFAeVay9I,https://www.google.com/maps/place/?q=place_id:ChIJo4qPzTQYIzoRy7mFAeVay9I,part_349,2026-09-20 20:21:37,22921
N.S.B Degree College,Junior College and Degree College,College,College,761120,Odisha Circle,Berhampur Region,Aska Division,"Baragam S.O, Aladi B.O, B.D.Pur B.O",N/A,N/A,3.3,15.0,"XPM7+JHW, Nuamunda, Odisha 762107",761120,19.9841126,83.7139572,ChIJrX9k1_hkIzoRHnp-GMsS3bA,https://www.google.com/maps/place/?q=place_id:ChIJrX9k1_hkIzoRHnp-GMsS3bA,part_349,2026-09-20 20:22:14,24134
Junior college,Junior College and Degree College,Grocery store,Grocery store,761120,Odisha Circle,Berhampur Region,Aska Division,"Baragam S.O, Aladi B.O, B.D.Pur B.O",N/A,N/A,5.0,1.0,"Chandrapuri Colony, L. B. Nagar, Hyderabad, Telangana 500074","Chandrapuri Colony, L. B. Nagar",17.3457176,78.55222959999999,ChIJj60atDWZyzsR1f-U3vP6lk0,https://www.google.com/maps/place/?q=place_id:ChIJj60atDWZyzsR1f-U3vP6lk0,part_349,2026-09-20 20:22:15,24135
Junior College,Junior College and Degree College,Store,Store,761120,Odisha Circle,Berhampur Region,Aska Division,"Baragam S.O, Aladi B.O, B.D.Pur B.O",N/A,N/A,5.0,1.0,"Mobile Tower, Koti Main Rd, Goutam Nagar, Badi Chowdi, Sanjeeva Reddy Nagar, Hyderabad, Alampur (P), Telangana 509152","Goutam Nagar, Badi Chowdi, Sanjeeva Reddy Nagar",15.8796164,78.1290542,ChIJ0b8uyYvotTsRCeelqdx-A0I,https://www.google.com/maps/place/?q=place_id:ChIJ0b8uyYvotTsRCeelqdx-A0I,part_349,2026-09-20 20:22:15,24136
"Narayana Junior Colleges - Kukatpally, Hyderabad",Junior College and Degree College,Junior college,"Junior college, CBSE School, College, Education center, Educational institution",761122,Odisha Circle,Berhampur Region,Aska Division,"Nimina S.O, Benapata B.O, Kamagada B.O",+91 1800 102 3344,https://branches.narayanajuniorcolleges.com/narayana-junior-college/centre-in-hyderabad/centre-in-Kukatpally/narayana-junior-college-in-Kukatpally-hyderabad--1oMqdi/home,4.8,,"House No 12, Jaya Complex, Balanagar Mandal, 6-2/219/1, Main Road, nearby Metro Piller, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.4836374,78.41453709999999,ChIJl-KCgbuRyzsRuyt3W-6wYx8,https://www.google.com/maps/place/?q=place_id:ChIJl-KCgbuRyzsRuyt3W-6wYx8,part_349,2026-09-20 20:23:26,27602
Avinash College of Commerce (Degree) - KPHB,Junior College and Degree College,Educational institution,Educational institution,761122,Odisha Circle,Berhampur Region,Aska Division,"Nimina S.O, Benapata B.O, Kamagada B.O",+91 99492 22244,https://acc.edu.in/kukatpally-degree-branch/,4.5,,"53 & 54, ACC Towers, Plot No. 21, Usha Mullapudi Rd, behind South India Shopping Mall, Kukatpally Housing Board Colony, A.S.Raju Nagar, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072","Kukatpally Housing Board Colony, A.S.Raju Nagar, Vivekananda Nagar, Kukatpally",17.4936836,78.40468369999999,ChIJv7hHuZSRyzsRgyRSNhnq26w,https://www.google.com/maps/place/?q=place_id:ChIJv7hHuZSRyzsRgyRSNhnq26w,part_349,2026-09-20 20:23:26,27603
"Sri Aadarsh Junior College , Kukatpally",Junior College and Degree College,Junior college,Junior college,761122,Odisha Circle,Berhampur Region,Aska Division,"Nimina S.O, Benapata B.O, Kamagada B.O",+91 70756 59453,N/A,4.0,,"5-1-48, Shanthi Nagar, Kukatpally, Hyderabad, Telangana 500072","Shanthi Nagar, Kukatpally",17.4837229,78.414637,ChIJYyRQ7OyRyzsRd5AFwcB92cc,https://www.google.com/maps/place/?q=place_id:ChIJYyRQ7OyRyzsRd5AFwcB92cc,part_349,2026-09-20 20:23:26,27604
"Aanchalika Mahavidyalaya, Kshetriyabarapur",Junior College and Degree College,College,"College, Graduate school, Junior college",761123,Odisha Circle,Berhampur Region,Aska Division,"Gangapur (Ganjam) S.O, Bangarada B.O, Bori B.O",N/A,N/A,4.4,,"Luni Padasasan, Odisha 761123",761123,19.805222699999998,84.59449049999999,ChIJS_lzjJDAIjoRHDdmoNaEcGE,https://www.google.com/maps/place/?q=place_id:ChIJS_lzjJDAIjoRHDdmoNaEcGE,part_349,2026-09-20 20:24:01,29522
Jaloe Degree College,Junior College and Degree College,Educational institution,Educational institution,761124,Odisha Circle,Berhampur Region,Aska Division,"Gobara S.O, Badaborasingi B.O, Badapada B.O",N/A,N/A,5.0,2.0,"WX83+FH3, Sonepur, jalojungle, Odisha 767018",761124,20.9161415,83.9539187,ChIJ____D0DeIzoROMbdKiW8AgE,https://www.google.com/maps/place/?q=place_id:ChIJ____D0DeIzoROMbdKiW8AgE,part_349,2026-09-20 20:24:37,30497
Pragathi college For Women,Junior College and Degree College,College,"College, Junior college, Women's College",761132,Odisha Circle,Berhampur Region,Aska Division,"Mujjagada S.O, Birikote B.O, Brhamanapadar B.O",+91 40 2306 5702,http://www.pragathicolleges.com/,3.8,,"FCR5+G83, Plot No. 948, Vivekanandanagar Main Rd, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivekananda Nagar, Kukatpally",17.491277999999998,78.40827949999999,ChIJcegoxr-RyzsRH-gknH9p5Lk,https://www.google.com/maps/place/?q=place_id:ChIJcegoxr-RyzsRH-gknH9p5Lk,part_349,2026-09-20 20:27:03,35097
