business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AcharyaDrona Edu World – Admission Consultancy,Educational Consultant,Educational consultant,"Educational consultant, Career guidance service, Consultant, Education center, Educational institution, Educational testing service, Student career counseling office",761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",+91 91144 39351,http://www.acharyadrona.com/,4.9,,"Plot K3B/541,1st Floor,Ghatikia Main Road Near Saraswati Sishu Mandir,Ghatikia, Kalinganagar, Bhubaneswar, Odisha 751003","K8 Kalinga Nagar, Kalinganagar",20.2744493,85.7683966,ChIJbflKvpYJGToR9giTSzfJFHY,https://www.google.com/maps/place/?q=place_id:ChIJbflKvpYJGToR9giTSzfJFHY,part_349,2026-09-20 20:19:02
Accurate Education Services,Educational Consultant,Educational consultant,Educational consultant,761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",+91 93349 71528,N/A,5.0,,"Room no-109, 1st Floor, Shri Ram Plaza, Bank More, Dhanbad, Jharkhand 826007",Bank More,23.7868834,86.4184927,ChIJJUQFrcy89jkR1taGlqgBuSY,https://www.google.com/maps/place/?q=place_id:ChIJJUQFrcy89jkR1taGlqgBuSY,part_349,2026-09-20 20:19:02
pintu education,Educational Consultant,Educational consultant,Educational consultant,761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",+91 84570 20330,N/A,5.0,,"pintu education, Nahada, Odisha 761117",761115,19.748076299999997,84.6695804,ChIJC39eMvS5IjoRM0Fwf4CQ8WI,https://www.google.com/maps/place/?q=place_id:ChIJC39eMvS5IjoRM0Fwf4CQ8WI,part_349,2026-09-20 20:19:02
GF Global Focus Education Pvt. Ltd,Educational Consultant,Educational consultant,"Educational consultant, Passport Agent, Travel agency, Visa Agent",761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",+91 96921 23000,http://www.globalfocus.in/,4.9,344.0,"1st Floor, 382, Gridco Colony, Bhoi Nagar, Bhubaneswar, Odisha 751022","Gridco Colony, Bhoi Nagar",20.295568799999998,85.8392283,ChIJvXeqO_AJGToRHVI0YcKwTXo,https://www.google.com/maps/place/?q=place_id:ChIJvXeqO_AJGToRHVI0YcKwTXo,part_349,2026-09-20 20:19:02
SAI EDUNOM MEDIA PRIVATE LIMITED,Educational Consultant,Educational consultant,"Educational consultant, Career guidance service, Student career counseling office",761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",+91 98215 33240,https://edunom.com/,4.8,206.0,"3rd Floor, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.2957723,85.8424651,ChIJsWE4QOPhDDkRVnbGSbo15Ac,https://www.google.com/maps/place/?q=place_id:ChIJsWE4QOPhDDkRVnbGSbo15Ac,part_349,2026-09-20 20:19:02
NinthSem,Educational Consultant,Educational consultant,"Educational consultant, Service establishment",761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",+91 99666 99083,N/A,4.9,158.0,"NinthSem, 761115, India",761115,21.0680074,82.7525294,ChIJuzxhfLELGToRBOX0H5lPPQE,https://www.google.com/maps/place/?q=place_id:ChIJuzxhfLELGToRBOX0H5lPPQE,part_349,2026-09-20 20:19:02
ACHIVIA,Educational Consultant,Educational consultant,"Educational consultant, Career guidance service, Coaching Center, College, Consultant, Counselor, Foreign Exchange Students Organization, Student career counseling office, University, Visa Agent",761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",+91 76060 02979,https://www.achivia.in/,4.9,208.0,"DCB # 227, 2nd, Idco Info Park, Technology Corridor, Chandaka Industrial Estate, Infocity, Patia, Bhubaneswar, Odisha 751024","Chandaka Industrial Estate, Infocity, Patia",20.3488354,85.8076576,ChIJrahH1eEIGToRzlr0O65KqRM,https://www.google.com/maps/place/?q=place_id:ChIJrahH1eEIGToRzlr0O65KqRM,part_349,2026-09-20 20:19:02
IDP Education,Educational Consultant,Educational consultant,"Educational consultant, Education center, Student career counseling office",761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",+91 674 681 8888,https://www.idp.com/india/study-abroad-consultants/bhubaneswar/?utm_source=local&utm_medium=organic&utm_campaign=gmb&utm_term=plcid_15350999743394011485,5.0,323.0,"2nd Floor, Above Croma Store, Bhoi Nagar, Janpath Rd, Saheed Nagar, Bhubaneswar, Odisha 751022",Saheed Nagar,20.2855612,85.8431432,ChIJY8TQezwJGToRN04pxSOW9Kk,https://www.google.com/maps/place/?q=place_id:ChIJY8TQezwJGToRN04pxSOW9Kk,part_349,2026-09-20 20:19:02
KALINGAEURO,Educational Consultant,Educational consultant,"Educational consultant, Consultant, Language school, Visa Agent",761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",+91 674 235 4331,http://kalingaeuro.com/,4.4,201.0,"370, THE GALAXY, 3010, Sishu Vihar Rd, Sishu Vihar, Patia, Bhubaneswar, Odisha 751024","Sishu Vihar, Patia",20.344401299999998,85.8223486,ChIJS78Wt-OnGToRICTxhgh8KsY,https://www.google.com/maps/place/?q=place_id:ChIJS78Wt-OnGToRICTxhgh8KsY,part_349,2026-09-20 20:19:02
Seven Educon - Top Best Overseas & Indian Education Consultant,Educational Consultant,Educational consultant,Educational consultant,761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",+91 22 2778 7777,https://www.7educon.com/,5.0,4.0,"Office No-1016, Rupa Solitaire Building, Millenium Business Park, Mahape, Navi Mumbai, Maharashtra 400710","Millenium Business Park, Sector 2, Mahape",19.1088994,73.0159628,ChIJ46BYL3nB5zsRHQGMp3Tk2nY,https://www.google.com/maps/place/?q=place_id:ChIJ46BYL3nB5zsRHQGMp3Tk2nY,part_349,2026-09-20 20:19:02
