business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
New maa patakhanda Motors,Auto Spare Parts Shop,Auto parts store,Auto parts store,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 83389 25589,N/A,5.0,,"PPQ5+W37, road, Ballipadar, Bellaguntha, Odisha 761117",761116,19.739789899999998,84.70767029999999,ChIJETCiVd67IjoRimvo-csM7z4,https://www.google.com/maps/place/?q=place_id:ChIJETCiVd67IjoRimvo-csM7z4,part_349,2026-09-20 20:19:29
Balipadar Main Road,Auto Spare Parts Shop,Auto parts store,Auto parts store,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 63706 27942,N/A,4.5,,"Road, Balipadar, Bellaguntha, Ballipadar, Odisha 761117",Balipadar,19.739797199999998,84.70767219999999,ChIJrTuuomWjIjoR4Bj9PzpVBuI,https://www.google.com/maps/place/?q=place_id:ChIJrTuuomWjIjoR4Bj9PzpVBuI,part_349,2026-09-20 20:19:29
Royal auto parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 97761 56711,N/A,5.0,,"jena market complex, Raghunathpur - Jagatsinghpur Rd, Jagatsinghpur, Odisha 754132",761116,20.3602185,86.16215299999999,ChIJYWtoJucJGToR1XhZ1FgyItQ,https://www.google.com/maps/place/?q=place_id:ChIJYWtoJucJGToR1XhZ1FgyItQ,part_349,2026-09-20 20:19:29
Sekh madana,Auto Spare Parts Shop,Auto parts store,Auto parts store,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",N/A,N/A,,,"MPQ7+C26, Pandiapathara, Odisha 761116",761116,19.6885331,84.7125107,ChIJQXg2Rtm7IjoRo5DeqYehwFo,https://www.google.com/maps/place/?q=place_id:ChIJQXg2Rtm7IjoRo5DeqYehwFo,part_349,2026-09-20 20:19:29
Jana Seva Kendra,Auto Spare Parts Shop,Auto parts store,Auto parts store,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 99385 54922,N/A,,,"Bhetani, Berhampur, Odisha 761116",761116,19.6722196,84.6905666,ChIJ5yZEti-xIjoRAPwGWjKLsno,https://www.google.com/maps/place/?q=place_id:ChIJ5yZEti-xIjoRAPwGWjKLsno,part_349,2026-09-20 20:19:29
Rabeeh Auto Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 79075 40514,https://instagram.com/rabeeh_auto_parts?igshid=YmMyMTA2M2Y=,5.0,4.0,"Bypass Junction, Mankave, Kozhikode, Keralam 673007","Bypass Junction, Mankave",11.2357064,75.8042663,ChIJ0xMvjOVZpjsRkZAFY1a8SU8,https://www.google.com/maps/place/?q=place_id:ChIJ0xMvjOVZpjsRkZAFY1a8SU8,part_349,2026-09-20 20:19:30
BHARATH AUTO SPARES,Auto Spare Parts Shop,Auto parts store,Auto parts store,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",N/A,N/A,4.3,4.0,"Beerasettihalli, Pandavapura, Karnataka 571434",Beerasettihalli,12.5071408,76.6747122,ChIJTYzAwxqdrzsRe4LcWQB92ME,https://www.google.com/maps/place/?q=place_id:ChIJTYzAwxqdrzsRe4LcWQB92ME,part_349,2026-09-20 20:19:30
Royal Spares,Auto Spare Parts Shop,Auto parts store,Auto parts store,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 82602 87902,N/A,5.0,21.0,"Masjid Rd, Hatapada, Phulbani, Odisha 762001",Hatapada,20.4757402,84.23509419999999,ChIJLUytXpOzIzoR7IMS4HpJhic,https://www.google.com/maps/place/?q=place_id:ChIJLUytXpOzIzoR7IMS4HpJhic,part_349,2026-09-20 20:19:30
BEST AUTOMOBILES SPARE PARTS,Auto Spare Parts Shop,Car repair and maintenance service,Car repair and maintenance service,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 95392 22700,N/A,4.5,10.0,"Mundappalam, Kondotty, Kerala 673638",Mundappalam,11.1557394,75.95846949999999,ChIJ2bT3nc5PpjsRtcb13KavS1E,https://www.google.com/maps/place/?q=place_id:ChIJ2bT3nc5PpjsRtcb13KavS1E,part_349,2026-09-20 20:19:30
Pookkattil auto spares,Auto Spare Parts Shop,Auto parts store,Auto parts store,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 97470 06176,N/A,4.9,128.0,"Ottapalam - Cherppulassery Rd, Cherpulassery, Keralam 679503",761116,10.8763303,76.3176656,ChIJU0f4F2zRpzsR4ePtY8T4s9o,https://www.google.com/maps/place/?q=place_id:ChIJU0f4F2zRpzsR4ePtY8T4s9o,part_349,2026-09-20 20:19:30
