business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Babuli Sweets,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 94375 86798,N/A,4.0,,"Block chowk, Front of SBI evening branch, Sonepur, Odisha 767017",761116,20.8475713,83.89585459999999,ChIJUYT_ogbnIzoRRHqV7tbVFR8,https://www.google.com/maps/place/?q=place_id:ChIJUYT_ogbnIzoRRHqV7tbVFR8,part_349,2026-09-20 20:19:18
Nandini Sweets,Sweet Stall / Mithai Shop,General store,"General store, Sweet shop",761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 98539 71049,N/A,4.3,,"Narayannagar, Odisha 762014",761116,20.8593379,84.2050489,ChIJUZVtjMnTIzoR8-j1Wl7iWkg,https://www.google.com/maps/place/?q=place_id:ChIJUZVtjMnTIzoR8-j1Wl7iWkg,part_349,2026-09-20 20:19:18
Anand Bazaar Sweet Factory Banaballi,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",N/A,N/A,4.6,,Odisha 761116,761116,19.6653065,84.67830649999999,ChIJO4xXmUW3IjoRzpE0igOYqa4,https://www.google.com/maps/place/?q=place_id:ChIJO4xXmUW3IjoRzpE0igOYqa4,part_349,2026-09-20 20:19:18
MAHARAJA SWEETS,Sweet Stall / Mithai Shop,Dairy store,Dairy store,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 89088 52296,N/A,4.5,,"Shop No 666, Annapurna Maret, Amalpada, Phulbani, Ganjam, Odisha 762001","Annapurna Maret, Amalpada",20.4756802,84.23462889999999,ChIJx6Ff9USzIzoRB5C5NKKto74,https://www.google.com/maps/place/?q=place_id:ChIJx6Ff9USzIzoRB5C5NKKto74,part_349,2026-09-20 20:19:18
Sahoo sweets,Sweet Stall / Mithai Shop,Bakery and Cake Shop,Bakery and Cake Shop,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",N/A,N/A,5.0,,"V2CW+9PF, Tribeni Chowk Rd, Birmaharajpur, Odisha 767018",761116,20.8709444,84.0468041,ChIJ97m_82HbIzoR6WPc8U6XDEc,https://www.google.com/maps/place/?q=place_id:ChIJ97m_82HbIzoR6WPc8U6XDEc,part_349,2026-09-20 20:19:18
Sai Krishna Sweets,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",N/A,N/A,3.2,,"RWW4+QMV, Sonepur, Odisha 767017",761116,20.8469856,83.906684,ChIJn66M6QvnIzoRWrWPzYgH2WQ,https://www.google.com/maps/place/?q=place_id:ChIJn66M6QvnIzoRWrWPzYgH2WQ,part_349,2026-09-20 20:19:18
Balaram saal,Sweet Stall / Mithai Shop,Indian sweets shop,Indian sweets shop,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",N/A,N/A,,,"MMGG+22C, Unnamed Road, Odisha 761116",761116,19.6750683,84.6750182,ChIJca1TIiK3IjoRM8IwhLldLHA,https://www.google.com/maps/place/?q=place_id:ChIJca1TIiK3IjoRM8IwhLldLHA,part_349,2026-09-20 20:19:18
Ideal Ganguram Sweets,Sweet Stall / Mithai Shop,Indian sweets shop,Indian sweets shop,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 94383 34390,N/A,3.8,,"Acharya Vihar, Plot no. 7, Bhoi Nagar, Bhubaneswar, Odisha 751022","Bhoinagar Basti, Bhoi Nagar",20.2962862,85.83362249999999,ChIJtbsgKu8JGToRJMjfGOD88v0,https://www.google.com/maps/place/?q=place_id:ChIJtbsgKu8JGToRJMjfGOD88v0,part_349,2026-09-20 20:19:19
Babuli Sweets (New),Sweet Stall / Mithai Shop,Bakery and Cake Shop,Bakery and Cake Shop,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",N/A,N/A,4.0,2.0,"RWX3+X6V, Sonepur, Odisha 767017",761116,20.8500503,83.90304549999999,ChIJmaD5UQDnIzoR6CnRY7K6jZI,https://www.google.com/maps/place/?q=place_id:ChIJmaD5UQDnIzoR6CnRY7K6jZI,part_349,2026-09-20 20:19:20
Manali Sweets,Sweet Stall / Mithai Shop,Sweet shop,"Sweet shop, Bakery and Cake Shop, Cake shop, Confectionery store, Sweets and dessert buffet, Wholesale bakery",761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 98160 09747,N/A,3.9,718.0,"Siyali Mahadev Market, Model Town, Siyal, Manali, Himachal Pradesh 175131","Model Town, Siyal",32.244071999999996,77.1889137,ChIJTWJTzwaIBDkR2fj_2BV99f8,https://www.google.com/maps/place/?q=place_id:ChIJTWJTzwaIBDkR2fj_2BV99f8,part_349,2026-09-20 20:19:20
Murliwala - Sweets & Restaurant,Sweet Stall / Mithai Shop,Indian sweets shop,"Indian sweets shop, Buffet restaurant, Sweet shop, Fast food restaurant",761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 88897 00002,N/A,4.1,1519.0,"EC-64, IDA Scheme No.94, Bombay Hospital Service Rd, opposite Hotel Infinity, Pushp Vihar Colony, Indore, Madhya Pradesh 452010","Pushp Vihar Colony, Scheme 94 Sector EC",22.752899,75.90458459999999,ChIJ-WKwx1UdYzkR8oOQd3Nqaz0,https://www.google.com/maps/place/?q=place_id:ChIJ-WKwx1UdYzkR8oOQd3Nqaz0,part_349,2026-09-20 20:19:20
JMB Sweets,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",N/A,N/A,4.0,1955.0,"555, Kanadia Main Rd, behind Tata Motors, Sanchar Nagar Ext, Sanchar Nagar Extension, Indore, Madhya Pradesh 452016","Sanchar Nagar Ext, Sanchar Nagar Extension",22.7231877,75.9183256,ChIJZxZKX8HiYjkRinX_1EKCMy8,https://www.google.com/maps/place/?q=place_id:ChIJZxZKX8HiYjkRinX_1EKCMy8,part_349,2026-09-20 20:19:20
PAKWAN - SWEETS AND NAMKEEN,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 90756 54499,N/A,4.4,,"Shop no. 12, vision galleria, pimple saudagar, near kunal icon, pcmc, pune 27, Pimpri-Chinchwad, Maharashtra 411027",Pimple Saudagar,18.5937295,73.792452,ChIJS-Ykhh-5wjsRRqo0Fg6sN_I,https://www.google.com/maps/place/?q=place_id:ChIJS-Ykhh-5wjsRRqo0Fg6sN_I,part_349,2026-09-20 20:19:20
