business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa Santoshi Ortho & Neuro Therapy Center,Therapy Center,Chiropractor,Chiropractor,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",N/A,N/A,5.0,10.0,"RWX4+234, Somnath temple road, Sonepur, Odisha 767017",761116,20.8475073,83.9052169,ChIJRWioJADnIzoRiCmBFLUmhEw,https://www.google.com/maps/place/?q=place_id:ChIJRWioJADnIzoRiCmBFLUmhEw,part_349,2026-09-20 20:19:38
KINETIC PHYSIOTHERAPY CLINIC (A COMPLETE REHABILATION OF PAIN & MOVEMENT)DR.GOVIND CHANDRA MEHER ( PT)UTKAL UNIVERSITY BBSR,Therapy Center,Physiotherapy Center,Physiotherapy Center,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 80185 14371,N/A,5.0,9.0,"Biju Pattnaik chowk, bus stand, above rao omfed, Sonepur, Odisha 767017",761116,20.8435117,83.9097737,ChIJlTPfIwDnIzoRsf2Obnut02U,https://www.google.com/maps/place/?q=place_id:ChIJlTPfIwDnIzoRsf2Obnut02U,part_349,2026-09-20 20:19:38
Dr Chhabilal Meher,Therapy Center,Physiotherapist,Physiotherapist,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 79783 21440,https://drchhabilalmeher.getmy.clinic/,5.0,26.0,"Majhipada Rd, near kasturi hotel, Sonepur, Odisha 767017",761116,20.8464864,83.9072872,ChIJ-3nzhADnIzoRzocCv9f-ZB0,https://www.google.com/maps/place/?q=place_id:ChIJ-3nzhADnIzoRzocCv9f-ZB0,part_349,2026-09-20 20:19:38
RV child development services,Therapy Center,Rehabilitation center,Rehabilitation center,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 99937 07065,https://sites.google.com/view/rvchilddevelopmentservices/home,4.7,19.0,"Pintu cycles, store street, Near Musakhedi Square, Musakhedi, Indore, Madhya Pradesh 452001","Near Musakhedi Square, Musakhedi",22.6930762,75.898699,ChIJW9hjLwz9YjkRIMLTirAyISs,https://www.google.com/maps/place/?q=place_id:ChIJW9hjLwz9YjkRIMLTirAyISs,part_349,2026-09-20 20:19:39
New Cherry Blossoms,Therapy Center,Speech & Hearing Specialist,Speech & Hearing Specialist,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 88025 76036,https://newcherryblossoms.in/,4.7,249.0,"A-156, Vivekanand Marg, opposite gurukul play school, near Kidzee school, Block A, Sector 8 Dwarka, Dwarka, New Delhi, Delhi, 110077","Block A, Sector 8 Dwarka, Dwarka",28.5745708,77.07275609999999,ChIJv5KjqLAbDTkRvZZ6OKwU0CE,https://www.google.com/maps/place/?q=place_id:ChIJv5KjqLAbDTkRvZZ6OKwU0CE,part_349,2026-09-20 20:19:39
RETURN TO NATURE INDIA LLP,Therapy Center,Health consultant,"Health consultant, Ayurvedic clinic, Naturopathic practitioner, Physiotherapy Center",761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 77710 00308,N/A,5.0,,"H, 8, Ram Bagh Colony Rd, Ram Bag Colony, Shinde Ki Chhawani, Gwalior, Madhya Pradesh 474001","Ram Bag Colony, Shinde Ki Chhawani",26.2091077,78.1607925,ChIJU5fUthXFdjkRn-M6OZs4f7k,https://www.google.com/maps/place/?q=place_id:ChIJU5fUthXFdjkRn-M6OZs4f7k,part_349,2026-09-20 20:19:39
Positive change therapy centre,Therapy Center,Applied behavior analysis therapist,Applied behavior analysis therapist,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 74832 70596,N/A,5.0,1.0,"3rd, main, 2nd Cross Rd, Anwar Layout, Kadugondanahalli, Bengaluru, Karnataka 560045","Anwar Layout, Kadugondanahalli",13.014125499999999,77.6160446,ChIJW3D_2ZoXrjsR8v8BI_MTe3c,https://www.google.com/maps/place/?q=place_id:ChIJW3D_2ZoXrjsR8v8BI_MTe3c,part_349,2026-09-20 20:19:39
Children Therapy Center,Therapy Center,Wellness center,"Wellness center, Child health care center, Occupational health service, Physiotherapy Center",761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 98204 33088,N/A,5.0,,"Farronagar), C.H.S. Limited, Mitrata Cooperative Housing Society, # 2, Ground Floor, Pokhran Road No. 1, Tulsi Dham, Samata Nagar, Thane West, Thane, Maharashtra 400606","Tulsi Dham, Samata Nagar, Thane West",19.206357,72.96226,ChIJEy-vFBO55zsRY2ws4slQ0P4,https://www.google.com/maps/place/?q=place_id:ChIJEy-vFBO55zsRY2ws4slQ0P4,part_349,2026-09-20 20:19:39
Inspiring Hearing And Therapies,Therapy Center,Occupational therapist,"Occupational therapist, Applied behavior analysis therapist, Doctor, Hearing aid repair service, Hearing aid store, Hearing assistance earphone store, Speech & Hearing Specialist, Physiotherapist, Special educator, Specialized clinic",761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 98509 53657,http://inspiringhear.com/,3.3,33.0,"Office No 123 &124, Pride Purple Square, next to Global Hospital, Kalewadi Phata, Vishnu Dev Nagar, Wakad, Pune, Pimpri-Chinchwad, Maharashtra 411057","Kalewadi Phata, Vishnu Dev Nagar, Wakad",18.6026415,73.7773402,ChIJR97IAhK5wjsRLKRKBloHfcI,https://www.google.com/maps/place/?q=place_id:ChIJR97IAhK5wjsRLKRKBloHfcI,part_349,2026-09-20 20:19:39
The HealingPath - Advance Chiropractic & Osteopathy Clinic,Therapy Center,Chiropractor,"Chiropractor, Fitness center, Osteopath, Physiatrist, Physical examination center, Physical rehabilitation center, Physiotherapist, Physiotherapy Center",761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 99812 05112,https://thehealingpath.in/,4.9,,"Heychel Durga Badi, E-7, Arera Colony, Bhopal, Madhya Pradesh 462016","E-7, Arera Colony",23.2086348,77.4358816,ChIJ3fDxE5OxMEQRjOehaO3TY_k,https://www.google.com/maps/place/?q=place_id:ChIJ3fDxE5OxMEQRjOehaO3TY_k,part_349,2026-09-20 20:19:39
Free Therapy Center,Therapy Center,Physiotherapy Center,Physiotherapy Center,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",N/A,N/A,5.0,,"B-16, Sector 9, Malviya Nagar, Jaipur, Rajasthan 302017","Sector 9, Malviya Nagar",26.8483391,75.8044245,ChIJF06kUOC1bTkR_j8VTN2A3e8,https://www.google.com/maps/place/?q=place_id:ChIJF06kUOC1bTkR_j8VTN2A3e8,part_349,2026-09-20 20:19:39
