business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Xerox Shop,Xerox and Photostat Center,Print shop,Print shop,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 97763 04541,N/A,,,"Nuasahi, Baunsia, Kabisuryanagar, Odisha 761105",Nuasahi,19.6294191,84.80414979999999,ChIJHfkZdZCvIjoRaQMNQYkMqm0,https://www.google.com/maps/place/?q=place_id:ChIJHfkZdZCvIjoRaQMNQYkMqm0,part_349,2026-09-20 20:19:43
Xerox shop,Xerox and Photostat Center,Print shop,Print shop,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 94394 88105,N/A,,,"Laxmi Nrusinha Street 13th Ln, line, Haridakhandi, Brahmapur, Odisha 760006","line, Haridakhandi",19.312742999999998,84.7680596,ChIJz6hV791PPToRwsZfNVMR7aU,https://www.google.com/maps/place/?q=place_id:ChIJz6hV791PPToRwsZfNVMR7aU,part_349,2026-09-20 20:19:43
Shiv Shankar Xerox Centre,Xerox and Photostat Center,Copy shop,"Copy shop, Typist",761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 99377 76369,N/A,4.0,32.0,"8R43+682, Kamapalli Main Rd, opp. Narsingha Temple, Natabar Nagar 2, Ashok Nagar, Brahmapur, Odisha 760004","Natabar Nagar 2, Ashok Nagar",19.3055096,84.8032736,ChIJoUQr6HdQPToRYqukAB06_3M,https://www.google.com/maps/place/?q=place_id:ChIJoUQr6HdQPToRYqukAB06_3M,part_349,2026-09-20 20:19:43
Sree Xerox,Xerox and Photostat Center,Print shop,Print shop,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 97780 27131,N/A,4.2,27.0,"Gosaninuagan Rd, Sundar Nagar, Brahmapur, Odisha 760001",Sundar Nagar,19.3042745,84.7947669,ChIJM7EN9aFaPToROGLuCSwRjHI,https://www.google.com/maps/place/?q=place_id:ChIJM7EN9aFaPToROGLuCSwRjHI,part_349,2026-09-20 20:19:43
Bhabani Shankar Xerox,Xerox and Photostat Center,Store,Store,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 97775 55540,N/A,,,"B Kadabadi, nearby Union Bank, Berhampur, Odisha 761143",761116,19.8559104,84.8241875,ChIJOwV1E_CjIjoRSqcIInVCx3M,https://www.google.com/maps/place/?q=place_id:ChIJOwV1E_CjIjoRSqcIInVCx3M,part_349,2026-09-20 20:19:43
Xerox Center,Xerox and Photostat Center,Store,Store,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",N/A,N/A,4.0,2.0,"JR29+M4H, Bajara Sahi, Athagada Patna, Odisha 761105",Bajara Sahi,19.6016872,84.817855,ChIJZ5eygYiuIjoRMprulmpWKg4,https://www.google.com/maps/place/?q=place_id:ChIJZ5eygYiuIjoRMprulmpWKg4,part_349,2026-09-20 20:19:43
Bright Xerox & Computer Items,Xerox and Photostat Center,Digital printing service,Digital printing service,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 97772 92932,N/A,3.9,,"3252+C7M, Mahabir Colony, Nimapada, Odisha 752106",Mahabir Colony,20.058575599999998,86.00066249999999,ChIJ26B5OCWXGToRWEN9l9ESWEg,https://www.google.com/maps/place/?q=place_id:ChIJ26B5OCWXGToRWEN9l9ESWEg,part_349,2026-09-20 20:19:43
"Xerox , colour Xerox, Photo, Lamination and Other",Xerox and Photostat Center,Print shop,Print shop,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 89089 91746,N/A,5.0,,"near MAA MANASA TEMPLE, Atharabanki, Talapada, Paradeep, Odisha 754120",Atharabanki,20.293288,86.6499365,ChIJAZ5ro81LGjoRO5qlwvxJUNY,https://www.google.com/maps/place/?q=place_id:ChIJAZ5ro81LGjoRO5qlwvxJUNY,part_349,2026-09-20 20:19:44
Purohit CSC & Xerox,Xerox and Photostat Center,Print shop,"Print shop, Aadhaar center, Bank, Driver's license office, Information services, Insurance agency, Invitation printing service, Printer repair service, Stationery store, Voter registration office",761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 70082 47699,https://purohit-csc-xerox.grexa.site/,5.0,,"near Sadeipali School, Sadeipali, Burla, Odisha 768017",761116,21.4979452,83.87207099999999,ChIJKwb44SA9IToR6NZmds9oqJI,https://www.google.com/maps/place/?q=place_id:ChIJKwb44SA9IToR6NZmds9oqJI,part_349,2026-09-20 20:19:44
Prince Jumbo Xerox,Xerox and Photostat Center,Digital printing service,"Digital printing service, Copy shop",761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 94220 08227,N/A,4.3,,"Shop No. 5, Basement, Gajanan Plaza Shagun Chowk, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411017","Pimpri Area, Shastri Nagar, Pimpri Colony",18.6219841,73.8024272,ChIJo7jQq1a4wjsR1ivBxLLxHv8,https://www.google.com/maps/place/?q=place_id:ChIJo7jQq1a4wjsR1ivBxLLxHv8,part_349,2026-09-20 20:19:44
Vedant Xerox,Xerox and Photostat Center,Stationery store,Stationery store,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 83900 93346,N/A,4.4,,"Chintamani Apartment, 474, Tilak Rd, opposite new english school, Pantancha Gate, Sadashiv Peth, Pune, Maharashtra 411030","Pantancha Gate, Sadashiv Peth",18.5116217,73.8450246,ChIJS43BJnTAwjsRkgGULcJbTUk,https://www.google.com/maps/place/?q=place_id:ChIJS43BJnTAwjsRkgGULcJbTUk,part_349,2026-09-20 20:19:44
MAHARASHTRA XEROX,Xerox and Photostat Center,Print shop,Print shop,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 80073 40083,https://www.xerox.com/,4.7,,"Mangal Complex, Ugay, opp. Maharashtra xerox, Erandwane, Pune, Maharashtra 411052","Bharatkunj - 1, Erandwane",18.5007897,73.8253431,ChIJH75oAuqVwjsRN-4PFIop4Vo,https://www.google.com/maps/place/?q=place_id:ChIJH75oAuqVwjsRN-4PFIop4Vo,part_349,2026-09-20 20:19:44
Maharashtra Xerox,Xerox and Photostat Center,Copy shop,Copy shop,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 96239 66230,N/A,4.1,,"19/03, Garmal, Dhayari, Pune, Maharashtra 411041","Garmal, Dhayari",18.4555144,73.812057,ChIJBwHEXROVwjsRNvbyHu3ZPt0,https://www.google.com/maps/place/?q=place_id:ChIJBwHEXROVwjsRNvbyHu3ZPt0,part_349,2026-09-20 20:19:44
Amitsons Digital Copier ( Since 1983 ),Xerox and Photostat Center,Print shop,"Print shop, Blueprint service, Copy shop, Digital printer, Digital printing service, Vinyl sign shop",761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 94220 02958,https://business.google.com/v/amitsons-digital-copier-since-1983/015429802423582410099/7704/_?,4.8,,"106&110, 1st Floor, near Laxmi Narayana Theatre, above Bank of India, Parvati Paytha, Pune, Maharashtra 411009",Parvati Paytha,18.496603,73.857049,ChIJ9X7wjBDAwjsRWidafIHxpGs,https://www.google.com/maps/place/?q=place_id:ChIJ9X7wjBDAwjsRWidafIHxpGs,part_349,2026-09-20 20:19:44
Precise Copy Centre,Xerox and Photostat Center,Copy shop,"Copy shop, Lamination service, Payphone, Print shop",761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 484 239 6316,N/A,4.5,,"X7PJ+PC5, Between PNVM Hosiptal & Vidyaniketan, Kochi, Providence Rd, Kacheripady, Ernakulam, Keralam 682018",Kacheripady,9.986766,76.281108,ChIJ-wtc4FoNCDsRepC8gL0MFaE,https://www.google.com/maps/place/?q=place_id:ChIJ-wtc4FoNCDsRepC8gL0MFaE,part_349,2026-09-20 20:19:44
Xerox Center,Xerox and Photostat Center,Stationery store,Stationery store,761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 98805 59511,N/A,5.0,,"1st, Main, 1st Cross Rd, Bharathi Layout, Balaji Nagar, S.G. Palya, Bengaluru, Karnataka 560029","Bharathi Layout, Balaji Nagar, S.G. Palya",12.9274147,77.60632389999999,ChIJG75ZWjcVrjsRF7Q61yoHJPc,https://www.google.com/maps/place/?q=place_id:ChIJG75ZWjcVrjsRF7Q61yoHJPc,part_349,2026-09-20 20:19:44
STAR PRINTS,Xerox and Photostat Center,Digital printing service,"Digital printing service, Bookbinder, Commercial printer, Digital printer, Lamination service, Offset Printer, Photo lab, Screen printer",761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 81442 27000,https://starprints.in/,4.6,,"No.1/11, 1st Floor, Gee Gee Plaza Wheatcrofts Road, Valluvar Kottam High Rd, near Cresent Hotel, Nungambakkam, Chennai, Tamil Nadu 600034","Seetha Nagar, Nungambakkam",13.0647144,80.2432314,ChIJ6xR3-GVmUjoRgNx4gibBvtk,https://www.google.com/maps/place/?q=place_id:ChIJ6xR3-GVmUjoRgNx4gibBvtk,part_349,2026-09-20 20:19:44
Adayar Prints,Xerox and Photostat Center,Print shop,"Print shop, Blueprint service",761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 98410 81875,https://adyarprints.com/,4.6,,"2, N Usman Rd, Panagal Park Market, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017","Panagal Park Market, Parthasarathi Puram, T. Nagar",13.0535,80.23434,ChIJ0-ZLSklnUjoRGC5n6mnlu7c,https://www.google.com/maps/place/?q=place_id:ChIJ0-ZLSklnUjoRGC5n6mnlu7c,part_349,2026-09-20 20:19:44
Xerox Lamination,Xerox and Photostat Center,Copy shop,"Copy shop, Lamination service, Stationery store",761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",N/A,N/A,3.6,43.0,"Krishna Nagar, Agartala, Tripura 799001",Krishna Nagar,23.839332799999998,91.27049149999999,ChIJ_X24xBf0UzcRZDA_3RXkDqw,https://www.google.com/maps/place/?q=place_id:ChIJ_X24xBf0UzcRZDA_3RXkDqw,part_349,2026-09-20 20:19:45
Shubh Xerox,Xerox and Photostat Center,Internet cafe,"Internet cafe, Mobile phone repair shop, Rubber stamp store",761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O",+91 712 325 4473,https://www.xerox.com/,3.9,7.0,"Plot No.210, Dharampeth Tower, B-2, W High Ct Rd, Dharampeth, Nagpur, Maharashtra 440010",Dharampeth,21.1376568,79.0603233,ChIJMzdLHmHA1DsRPXI8xa2Hiu4,https://www.google.com/maps/place/?q=place_id:ChIJMzdLHmHA1DsRPXI8xa2Hiu4,part_349,2026-09-20 20:19:45
