business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
IYE TV,Corporate Event Planner,Event management company,"Event management company, Adult entertainment club, Film Production Company",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 63705 20561,N/A,5.0,,"Abanti Nagar Rd, Polasara, Belagan, Odisha 761105",761118,19.7028879,84.8167283,ChIJv7FPxM2lIjoR7abBUOrXlR8,https://www.google.com/maps/place/?q=place_id:ChIJv7FPxM2lIjoR7abBUOrXlR8,part_349,2026-09-20 20:20:59
Pradhan Event&Season Center,Corporate Event Planner,Event planner,Event planner,761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",N/A,N/A,3.0,,"SH 21, Jagannathprasad, Odisha 761121",761118,19.9673905,84.7748668,ChIJAW6xV0WZIjoRpgYQHKAwabw,https://www.google.com/maps/place/?q=place_id:ChIJAW6xV0WZIjoRpgYQHKAwabw,part_349,2026-09-20 20:20:59
BLACK RIDERS PRODUCTION,Corporate Event Planner,Event planner,"Event planner, Event management company, Event technology service",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 99100 11724,http://blackriders.in/,4.8,53.0,"House No.354, 2nd Floor, 100 Foota Road, Mehrauli-Gurgaon Rd, Ghitorni, New Delhi, Delhi 110030",Ghitorni,28.4920983,77.14474129999999,ChIJCcyGEfceDTkR9UzVpVtFtko,https://www.google.com/maps/place/?q=place_id:ChIJCcyGEfceDTkR9UzVpVtFtko,part_349,2026-09-20 20:21:00
Inder Events And Production,Corporate Event Planner,Event management company,"Event management company, Branding agency, Exhibition planner, Stall installation service",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 98886 38896,https://www.indereventsproduction.com/,4.9,276.0,"MAMA JI CHOWK, Purani Mandi, Dharampura, Chheharta, Amritsar, Punjab 143105","Purani Mandi, Dharampura, Chheharta",31.6242453,74.7932862,ChIJRzLetvJ9GTkR2T0e6NA397M,https://www.google.com/maps/place/?q=place_id:ChIJRzLetvJ9GTkR2T0e6NA397M,part_349,2026-09-20 20:21:00
Wedding Aaha,Corporate Event Planner,Event planner,"Event planner, Event management company, Wedding planner, Wedding service",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 99406 62455,https://www.weddingaaha.com/,4.9,84.0,"A5, Ganesh Apartments, 52, N Mada St, Vinayaka Nagar Colony, Mylapore, Chennai, Tamil Nadu 600004","Vinayaka Nagar Colony, Mylapore",13.0344755,80.2694202,ChIJq8aTDdNnUjoRdKHX0GKZWhM,https://www.google.com/maps/place/?q=place_id:ChIJq8aTDdNnUjoRdKHX0GKZWhM,part_349,2026-09-20 20:21:00
A3Cube Events India,Corporate Event Planner,Event management company,Event management company,761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 99248 21884,http://www.a3cubeeventsindia.com/,4.2,28.0,"604-605, 6th Floor, Sankalp square 3, Sindhu Bhavan Marg, near Taj Skyline, Gujarat 380058","PRL Colony, Thaltej",23.0440184,72.4820484,ChIJoWvuIUmbXjkRKh9QdpFGuEc,https://www.google.com/maps/place/?q=place_id:ChIJoWvuIUmbXjkRKh9QdpFGuEc,part_349,2026-09-20 20:21:00
Moments Event and Entertainment,Corporate Event Planner,Event planner,"Event planner, Event management company, Exhibition planner",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 98988 02500,N/A,4.0,21.0,"Cross Road, Mondeal Square, B-411, Sarkhej - Gandhinagar Hwy, near Prahlad Nagar, Prahlad Nagar, Ahmedabad, Gujarat 380015",Prahlad Nagar,23.012229899999998,72.5033322,ChIJyZkyjPqbXjkRtvhPQTIp3WQ,https://www.google.com/maps/place/?q=place_id:ChIJyZkyjPqbXjkRtvhPQTIp3WQ,part_349,2026-09-20 20:21:00
FLAMBE Events & Hospitality,Corporate Event Planner,Event planner,"Event planner, Amusement machine supplier, Bouncy castle hire, Caterer, Children's party service, Event management company, Party equipment rental service, Party planner, Wedding planner",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 73859 28948,https://flambeevents.com/,4.5,148.0,"Shop No. 2, Om Sai Building, Dhanori - Tingre Nagar Rd, Sudam Nagar, Gokul Nagar, Munjaba Vasti, Dhanori, Pune, Maharashtra 411015","Sudam Nagar, Gokul Nagar, Munjaba Vasti, Dhanori",18.5893163,73.89197419999999,ChIJXdmIFKzHwjsRtqJ1-26N-UU,https://www.google.com/maps/place/?q=place_id:ChIJXdmIFKzHwjsRtqJ1-26N-UU,part_349,2026-09-20 20:21:00
D-Day Evento,Corporate Event Planner,Event planner,"Event planner, Event management company, Outdoor activity organiser, Party planner, Professional organizer, Wedding planner, Wedding service",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 97033 32813,https://ddayevento.com/,5.0,75.0,"Srinilayam, Plot no : 88/5, TNGO's Colony Phase 2, TNGOS Colony, Gachibowli, Hyderabad, Telangana 500046","TNGO's Colony Phase 2, TNGOS Colony, Gachibowli",17.4371855,78.3330125,ChIJ7wwNzAkyBSwRCPJrv3122Yw,https://www.google.com/maps/place/?q=place_id:ChIJ7wwNzAkyBSwRCPJrv3122Yw,part_349,2026-09-20 20:21:00
Make my wish Events,Corporate Event Planner,Wedding planner,"Wedding planner, Wedding photographer, Wedding venue",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 81308 30650,http://makemywish.co.in/,5.0,14.0,"Make My Wish Events, Sector 68, Gurugram, Haryana 122101",Sector 68,28.383140299999997,77.0348044,ChIJfYlkokEjDTkRdRVdPkT6zwU,https://www.google.com/maps/place/?q=place_id:ChIJfYlkokEjDTkRdRVdPkT6zwU,part_349,2026-09-20 20:21:00
