business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
EKAGRATA DANCE FOUNDATION,Music and Dance Academy,Dance school,"Dance school, Dance hall",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 93378 28184,N/A,4.8,47.0,"Alarpur, Odisha 752100",761118,20.2456592,85.88827649999999,ChIJF6_NKgChGToRRtkZ421BDDI,https://www.google.com/maps/place/?q=place_id:ChIJF6_NKgChGToRRtkZ421BDDI,part_349,2026-09-20 20:21:01
PRO Music (Classes & Recording studio),Music and Dance Academy,Music school,Music school,761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 70088 97355,N/A,5.0,20.0,"back side of townhall, Masjid road, near by sai cafe, Ramchandrapur Bazar, Jatni, Khordha, Odisha 752050",Ramchandrapur Bazar,20.159377199999998,85.70256119999999,ChIJn3AP0smvGToRj31WBisQlxo,https://www.google.com/maps/place/?q=place_id:ChIJn3AP0smvGToRj31WBisQlxo,part_349,2026-09-20 20:21:01
Uma Instrumental Music Class,Music and Dance Academy,Music school,"Music school, Musician",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 94377 23911,https://youtu.be/rcAuiaaFraI?si=Cngw-L6Kh3SuC2vR,4.9,122.0,"Hilpatna infornt of Ganesh mandir, Brahmapur, Odisha 760005",Ram Nagar,19.3039287,84.7998181,ChIJQQPC_lRbPToR_Hw1hUIgCjk,https://www.google.com/maps/place/?q=place_id:ChIJQQPC_lRbPToR_Hw1hUIgCjk,part_349,2026-09-20 20:21:01
North Fort Worth Music Academy,Music and Dance Academy,Music school,Music school,761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",N/A,http://www.nfwmusicacademy.com/,4.9,,"3348 Peden Rd Ste 100, Fort Worth, TX 76179, United States",761118,32.9353688,-97.4347703,ChIJcx7NuhXfTYYRr2WNm5oq_8k,https://www.google.com/maps/place/?q=place_id:ChIJcx7NuhXfTYYRr2WNm5oq_8k,part_349,2026-09-20 20:21:01
Studio One Dance Center,Music and Dance Academy,Dance school,Dance school,761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",N/A,http://www.studioonedancecenter.com/,4.7,,"9734 N Beach St #200, Fort Worth, TX 76244, United States",Heritage,32.916365299999995,-97.2891887,ChIJnVqINgLYTYYRmeBl6r24-w4,https://www.google.com/maps/place/?q=place_id:ChIJnVqINgLYTYYRmeBl6r24-w4,part_349,2026-09-20 20:21:01
Dance With Me Fort Worth,Music and Dance Academy,Dance school,"Dance school, Ballroom dance instructor, Dance club, Dance company, Dance hall, Salsa Dance Class, Wedding service",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",N/A,https://dancewithmeusa.com/studio/fort-worth-tx-dance-studio/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,4.8,,"5259 Marathon Ave, Fort Worth, TX 76107, United States",761118,32.7086913,-97.40065919999999,ChIJuyr4VvFyToYR9CEXL7yIu0E,https://www.google.com/maps/place/?q=place_id:ChIJuyr4VvFyToYR9CEXL7yIu0E,part_349,2026-09-20 20:21:01
DanceMakers of Texas,Music and Dance Academy,Dance school,"Dance school, Ballroom dance instructor, Event venue",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",N/A,https://dancemakersoftexas.com/,4.9,,"6125 SW Loop 820, Fort Worth, TX 76132, United States",761118,32.681556,-97.4174137,ChIJg-1_s-MMToYR13598YsTH4A,https://www.google.com/maps/place/?q=place_id:ChIJg-1_s-MMToYR13598YsTH4A,part_349,2026-09-20 20:21:01
Raise the Barre Dance Academy,Music and Dance Academy,Dance school,Dance school,761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",N/A,http://www.raisethebarredanceacademy.com/,5.0,,"6340 Cromwell-Marine Creek Road Ste 100, Fort Worth, TX 76179, United States",761118,32.852905899999996,-97.42343819999999,ChIJPWecTOp5ToYR40PHjbfw4xM,https://www.google.com/maps/place/?q=place_id:ChIJPWecTOp5ToYR40PHjbfw4xM,part_349,2026-09-20 20:21:01
Artistry Elite Dance,Music and Dance Academy,Dance school,"Dance school, Ballet school, Event venue, Hip Hop Dance Class",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",N/A,http://artistryelitedance.com/,4.9,,"6500 Camp Bowie Blvd #170, Fort Worth, TX 76116, United States",Ridglea North,32.724115999999995,-97.42813489999999,ChIJzzJLOVxzToYRY49NWzoJKKY,https://www.google.com/maps/place/?q=place_id:ChIJzzJLOVxzToYRY49NWzoJKKY,part_349,2026-09-20 20:21:01
Arts Fifth Avenue,Music and Dance Academy,Arts organization,"Arts organization, Dance school, Performing arts group",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",N/A,http://www.artsfifthavenue.org/,5.0,,"1628 5th Ave, Fort Worth, TX 76104, United States",Fairmount,32.7266966,-97.339208,ChIJT2-FGp1xToYRppvlvcgTCX0,https://www.google.com/maps/place/?q=place_id:ChIJT2-FGp1xToYRppvlvcgTCX0,part_349,2026-09-20 20:21:01
House-Music Performing Arts,Music and Dance Academy,Dance school,Dance school,761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",N/A,N/A,2.0,,"2825 Centre Ct, Fort Worth, TX 76116, United States",761118,32.7345804,-97.47128479999999,ChIJFaEDMPAMToYRxZxiViqMDxQ,https://www.google.com/maps/place/?q=place_id:ChIJFaEDMPAMToYRxZxiViqMDxQ,part_349,2026-09-20 20:21:01
Partha Sarathi Enterprises,Music and Dance Academy,Musical instrument store,Musical instrument store,761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 83288 06991,https://www.parthasarathimusicalandgifts.com/,4.6,,"near Suraj Hotel, Nausahi, Sahadevkhuntha, Balia, Balasore, Odisha 756001","Sahadevkhuntha, Balia",21.5056874,86.9130603,ChIJE02ub7_1HDoR3lIe4epn8Ys,https://www.google.com/maps/place/?q=place_id:ChIJE02ub7_1HDoR3lIe4epn8Ys,part_349,2026-09-20 20:21:02
DJ Tarini Light & Sound,Music and Dance Academy,DJ supply store,DJ supply store,761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",N/A,N/A,4.2,,"7VMJ+95W, Main Road Karapalli, Ganjam, Brahmapur, Odisha 761002",761118,19.2834848,84.88045609999999,ChIJdbrzhsBZPToRb1RI-spiIGk,https://www.google.com/maps/place/?q=place_id:ChIJdbrzhsBZPToRb1RI-spiIGk,part_349,2026-09-20 20:21:02
