business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Namma Drone,Videographer and Drone Rental,Drone service,"Drone service, Movie rental store",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 98844 44567,https://nammadrone.com/,4.9,,"Floor, S1, TS 70, Reddy 1st St, Guindy Thiru Vi Ka Estate, SIDCO Industrial Estate, Ekkatuthangal, Chennai, Tamil Nadu 600032","Guindy Thiru Vi Ka Estate, SIDCO Industrial Estate, Ekkatuthangal",13.0233168,80.20884749999999,ChIJf764OndnUjoRip0J5Joi1g4,https://www.google.com/maps/place/?q=place_id:ChIJf764OndnUjoRip0J5Joi1g4,part_349,2026-09-20 20:20:58
Pmk Drones | Drone on rent with pilot | wedding drone | real estate | corporate events,Videographer and Drone Rental,Drone service,Drone service,761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 78410 95705,N/A,4.3,,"PMK drones shop 2 Sanket apartment, near kartik medical, Dharampeth main road, gorepeth, Nagpur, Maharashtra 440010, Nagpur, Maharashtra 440022",Gorepeth,21.1413399,79.0629816,ChIJTzyghOXB1DsRDfj8SWxFiqY,https://www.google.com/maps/place/?q=place_id:ChIJTzyghOXB1DsRDfj8SWxFiqY,part_349,2026-09-20 20:20:58
Sparky's Video Productions-Where all of our competitors leave fake 1 star reviews!,Videographer and Drone Rental,Aerial photographer,"Aerial photographer, Service establishment",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",N/A,http://www.sparkysvideo.com/,4.2,,"Sparky's Video Productions-Where all of our competitors leave fake 1 star reviews!, 761118, India",761118,31.1689103,-100.0768425,ChIJW55wbgTZTYYRLbTjTIiVO-s,https://www.google.com/maps/place/?q=place_id:ChIJW55wbgTZTYYRLbTjTIiVO-s,part_349,2026-09-20 20:20:58
DFW Photos Film Drone,Videographer and Drone Rental,Video production service,"Video production service, Aerial photographer, Service establishment, Photographer",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",N/A,http://www.dfwphotosfilmdrone.com/,5.0,,"DFW Photos Film Drone, 761118, India",761118,32.926446999999996,-97.031894,ChIJyVB2QqlZ3SARDLvZFGi4Muk,https://www.google.com/maps/place/?q=place_id:ChIJyVB2QqlZ3SARDLvZFGi4Muk,part_349,2026-09-20 20:20:58
Highlightz Films,Videographer and Drone Rental,Video production service,"Video production service, Service establishment, Video editing service, Video store, Wedding service",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",N/A,http://www.highlightzfilms.com/,5.0,,"Highlightz Films, 761118, India",761118,35.2169935,-85.8192615,ChIJN6k_PTPfTYYRmA8IzIVsep4,https://www.google.com/maps/place/?q=place_id:ChIJN6k_PTPfTYYRmA8IzIVsep4,part_349,2026-09-20 20:20:58
enestock,Videographer and Drone Rental,Advertising Photographer,Advertising Photographer,761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 99992 86010,http://enestock.in/,5.0,,"Second Floor, Gurgaon Rd, Phase I, Dundahera Village, Sector 20, Gurugram, Haryana 122016","Phase I, Dundahera Village, Sector 20",28.5150999,77.0801216,ChIJwazHaAkaJogR8xnF8w4TNec,https://www.google.com/maps/place/?q=place_id:ChIJwazHaAkaJogR8xnF8w4TNec,part_349,2026-09-20 20:20:58
Unique RC Products,Videographer and Drone Rental,Electronics repair shop,Electronics repair shop,761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",+91 82858 50869,http://www.uniquercproducts.shop/,4.8,,"Shop No 32A, Kh No 46/14, near by SK Properties, Kanhaiya Nagar, Nilothi Extn, Nilothi, New Delhi, Delhi, 110041","Kanhaiya Nagar, Nilothi Extn, Nilothi",28.644311,77.0623024,ChIJ0_XQov0FDTkRlYmn4nkGOOo,https://www.google.com/maps/place/?q=place_id:ChIJ0_XQov0FDTkRlYmn4nkGOOo,part_349,2026-09-20 20:20:58
Drone Technology Services,Videographer and Drone Rental,Aerial photographer,Aerial photographer,761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",N/A,http://www.dronetechnologyservices.net/,4.8,,"4109 Yancey Ln, Fort Worth, TX 76244, United States",Crawford Farms,32.926415299999995,-97.29844089999999,ChIJ29Qdjh3ZTYYRPaCxuwDJ-nk,https://www.google.com/maps/place/?q=place_id:ChIJ29Qdjh3ZTYYRPaCxuwDJ-nk,part_349,2026-09-20 20:20:58
Tone Films | Fort Worth Video Production Company,Videographer and Drone Rental,Video production service,Video production service,761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",N/A,https://tonefilms.com/fort-worth-video-production,5.0,,"610 Main St, Fort Worth, TX 76102, United States",Sundance Square,32.753284,-97.3306765,ChIJoTZdIl1xToYRomtOG5zp08o,https://www.google.com/maps/place/?q=place_id:ChIJoTZdIl1xToYRomtOG5zp08o,part_349,2026-09-20 20:20:58
Hearn Videography,Videographer and Drone Rental,Video production service,"Video production service, Service establishment, Wedding photographer",761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O",N/A,https://www.hearnvideography.com/,5.0,,"Hearn Videography, 761118, India",761118,32.9283389,-97.172005,ChIJ8YmDTPkLToYRwOP2mmSxsXU,https://www.google.com/maps/place/?q=place_id:ChIJ8YmDTPkLToYRwOP2mmSxsXU,part_349,2026-09-20 20:20:58
