business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Varghese Summersett,Advocate and Lawyer,Personal injury attorney,"Personal injury attorney, Criminal justice attorney, Divorce lawyer, Family law attorney, Trial attorney",761123,Odisha Circle,Berhampur Region,Aska Division,"Gangapur (Ganjam) S.O, Bangarada B.O, Bori B.O",N/A,https://www.versustexas.com/,4.9,1320.0,"300 Throckmorton St Suite 700, Fort Worth, TX 76102, United States",Sundance Square,32.754686899999996,-97.3337789,ChIJ3YE5sVRxToYRJhLOkV3byTw,https://www.google.com/maps/place/?q=place_id:ChIJ3YE5sVRxToYRJhLOkV3byTw,part_349,2026-09-20 20:24:04
Dunham & Jones,Advocate and Lawyer,Criminal justice attorney,Criminal justice attorney,761123,Odisha Circle,Berhampur Region,Aska Division,"Gangapur (Ganjam) S.O, Bangarada B.O, Bori B.O",N/A,https://www.dunhamlaw.com/tx/fort-worth-criminal-attorneys/?utm_source=gbp&utm_medium=organic&utm_campaign=maps-initiative-fort-worth,4.8,1336.0,"1110 E Weatherford St, Fort Worth, TX 76102, United States",Sundance Square,32.7607231,-97.32484149999999,ChIJ9Z7XgTlxToYRK-9kFoWG1u4,https://www.google.com/maps/place/?q=place_id:ChIJ9Z7XgTlxToYRK-9kFoWG1u4,part_349,2026-09-20 20:24:04
The Medlin Law Firm,Advocate and Lawyer,Criminal justice attorney,"Criminal justice attorney, Trial attorney",761123,Odisha Circle,Berhampur Region,Aska Division,"Gangapur (Ganjam) S.O, Bangarada B.O, Bori B.O",N/A,https://www.medlinfirm.com/locations/fort-worth/,4.9,754.0,"1300 S University Dr #318, Fort Worth, TX 76107, United States",761123,32.732478,-97.3625442,ChIJ-42b981zToYR1nhO8x_Tolw,https://www.google.com/maps/place/?q=place_id:ChIJ-42b981zToYR1nhO8x_Tolw,part_349,2026-09-20 20:24:04
"Manuel Diaz Law Firm, PC",Advocate and Lawyer,Law firm,"Law firm, Criminal justice attorney, Divorce lawyer, Family law attorney, Immigration attorney, Legal services, Personal injury attorney",761123,Odisha Circle,Berhampur Region,Aska Division,"Gangapur (Ganjam) S.O, Bangarada B.O, Bori B.O",N/A,http://www.diazlf.com/?UTM_campaign=GMB,4.6,,"1100 Macon St, Fort Worth, TX 76102, United States",761123,32.747583,-97.33617559999999,ChIJ7dsvoal2ToYROLAiRLlhIT4,https://www.google.com/maps/place/?q=place_id:ChIJ7dsvoal2ToYROLAiRLlhIT4,part_349,2026-09-20 20:24:04
Anderson Injury Lawyers Fort Worth,Advocate and Lawyer,Personal injury attorney,"Personal injury attorney, Law firm, Lawyer, Legal services, Medical lawyer, Trial attorney",761123,Odisha Circle,Berhampur Region,Aska Division,"Gangapur (Ganjam) S.O, Bangarada B.O, Bori B.O",N/A,https://maafirm.com/fort-worth-personal-injury-lawyer/?utm_campaign=gmb&utm_medium=organic&utm_source=google,4.9,1108.0,"1310 W El Paso St, Fort Worth, TX 76102, United States",761123,32.745273499999996,-97.33990469999999,ChIJwYsIRm9xToYRd-WbWHmyUms,https://www.google.com/maps/place/?q=place_id:ChIJwYsIRm9xToYRd-WbWHmyUms,part_349,2026-09-20 20:24:04
Andrew Deegan Criminal Attorney at Law,Advocate and Lawyer,Criminal justice attorney,Criminal justice attorney,761123,Odisha Circle,Berhampur Region,Aska Division,"Gangapur (Ganjam) S.O, Bangarada B.O, Bori B.O",N/A,https://www.andrewdeeganlaw.com/,4.9,277.0,"933 W Weatherford St Ste 212, Fort Worth, TX 76102, United States",Upper West Side,32.7533939,-97.34002989999999,ChIJdWR2J0FxToYRy4OMl3KpSqc,https://www.google.com/maps/place/?q=place_id:ChIJdWR2J0FxToYRy4OMl3KpSqc,part_349,2026-09-20 20:24:04
Lawyer Andy Platt,Advocate and Lawyer,Lawyer,"Lawyer, Criminal justice attorney",761123,Odisha Circle,Berhampur Region,Aska Division,"Gangapur (Ganjam) S.O, Bangarada B.O, Bori B.O",N/A,https://lawyerplatt.com/,4.7,,"3624 W Vickery Blvd, Fort Worth, TX 76107, United States",Alamo Heights,32.730264399999996,-97.3711158,ChIJw-RLT11xToYRJORKmWJsMec,https://www.google.com/maps/place/?q=place_id:ChIJw-RLT11xToYRJORKmWJsMec,part_349,2026-09-20 20:24:04
"Law Offices of Jeff C. Kennedy, PLLC",Advocate and Lawyer,Lawyer,"Lawyer, Criminal justice attorney, Law firm",761123,Odisha Circle,Berhampur Region,Aska Division,"Gangapur (Ganjam) S.O, Bangarada B.O, Bori B.O",N/A,https://www.criminallawyerfortworthtx.com/,5.0,,"301 W Vickery Blvd Suite #101 Suite #101, Fort Worth, TX 76104, United States",761123,32.743516299999996,-97.3278775,ChIJPX-tw0BxToYR1b78P2Gg084,https://www.google.com/maps/place/?q=place_id:ChIJPX-tw0BxToYR1b78P2Gg084,part_349,2026-09-20 20:24:04
"Gold Legal, PLLC.",Advocate and Lawyer,Criminal justice attorney,Criminal justice attorney,761123,Odisha Circle,Berhampur Region,Aska Division,"Gangapur (Ganjam) S.O, Bangarada B.O, Bori B.O",N/A,https://callyoursharks.com/,4.9,64.0,"640 Taylor St Suite 1200, Fort Worth, TX 76102, United States",Sundance Square,32.7522628,-97.33334359999999,ChIJb9qCJnxxToYR3yYu1uCZ5Uw,https://www.google.com/maps/place/?q=place_id:ChIJb9qCJnxxToYR3yYu1uCZ5Uw,part_349,2026-09-20 20:24:04
Cañas and Flores Attorneys,Advocate and Lawyer,Personal injury attorney,"Personal injury attorney, Criminal justice attorney, Family law attorney, General practice attorney, Immigration & naturalization service, Immigration attorney, Law firm, Lawyer",761123,Odisha Circle,Berhampur Region,Aska Division,"Gangapur (Ganjam) S.O, Bangarada B.O, Bori B.O",N/A,https://www.canasflores.com/?utm_source=GMB&utm_medium=organic&utm_campaign=fortworth,4.8,653.0,"1441 N Main St, Fort Worth, TX 76164, United States",Marine Park,32.7789496,-97.3477987,ChIJscEN36t2ToYRzrTu7W2unUc,https://www.google.com/maps/place/?q=place_id:ChIJscEN36t2ToYRzrTu7W2unUc,part_349,2026-09-20 20:24:04
