business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Divyansi ladies beauty parlor,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Bangle Shop, Tailor",761132,Odisha Circle,Berhampur Region,Aska Division,"Mujjagada S.O, Birikote B.O, Brhamanapadar B.O",+91 78468 92241,N/A,5.0,1.0,"Bus stand street, G. Udayagiri, Udayagiri, Odisha 762100",761132,20.1250073,84.3698136,ChIJx8airbP7IjoRrmoI52v7OYI,https://www.google.com/maps/place/?q=place_id:ChIJx8airbP7IjoRrmoI52v7OYI,part_349,2026-09-20 20:26:56
Charm's Beauty Salon & Spa,Beauty Parlour,Beauty Parlour,Beauty Parlour,761132,Odisha Circle,Berhampur Region,Aska Division,"Mujjagada S.O, Birikote B.O, Brhamanapadar B.O",+91 87935 71402,N/A,4.8,1046.0,"Shop No. 3, Bhagwati heights, Plot No. 110, Sector 20, Ulwe, Wahal, Maharashtra 410206","Sector 20, Ulwe",18.9776994,73.0291147,ChIJ48KW96HD5zsRrUuHhVel7xI,https://www.google.com/maps/place/?q=place_id:ChIJ48KW96HD5zsRrUuHhVel7xI,part_349,2026-09-20 20:26:57
RUNITA BEAUTY PARLOUR,Beauty Parlour,Beauty Parlour,Beauty Parlour,761132,Odisha Circle,Berhampur Region,Aska Division,"Mujjagada S.O, Birikote B.O, Brhamanapadar B.O",N/A,N/A,5.0,2.0,"3HR9+PHH, Galleri, Odisha 761141",761132,20.0918009,84.5689798,ChIJUZuAKADzIjoRbyuB5F9FK1Y,https://www.google.com/maps/place/?q=place_id:ChIJUZuAKADzIjoRbyuB5F9FK1Y,part_349,2026-09-20 20:26:57
RUNITA BEAUTY PARLOUR,Beauty Parlour,Beauty Parlour,Beauty Parlour,761132,Odisha Circle,Berhampur Region,Aska Division,"Mujjagada S.O, Birikote B.O, Brhamanapadar B.O",N/A,N/A,,,"3HR9+QM7, Galleri, Odisha 761141",761132,20.0919109,84.5691817,ChIJxaWlawDzIjoRv82wRg4XzZc,https://www.google.com/maps/place/?q=place_id:ChIJxaWlawDzIjoRv82wRg4XzZc,part_349,2026-09-20 20:26:57
Parlour Blue,Beauty Parlour,Hair salon,Hair salon,761132,Odisha Circle,Berhampur Region,Aska Division,"Mujjagada S.O, Birikote B.O, Brhamanapadar B.O",N/A,N/A,5.0,1.0,"49F8+5QP, G. Udayagiri, Udayagiri, Odisha 762100",761132,20.1229743,84.366952,ChIJlwdHawD7IjoRc_F3ukIu9qo,https://www.google.com/maps/place/?q=place_id:ChIJlwdHawD7IjoRc_F3ukIu9qo,part_349,2026-09-20 20:26:57
Salobiaa Salon | Beauty and Beyond,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Make-up artist, Nail salon, Skin care clinic, Spa, Hairdresser",761132,Odisha Circle,Berhampur Region,Aska Division,"Mujjagada S.O, Birikote B.O, Brhamanapadar B.O",+91 90723 11115,https://salobiaa.in/,4.9,,"Tc 23/1603(1) Nirvrithi bhavan, Golf Links Rd, Kowdiar, Thiruvananthapuram, Keralam 695003","Bhagavathy Nagar, Kowdiar",8.520371299999999,76.96691849999999,ChIJidj6XlW7BTsR-LqF7O5rGeQ,https://www.google.com/maps/place/?q=place_id:ChIJidj6XlW7BTsR-LqF7O5rGeQ,part_349,2026-09-20 20:26:58
Unique beauty salon,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Beautician, Make-up artist, Facial spa, Waxing hair removal service",761132,Odisha Circle,Berhampur Region,Aska Division,"Mujjagada S.O, Birikote B.O, Brhamanapadar B.O",+91 86014 58663,https://www.instagram.com/uniquemakeover_by_komal_?stkn=MW9zOWdlZXFzc2M0bA%3D%3D&utm_source=qr,5.0,,"Bus stop, Satyam kapda kothi ke bagal me, Sultanpur Rd, chauraha, Gosainganj, Lucknow, Uttar Pradesh 226501",chauraha,26.769592199999998,81.10217089999999,ChIJy7t0N679mzkR1IvzuHvFmjw,https://www.google.com/maps/place/?q=place_id:ChIJy7t0N679mzkR1IvzuHvFmjw,part_349,2026-09-20 20:26:58
Anila Joseph's Beauty Care Solutions,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Bridal shop, Facial spa, Make-up artist, Spa, Hairdresser",761132,Odisha Circle,Berhampur Region,Aska Division,"Mujjagada S.O, Birikote B.O, Brhamanapadar B.O",+91 471 233 1953,http://www.anilajosephsbeautycare.com/,4.7,,"Nandavanam Rd, opposite D.C.C. Office, Nandavanam, Palayam, Thiruvananthapuram, Keralam 695033","Nandavanam, Palayam",8.5027917,76.9537233,ChIJKaRu7Le7BTsRjX-F0eFU0Ng,https://www.google.com/maps/place/?q=place_id:ChIJKaRu7Le7BTsRjX-F0eFU0Ng,part_349,2026-09-20 20:26:58
Signature Unisex Salon,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Make-up artist",761132,Odisha Circle,Berhampur Region,Aska Division,"Mujjagada S.O, Birikote B.O, Brhamanapadar B.O",+91 79058 02656,http://signatureunisexsalon.digitalintouch.co.in/,4.7,,"53-A, Kanpur Rd, near New Public School, Krishna Nagar Colony, Krishna Nagar, Alambagh, Lucknow, Uttar Pradesh 226023","Krishna Nagar Colony, Krishna Nagar, Alambagh",26.7968942,80.88641,ChIJtUJvDrD-mzkRk75B2BovEh0,https://www.google.com/maps/place/?q=place_id:ChIJtUJvDrD-mzkRk75B2BovEh0,part_349,2026-09-20 20:26:58
Saar Dream,Beauty Parlour,Beauty Parlour,Beauty Parlour,761132,Odisha Circle,Berhampur Region,Aska Division,"Mujjagada S.O, Birikote B.O, Brhamanapadar B.O",+91 471 485 0166,https://bookkizee.com/saardreamjagathy,4.3,,"Kochar Rd, Near Ananthapuri Auditorium, Jagathy, Thiruvananthapuram, Keralam 695014",Jagathy,8.4934732,76.963573,ChIJRSn8Wa27BTsRNCq7TIaRO7g,https://www.google.com/maps/place/?q=place_id:ChIJRSn8Wa27BTsRNCq7TIaRO7g,part_349,2026-09-20 20:26:58
