business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Janhvi Singh Makeovers,Bridal Makeup Artist,Make-up artist,"Make-up artist, Beautician, Nail salon, Hairdresser",761133,Odisha Circle,Berhampur Region,Aska Division,"Jillundi S.O, Gamundi B.O, Dubuduba B.O",+91 91408 07052,N/A,5.0,97,"73, near Punjab National Bank, Tompson Ganj, Vijay Laxmi Nagar, Sitapur, Uttar Pradesh 261001","Tompson Ganj, Vijay Laxmi Nagar",27.5643912,80.6831685,ChIJH3JhJbnXnjkRO_spdpsqnrU,https://www.google.com/maps/place/?q=place_id:ChIJH3JhJbnXnjkRO_spdpsqnrU,part_349,2026-09-20 20:27:33
Amit Makeup Studio & Academy,Bridal Makeup Artist,Make-up artist,Make-up artist,761133,Odisha Circle,Berhampur Region,Aska Division,"Jillundi S.O, Gamundi B.O, Dubuduba B.O",+91 75720 48334,N/A,4.9,56,"Shiv Sitala Mandir, NCC Office Rd, Loharbag, Sanjay Nagar, Sitapur, Uttar Pradesh 261001","Loharbag, Sanjay Nagar",27.5621689,80.68066979999999,ChIJ10O_sTTXnjkRWE-VLZIf6Gc,https://www.google.com/maps/place/?q=place_id:ChIJ10O_sTTXnjkRWE-VLZIf6Gc,part_349,2026-09-20 20:27:33
Kaya Beauty studio,Bridal Makeup Artist,Make-up artist,"Make-up artist, Beautician, Beauty Parlour, Charter school, Nail salon, Skin care clinic",761133,Odisha Circle,Berhampur Region,Aska Division,"Jillundi S.O, Gamundi B.O, Dubuduba B.O",+91 99364 45695,N/A,4.7,491,"128/63, near jagat janani maa Durga mandir, K Block, Kidwai Nagar, Kanpur, Uttar Pradesh 208011","K Block, Kidwai Nagar",26.4261447,80.3227794,ChIJj_93PQdHnDkRPo-R8PKjXTw,https://www.google.com/maps/place/?q=place_id:ChIJj_93PQdHnDkRPo-R8PKjXTw,part_349,2026-09-20 20:27:33
"Neha's Makeover Studio, Kolkata",Bridal Makeup Artist,Make-up artist,"Make-up artist, Beautician, Facial spa, Foot care, Beauty Parlour, Nail salon, Spa, Hairdresser, Waxing hair removal service",761133,Odisha Circle,Berhampur Region,Aska Division,"Jillundi S.O, Gamundi B.O, Dubuduba B.O",+91 89100 34228,N/A,4.5,180,"1st Floor, Meghmala Apartment, Garia Station Rd, near Dhalai Bridge, Sukanta Nagar, Garia, Kolkata, West Bengal 700084","Sukanta Nagar, Garia",22.4659287,88.3923956,ChIJuxudHcpxAjoRL5kLcq3xITI,https://www.google.com/maps/place/?q=place_id:ChIJuxudHcpxAjoRL5kLcq3xITI,part_349,2026-09-20 20:27:33
Shahnaz Makeup Studio,Bridal Makeup Artist,Make-up artist,"Make-up artist, Charter school, Facial spa, Hair extension technician, Beauty Parlour, Nail salon, Skin care clinic, Spa, Hairdresser",761133,Odisha Circle,Berhampur Region,Aska Division,"Jillundi S.O, Gamundi B.O, Dubuduba B.O",+91 80 6548 6969,https://www.shahnazmakeupstudio.in/,4.7,250,"shahnaz manzil,Lits Academy, Era Medical college, Tondan Marg, Sarfarazganj, Lucknow, Uttar Pradesh 226003",Sarfarazganj,26.8753763,80.8724263,ChIJU5a94CD-mzkRFwoZJ_UJqP4,https://www.google.com/maps/place/?q=place_id:ChIJU5a94CD-mzkRFwoZJ_UJqP4,part_349,2026-09-20 20:27:33
Makeup By Naina Goel,Bridal Makeup Artist,Make-up artist,"Make-up artist, Service establishment",761133,Odisha Circle,Berhampur Region,Aska Division,"Jillundi S.O, Gamundi B.O, Dubuduba B.O",+91 98888 88164,http://makeupbynainagoel.com/,5.0,166,"Makeup By Naina Goel, 761133, India",761133,30.095882999999997,76.0582718,ChIJP1Pnh4_BDzkRP33Q3slQqMs,https://www.google.com/maps/place/?q=place_id:ChIJP1Pnh4_BDzkRP33Q3slQqMs,part_349,2026-09-20 20:27:34
Makeup studio by Anushka kalra,Bridal Makeup Artist,Make-up artist,"Make-up artist, Beauty Parlour",761133,Odisha Circle,Berhampur Region,Aska Division,"Jillundi S.O, Gamundi B.O, Dubuduba B.O",+91 78783 50231,N/A,5.0,6,"House no-10, near radha krishna mandir, Indra Colony, Chhabra, Rajasthan 325220",Indra Colony,24.672438099999997,76.8465143,ChIJR2zW4I3rejkRiKl0RDdKHRg,https://www.google.com/maps/place/?q=place_id:ChIJR2zW4I3rejkRiKl0RDdKHRg,part_349,2026-09-20 20:27:34
SandhyaVermaMakeovers Salon and Academy,Bridal Makeup Artist,Beauty Parlour,Beauty Parlour,761133,Odisha Circle,Berhampur Region,Aska Division,"Jillundi S.O, Gamundi B.O, Dubuduba B.O",+91 96503 60721,N/A,4.2,150,"C5B/7A, Janakpuri, New Delhi, Delhi, 110058","C5B/7A, Janakpuri",28.616336999999998,77.09580389999999,ChIJpXjgFvUFDTkRuxVihTaPFms,https://www.google.com/maps/place/?q=place_id:ChIJpXjgFvUFDTkRuxVihTaPFms,part_349,2026-09-20 20:27:34
Let’s Glow With Divya,Bridal Makeup Artist,Make-up artist,"Make-up artist, Service establishment",761133,Odisha Circle,Berhampur Region,Aska Division,"Jillundi S.O, Gamundi B.O, Dubuduba B.O",+91 91161 30560,https://bento.me/letsglowithdivya,4.9,35,"Let’s Glow With Divya, 761133, India",761133,21.0680074,82.7525294,ChIJJ6XqlOUTvWURX65b4FTHzMY,https://www.google.com/maps/place/?q=place_id:ChIJJ6XqlOUTvWURX65b4FTHzMY,part_349,2026-09-20 20:27:34
Bridal Makeup Artists in Hyderabad,Bridal Makeup Artist,Make-up artist,"Make-up artist, Beauty Parlour",761133,Odisha Circle,Berhampur Region,Aska Division,"Jillundi S.O, Gamundi B.O, Dubuduba B.O",+91 89770 20202,http://www.sminkup.com/,3.8,30,"8-3-231/A/336 & 337, Sri Nagar Colony, Krishna Nagar, Yousufguda, Hyderabad, Telangana 500045","Sri Nagar Colony, Krishna Nagar, Yousufguda",17.4315921,78.4277141,ChIJ5Wk9lymRyzsREQChpo6zAiY,https://www.google.com/maps/place/?q=place_id:ChIJ5Wk9lymRyzsREQChpo6zAiY,part_349,2026-09-20 20:27:34
