business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Prameela Medical And General Stores,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,N/A,4.6,8.0,"Hiramandalam, Andhra Pradesh 532459",761200,18.6727247,83.94961909999999,ChIJyVzL7shfPDoRN5A10PGMUZM,https://www.google.com/maps/place/?q=place_id:ChIJyVzL7shfPDoRN5A10PGMUZM,part_349,2026-09-20 20:31:33
"Venkateswara Ayurveda Nilayam Ltd, Chintaluru",Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,Alternative medicine practitioner,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 88552 78060,https://www.ayur.store/,4.4,45.0,"Dhanwantari Street, Chintaluru, Andhra Pradesh 533232",761200,16.796403299999998,81.8983954,ChIJU0y1hQiVNzoRDU-LmsFVe90,https://www.google.com/maps/place/?q=place_id:ChIJU0y1hQiVNzoRDU-LmsFVe90,part_349,2026-09-20 20:31:33
VIJAYA AYUR CLINIC & MEDICAL,Ayurvedic Pharmacy and Clinic,Pharmacy,"Pharmacy, Alternative medicine practitioner, Health food store, Medical Center, Herbal medicine store, Public medical center",761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 78920 71567,https://ayurvijaya.com/,4.9,19.0,"Marian Paradise Avenue Near Move and Pick Lower Ground, Door No. 5 BIKKARNAKATTE, NANTHUR, Mangaluru, Karnataka 575005","Kadri Hills, Kadri",12.8851123,74.8656888,ChIJtRI7Tm1bozsRx6RbhE_RkOQ,https://www.google.com/maps/place/?q=place_id:ChIJtRI7Tm1bozsRx6RbhE_RkOQ,part_349,2026-09-20 20:31:33
Vijay Ayur Pharmacy,Ayurvedic Pharmacy and Clinic,Herbal medicine store,Herbal medicine store,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 78920 71567,N/A,4.5,2.0,"Lower Ground, Door No. 5, Marian Paradise Avenue, Nanthoor Jct, near Move and Pick, Kadri Hills, Bikarnakatte Kaikamba, Mangaluru, Karnataka 575005","Kadri Hills, Bikarnakatte Kaikamba",12.8848711,74.8654615,ChIJF64naCNaozsR0ck5E0FVFoo,https://www.google.com/maps/place/?q=place_id:ChIJF64naCNaozsR0ck5E0FVFoo,part_349,2026-09-20 20:31:33
Itoozhi Ayurveda -Ayurvedic Hospital,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Alternative Medicine Clinic",761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 460 227 4119,https://itoozhiayurveda.in/,4.6,132.0,"Chirakkal - Mayyil - Kololam Rd, Mayyil, Keralam 670602",761200,11.9935685,75.44827819999999,ChIJgcwN2To5pDsRkq7vDA2TTfg,https://www.google.com/maps/place/?q=place_id:ChIJgcwN2To5pDsRkq7vDA2TTfg,part_349,2026-09-20 20:31:33
Sri Chandramouleshwara Ayurveda Panchakarma Mathu Ksharasuthra Kendra,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,Alternative medicine practitioner,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 89514 66640,N/A,5.0,1.0,"M.I.G-6, 2nd Main, Near Canara Bank, Press Colony, Gopala, Shivamogga, Karnataka 577205","Ward No. 26, Gopala Housing, Gopal Gowda Extension",13.9318081,75.54489559999999,ChIJq6VxtLCouzsRdNclNNKP_Qo,https://www.google.com/maps/place/?q=place_id:ChIJq6VxtLCouzsRdNclNNKP_Qo,part_349,2026-09-20 20:31:33
NANDINI HOMOEO AND AYURVEDIC STORES,Ayurvedic Pharmacy and Clinic,Homeopathic pharmacy,Homeopathic pharmacy,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 98494 62903,N/A,4.7,18.0,"Nandam Ganiraju Junction, Near, opposite Siri Dairy, Jampet, Rajamahendravaram, Andhra Pradesh 533101",Jampet,17.008933799999998,81.7790931,ChIJ__v9zgmjNzoRD-EXkKK1mRE,https://www.google.com/maps/place/?q=place_id:ChIJ__v9zgmjNzoRD-EXkKK1mRE,part_349,2026-09-20 20:31:33
Rajbaidya Ayurveda ;; Ayurvedic Clinic in bhubaneswar II odisha II India,Ayurvedic Pharmacy and Clinic,Hospital,"Hospital, Day spa, Hospitality and tourism school, Medical spa, Spa and health club",761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 97777 08179,http://www.rajbaidyaayurveda.com/,4.9,308.0,"Flyover, beside Palasuni, Palasuni, Rasulgarh, Bhubaneswar, Odisha 751010","Palasuni, Rasulgarh",20.3041982,85.86774729999999,ChIJaZiRMLILGToR_ugUfm9sG8Y,https://www.google.com/maps/place/?q=place_id:ChIJaZiRMLILGToR_ugUfm9sG8Y,part_349,2026-09-20 20:31:33
The Arya Vaidya Pharmacy (Coimbatore) Ltd,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Alternative medicine practitioner, Herb shop, Herbal medicine store",761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 97467 67657,https://www.facebook.com/perumbavoorvaidyasala/,5.0,25.0,"Oushadhi Junction, Classic Avenue, MC Rd, near Akshaya E Center, Perumbavoor, Keralam 683542",761200,10.1173155,76.4759804,ChIJJaeKna3jBzsRayfDRbhwQJg,https://www.google.com/maps/place/?q=place_id:ChIJJaeKna3jBzsRayfDRbhwQJg,part_349,2026-09-20 20:31:33
Amrut Ayurved & Kerala Panchakarma-Best Psoriasis/Diabetes/Spine/Joint Pain/Skin Treatment in Sanghvi/Pimple Gurav/Pune,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Alternative Medicine Clinic, Diabetes center, Fertility clinic, Health consultant, Pain control clinic, Skin care clinic",761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 90754 14356,https://www.amrutayurved.com/sangavi,4.8,209.0,"Katepuram Chowk, Amrut Ayurved And Kerala Panchakarma, Gangarde Nagar, Pimple Gurav, Maharashtra 411061","Gangarde Nagar, Pimple Gurav",18.5868465,73.8162499,ChIJmfaMp8e4wjsRFUioxwbZ510,https://www.google.com/maps/place/?q=place_id:ChIJmfaMp8e4wjsRFUioxwbZ510,part_349,2026-09-20 20:31:33
