business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
S.S tours and travels,Bus Booking Agency,Tour agency,Tour agency,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 98617 31447,N/A,4.9,108.0,"Aurobindo nagar Last line, Paralakhemundi, Odisha 761200",761200,18.775284499999998,84.1043802,ChIJ86OgRbf5PDoR0foR7FaGxoU,https://www.google.com/maps/place/?q=place_id:ChIJ86OgRbf5PDoR0foR7FaGxoU,part_349,2026-09-20 20:31:38
LAXMIDHAR TRAVELS,Bus Booking Agency,Travel agency,Travel agency,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,http://www.laxmidhartravels.com/,5.0,6.0,"H-no 351/10, Sai nagar, dist, Paralakhemundi, Odisha 761200",dist,18.7782929,84.0936483,ChIJAT8HIdv3PDoRJLQ85BTHZE4,https://www.google.com/maps/place/?q=place_id:ChIJAT8HIdv3PDoRJLQ85BTHZE4,part_349,2026-09-20 20:31:38
PARALAKHEMUNDI BUS STAND,Bus Booking Agency,Bus depot,Bus depot,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,N/A,3.8,2603.0,"Q3PQ+WG9, Ramnagar, Gunabhadra, Odisha 761200",Ramnagar,18.7872862,84.08886989999999,ChIJmemx2CL3PDoRq-VrierQFoc,https://www.google.com/maps/place/?q=place_id:ChIJmemx2CL3PDoRq-VrierQFoc,part_349,2026-09-20 20:31:38
"APSRTC &PRIVATE BUS SHELTER , PATHAPATNAM",Bus Booking Agency,Bus ticket agency,Bus ticket agency,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,N/A,3.5,11.0,"P3XR+92G, Parlakhemundi - Narasannapeta Rd, Kotaguddi Colony, Patapatnam, Andhra Pradesh 532213",Kotaguddi Colony,18.7484437,84.0900808,ChIJAV8kTfT3PDoRK30WTBWBYmI,https://www.google.com/maps/place/?q=place_id:ChIJAV8kTfT3PDoRK30WTBWBYmI,part_349,2026-09-20 20:31:38
Patra travels,Bus Booking Agency,Travel agency,Travel agency,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 94378 34617,N/A,4.3,7.0,"RAMSAGAR, Paralakhemundi, Jajpur, Odisha 761201",761200,18.7775741,84.1219533,ChIJVbWhrhT5PDoRXaUfoRaPpwQ,https://www.google.com/maps/place/?q=place_id:ChIJVbWhrhT5PDoRXaUfoRaPpwQ,part_349,2026-09-20 20:31:38
"BUS STOP , ATCHUTHAPURAM",Bus Booking Agency,Bus ticket agency,Bus ticket agency,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,N/A,3.7,154.0,"Q33W+F36, Sarali - Pathapatnam Rd, Antharaba, Andhra Pradesh 532213",761200,18.7536506,84.0951527,ChIJXRySMYT3PDoRkKqJkfuDX7Q,https://www.google.com/maps/place/?q=place_id:ChIJXRySMYT3PDoRkKqJkfuDX7Q,part_349,2026-09-20 20:31:38
KVR Travels Naveen Pathapatnam,Bus Booking Agency,Travel agency,Travel agency,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,N/A,3.4,50.0,"Q33W+R6F, Antharaba, Andhra Pradesh 532213",761200,18.754726899999998,84.0955879,ChIJe4H5scD3PDoR7z86aYQ_Qig,https://www.google.com/maps/place/?q=place_id:ChIJe4H5scD3PDoR7z86aYQ_Qig,part_349,2026-09-20 20:31:38
Tour and travels (GAGAN Malana),Bus Booking Agency,Travel agency,Travel agency,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 82491 58486,N/A,,,"Ramasagar, Paralakhemundi, Odisha 761200",761200,18.7782929,84.0936483,ChIJh9BxlbP3PDoR5Byd1vg51sc,https://www.google.com/maps/place/?q=place_id:ChIJh9BxlbP3PDoR5Byd1vg51sc,part_349,2026-09-20 20:31:38
"Jagannath Govt. Railway Ticket Counter, Paralakhemundi",Bus Booking Agency,Travel agency,Travel agency,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,N/A,3.5,10.0,"Q3PM+876, Paralakhemundi, Odisha 761200",761200,18.785791,84.0831417,ChIJGy2ad4f3PDoR7aclihKmlEc,https://www.google.com/maps/place/?q=place_id:ChIJGy2ad4f3PDoR7aclihKmlEc,part_349,2026-09-20 20:31:38
Sri K.V.R Travels,Bus Booking Agency,Travel agency,Travel agency,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 85001 01346,http://www.srikvrtravels.com/,4.7,33.0,"NEAR, BRAHMANA STREET MAIN ROAD, Hiramandalam, Andhra Pradesh 532459",761200,18.6704447,83.9495056,ChIJbQ1eRa9fPDoR_ldCHKeHw44,https://www.google.com/maps/place/?q=place_id:ChIJbQ1eRa9fPDoR_ldCHKeHw44,part_349,2026-09-20 20:31:38
