business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
HDFC ERGO Insurance Agent: Dilip Kumar Panigrahi,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 79 4746 2740,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-dilip-kumar-panigrahi-insurance-broker-paralakhemundi-gajapati-466611/Home?utm_source=locator&utm_medium=googleplaces,,,"Ground Floor, Chitrakar St, Shyam Bihar, Paralakhemundi, Odisha 761200",Shyam Bihar,18.771593799999998,84.09786179999999,ChIJUQikHaz3PDoR2B5Tjr5K0HM,https://www.google.com/maps/place/?q=place_id:ChIJUQikHaz3PDoR2B5Tjr5K0HM,part_349,2026-09-20 20:31:51
Gajapati,Insurance Agent,Insurance agency,Insurance agency,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,N/A,,,"Q3HV+8F6, Paralakhemundi, Odisha 761200",761200,18.7782929,84.0936483,ChIJZ9pSWAD3PDoRMHjwffrGHLk,https://www.google.com/maps/place/?q=place_id:ChIJZ9pSWAD3PDoRMHjwffrGHLk,part_349,2026-09-20 20:31:51
Bajaj Life Insurance,Insurance Agent,Life insurance agency,"Life insurance agency, Insurance agency",761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 20 6712 1212,https://branch.bajajlifeinsurance.com/bajaj-life-insurance-paralakhemundi-life-insurance-main-road-gajapati-163180/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"2Nd Floor, Krishna Plaza, Main Road, near Krishna Talkies, Paralakhemundi, Odisha 761200",761200,18.7849958,84.090778,ChIJ0aarqn73PDoRYUvGElDlUvg,https://www.google.com/maps/place/?q=place_id:ChIJ0aarqn73PDoRYUvGElDlUvg,part_349,2026-09-20 20:31:51
Prabhat Kumar Mishra (Purohita),Insurance Agent,Life insurance agency,Life insurance agency,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,N/A,5.0,,"Q39Q+C9X, Paralakhemundi, Odisha 761200",761200,18.7686206,84.08847209999999,ChIJaXRffAD3PDoRcoAchaGtjyI,https://www.google.com/maps/place/?q=place_id:ChIJaXRffAD3PDoRcoAchaGtjyI,part_349,2026-09-20 20:31:51
lic lifeplus office,Insurance Agent,Insurance agency,Insurance agency,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,N/A,2.0,,"Q4F3+593, SH 4, Paralakhemundi, Odisha 761200",761200,18.7728894,84.1034356,ChIJNRwmX-_5PDoRjbROrekWKhs,https://www.google.com/maps/place/?q=place_id:ChIJNRwmX-_5PDoRjbROrekWKhs,part_349,2026-09-20 20:31:51
Life Line Insurance Service,Insurance Agent,Motorcycle insurance agency,"Motorcycle insurance agency, Auto insurance agency, Health insurance agency, Life insurance agency",761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 93908 96286,https://life-line-insurance.grexa.site/,5.0,,"19-16, Hanuman Nagar 3rd Line, Kotaguddi Colony, Patapatnam, Andhra Pradesh 532213",Kotaguddi Colony,18.7477193,84.08897669999999,ChIJV9q1I9n3PDoRqTbF5GXxSD0,https://www.google.com/maps/place/?q=place_id:ChIJV9q1I9n3PDoRqTbF5GXxSD0,part_349,2026-09-20 20:31:51
All India Insurence,Insurance Agent,Insurance agency,Insurance agency,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,N/A,,,"1, beside CCD Office, Sridhar Nagar, Paralakhemundi, Odisha 761200",Sridhar Nagar,18.7706727,84.09803219999999,ChIJSZZvsk33PDoRi-IzPZYdaaM,https://www.google.com/maps/place/?q=place_id:ChIJSZZvsk33PDoRi-IzPZYdaaM,part_349,2026-09-20 20:31:51
"Suresh Pujari, Private Personal Office",Insurance Agent,Insurance agency,Insurance agency,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,N/A,,,"Q3JP+F9R, Katika Gouda Street, besides, gantayat colony, Paralakhemundi, Odisha 761200","besides, gantayat colony",18.781239799999998,84.0859043,ChIJIYyQLwD3PDoRG65UhH0fEBM,https://www.google.com/maps/place/?q=place_id:ChIJIYyQLwD3PDoRG65UhH0fEBM,part_349,2026-09-20 20:31:51
KVR Transport and Insurance,Insurance Agent,Insurance agency,Insurance agency,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,N/A,,,"Paralakhemundi, Odisha 761200",761200,18.7661184,84.097444,ChIJcx8uWvX3PDoRZZ7sunmzLo8,https://www.google.com/maps/place/?q=place_id:ChIJcx8uWvX3PDoRZZ7sunmzLo8,part_349,2026-09-20 20:31:51
Muthoot Finance Gold Loan,Insurance Agent,Insurance agency,"Insurance agency, Agricultural Loan Agency, Business development service, Car finance and loan company, Currency exchange service, Financial institution, Loan agency, Insurance company, Money transfer service, Mortgage lender",761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 1800 120 2838,https://branches.muthootfinance.com/gold-loan-agency-in-paralakhemundi-gajapati-11478597/home,4.9,95.0,"First Floor, Palace St, Paralakhemundi, Odisha 761200",761200,18.778529199999998,84.08999659999999,ChIJHUBsYRH3PDoRsqtvQi-5gJg,https://www.google.com/maps/place/?q=place_id:ChIJHUBsYRH3PDoRsqtvQi-5gJg,part_349,2026-09-20 20:31:51
INSURANCE SAATHI,Insurance Agent,Insurance agency,Insurance agency,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 88869 99804,http://www.insurancesaathi.com/,5.0,2659.0,"Flat No G1. Nagasai Nivas Apartment, Satyam Theatre Rd, opp. Prime Hospital, Srinivasa Nagar, Ameerpet, Hyderabad, Telangana 500038","Kumar Basti, Srinivasa Nagar, Ameerpet",17.4382217,78.4456979,ChIJ5YDP8MWQyzsReqe6gYZDgmU,https://www.google.com/maps/place/?q=place_id:ChIJ5YDP8MWQyzsReqe6gYZDgmU,part_349,2026-09-20 20:31:51
Mahindra Finance - Paralakhemundi Branch,Insurance Agent,Financial institution,"Financial institution, Car finance and loan company, Financial advisor, Insurance broker, Insurance company, Investment company, Investment service, Loan agency",761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 80 4495 3488,https://branch.mahindrafinance.com/paralakhemundi-paralakhemundi-odisha-branch/,,,"1st Floor, ISR Complex, No. 732, ISR Complex Rd, Paralakhemundi, Odisha 761200",761200,18.7762407,84.0878516,ChIJ4bfDpMT3PDoRVEPaDlRs8CQ,https://www.google.com/maps/place/?q=place_id:ChIJ4bfDpMT3PDoRVEPaDlRs8CQ,part_349,2026-09-20 20:31:52
