business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mobile Plaza,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 95834 20430,N/A,4.9,14.0,"Infront of manas gift house, Beside of muthoot finance, Palace St, Paralakhemundi, Odisha 761200",761200,18.7786121,84.08860779999999,ChIJafoMkG33PDoRPqHcAOU3h9g,https://www.google.com/maps/place/?q=place_id:ChIJafoMkG33PDoRPqHcAOU3h9g,part_349,2026-09-20 20:31:50
HANUMAN MOBILES,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 94377 73143,N/A,,,"Bazar branch State Bank, Girls High School Rd, Paralakhemundi, Odisha 761200",761200,18.7812965,84.09069629999999,ChIJQ3quhuf3PDoR2KO1fEA9Pc8,https://www.google.com/maps/place/?q=place_id:ChIJQ3quhuf3PDoR2KO1fEA9Pc8,part_349,2026-09-20 20:31:50
Samsung Service Center,Mobile Phone Sales and Repair,Electronics repair shop,Electronics repair shop,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 6815 222 031,http://www.samsung.com/in/support/servicelocation/,3.9,41.0,"Q3HV+4G2, New Market Complex, Gajapati, Paralakhemundi, Odisha 761200",Gajapati,18.777755199999998,84.09376329999999,ChIJlWJeTmT3PDoRNF_gjipBQsw,https://www.google.com/maps/place/?q=place_id:ChIJlWJeTmT3PDoRNF_gjipBQsw,part_349,2026-09-20 20:31:50
S P MOBILE,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 81440 27279,N/A,5.0,1.0,"SAMSUNG SERVIENG CENTER SIDE, KARAN STREET, JUNCTION, ROAD, Paralakhemundi, Odisha 761200",761200,18.7807526,84.09097249999999,ChIJpbPYVwD3PDoRbVwAuoiz_8k,https://www.google.com/maps/place/?q=place_id:ChIJpbPYVwD3PDoRbVwAuoiz_8k,part_349,2026-09-20 20:31:50
Choudhury mobile and TV repairing service,Mobile Phone Sales and Repair,Phone repair service,Phone repair service,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 70081 91880,https://choudhury-mobile-and-tv.grexa.site/,4.9,99.0,"new street, in front of Government high school, near paralakhemundi, Bomika, Bommika, Odisha 761211",761200,18.8739612,84.1726015,ChIJXcLKelz7PDoR-cZOjJB50mg,https://www.google.com/maps/place/?q=place_id:ChIJXcLKelz7PDoR-cZOjJB50mg,part_349,2026-09-20 20:31:50
Amma mobile,Mobile Phone Sales and Repair,Mobile home dealer,Mobile home dealer,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 82806 15411,N/A,5.0,2.0,"Q3HQ+PXJ, Venkateswara Temple St, Paralakhemundi, Odisha 761200",761200,18.7793827,84.0898878,ChIJQ3kiFQD3PDoRa3pJimiGHMs,https://www.google.com/maps/place/?q=place_id:ChIJQ3kiFQD3PDoRa3pJimiGHMs,part_349,2026-09-20 20:31:50
GAYATHRI Mobiles Ranipeta,Mobile Phone Sales and Repair,Electronics store,Electronics store,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,N/A,4.7,12.0,"Parlakhemundi - Kashinagar Rd, Ranipentha, Poluru, Odisha 761201",Ranipentha,18.803943,84.0689615,ChIJxeL05v73PDoRgMvnD6Aav3A,https://www.google.com/maps/place/?q=place_id:ChIJxeL05v73PDoRgMvnD6Aav3A,part_349,2026-09-20 20:31:50
Dr. PhoneFix,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Cell phone accessory store, Electronics store",761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,http://www.facebook.com/drphonefixhp,4.9,11.0,"Near PWD rest house and next to inaya printing press, Thural, Himachal Pradesh 176107",761200,31.9271003,76.45938989999999,ChIJQSmtP9U0GzkRSpfl_OB1wfM,https://www.google.com/maps/place/?q=place_id:ChIJQSmtP9U0GzkRSpfl_OB1wfM,part_349,2026-09-20 20:31:50
PINTU MOBILE CARE,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 78469 15169,N/A,5.0,37.0,"Bhursaguda, Mahima, Odisha 766019",761200,19.6616085,82.63000199999999,ChIJxSsdgpk5JToRUsuuhIF8hug,https://www.google.com/maps/place/?q=place_id:ChIJxSsdgpk5JToRUsuuhIF8hug,part_349,2026-09-20 20:31:50
"Itel, Infinix & Tecno Mobile Carlcare Service Centre (Odisha)",Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Cell phone accessory store, Phone repair service",761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 98612 45331,https://ind-mis-carl.shalltry.com/carlcare_h5/repairs/build/#/order?source=INGMBonline,,,"New, Dist, Market Complex, Paralakhemundi, Odisha 761200",Market Complex,18.780989599999998,84.0908693,ChIJUxK-u9n3PDoRjFuL-6TUL2Q,https://www.google.com/maps/place/?q=place_id:ChIJUxK-u9n3PDoRjFuL-6TUL2Q,part_349,2026-09-20 20:31:50
Sri Krishna Infotech,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,N/A,5.0,5.0,"MM7X+G4, Koksara, Odisha 766019",761200,19.663242999999998,82.697341,ChIJhZPMMwA7JToRr6kguDgaHfs,https://www.google.com/maps/place/?q=place_id:ChIJhZPMMwA7JToRr6kguDgaHfs,part_349,2026-09-20 20:31:50
Annapurna Cell point,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",N/A,N/A,5.0,3.0,"Khandava, Odisha 761206",761200,18.969272999999998,83.8269943,ChIJ78oSM4mRPDoRAJIaMsQGlYo,https://www.google.com/maps/place/?q=place_id:ChIJ78oSM4mRPDoRAJIaMsQGlYo,part_349,2026-09-20 20:31:52
AtoZ Mobile Repair shop,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Mobile phone repair shop",761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati",+91 78298 08706,https://atoz-mobile-repair-shop.grexa.site/,4.8,75.0,"Ground Floor, 35C, Hosahalli Road, gate, Sarjapura, Sompura, Bengaluru, Karnataka 562125","gate, Sarjapura",12.859706,77.76990339999999,ChIJy6LWBN9zrjsRgQldesnZNN8,https://www.google.com/maps/place/?q=place_id:ChIJy6LWBN9zrjsRgQldesnZNN8,part_349,2026-09-20 20:31:52
