business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Raja rajeswari grain processors 🌾🌾,Flour Mill,Rice mill,Rice mill,761201,Odisha Circle,Berhampur Region,Rayagada Division,"Station Road Paralakhemundi S.O, B.Sitapur B.O, Jammi B.O",N/A,N/A,5.0,,"R2FC+3WF, Rayimba, Odisha 761201",761201,18.8226866,84.02230999999999,ChIJdzFeFwDxPDoR2vwvcFahkVw,https://www.google.com/maps/place/?q=place_id:ChIJdzFeFwDxPDoR2vwvcFahkVw,part_349,2026-09-20 20:32:00
RAVI FLOOR MILL,Flour Mill,Flour mill,Flour mill,761201,Odisha Circle,Berhampur Region,Rayagada Division,"Station Road Paralakhemundi S.O, B.Sitapur B.O, Jammi B.O",N/A,N/A,,,"P3XQ+Q4X, Kotaguddi Colony, Patapatnam, Andhra Pradesh 532213",Kotaguddi Colony,18.749379899999997,84.08776,ChIJBXdqOQD3PDoRPvdqsSrVtgU,https://www.google.com/maps/place/?q=place_id:ChIJBXdqOQD3PDoRPvdqsSrVtgU,part_349,2026-09-20 20:32:00
K R Appliances,Flour Mill,Flour mill,Flour mill,761201,Odisha Circle,Berhampur Region,Rayagada Division,"Station Road Paralakhemundi S.O, B.Sitapur B.O, Jammi B.O",+91 80 4896 1517,https://www.vaishnaviflourmills.com/,4.8,9.0,"K R Appliances &, 203, near Metro Pillar Number 202, Morna, Sector 35, Noida, Uttar Pradesh 201307","Morna, Sector 35",28.578189499999997,77.360303,ChIJyd3XxNrlDDkR03Bk-umq4x0,https://www.google.com/maps/place/?q=place_id:ChIJyd3XxNrlDDkR03Bk-umq4x0,part_349,2026-09-20 20:32:00
Paul Star Flour Mill,Flour Mill,Flour mill,Flour mill,761201,Odisha Circle,Berhampur Region,Rayagada Division,"Station Road Paralakhemundi S.O, B.Sitapur B.O, Jammi B.O",N/A,N/A,5.0,12.0,"698H+MH5, Karukutty, Angamaly, Kerala 683576",761201,10.2166474,76.3789742,ChIJbXhMOJYGCDsRhPRB9_sUY_E,https://www.google.com/maps/place/?q=place_id:ChIJbXhMOJYGCDsRhPRB9_sUY_E,part_349,2026-09-20 20:32:01
Shudhi Flour Mill Angamaly,Flour Mill,Manufacturer,Manufacturer,761201,Odisha Circle,Berhampur Region,Rayagada Division,"Station Road Paralakhemundi S.O, B.Sitapur B.O, Jammi B.O",N/A,N/A,4.9,65.0,"Old Market Rd, opposite seemas wedding collections, Angamaly, Keralam 683572",761201,10.1950554,76.3880887,ChIJFY2GjssHCDsRCtyR9SXhlZU,https://www.google.com/maps/place/?q=place_id:ChIJFY2GjssHCDsRCtyR9SXhlZU,part_349,2026-09-20 20:32:01
Shudhi Flour Mill,Flour Mill,Manufacturer,"Manufacturer, Flour mill, Outlet mall, Spices Wholesaler",761201,Odisha Circle,Berhampur Region,Rayagada Division,"Station Road Paralakhemundi S.O, B.Sitapur B.O, Jammi B.O",+91 95390 93777,http://www.shudhiflourmill.in/,4.9,212.0,"Mooppan Kavala, Thuravoor, Angamaly, Keralam 683572",761201,10.203251999999999,76.41841389999999,ChIJ3y1kiOcHCDsRqLby4o75tP8,https://www.google.com/maps/place/?q=place_id:ChIJ3y1kiOcHCDsRqLby4o75tP8,part_349,2026-09-20 20:32:01
Vishwakarma Flour Mill & Masala Chaki,Flour Mill,Flour mill,Flour mill,761201,Odisha Circle,Berhampur Region,Rayagada Division,"Station Road Paralakhemundi S.O, B.Sitapur B.O, Jammi B.O",+91 98291 58574,N/A,4.3,7.0,"RR58+775, Sheopur Rd, Sanganer, Pratap Nagar, Jaipur, Rajasthan 302033","Sanganer, Pratap Nagar",26.8081499,75.8157284,ChIJo4ES_vLJbTkRthqOeXEtjfY,https://www.google.com/maps/place/?q=place_id:ChIJo4ES_vLJbTkRthqOeXEtjfY,part_349,2026-09-20 20:32:01
SHREE SWASTI FOOD PRODUCTS,Flour Mill,Flour mill,Flour mill,761201,Odisha Circle,Berhampur Region,Rayagada Division,"Station Road Paralakhemundi S.O, B.Sitapur B.O, Jammi B.O",+91 78783 96652,N/A,5.0,3.0,"Sikarpura Road, Sanganer, Jaipur, Kokawas, Rajasthan 302029",Sanganer,26.763642599999997,75.7789749,ChIJ68BjiPjLbTkRyP8J6OCJ5z0,https://www.google.com/maps/place/?q=place_id:ChIJ68BjiPjLbTkRyP8J6OCJ5z0,part_349,2026-09-20 20:32:01
Bismi Flour Mills,Flour Mill,Flour mill,Flour mill,761201,Odisha Circle,Berhampur Region,Rayagada Division,"Station Road Paralakhemundi S.O, B.Sitapur B.O, Jammi B.O",+91 88931 69589,N/A,4.0,4.0,"584M+32M, Chengamanad, Keralam 683578",761201,10.1552233,76.33255659999999,ChIJjfNLLokFCDsRbgKw4fLKPQk,https://www.google.com/maps/place/?q=place_id:ChIJjfNLLokFCDsRbgKw4fLKPQk,part_349,2026-09-20 20:32:01
Garg Flour Mills,Flour Mill,Flour mill,Flour mill,761201,Odisha Circle,Berhampur Region,Rayagada Division,"Station Road Paralakhemundi S.O, B.Sitapur B.O, Jammi B.O",N/A,N/A,5.0,1.0,"Shop No.1, Ranji Nagar, Sector 6, Rama Krishna Puram, New Delhi, Delhi 110022","Ranji Nagar, Sector 6, Rama Krishna Puram",28.564629,77.17387,ChIJP_ZKVpgdDTkRIEeLlLoj2jg,https://www.google.com/maps/place/?q=place_id:ChIJP_ZKVpgdDTkRIEeLlLoj2jg,part_349,2026-09-20 20:32:01
