business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SRI RAMA DENTAL CLINIC,Dental Clinic,Pharmacy,Pharmacy,761206,Odisha Circle,Berhampur Region,Rayagada Division,"Kashinagar S.O Gajapati, Badigam B.O, Baijhola B.O",+91 79014 33443,N/A,4.9,,"3RG5+4FG, Gunupur, Odisha 765022",761206,19.0753243,83.80869179999999,ChIJLQTa_wOXPDoRncd1DQ9ewM4,https://www.google.com/maps/place/?q=place_id:ChIJLQTa_wOXPDoRncd1DQ9ewM4,part_349,2026-09-20 20:32:44
Gunupur Dental Care,Dental Clinic,Dental clinic,Dental clinic,761206,Odisha Circle,Berhampur Region,Rayagada Division,"Kashinagar S.O Gajapati, Badigam B.O, Baijhola B.O",N/A,N/A,3.2,,"Main road, near New bus stand, Gunupur, Odisha 765022",761206,19.071465099999998,83.8130291,ChIJmRd7MzCWPDoRt4_-p596A5g,https://www.google.com/maps/place/?q=place_id:ChIJmRd7MzCWPDoRt4_-p596A5g,part_349,2026-09-20 20:32:44
Sun dental clinic,Dental Clinic,Dental clinic,Dental clinic,761206,Odisha Circle,Berhampur Region,Rayagada Division,"Kashinagar S.O Gajapati, Badigam B.O, Baijhola B.O",+91 83288 14015,N/A,5.0,,"Balaram Nagar, Gunupur, Odisha 765022",Balaram Nagar,19.067857,83.817016,ChIJEyGpEACXPDoRC1RvIAgZD_4,https://www.google.com/maps/place/?q=place_id:ChIJEyGpEACXPDoRC1RvIAgZD_4,part_349,2026-09-20 20:32:44
Gandhi Dental Care,Dental Clinic,Dental clinic,Dental clinic,761206,Odisha Circle,Berhampur Region,Rayagada Division,"Kashinagar S.O Gajapati, Badigam B.O, Baijhola B.O",+91 83288 14015,N/A,3.7,,"Balaram Nagar, Gunupur, Odisha 765022",Balaram Nagar,19.0687015,83.816266,ChIJSxoGgTCWPDoROnZkGV7IoSo,https://www.google.com/maps/place/?q=place_id:ChIJSxoGgTCWPDoROnZkGV7IoSo,part_349,2026-09-20 20:32:44
Kar Dental Clinic and Hospital,Dental Clinic,Dental clinic,"Dental clinic, Cancer treatment center, Dentist, Dental implants periodontist, Emergency dental service, Endodontist, Oral surgeon, Orthodontist, Periodontist, Urgent care center",761206,Odisha Circle,Berhampur Region,Rayagada Division,"Kashinagar S.O Gajapati, Badigam B.O, Baijhola B.O",+91 94391 64798,https://posts.gle/EdS1M,4.4,,"KAR DENTAL CLINIC, Bhagyashree Sahoo . Microendodontist, Near DAV Public School plot no B/1521 CDA Sector VI Plot no B/1521 DR.SOUVAGYA RANJAN KAR Dr, LANE, CDA Sector VI, Kataka, Odisha 753014","LANE, CDA Sector VI",20.4785801,85.8359485,ChIJ____v-QRGToRcrD4WMsXQi4,https://www.google.com/maps/place/?q=place_id:ChIJ____v-QRGToRcrD4WMsXQi4,part_349,2026-09-20 20:32:44
THE CROWN DENTAL CARE & ORTHODONTIC CENTER,Dental Clinic,Dental clinic,Dental clinic,761206,Odisha Circle,Berhampur Region,Rayagada Division,"Kashinagar S.O Gajapati, Badigam B.O, Baijhola B.O",+91 70085 71249,N/A,5.0,,"Gate Bazar, beside Apollo Pharmacy, Sakhigopal, Odisha 752014",761206,19.9466789,85.818148,ChIJLd7xv8e5GToRpGYZxx2zaOQ,https://www.google.com/maps/place/?q=place_id:ChIJLd7xv8e5GToRpGYZxx2zaOQ,part_349,2026-09-20 20:32:44
Sabitri Dentistry,Dental Clinic,Dental clinic,Dental clinic,761206,Odisha Circle,Berhampur Region,Rayagada Division,"Kashinagar S.O Gajapati, Badigam B.O, Baijhola B.O",+91 76088 88483,http://www.sabitridentistry.com/,4.9,,"Oposite Khadims, Krishna Arcade, 45, Dolamundai Rd, Bajrakabati, Kataka, Odisha 753001",Bajrakabati,20.4630928,85.88485709999999,ChIJs-68TNMNGToR0zIBM33Gwxw,https://www.google.com/maps/place/?q=place_id:ChIJs-68TNMNGToR0zIBM33Gwxw,part_349,2026-09-20 20:32:44
Sai Dental Care,Dental Clinic,Dental clinic,Dental clinic,761206,Odisha Circle,Berhampur Region,Rayagada Division,"Kashinagar S.O Gajapati, Badigam B.O, Baijhola B.O",N/A,N/A,4.4,47.0,"Dakhinakali Rd, Dhenkanal, Odisha 759001",761206,20.6556084,85.5912795,ChIJV_L8MJ3hGDoRzBen9CKAyx4,https://www.google.com/maps/place/?q=place_id:ChIJV_L8MJ3hGDoRzBen9CKAyx4,part_349,2026-09-20 20:32:45
Vital 32 Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,761206,Odisha Circle,Berhampur Region,Rayagada Division,"Kashinagar S.O Gajapati, Badigam B.O, Baijhola B.O",+91 78559 98384,N/A,4.6,18.0,"FRGR+565, CDA Sector VI, Kataka, Odisha 753014",CDA Sector VI,20.4753765,85.84061969999999,ChIJO1SYzgwRGToRBMPUG52E93U,https://www.google.com/maps/place/?q=place_id:ChIJO1SYzgwRGToRBMPUG52E93U,part_349,2026-09-20 20:32:45
SAINATH DENTAL CLINIC,Dental Clinic,Dental clinic,Dental clinic,761206,Odisha Circle,Berhampur Region,Rayagada Division,"Kashinagar S.O Gajapati, Badigam B.O, Baijhola B.O",+91 94373 02625,N/A,4.8,8.0,"MAIN ROAD, Ambodala, Odisha 765021",761206,19.83439,83.4565909,ChIJ42PQdHmYJDoRE1kuELNdpwo,https://www.google.com/maps/place/?q=place_id:ChIJ42PQdHmYJDoRE1kuELNdpwo,part_349,2026-09-20 20:32:45
