business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shymashree Multispeciality Hospital.Pvt.Ltd | Best Multispeciality hospital in Puri,Multispeciality Hospital,Hospital,Hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 72050 06334,http://shyamashreehospital.com/,4.6,,"Police Station, Plot no 47, Athar Nala Rd, near Kumbharapada, Kumbharpada, Puri, Odisha 752002",Kumbharpada,19.8185982,85.8310164,ChIJh-72lqLHGToRDKai-m--BnM,https://www.google.com/maps/place/?q=place_id:ChIJh-72lqLHGToRDKai-m--BnM,part_350,2026-09-20 20:17:56,1585
MS Medaax Multi-Speciality Hospital,Multispeciality Hospital,Hospital,Hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 90405 55108,https://medaaxhospitals.com/,4.5,,"Petrol Bunk, Near, Kesinga Road, Bhawanipatna, Parmanandapur, Odisha 766002",762021,19.9304682,83.17340709999999,ChIJh-49mArtJDoRKLXEUfA3IHY,https://www.google.com/maps/place/?q=place_id:ChIJh-49mArtJDoRKLXEUfA3IHY,part_350,2026-09-20 20:17:56,1586
Chandan Multi Speciality Hospital,Multispeciality Hospital,Hospital,Hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,2.4,,"W568+257, MSA Rd, Bazarpada, Bhawanipatna, Odisha 766001",Bazarpada,19.9100286,83.16543,ChIJ8eeMegDrJDoRz35t85RzPIk,https://www.google.com/maps/place/?q=place_id:ChIJ8eeMegDrJDoRz35t85RzPIk,part_350,2026-09-20 20:17:56,1587
Ayub Khan Multi- speciality Hospital,Multispeciality Hospital,Hospital,Hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 79784 35901,N/A,4.7,,"Ward No-02, beside Nac Office, Kantabanji, Odisha 767039",762021,20.4696058,82.91412249999999,ChIJ_X6VOI1NJDoR8cGa6Ll7Z-A,https://www.google.com/maps/place/?q=place_id:ChIJ_X6VOI1NJDoR8cGa6Ll7Z-A,part_350,2026-09-20 20:17:56,1588
Maa Manikeswari Multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 97771 75038,https://www.maamanikeswarihospital.com/,3.2,,"Ghodaghat Chowk, Naktiguda, Bhawanipatna, Odisha 766001",Naktiguda,19.9063448,83.16384839999999,ChIJA11zFVbpJDoRGs2LJCpYeEo,https://www.google.com/maps/place/?q=place_id:ChIJA11zFVbpJDoRGs2LJCpYeEo,part_350,2026-09-20 20:17:56,1589
"District Headquarter Hospital, Phulbani",Multispeciality Hospital,Government hospital,Government hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,https://kandhamal.dhhodisha.in/,3.8,,"F6PF+24F, Telecom Colony, Phulbani, Odisha 762001",Telecom Colony,20.485914599999997,84.2249408,ChIJwQMlL6azIzoR3Rel9c8K5j0,https://www.google.com/maps/place/?q=place_id:ChIJwQMlL6azIzoR3Rel9c8K5j0,part_350,2026-09-20 20:17:56,1590
Krishna Vikash Multi Speciality Hospital,Multispeciality Hospital,Hospital,Hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 73816 39999,http://vikashhospitals.com/,4.3,,"Canal Chowk, Barahagoda, Odisha 768040",762021,21.347809299999998,83.66277529999999,ChIJWwOdFHZLIToRJp0n-jnliEI,https://www.google.com/maps/place/?q=place_id:ChIJWwOdFHZLIToRJp0n-jnliEI,part_350,2026-09-20 20:17:56,1591
SUM Ultimate Medicare Hospital bhubaneswar,Multispeciality Hospital,Hospital,"Hospital, Cardiologist, General hospital, Neurologist, Oncologist, Private hospital",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 674 350 0500,https://sumum.soahospitals.com/,4.7,,"K8 Kalinga Nagar, Ghatikia, Bhubaneswar, Odisha 751029","K8 Kalinga Nagar, Ghatikia",20.2830483,85.7725506,ChIJL6DMpzEJGToR1DtjeI35F0w,https://www.google.com/maps/place/?q=place_id:ChIJL6DMpzEJGToR1DtjeI35F0w,part_350,2026-09-20 20:17:56,1592
Kalapathar sriram nagar Hospital,Multispeciality Hospital,Medical Center,Medical Center,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,5.0,,"W273+73, kalapathar, Odisha 767018",762021,20.913183999999998,84.00269159999999,ChIJt2aaKwDfIzoR-7LujvI7ZFg,https://www.google.com/maps/place/?q=place_id:ChIJt2aaKwDfIzoR-7LujvI7ZFg,part_350,2026-09-20 20:17:56,1593
"C.H.C.,G. Udayagiri",Multispeciality Hospital,Hospital,Hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,http://chcgudayagiri.in/,4.2,,"49CF+J2J, Udayagiri, Odisha 762100",762021,20.1215859,84.3725183,ChIJmZmU15T7IjoRfMUZ_uq1BOI,https://www.google.com/maps/place/?q=place_id:ChIJmZmU15T7IjoRfMUZ_uq1BOI,part_350,2026-09-20 20:17:56,1594
UPHC PHULBANI,Multispeciality Hospital,Hospital,Hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,4.4,,"Narayani Mandir Street, in front of Carmel School, Agriculture Colony, Phulbani, Odisha 762001",Agriculture Colony,20.4681399,84.24217379999999,ChIJxVB8ZwCzIzoR1z_Wprp8Vik,https://www.google.com/maps/place/?q=place_id:ChIJxVB8ZwCzIzoR1z_Wprp8Vik,part_350,2026-09-20 20:17:56,1595
O.F. Badmal Hospital,Multispeciality Hospital,Hospital,Hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,3.9,,"97MQ+4C6, Ordnance Factory, Badmal, Odisha 767070",Ordnance Factory,20.382781899999998,83.2885056,ChIJ-XKrJdJnJDoR0i7ZR_BYK5E,https://www.google.com/maps/place/?q=place_id:ChIJ-XKrJdJnJDoR0i7ZR_BYK5E,part_350,2026-09-20 20:17:56,1596
"CARE Hospitals, Bhubaneswar",Multispeciality Hospital,Hospital,Hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 40 6810 6589,https://www.carehospitals.com/hospitals/bhubaneswar/,4.4,,"Unit No. - 42 Plot, 324, Prachi Enclave Rd, Rail Vihar, Chandrasekharpur, Bhubaneswar, Odisha 751016","Rail Vihar, Chandrasekharpur",20.321624099999998,85.81311579999999,ChIJXQef8gkJGToRxGdfBdzAsdM,https://www.google.com/maps/place/?q=place_id:ChIJXQef8gkJGToRxGdfBdzAsdM,part_350,2026-09-20 20:17:56,1597
Caresmiths Hospital,Multispeciality Hospital,Hospital,Hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 89689 60162,N/A,4.9,,"Jayashree Chhak, Plot No. 3004, Nimapada, Denuan, Odisha 752106",762021,20.0651576,85.99869129999999,ChIJT2afjT2XGToR1FIPI7liPrE,https://www.google.com/maps/place/?q=place_id:ChIJT2afjT2XGToR1FIPI7liPrE,part_350,2026-09-20 20:17:56,1598
Ashish Healthcare,Multispeciality Hospital,Hospital,Hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 73259 49994,N/A,4.9,,"Plot 184, Jaypur sasana, Bejapur mauza, near Nabin nibas, Pipili, Odisha 752104",762021,20.116414199999998,85.8273591,ChIJVTe_AzilGToRUorbtMiIoks,https://www.google.com/maps/place/?q=place_id:ChIJVTe_AzilGToRUorbtMiIoks,part_350,2026-09-20 20:17:56,1599
Sai Dibyajyoti Hospital,Multispeciality Hospital,Private hospital,Private hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 94372 61236,N/A,4.2,,"New Bus Stand Rd, beside payal Hall, Manjari Nagar, Brahmapur, Odisha 760001",Manjari Nagar,19.314694199999998,84.7982407,ChIJ6XE1tWBRPToRRBXKd999ass,https://www.google.com/maps/place/?q=place_id:ChIJ6XE1tWBRPToRRBXKd999ass,part_350,2026-09-20 20:17:56,1600
OMM HOSPITAL,Multispeciality Hospital,Private hospital,Private hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 98531 10155,N/A,3.2,,"near Jio Office, Paikapada, Patana, Narsinghpur, Odisha 754032",Paikapada,20.4630503,85.0823277,ChIJo98s2GibGDoReF5TLtYousA,https://www.google.com/maps/place/?q=place_id:ChIJo98s2GibGDoReF5TLtYousA,part_350,2026-09-20 20:17:56,1601
Samal Care Multispeciality Hospital Angul,Multispeciality Hospital,Hospital,Hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 78944 15401,https://www.samalcare.com/,3.2,,"R6RG+HCG National Highway, 42, Nuahata, Odisha 759128",762021,20.8414348,85.22606809999999,ChIJs7UZpH63GDoREF3gZ8AJTtw,https://www.google.com/maps/place/?q=place_id:ChIJs7UZpH63GDoREF3gZ8AJTtw,part_350,2026-09-20 20:17:56,1602
S.S MEDICURE,Multispeciality Hospital,Medical Center,Medical Center,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,5.0,,"SBI ATM, Infront of Bazar, Main Rd, Chidananda Nagar, Phulbani, Odisha 762001",Chidananda Nagar,20.4727124,84.23555809999999,ChIJu_zoQACzIzoROOliCfNQwb0,https://www.google.com/maps/place/?q=place_id:ChIJu_zoQACzIzoROOliCfNQwb0,part_350,2026-09-20 20:17:56,1603
Odisha Multispeciality Hospital And Trauma Care Centre Private Limited,Multispeciality Hospital,Hospital,Hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,5.0,,"NO-246, Lewis Rd, Kedar Gouri Vihar, Rajarani Colony, Rajarani Temple, Bhubaneswar, Odisha 751014","Kedar Gouri Vihar, Rajarani Colony, Rajarani Temple",20.2393508,85.8411466,ChIJK56CKCmnGToRPqA8wOcJovE,https://www.google.com/maps/place/?q=place_id:ChIJK56CKCmnGToRPqA8wOcJovE,part_350,2026-09-20 20:17:57,1604
Shanti Memorial Hospital,Multispeciality Hospital,General hospital,General hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 76828 29935,http://www.shantimemorialhospital.com/,4.1,,"FV9M+FJ2, Thoria Sahi Patnaik Colony, Friends Colony, Mangalabag, Kataka, Odisha 753001","Friends Colony, Mangalabag",20.4689797,85.88345919999999,ChIJ547P6YYNGToR9YsDWW33III,https://www.google.com/maps/place/?q=place_id:ChIJ547P6YYNGToR9YsDWW33III,part_350,2026-09-20 20:17:57,1605
Om Suvam Hospital,Multispeciality Hospital,Private hospital,"Private hospital, Hospital, Nursing home",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 94374 95364,http://www.omsuvamhospital.com/,3.6,,"FV9V+94R, LIC Colony, Kataka, Odisha 753003",LIC Colony,20.4684933,85.8927789,ChIJzb9-wn4NGToRPAcmki1iq7c,https://www.google.com/maps/place/?q=place_id:ChIJzb9-wn4NGToRPAcmki1iq7c,part_350,2026-09-20 20:17:57,1606
BBS Health Care Hospital,Multispeciality Hospital,Hospital,Hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 671 280 5844,N/A,3.6,,"6XXP+4VP, SH 60, Sisua, Odisha 754010",762021,20.2478294,85.98719539999999,ChIJ86JAmFyeGToRGbIlCmfHSpc,https://www.google.com/maps/place/?q=place_id:ChIJ86JAmFyeGToRGbIlCmfHSpc,part_350,2026-09-20 20:17:57,1607
SHIVMANGAL MULTISPECIALITY HOSPITAL,Multispeciality Hospital,Hospital,"Hospital, Emergency room, Gynecologist, Internal medicine ward, Orthopedic surgeon, Pediatrician, Urology clinic",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 96979 89305,https://shivmangalhospital.com/#/,4.9,,"1st Floor, Bandal Empire, Wadachi Wadi Rd, near Aero Nest Society, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060","Shree Siddhivinayak Meera, Undri",18.4464804,73.91701189999999,ChIJj1hhuofrwjsRuSMuue545qY,https://www.google.com/maps/place/?q=place_id:ChIJj1hhuofrwjsRuSMuue545qY,part_350,2026-09-20 20:17:57,1608
G S R MULTISPECIALITY HOSPITAL,Multispeciality Hospital,Hospital,Hospital,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 85392 20400,N/A,4.1,,"Gavi Math Road, near Panduranga Temple, Koppal, Karnataka 583231",762021,15.3395107,76.1573197,ChIJ9zc-m0zLuTsRXax_Bgnn75E,https://www.google.com/maps/place/?q=place_id:ChIJ9zc-m0zLuTsRXax_Bgnn75E,part_350,2026-09-20 20:17:57,1609
