business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Utkal plywood,Plywood and Timber Merchant,Lumber store,Lumber store,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 79783 76463,N/A,4.6,12.0,"Giri Market Rd, Gandhi Nagar, Brahmapur, Odisha 760002",Gandhi Nagar,19.315462,84.78489479999999,ChIJtSe_5g9QPToRW9L0ycDnBVE,https://www.google.com/maps/place/?q=place_id:ChIJtSe_5g9QPToRW9L0ycDnBVE,part_350,2026-09-20 20:18:04,2966
Bhabani Timbers,Plywood and Timber Merchant,Wood supplier,Wood supplier,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 99371 87610,N/A,4.4,100.0,"square, Kathomentu Rd, beside Ashraf petrol pump, Narayana Nagar, Haridakhandi, Brahmapur, Odisha 760006","Narayana Nagar, Haridakhandi",19.3208569,84.7709694,ChIJMYMwLeJPPToRT1J5e4c0Uac,https://www.google.com/maps/place/?q=place_id:ChIJMYMwLeJPPToRT1J5e4c0Uac,part_350,2026-09-20 20:18:04,2967
Jain Plywood,Plywood and Timber Merchant,Home goods store,"Home goods store, Lumber store",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 94370 92232,N/A,4.9,10.0,"Puspa lodge road, Near CBI, Odisha 766001",Bazarpada,19.9082984,83.16464169999999,ChIJm10j-VXpJDoRSJVR8qcm1uA,https://www.google.com/maps/place/?q=place_id:ChIJm10j-VXpJDoRSJVR8qcm1uA,part_350,2026-09-20 20:18:04,2968
patna traders,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 90405 55321,N/A,4.2,26.0,"P42H+HRF, Dhumabhata Rd, Patnagarh, Chingerbandh, Odisha 767025",762021,20.7014338,83.12954239999999,ChIJGcKJHzc7JDoRMTTUni9G4Hs,https://www.google.com/maps/place/?q=place_id:ChIJGcKJHzc7JDoRMTTUni9G4Hs,part_350,2026-09-20 20:18:04,2969
SAHU PLY & HARDWARE,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 70088 20933,N/A,5.0,1.0,"Nigamananda Road, Surada, Odisha 761108",762021,19.7619124,84.4270458,ChIJ2UmneTzbIjoRsPgwSmEeovU,https://www.google.com/maps/place/?q=place_id:ChIJ2UmneTzbIjoRsPgwSmEeovU,part_350,2026-09-20 20:18:04,2970
bansal trading co.,Plywood and Timber Merchant,Tile store,"Tile store, Furniture accessories, Lumber store, Paint store, Pipes Wholesaler",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 94370 70583,N/A,3.1,16.0,"HDFC Bank, Kesinga main road, Ward Number 3, Kesinga, Odisha 766012",Ward Number 3,20.1895149,83.2209682,ChIJB17QsXb1JDoRiO-LKPt_sUY,https://www.google.com/maps/place/?q=place_id:ChIJB17QsXb1JDoRiO-LKPt_sUY,part_350,2026-09-20 20:18:04,2971
DAS TIMBER,Plywood and Timber Merchant,Lumber store,Lumber store,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 86038 49773,N/A,4.1,7.0,"khatta no:235, Plot no:1109, Byasanagar, Odisha 755020",762021,20.9536598,86.11588119999999,ChIJuZcQQt9RGToRSyofiDiNuVE,https://www.google.com/maps/place/?q=place_id:ChIJuZcQQt9RGToRSyofiDiNuVE,part_350,2026-09-20 20:18:04,2972
Swamy Timber Private Limited,Plywood and Timber Merchant,Manufacturer,Manufacturer,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 97317 48327,https://www.nirmann.biz/listing/swamy-timber-private-limited-ballari/,3.5,117.0,"Andhral, Kanekal Rd, Ballari, Karnataka 583102","Ibrahimpura, UHTC Ranithota",15.1202148,76.92984299999999,ChIJc_3qj1IRtzsRQnE0L6Mqnmo,https://www.google.com/maps/place/?q=place_id:ChIJc_3qj1IRtzsRQnE0L6Mqnmo,part_350,2026-09-20 20:18:04,2973
Shri Krishna Vijay Saw Mill,Plywood and Timber Merchant,Lumber store,"Lumber store, Pine furniture shop, Plywood supplier, Wood and laminate flooring supplier, Wood frame supplier, Wood supplier",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 83522 50676,N/A,5.0,27.0,"Opp Alankar Talkies, near Bus Stand, Vijayapura, Karnataka 586101",Godbole Mala,16.827382699999998,75.71607259999999,ChIJnTZwb35VxjsRLW-VNrfFxgs,https://www.google.com/maps/place/?q=place_id:ChIJnTZwb35VxjsRLW-VNrfFxgs,part_350,2026-09-20 20:18:04,2974
S.S. Ply & Hardware,Plywood and Timber Merchant,Hardware store,"Hardware store, Plywood supplier",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 94388 58889,N/A,4.3,58.0,"1st Military Lane, Main Road, Brahmapur, Odisha 760001",Baidiya Nath Pur,19.315037999999998,84.7899796,ChIJl7Ku7g1QPToR3dOJ92yygO4,https://www.google.com/maps/place/?q=place_id:ChIJl7Ku7g1QPToR3dOJ92yygO4,part_350,2026-09-20 20:18:04,2975
