business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mahendra footware & Cycling Repair,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",N/A,N/A,5.0,1.0,"XJC8+CRP, Kutasingha, Odisha 767068",762022,20.9710751,83.6170861,ChIJz83fXwD_IzoR8d2FcyohMmE,https://www.google.com/maps/place/?q=place_id:ChIJz83fXwD_IzoR8d2FcyohMmE,part_350,2026-09-20 20:18:44
Padhan Cycle & Electrical Works,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",N/A,N/A,,,"VXGM+Q6X, Kumarkeli, Paligaon, Odisha 767018",762022,20.876975299999998,83.9830959,ChIJT9QZCgDdIzoR9P1K0JVj6MY,https://www.google.com/maps/place/?q=place_id:ChIJT9QZCgDdIzoR9P1K0JVj6MY,part_350,2026-09-20 20:18:44
Mahavir Cycles,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",N/A,N/A,4.2,27.0,"Amala Para, Jharia, Dhanbad, Jharkhand 828111",Amala Para,23.7441987,86.4130453,ChIJpZ9XDbai9jkR7d_cwTd21Yk,https://www.google.com/maps/place/?q=place_id:ChIJpZ9XDbai9jkR7d_cwTd21Yk,part_350,2026-09-20 20:18:44
SprintLot Cycles & Sports,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle repair shop, Bicycle wholesaler, Cricket shop, Electric bicycle store, Sports Accessories Wholesaler, Sports complex, Sportswear store, Used bicycle shop",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 72099 51181,N/A,4.5,22.0,"opposite govinda sweets, beside Narayana inst, Lohar Kulli, Saraidhella, Dhanbad, Jharkhand 826007",Lohar Kulli,23.8124078,86.4584891,ChIJgWG-3ji99jkRV3Ghohp949Q,https://www.google.com/maps/place/?q=place_id:ChIJgWG-3ji99jkRV3Ghohp949Q,part_350,2026-09-20 20:18:44
Bike Repair,Bicycle Shop and Repair,Auto repair shop,Auto repair shop,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 62056 97667,N/A,1.0,1.0,"near Pani Tanki, Purana Bazar, Dhanbad, Jharkhand 826007",Purana Bazar,23.7865033,86.42377019999999,ChIJbb0TFVO99jkRnLg6xTil88c,https://www.google.com/maps/place/?q=place_id:ChIJbb0TFVO99jkRnLg6xTil88c,part_350,2026-09-20 20:18:44
BNR Trading Company,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 98352 13535,N/A,4.3,40.0,"Police Line Rd, Hirapur, Pandey Muhalla, Dhanbad, Jharkhand 826007","Hirapur, Pandey Muhalla",23.8036007,86.4433688,ChIJHddTJZe89jkR0rzkHNntZO4,https://www.google.com/maps/place/?q=place_id:ChIJHddTJZe89jkR0rzkHNntZO4,part_350,2026-09-20 20:18:44
Bike service,Bicycle Shop and Repair,Motorcycle shop,Motorcycle shop,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 74880 67110,N/A,5.0,8.0,"Baba vishwanath mandir, Binod Nagar, Damodarpur, Dhanbad, Jharkhand 826004",Binod Nagar,23.7929854,86.4685409,ChIJX6kDIBy99jkRa3eNgbdfHqs,https://www.google.com/maps/place/?q=place_id:ChIJX6kDIBy99jkRa3eNgbdfHqs,part_350,2026-09-20 20:18:44
New India Cycle Store,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 93040 30883,N/A,4.7,83.0,"Police Station, opp. Bank More, Bank More, Dhanbad, Jharkhand 826007",Bank More,23.788732099999997,86.4194189,ChIJ8evFR8u89jkRfghI8p4AY4c,https://www.google.com/maps/place/?q=place_id:ChIJ8evFR8u89jkRfghI8p4AY4c,part_350,2026-09-20 20:18:44
Punjab cycle and auto spares,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle repair shop",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 93043 81130,N/A,3.7,30.0,"Bhagwati Complex, Bank Rd, Purana Bazar, Damodarpur, Dhanbad, Jharkhand 826007","Purana Bazar, Damodarpur",23.7876715,86.4229671,ChIJJYv59su89jkRbKspowBw2kQ,https://www.google.com/maps/place/?q=place_id:ChIJJYv59su89jkRbKspowBw2kQ,part_350,2026-09-20 20:18:44
Janta garage,Bicycle Shop and Repair,Two Wheeler Repair Shop,Two Wheeler Repair Shop,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 95706 33222,N/A,4.5,19.0,"Bye pass road, politechnic road, opposite chhat talab, Wassepur, Dhanbad, Jharkhand 828130","New Bishnupur, Wassepur",23.8053275,86.4094269,ChIJdcNOyxGj9jkR_cvx2aHcEvk,https://www.google.com/maps/place/?q=place_id:ChIJdcNOyxGj9jkR_cvx2aHcEvk,part_350,2026-09-20 20:18:44
