business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Priyansi Variety Store,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 63716 80889,N/A,4.5,4.0,"Shop No 22, Kalinga, Gadingia, Odisha 762022",762022,20.1662042,84.409292,ChIJg06cr535IjoROZYBNvaDlZI,https://www.google.com/maps/place/?q=place_id:ChIJg06cr535IjoROZYBNvaDlZI,part_350,2026-09-20 20:18:28
Pradhan Variety Store,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 94386 03367,N/A,5.0,1.0,"Shop No 11, Kalinga, Odisha 762022",762022,20.168378,84.4129482,ChIJ6YrOQGz5IjoReLPnSIP0tWk,https://www.google.com/maps/place/?q=place_id:ChIJ6YrOQGz5IjoReLPnSIP0tWk,part_350,2026-09-20 20:18:28
Maa rudrakali kiran dokan,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",N/A,N/A,5.0,1.0,"688P+P6F, Tikkaballi, Gumagada, Odisha 762010",762022,20.2168126,84.3355402,ChIJQa48HgD_IjoRerQWesru004,https://www.google.com/maps/place/?q=place_id:ChIJQa48HgD_IjoRerQWesru004,part_350,2026-09-20 20:18:28
BAIDYANATH STORE,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 93488 51553,N/A,3.4,7.0,"Shop No 555, Kalinga Main Road, Kalinga, Raisingi, Odisha 762022",762022,20.1645349,84.4144883,ChIJy9ToK7z5IjoRUtLulC-N0GE,https://www.google.com/maps/place/?q=place_id:ChIJy9ToK7z5IjoRUtLulC-N0GE,part_350,2026-09-20 20:18:28
Aradhya Tea And Coffe Shop,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 77357 88730,N/A,3.0,2.0,"Shop No 56, Tengdapathar, Tikkaballi, Bilabada, Odisha 762010",Tengdapathar,20.237741099999997,84.36171949999999,ChIJC2hVzrD5IjoRHcV3DKL97hA,https://www.google.com/maps/place/?q=place_id:ChIJC2hVzrD5IjoRHcV3DKL97hA,part_350,2026-09-20 20:18:28
Keshab General Store,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 89261 67261,N/A,3.7,3.0,"Dhangadamaha, Kiramaha, Odisha 762100",762022,20.109245599999998,84.33699419999999,ChIJexwT8LL9IjoRSKmjYyzMBgc,https://www.google.com/maps/place/?q=place_id:ChIJexwT8LL9IjoRSKmjYyzMBgc,part_350,2026-09-20 20:18:28
Basant General Store,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 88952 97463,N/A,5.0,4.0,"Road, near Kanyashram Kanyashram, Raikia, Odisha 762101",762022,20.052932,84.2390841,ChIJ12Ii3pYDIzoRghCHs_RqttY,https://www.google.com/maps/place/?q=place_id:ChIJ12Ii3pYDIzoRghCHs_RqttY,part_350,2026-09-20 20:18:28
Behera Verity Store,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 91107 00122,N/A,,,"Behera Verity Store, Tikkaballi, Tiparigan, Odisha 762010",762022,20.2392748,84.34830629999999,ChIJKdcx1BX_IjoRR3foVf693Uc,https://www.google.com/maps/place/?q=place_id:ChIJKdcx1BX_IjoRR3foVf693Uc,part_350,2026-09-20 20:18:28
Tiki Variety Store,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 78550 74721,N/A,5.0,1.0,"Shop No 12, Tikkaballi, Bilabada, Odisha 762010",762022,20.2378905,84.3619964,ChIJ5XHLtVP5IjoRIIlL2b4yXXQ,https://www.google.com/maps/place/?q=place_id:ChIJ5XHLtVP5IjoRIIlL2b4yXXQ,part_350,2026-09-20 20:18:28
Runa Variety Store,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 88956 35048,N/A,,,"Shop No 12, Balumaha, Dadadamaha, Odisha 762022",762022,20.20115,84.39703999999999,ChIJa1G1vpn5IjoR9lBxwumV89k,https://www.google.com/maps/place/?q=place_id:ChIJa1G1vpn5IjoR9lBxwumV89k,part_350,2026-09-20 20:18:28
PANIGRAHI STORE,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 94391 64787,N/A,,,"PANIGRAHI STORE, GANDHI CHOWK, MAIN ROAD, Dadapada, Udayagiri, Odisha 762100",762022,20.1240877,84.3682036,ChIJFW7aM5r7IjoRQxTQ0ju5WNE,https://www.google.com/maps/place/?q=place_id:ChIJFW7aM5r7IjoRQxTQ0ju5WNE,part_350,2026-09-20 20:18:28
Sanjeeb General Store,Provision Store,Grocery store,Grocery store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 94399 10090,N/A,5.0,1.0,"Shop No 115, Chunapali, Ganjam, Raikia, Odisha 762101",Chunapali,20.0557064,84.2467369,ChIJl-tVRwMDIzoRq-RfYXNj6Rc,https://www.google.com/maps/place/?q=place_id:ChIJl-tVRwMDIzoRq-RfYXNj6Rc,part_350,2026-09-20 20:18:28
Hiralal Chourasia General Store (Chandan chourasia),Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 98525 54623,N/A,5.0,46.0,"Kenduapul Jharia, Road, near BSNL Exchange office, Dhanbad, Jharkhand 828116",762022,23.7751628,86.3804684,ChIJtRmpxgKj9jkRxuxvMSiFKqg,https://www.google.com/maps/place/?q=place_id:ChIJtRmpxgKj9jkRxuxvMSiFKqg,part_350,2026-09-20 20:18:29
Krish General StorStores,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 79034 35602,N/A,5.0,3.0,"09, Jharia, Jharkhand 828106",762022,23.7817945,86.42496,ChIJa2fg5Ce99jkR-5v6CXfKFpA,https://www.google.com/maps/place/?q=place_id:ChIJa2fg5Ce99jkR-5v6CXfKFpA,part_350,2026-09-20 20:18:29
Gope General Store,Provision Store,General store,"General store, Soft drinks shop",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 99393 76051,N/A,4.9,9.0,"ISM Gate, 1, Main Rd, Sardar Patel Nagar, Dhanbad, Jharkhand 826007",Sardar Patel Nagar,23.8095811,86.442801,ChIJb-8wbZm89jkRXMEQNYEVOQw,https://www.google.com/maps/place/?q=place_id:ChIJb-8wbZm89jkRXMEQNYEVOQw,part_350,2026-09-20 20:18:29
Birendar General Store,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 91222 12544,N/A,5.0,2.0,"Haldi Patti, Gandhi Rd, Dhanbad, Jharkhand 826007",762022,23.779866199999997,86.42335779999999,ChIJpQzl9jq99jkRW3w1bB8khDw,https://www.google.com/maps/place/?q=place_id:ChIJpQzl9jq99jkRW3w1bB8khDw,part_350,2026-09-20 20:18:29
Coal Field Stores,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 99340 74097,http://www.facebook.com/coalfieldstores,4.8,6.0,"Pandey Muhalla, Dhanbad, Jharkhand 826007",Pandey Muhalla,23.797779499999997,86.43856819999999,ChIJKW5eJL689jkRO79opb913Q4,https://www.google.com/maps/place/?q=place_id:ChIJKW5eJL689jkRO79opb913Q4,part_350,2026-09-20 20:18:29
Abhishek General Store 🏪,Provision Store,General store,"General store, Clothing store",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 79036 95939,N/A,5.0,6.0,"Sugiadih, CCWO Colony, Saraidhella, Dhanbad, Jharkhand 828127","Sugiadih, CCWO Colony",23.8210323,86.46104629999999,ChIJW1xRTQK79jkRUv-bn69_dMk,https://www.google.com/maps/place/?q=place_id:ChIJW1xRTQK79jkRUv-bn69_dMk,part_350,2026-09-20 20:18:29
Shankar General Store,Provision Store,General store,"General store, Home goods store",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 76439 12082,N/A,4.3,6.0,"Manaitand, Dhanbad, Jharkhand 826007",Manaitand,23.7786334,86.4343883,ChIJHcb-gNy89jkROZ6CZPfdwmU,https://www.google.com/maps/place/?q=place_id:ChIJHcb-gNy89jkROZ6CZPfdwmU,part_350,2026-09-20 20:18:29
Gurunanak Dharmik Store,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 82103 65467,N/A,5.0,2.0,"Kasturba Nagar, Dhanbad, Jharkhand 826007",Kasturba Nagar,23.7995985,86.4339139,ChIJfRwtKIS99jkRc2efr45wUpQ,https://www.google.com/maps/place/?q=place_id:ChIJfRwtKIS99jkRc2efr45wUpQ,part_350,2026-09-20 20:18:29
Vikash Kirana,Provision Store,Grocery delivery service,Grocery delivery service,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 88771 18976,N/A,3.6,82.0,"Bekarbandh, Kasturba Nagar, Dhanbad, Jharkhand 828130","Bekarbandh, Kasturba Nagar",23.8007946,86.42686239999999,ChIJ04E73bC89jkRXvC8ZHso-Os,https://www.google.com/maps/place/?q=place_id:ChIJ04E73bC89jkRXvC8ZHso-Os,part_350,2026-09-20 20:18:29
Ahiwaran Puja Bandar,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 87895 75016,N/A,5.0,1.0,"Isri Bazar, Jharkhand 826007",Kasturba Nagar,23.7996034,86.4339139,ChIJAzJCfu-99jkR4EuDWeqFz-k,https://www.google.com/maps/place/?q=place_id:ChIJAzJCfu-99jkR4EuDWeqFz-k,part_350,2026-09-20 20:18:29
Kirti Provision Stores,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",N/A,N/A,3.3,,"6V6C+4CF, Kalyan Peth, Padali, Maharashtra 410502",Kalyan Peth,19.2103103,73.8710548,ChIJHR5XXgA_3TsRv7ANAAHinfM,https://www.google.com/maps/place/?q=place_id:ChIJHR5XXgA_3TsRv7ANAAHinfM,part_350,2026-09-20 20:18:30
G.Rambha,Provision Store,Grocery store,Grocery store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",N/A,N/A,3.9,,"G, road, Rambha, Mujagada, Odisha 761132",762022,20.0759285,84.477582,ChIJa8FODY3xIjoRyxqU-b8_OPI,https://www.google.com/maps/place/?q=place_id:ChIJa8FODY3xIjoRyxqU-b8_OPI,part_350,2026-09-20 20:18:30
Kajal Provision Store,Provision Store,Grocery store,"Grocery store, Supermarket",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 97639 05431,N/A,4.9,,"Junnar narayangov, road, near HP pump, Amrapur, Maharashtra 410502",762022,19.1991431,73.8860811,ChIJa64KY_U_3TsRftRDsGAnFwY,https://www.google.com/maps/place/?q=place_id:ChIJa64KY_U_3TsRftRDsGAnFwY,part_350,2026-09-20 20:18:30
Dev Multicution Store,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 90404 84255,N/A,5.0,,"Shop No 44, Gresingia, Telingia, Odisha 762100",762022,20.1423257,84.34311319999999,ChIJhUuU3YL9IjoRN-MqpkqkBbY,https://www.google.com/maps/place/?q=place_id:ChIJhUuU3YL9IjoRN-MqpkqkBbY,part_350,2026-09-20 20:18:30
Bapi Egg Center,Provision Store,General store,"General store, Egg supplier",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 93371 77399,N/A,2.0,,"Shop No 23, G. Udayagiri, Udayagiri, Odisha 762100",762022,20.125535499999998,84.3665631,ChIJQ0oWLRL7IjoRpwNGqa2iKxA,https://www.google.com/maps/place/?q=place_id:ChIJQ0oWLRL7IjoRpwNGqa2iKxA,part_350,2026-09-20 20:18:30
Sidhartha General Store,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 77388 75343,N/A,4.0,,"Shop No 111, Raikia, Odisha 762101",762022,20.0565079,84.2405804,ChIJ5QZnk3oDIzoRcjcRl8-EtXc,https://www.google.com/maps/place/?q=place_id:ChIJ5QZnk3oDIzoRcjcRl8-EtXc,part_350,2026-09-20 20:18:30
Shiv Prasad Bhandar Wholesale,Provision Store,General store,General store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 70044 95795,N/A,5.0,2.0,"Double Tower Building, Dhangi, more, Dhanbad, Jharkhand 826004",762022,23.8002498,86.4811186,ChIJ_eKziYK99jkRYImZ7VPXFBk,https://www.google.com/maps/place/?q=place_id:ChIJ_eKziYK99jkRYImZ7VPXFBk,part_350,2026-09-20 20:18:30
Jindal Panther TMT Dealer - Gopal General Store |TMT Rebars & Sariya Supplier,Provision Store,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 96688 28334,https://www.jindalpanther.com/,,,"Sambalpur - Sonepur Rd, Sonepur, Odisha 767017",762022,20.852076699999998,83.90158,ChIJHeGEm4DnIzoRYtJ91o5jUuQ,https://www.google.com/maps/place/?q=place_id:ChIJHeGEm4DnIzoRYtJ91o5jUuQ,part_350,2026-09-20 20:18:30
GUMADERA,Provision Store,E-commerce service,"E-commerce service, Baby store, Beauty product supplier, Beauty supply store, Car wash, Cell phone accessory store, Countertop store, E - Commerce Agency, Internet marketing service, Kitchen supply store",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 97133 69111,https://gumadera.com/,5.0,11.0,"Naya Para Street, gumadera, Belpahar, Odisha 768218",gumadera,21.8101067,83.86492559999999,ChIJb3vFME_fIDoRAH-5ZIMG9Uc,https://www.google.com/maps/place/?q=place_id:ChIJb3vFME_fIDoRAH-5ZIMG9Uc,part_350,2026-09-20 20:18:30
PATAKHANDA HOME APPLIANCE,Provision Store,Electronics wholesaler,"Electronics wholesaler, Furniture store, Office furniture store",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 97770 01725,N/A,4.8,20.0,"Baunsuni, Jamatangi, Odisha 762015",762022,20.803738,84.06231969999999,ChIJxc1VV9TaIzoR9BGLDjm35C0,https://www.google.com/maps/place/?q=place_id:ChIJxc1VV9TaIzoR9BGLDjm35C0,part_350,2026-09-20 20:18:30
Jindal Panther TMT Dealer - Shivansh Traders | TMT Rebars & Sariya Supplier,Provision Store,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 70085 32723,https://www.jindalpanther.com/,,,"F6Hw+Rcx, Khajuripada, Phulbani, Odisha 762001",Khajuripada,20.477615,84.2465817,ChIJjSiv08WzIzoReEgA8TiBfFM,https://www.google.com/maps/place/?q=place_id:ChIJjSiv08WzIzoReEgA8TiBfFM,part_350,2026-09-20 20:18:30
